Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,PanglaoDB_Augmented_2021__Retinal Ganglion Cells,0.7240338373868473,1.875218168266503,0.0,0.14694701744048175,0.1,6/38,3.83%,SLC35F1;ADGRB3;CACNA1B;DPP10;OPCML;NXPH1
prerank,PanglaoDB_Augmented_2021__Basophils,0.772865134814419,1.8449788962947486,0.0,0.10738435889881359,0.13,5/31,5.23%,CSF1R;INF2;H2AC6;CD44;SLC26A3
prerank,PanglaoDB_Augmented_2021__Cardiomyocytes,0.7409509044751866,1.831931219136412,0.0,0.07912531708333632,0.14,26/49,15.14%,LDB3;JPH2;RASL12;MYOM2;NOTCH1;FILIP1;HEY2;OBSCN;CKMT2;RBM20;SGPL1;PTH1R;PRKG1;SLC25A4;CPT1A;MITF;MYOCD;COL21A1;ITGA7;RYR2;SORBS2;PDLIM5;CKB;TTN;CTNNA3;LMOD1
prerank,GO_Biological_Process_2021__gene silencing by miRNA (GO:0035195),0.8090710857155251,1.8199581380764585,0.0,0.07347350872024087,0.17,5/20,7.60%,WTIP;CNOT7;CNOT6;PUM2;AGO2
prerank,GO_Biological_Process_2021__regulation of transcription initiation from RNA polymerase II promoter (GO:0060260),0.7253338520477208,1.7524542503277292,0.0,0.19668293103572174,0.56,8/33,13.17%,CSF1R;HEY2;MED24;CEBPB;CDKN1A;MED23;NFKB1;LEF1
prerank,GO_Biological_Process_2021__chaperone cofactor-dependent protein refolding (GO:0051085),0.8930392939605304,1.7323272131435392,0.0,0.2637510569444544,0.67,3/12,4.96%,HSPA1A;HSPA8;PTGES3
prerank,GO_Biological_Process_2021__regulation of spindle assembly (GO:0090169),0.9441795492764705,1.7278455361490448,0.0,0.24383516080783232,0.69,1/12,0.03%,HSPA1A
prerank,GO_Biological_Process_2021__RNA catabolic process (GO:0006401),0.821497905865655,1.7274381434083028,0.0,0.21618166988840104,0.69,1/19,0.03%,HSPA1A
prerank,PanglaoDB_Augmented_2021__Oxyphil Cells,0.7947545720736438,1.7197208299329,0.0,0.22230446228175446,0.69,7/30,6.25%,SLC35F1;LDB3;ANO5;FILIP1;CKMT2;DTNA;HIF3A
prerank,GO_Biological_Process_2021__regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235),0.88819634708633,1.706819385011971,0.0,0.2611135463750099,0.75,3/11,4.13%,HSPA1A;BCL2L1;TMBIM6
