Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,PanglaoDB_Augmented_2021__Cardiomyocytes,0.7397902284827093,1.9127275700112265,0.0,0.031009185623574378,0.03,24/49,14.04%,LDB3;JPH2;RASL12;MYOM2;NOTCH1;FILIP1;CKMT2;OBSCN;HEY2;SGPL1;RBM20;PTH1R;PRKG1;CPT1A;SLC25A4;MITF;COL21A1;ITGA7;RYR2;MYOCD;SORBS2;CKB;PDLIM5;TTN
prerank,PanglaoDB_Augmented_2021__Oxyphil Cells,0.797490620533481,1.9012618599019946,0.0,0.025840988019645315,0.05,7/30,6.18%,SLC35F1;LDB3;ANO5;FILIP1;CKMT2;DTNA;HIF3A
prerank,GO_Biological_Process_2021__regulation of mitotic spindle organization (GO:0060236),0.8809484680336584,1.8581646520179609,0.0,0.020672790415716253,0.06,2/13,4.35%,HSPA1A;GNAI1
prerank,GO_Biological_Process_2021__RNA catabolic process (GO:0006401),0.8306424971694178,1.7635750838981625,0.0,0.17830281733555267,0.42,1/19,0.03%,HSPA1A
prerank,GO_Biological_Process_2021__post-transcriptional gene silencing by RNA (GO:0035194),0.8500929052194856,1.7622989471537112,0.0,0.1550459281178719,0.44,4/17,9.08%,WTIP;CNOT7;CNOT6;AGO2
prerank,GO_Biological_Process_2021__regulation of spindle assembly (GO:0090169),0.9364303339355421,1.761564168466913,0.0,0.1378186027714417,0.45,1/12,0.03%,HSPA1A
prerank,GO_Biological_Process_2021__positive regulation of microtubule polymerization (GO:0031116),0.8742024648978977,1.7603062778219705,0.0,0.11960685883378688,0.46,1/15,0.03%,HSPA1A
prerank,MSigDB_Hallmark_2020__Interferon Alpha Response,-0.8297915582132279,-1.7599893515941156,0.0,0.22466223400484853,0.17,20/41,14.04%,HERC6;DDX60;GBP2;IFITM3;WARS1;IFIT3;EPSTI1;SAMD9L;IFI44;PROCR;CMTR1;SP110;CD47;IFI44L;NCOA7;NUB1;C1S;PARP9;PLSCR1;OGFR
prerank,GO_Biological_Process_2021__gene silencing by miRNA (GO:0035195),0.784974296647111,1.7481736623818294,0.0,0.1317890389001911,0.51,5/20,9.08%,WTIP;CNOT7;CNOT6;PUM2;AGO2
prerank,GO_Biological_Process_2021__DNA methylation or demethylation (GO:0044728),0.8866391041397308,1.7390482353044292,0.023809523809523808,0.12309707020267403,0.61,1/10,0.61%,GATAD2A
prerank,GO_Biological_Process_2021__DNA alkylation (GO:0006305),0.8866391041397308,1.7390482353044292,0.023809523809523808,0.12309707020267403,0.61,1/10,0.61%,GATAD2A
prerank,GO_Biological_Process_2021__DNA methylation (GO:0006306),0.8866391041397308,1.7390482353044292,0.023809523809523808,0.12309707020267403,0.61,1/10,0.61%,GATAD2A
prerank,GO_Biological_Process_2021__extracellular structure organization (GO:0043062),-0.7044320535585208,-1.7390301203871796,0.0,0.2197782723960475,0.33,29/96,10.59%,THSD4;COL24A1;LAMA1;COL15A1;COL23A1;COL6A3;JAM2;ADAMTSL3;COL3A1;ADAMTS12;COL1A1;LAMC1;COL1A2;COL6A1;TGFBR1;CD47;THBS1;VCAN;DCN;COL11A1;LAMA4;LAMB1;FN1;JAM3;ADAM12;COL13A1;COL6A2;SMOC1;COL4A6
prerank,GO_Biological_Process_2021__protein targeting to ER (GO:0045047),-0.7264310855934916,-1.7234429732941408,0.0,0.2409421060341854,0.49,33/68,20.13%,RPL30;RPS4X;RPL19;RPL23A;RPL5;RPL34;SRP14;RPS18;RPLP1;SRP54;RPL15;RPS25;RPL27;RPS20;RPL35A;RPS12;RPL36;RPL37A;RPL6;RPS3;RPS21;RPL10A;RPL11;RPL37;RPL13A;RPS24;RPS29;SEC62;RPS14;RPS7;RPL7A;RPL28;RPL35
prerank,GO_Biological_Process_2021__cotranslational protein targeting to membrane (GO:0006613),-0.7354948428560895,-1.7207100429404887,0.0,0.19047450274324115,0.52,38/67,21.91%,RPL30;RPS4X;RPL19;RPL23A;RPL5;RPL34;SRP14;RPS18;RPLP1;SRP54;RPL15;RPS25;RPL27;RPS20;RPL35A;RPS12;RPL36;SSR1;RPL37A;RPL6;RPS3;RPS21;RPL10A;RPL11;RPL37;RPL13A;RPS24;RPS29;SEC62;RPS14;RPS7;RPL7A;RPL28;RPL35;UBA52;TRAM1;RPL23;RPLP2
prerank,GO_Biological_Process_2021__external encapsulating structure organization (GO:0045229),-0.70100133630683,-1.7185633515148282,0.0,0.16410111005571543,0.52,28/95,10.59%,THSD4;COL24A1;LAMA1;COL15A1;COL23A1;COL6A3;JAM2;ADAMTSL3;COL3A1;ADAMTS12;COL1A1;LAMC1;COL1A2;COL6A1;CD47;THBS1;VCAN;DCN;COL11A1;LAMA4;LAMB1;FN1;JAM3;ADAM12;COL13A1;COL6A2;SMOC1;COL4A6
prerank,GO_Biological_Process_2021__collagen fibril organization (GO:0030199),-0.7781553482891387,-1.7161755531577962,0.0,0.14326287385816427,0.52,18/49,11.89%,COL24A1;COL15A1;TGFB2;COL23A1;COL6A3;COL3A1;COL1A1;COL1A2;COL6A1;TGFBR1;P4HA3;COL12A1;COL11A1;COL13A1;COL6A2;COL4A6;CYP1B1;COL4A5
prerank,GO_Biological_Process_2021__extracellular matrix organization (GO:0030198),-0.6766425798207213,-1.7118330766137528,0.0,0.1409371778539733,0.56,39/126,13.47%,THSD4;COL24A1;LAMA1;COL15A1;TGFB2;COL23A1;COL6A3;JAM2;CTSL;ADAMTSL3;COL3A1;ADAMTS12;COL1A1;LAMC1;GSN;COL1A2;COL6A1;TGFBR1;CD47;THBS1;P4HA3;VCAN;COL12A1;DCN;COL11A1;LAMA4;LAMB1;FN1;JAM3;ADAM12;COL13A1;COL6A2;SMOC1;COL4A6;CYP1B1;COL4A5;TIMP2;FLRT2;MMP24
prerank,GO_Biological_Process_2021__SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.7353426120973097,-1.7061409861414945,0.0,0.13552993464422927,0.6,32/63,20.13%,RPL30;RPS4X;RPL19;RPL23A;RPL5;RPL34;SRP14;RPS18;RPLP1;SRP54;RPL15;RPS25;RPL27;RPS20;RPL35A;RPS12;RPL36;RPL37A;RPL6;RPS3;RPS21;RPL10A;RPL11;RPL37;RPL13A;RPS24;RPS29;RPS14;RPS7;RPL7A;RPL28;RPL35
prerank,GO_Biological_Process_2021__regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235),0.8951756726252528,1.7025871691256655,0.0,0.1963915089493044,0.84,3/11,3.83%,HSPA1A;TMBIM6;BCL2L1
prerank,PanglaoDB_Augmented_2021__Immature Neurons,0.6727024357007811,1.6998665779088615,0.0,0.18685022106512766,0.85,15/58,8.63%,SLC35F1;NOL4;ADGRB3;CACNA1B;NOTCH1;LSAMP;CSRNP3;BCL2;CTNND2;OPCML;NXPH1;SOX5;NRXN1;CTNNA2;NOTCH3
