Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,PanglaoDB_Augmented_2021__Juxtaglomerular Cells,-0.6703021413514186,-2.2369547679531676,0.0,0.0,0.0,15/55,8.22%,TAGLN;ACTA2;SLIT3;LMOD1;SYNPO2;COL14A1;MYH11;MYL9;COL15A1;PAMR1;LAMB2;CXCL12;MYLK;COL1A2;EDNRA
prerank,PanglaoDB_Augmented_2021__Adipocyte Progenitor Cells,-0.5583440000013666,-2.004383697744003,0.0,0.004821889667175486,0.01,14/65,8.27%,TWIST2;PRRX1;TRABD2B;SLIT2;LAMC1;LMOD1;COL14A1;SERPINH1;COL5A2;LAMB2;FKBP9;PTPN21;EDNRA;NOTCH3
prerank,PanglaoDB_Augmented_2021__Airway Smooth Muscle Cells,-0.7390784614151759,-1.9948589128070453,0.0,0.012858372445801295,0.04,19/57,8.22%,TAGLN;TWIST2;TPM2;ITGA8;JPH2;DKK3;ACTA2;LMOD1;SERPINH1;FOXL1;MYL9;MSRB3;COL5A2;IGFBP7;COL13A1;ADGRA2;CXCL12;COL1A2;EDNRA
prerank,PanglaoDB_Augmented_2021__Pulmonary Vascular Smooth Muscle Cells,-0.6478350096117912,-1.9335556713274937,0.0,0.03134228283664066,0.12,20/64,9.52%,TAGLN;PRRX1;ACTA2;LMOD1;COL14A1;CPED1;MYL9;MSRB3;COL5A2;FBLN2;IGFBP7;COL15A1;PAMR1;ADGRA2;CXCL12;MYLK;COL1A2;PRKG1;SPARC;ABCA8
prerank,PanglaoDB_Augmented_2021__Peritubular Myoid Cells,-0.634110724568233,-1.8942855105213143,0.0,0.05400516427236544,0.23,21/76,8.22%,TAGLN;TPM2;KCNMB1;PRRX1;ACTA2;LMOD1;SYNPO2;COL14A1;MYH11;MYL9;COL5A2;FBLN2;COL15A1;PAMR1;LAMB2;FKBP9;PTPN21;CXCL12;MYLK;COL1A2;EDNRA
prerank,GO_Biological_Process_2021__regulation of fibroblast growth factor receptor signaling pathway (GO:0040036),-0.8644597365835814,-1.8352371240396896,0.0,0.11572535201221165,0.42,3/9,5.30%,SPRY3;SPRY1;DSTYK
prerank,PanglaoDB_Augmented_2021__Smooth Muscle Cells,-0.5710310989934178,-1.790600169154174,0.0,0.20527473154547063,0.67,29/95,8.27%,TAGLN;TPM2;ITGA8;KCNMB1;JPH2;PRRX1;DKK3;ACTA2;SLIT3;LMOD1;SYNPO2;COL14A1;MYH11;MYL9;MSRB3;COL5A2;FBLN2;NOX4;IRAG1;COL15A1;PAMR1;LAMB2;NEXN;CXCL12;MYLK;COL1A2;PRKG1;EDNRA;NOTCH3
prerank,GO_Biological_Process_2021__regulation of metal ion transport (GO:0010959),-0.8544001531600559,-1.7819179970125167,0.0,0.19649200393740104,0.68,1/10,1.10%,CD4
prerank,GO_Biological_Process_2021__regulation of neuron projection arborization (GO:0150011),-0.8857675748052087,-1.754578745548675,0.0,0.24859520061882504,0.77,1/6,0.14%,SPRY3
prerank,GO_Biological_Process_2021__arachidonic acid metabolic process (GO:0019369),-0.8411066324932415,-1.7162880024480884,0.0,0.37900052783999316,0.92,3/8,8.62%,PLA2G4C;AKR1C3;MGLL
prerank,PanglaoDB_Augmented_2021__Plasmacytoid Dendritic Cells,-0.6741705476471965,-1.7088785002509432,0.0,0.3787375156763291,0.94,5/17,7.04%,WDFY4;CD4;NRP1;DOCK8;ETV6
prerank,GO_Biological_Process_2021__negative regulation of fibroblast growth factor receptor signaling pathway (GO:0040037),-0.9339143059139619,-1.7075924250168115,0.0,0.35039064914808526,0.94,2/6,1.16%,SPRY3;SPRY1
prerank,GO_Biological_Process_2021__regulation of lipid kinase activity (GO:0043550),-0.8887206602622161,-1.6734459562328914,0.0,0.48367262507667946,0.98,1/5,8.31%,RBL1
prerank,GO_Biological_Process_2021__negative regulation of small GTPase mediated signal transduction (GO:0051058),-0.8686496489434958,-1.6515341177298526,0.0,0.5889593807764342,1.0,4/12,3.97%,SPRY3;SPRY1;SLIT2;MAPKAP1
prerank,GO_Biological_Process_2021__chondroitin sulfate catabolic process (GO:0030207),-0.8140042071430852,-1.6488099633171245,0.1111111111111111,0.5696258993489973,1.0,1/6,4.28%,ARSB
prerank,GO_Biological_Process_2021__organic hydroxy compound biosynthetic process (GO:1901617),-0.7348315604130421,-1.6395652755915364,0.0,0.5967088463129664,1.0,5/14,9.74%,OSBPL6;CYP27A1;PER2;AKR1C3;FAXDC2
prerank,GO_Biological_Process_2021__positive regulation of cyclase activity (GO:0031281),-0.7829037945752748,-1.6202318453861482,0.05263157894736842,0.684708332738919,1.0,2/6,2.85%,CACNA1D;MAPK14
prerank,PanglaoDB_Augmented_2021__Pericytes,-0.5098442752710309,-1.6152180131631575,0.0,0.6782791465160183,1.0,23/94,8.47%,TAGLN;MCAM;PRRX1;ACTA2;SLIT3;LMOD1;SYNPO2;COL14A1;KCNJ8;COL5A2;INPP4B;FBLN2;COL15A1;PAMR1;ADGRA2;VIM;CXCL12;HEYL;GNB4;COL1A2;EDNRA;NOTCH3;SPARC
prerank,GO_Biological_Process_2021__positive regulation of fibroblast proliferation (GO:0048146),-0.7916923094841062,-1.610783820106764,0.0,0.6740494187377942,1.0,1/11,0.73%,CDK6
prerank,PanglaoDB_Augmented_2021__Mesangial Cells,-0.45554233756430684,-1.6083718234260298,0.0,0.6552948057691484,1.0,18/100,8.47%,TAGLN;TPM2;ITGA8;FGF1;PRRX1;DKK3;ACTA2;LMOD1;COL14A1;MYL9;COL5A2;COL15A1;PAMR1;CXCL12;MYLK;COL1A2;EDNRA;SPARC
prerank,GO_Biological_Process_2021__response to hydroxyurea (GO:0072710),-0.82506388263373,-1.6073193377281647,0.047619047619047616,0.6314379326063135,1.0,1/5,1.43%,DDI2
prerank,GO_Biological_Process_2021__bile acid biosynthetic process (GO:0006699),-0.8004139846526966,-1.6041635694813206,0.04,0.6246538887022788,1.0,2/9,3.75%,OSBPL6;CYP27A1
prerank,GO_Biological_Process_2021__epithelial cell migration (GO:0010631),-0.6079160030447799,-1.6039635313074512,0.0,0.5979143187297602,1.0,3/22,6.28%,PKN1;NRP1;ADGRA2
prerank,PanglaoDB_Augmented_2021__Myofibroblasts,-0.5446309063705842,-1.598471303234449,0.0,0.6011289118412105,1.0,18/67,8.47%,TAGLN;TPM2;PRRX1;DKK3;ACTA2;SLIT3;LMOD1;COL14A1;MYL9;COL5A2;PAMR1;LAMB2;CXCL12;MYLK;COL1A2;PRKG1;EDNRA;SPARC
