Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__central nervous system neuron differentiation (GO:0021953),0.8233913675326087,2.0244466173191253,0.0,0.3746613954169412,0.13,10/23,12.22%,RYK;MAP2;MDGA2;TOX;GRID2;OPHN1;MDGA1;CHD5;AGTPBP1;PROX1
prerank,GO_Biological_Process_2021__regulation of synapse assembly (GO:0051963),0.7156042055307357,1.9383047063932988,0.0,0.6444176001171389,0.39,13/41,9.50%,IL1RAPL2;LRFN4;SYNDIG1;NLGN1;PDLIM5;IL1RAPL1;NRXN1;GPC4;SLIT1;GRID2;WNT7A;LRFN5;MDGA1
prerank,"GO_Biological_Process_2021__nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.8009251432510888,-1.9211293054669916,0.0,0.0,0.0,62/102,15.15%,RPS14;RPS8;RPS23;RPL12;RPL31;RPLP1;RPS24;RPS2;RPL30;RPL35A;RPL3;RPL34;RPL13;RPL19;RPS27A;RPL32;RPLP2;RBM8A;RPL29;RPL10A;RPL10;RPS27;RPS9;RPL38;RPL37;RPS25;RPL11;RPL27A;RPS3A;RPS11;RPS12;RPS18;RPS15;RPL13A;RPL23A;RPL14;RPS16;RPL23;PNRC2;RPL7A;RPS28;RPL41;RPL15;RPS21;RPL36;RPL4;RPL18;RPS13;RPL9;CASC3;RPLP0;NCBP1;RPS4X;RPS20;UPF3B;MAGOHB;RPL18A;UBA52;RPL35;RPS7;UPF3A;RPS6
prerank,GO_Biological_Process_2021__SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.8172527216369976,-1.9136759261615106,0.0,0.0,0.0,49/83,10.31%,RPS14;RPS8;RPS23;RPL12;RPL31;RPLP1;RPS24;RPS2;RPL30;RPL35A;RPL3;RPL34;RPL13;RPL19;RPS27A;RPL32;RPLP2;RPL29;RPL10A;RPL10;RPS27;RPS9;RPL38;RPL37;RPS25;RPL11;RPL27A;RPS3A;RPS11;RPS12;RPS18;RPS15;RPL13A;RPL23A;RPL14;RPS16;RPL23;RPL7A;RPS28;RPL41;RPL15;ZFAND2B;RPS21;RPL36;RPL4;RPL18;RPS13;RPL9;RPLP0
prerank,GO_Biological_Process_2021__cotranslational protein targeting to membrane (GO:0006613),-0.8072763995563033,-1.9015876165926073,0.0,0.0,0.0,48/86,10.31%,RPS14;RPS8;RPS23;RPL12;RPL31;RPLP1;RPS24;RPS2;RPL30;RPL35A;RPL3;RPL34;RPL13;RPL19;RPS27A;RPL32;RPLP2;RPL29;RPL10A;RPL10;RPS27;RPS9;RPL38;RPL37;RPS25;RPL11;RPL27A;RPS3A;RPS11;RPS12;RPS18;RPS15;RPL13A;RPL23A;RPL14;RPS16;RPL23;RPL7A;RPS28;RPL41;RPL15;RPS21;RPL36;RPL4;RPL18;RPS13;RPL9;RPLP0
prerank,GO_Biological_Process_2021__Golgi to plasma membrane protein transport (GO:0043001),0.7468622904587128,1.8850660175773233,0.0,0.7892866730116894,0.58,9/24,13.39%,RAB31;SPTBN1;NSF;RAB10;SEC16A;GGA1;BLZF1;ARFRP1;KIF13A
prerank,GO_Biological_Process_2021__cytoplasmic translation (GO:0002181),-0.8075357324374274,-1.8815710180825125,0.0,0.0,0.0,57/84,15.15%,RPS14;TMA7;RPS8;RPS23;RPL12;RPL31;RPLP1;RPS24;RPS2;RPL30;RPL35A;RPL3;RPL34;RPL13;RPL19;RPS27A;RPL32;RPL29;RPL10A;RPL10;RPS27;RPS9;RPL38;RPL37;RPS25;RPL11;RPL27A;RPS3A;RPS11;RPS12;RPS18;RPS15;RPL13A;RPL23A;RPL14;RPS16;RPL23;RPL7A;RPS28;RPL41;RPL15;RPS21;RPL36;RPL4;RPL18;RPS13;RPL9;RPLP0;RPS4X;RPL22L1;RPS20;RPL18A;UBA52;ZC3H15;RPL35;RPS7;RPS6
prerank,GO_Biological_Process_2021__protein targeting to ER (GO:0045047),-0.7895313203371971,-1.8781658836905628,0.0,0.0,0.0,58/94,15.15%,RPS14;RPS8;RPS23;RPL12;RPL31;RPLP1;RPS24;RPS2;RPL30;RPL35A;RPL3;RPL34;RPL13;RPL19;RPS27A;RPL32;RPLP2;RPL29;RPL10A;RPL10;RPS27;RPS9;RPL38;RPL37;RPS25;RPL11;RPL27A;RPS3A;RPS11;RPS12;RPS18;RPS15;RPL13A;RPL23A;RPL14;RPS16;RPL23;RPL7A;RPS28;RPL41;RPL15;ZFAND2B;RPS21;RPL36;RPL4;RPL18;RPS13;RPL9;RPLP0;RPS4X;RPS20;RPL18A;UBA52;CHMP4B;SPCS2;RPL35;RPS7;RPS6
prerank,GO_Biological_Process_2021__negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154),-0.8481118392562061,-1.853253990376002,0.0,0.0026777549979305633,0.02,5/35,3.37%,CD44;IFI6;VEGFA;NOL3;BEX3
prerank,GO_Biological_Process_2021__neuron cell-cell adhesion (GO:0007158),0.8780286916511,1.8522990963009738,0.0,0.854227981550626,0.68,5/14,4.96%,NLGN1;NLGN4X;ASTN1;NCAM2;NRXN1
