Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__rRNA metabolic process (GO:0016072),-0.7952329398967014,-2.1891566340565594,0.0,0.0,0.0,54/141,11.36%,RPS2;RPL29;RPL15;RPL23A;UTP11;IMP3;TRIR;RPL10;RPLP1;RPL7A;POP4;RPL10A;RPS19;RPL18;RPL13;RPS24;NIFK;RPL35A;RPS16;EXOSC8;RPS15;RPL8;PIH1D1;RPS28;WDR18;NOL11;EBNA1BP2;RPS7;RPL23;RPL19;DDX54;NOP56;RPLP0;RPS9;RPL37;RPL41;UBA52;RPL13A;RPL3;RPL31;NOP14;RPL34;RPL35;POP5;NOL6;RPL21;RPL11;RPL6;RPL36;RPL38;RPL4;SBDS;RPL9;RPF1
prerank,GO_Biological_Process_2021__rRNA processing (GO:0006364),-0.7795638515343994,-2.1157407203298306,0.0,0.0,0.0,55/154,11.36%,RPS2;RPL29;RPL15;RPL23A;UTP11;IMP3;RPL10;RPLP1;RPL7A;POP4;RPL10A;RPS19;RPL18;RPL13;RPS24;RPL35A;RPS16;EXOSC8;RPS15;RPL8;PIH1D1;RPS28;WDR18;NOL11;NHP2;EBNA1BP2;RPS7;RIOK2;RPL23;RPL19;DDX54;NOP56;RPLP0;RPS9;RPL37;RPL41;UBA52;RPL13A;RPL3;RPL31;NOP14;RPL34;RPL35;POP5;NOL6;RPL21;RPL11;RPL6;RPL36;RPL38;RPL4;SBDS;TSR3;RPL9;RPF1
prerank,GO_Biological_Process_2021__ncRNA processing (GO:0034470),-0.7513347271611183,-2.111328884192443,0.0,0.0,0.0,55/175,11.36%,RPS2;RPL29;RPL15;RPL23A;UTP11;IMP3;RPL10;RPLP1;RPL7A;POP4;RPL10A;MRPL44;RPS19;RPL18;RPL13;RPS24;RPL35A;RPS16;EXOSC8;RPS15;RPL8;PIH1D1;RPS28;WDR18;NOL11;EBNA1BP2;RPS7;RPL23;RPL19;DDX54;NOP56;RPLP0;RPS9;RPL37;RPL41;UBA52;RPL13A;RPL3;RPL31;NOP14;SARS1;RPL34;RPL35;POP5;NOL6;RPL21;RPL11;RPL6;RPL36;AARS1;RPL38;RPL4;SBDS;RPL9;RPF1
prerank,GO_Biological_Process_2021__protein targeting to ER (GO:0045047),-0.8036868753741475,-2.1087712018912446,0.0,0.0,0.0,54/94,14.26%,RPS2;SPCS2;RPL29;RPL15;RPL23A;RPL10;RPLP1;RPS27A;RPL7A;RPS23;SRP14;RPL10A;RPS19;RPL18;RPL13;RPS24;RPL35A;RPS16;SEC61G;RPS15;RPL8;RPS28;RPS7;RPL23;RPL19;RPLP0;RPS9;RPL37;RPL41;UBA52;RPL13A;RPL3;RPL31;RPL34;RPS15A;RPL35;RPL21;RPL11;RPL6;RPL36;RPS13;RPS3A;RPL38;RPS11;RPL4;RPL9;GET3;RPS8;RPL30;RPS5;RPL18A;RPS26;SEC62;RPSA
prerank,GO_Biological_Process_2021__ribosome biogenesis (GO:0042254),-0.755935046517102,-2.092060889690066,0.0,0.0,0.0,62/170,11.77%,RPS2;RPL29;RPL15;RPL23A;UTP11;IMP3;MRPL36;RPL10;RPLP1;RPL7A;RAN;POP4;RPL10A;ZNF658;RPS19;RPL18;RPL13;RPS24;RPL35A;RPS16;EXOSC8;RPS15;RPL8;PIH1D1;LTV1;RPS28;WDR18;NOL11;EBNA1BP2;RPS7;RIOK2;RPL23;RPL19;DDX54;NOP56;RPLP0;RPS9;RPL37;RPL41;UBA52;RPL13A;RPL3;RPL31;METTL17;NOP14;RPL34;RPL35;POP5;NOL6;NOC2L;RPL21;RPL11;RPL6;RPL36;RPL38;RPL4;SBDS;LSG1;RPL9;RPF1;RPF2;NPM1
prerank,GO_Biological_Process_2021__cotranslational protein targeting to membrane (GO:0006613),-0.8044351033828214,-2.0895455579606006,0.0,0.0,0.0,52/86,14.26%,RPS2;RPL29;RPL15;RPL23A;RPL10;RPLP1;RPS27A;RPL7A;RPS23;SRP14;RPL10A;RPS19;RPL18;RPL13;RPS24;RPL35A;RPS16;RPS15;RPL8;RPS28;RPS7;RPL23;RPL19;RPLP0;RPS9;RPL37;RPL41;UBA52;SSR2;RPL13A;RPL3;RPL31;RPL34;RPS15A;RPL35;RPL21;RPL11;RPL6;RPL36;RPS13;RPS3A;RPL38;RPS11;RPL4;RPL9;RPS8;RPL30;RPS5;RPL18A;RPS26;SEC62;RPSA
prerank,GO_Biological_Process_2021__SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.8083353074217153,-2.0890646839466585,0.0,0.0,0.0,44/83,10.29%,RPS2;RPL29;RPL15;RPL23A;RPL10;RPLP1;RPS27A;RPL7A;RPS23;SRP14;RPL10A;RPS19;RPL18;RPL13;RPS24;RPL35A;RPS16;RPS15;RPL8;RPS28;RPS7;RPL23;RPL19;RPLP0;RPS9;RPL37;RPL41;UBA52;RPL13A;RPL3;RPL31;RPL34;RPS15A;RPL35;RPL21;RPL11;RPL6;RPL36;RPS13;RPS3A;RPL38;SEC61B;RPS11;RPL4
prerank,"GO_Biological_Process_2021__nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.7831775411424707,-2.0222035447575055,0.0,0.00384006105616911,0.03,54/102,12.78%,RPS2;RPL29;RBM8A;RPL15;RPL23A;RPL10;RPLP1;RPS27A;RPL7A;RPS23;RPL10A;RPS19;RPL18;RPL13;RPS24;RPL35A;RPS16;PNRC2;RPS15;RPL8;RPS28;RPS7;RPL23;RPL19;RPLP0;RPS9;RPL37;RPL41;UBA52;GSPT2;RPL13A;RPL3;RPL31;RPL34;RPS15A;RPL35;MAGOH;RPL21;RPL11;RPL6;RPL36;RPS13;RPS3A;RPL38;RPS11;RPL4;EIF4A3;RPL9;GSPT1;DCP1A;RPS8;RPL30;PPP2R1A;RPS5
prerank,GO_Biological_Process_2021__cytoplasmic translation (GO:0002181),-0.8016063749346639,-2.0087870797961545,0.0,0.004551183473978205,0.04,51/84,12.78%,TMA7;RPS2;RPL29;RPL15;RPL23A;RPL10;RPLP1;RPS27A;RPL7A;RPS23;RPL10A;RPS19;RPL18;RPL13;RPS24;RPL35A;RPS16;RPS15;RPL8;RPS28;RPS7;RPL23;RPL19;RWDD1;RPLP0;RPS9;RPL37;RPL41;UBA52;GSPT2;RPL13A;RPL3;RPL31;RPL34;RPS15A;RPL22L1;RPL35;RPL21;RPL11;RPL6;RPL36;RPS13;RPS3A;RPL38;RPS11;RPL4;RPL9;GSPT1;RPS8;RPL30;RPS5
prerank,GO_Biological_Process_2021__mitochondrial translation (GO:0032543),-0.7635624217036902,-2.0069542528162083,0.0,0.0040960651265803845,0.04,40/88,15.96%,CHCHD1;AURKAIP1;MRPL40;MRPS33;GADD45GIP1;MRPL36;MRPL27;MRPS7;MRPL10;MRPS16;MRPL44;MRPL15;MRPL47;MRPL50;MRPS26;MRPL52;MRPL28;MTRF1L;MRPS11;MRPL21;MRPL32;TUFM;MRPS10;MRPL48;MRPS12;MTIF3;MRPL24;MRPS18B;GATC;MRPS14;MRPS22;MRPL9;MRPS2;MRPL51;MRPL13;MRPL16;MRPL34;MRPS18A;MRPL4;ERAL1
prerank,GO_Biological_Process_2021__mitochondrial translational termination (GO:0070126),-0.7860227754654584,-2.0047864793083177,0.0,0.0037236955696185316,0.04,37/74,15.96%,CHCHD1;AURKAIP1;MRPL40;MRPS33;GADD45GIP1;MRPL36;MRPL27;MRPS7;MRPL10;MRPS16;MRPL44;MRPL15;MRPL47;MRPL50;MRPS26;MRPL52;MRPL28;MTRF1L;MRPS11;MRPL21;MRPL32;MRPS10;MRPL48;MRPS12;MRPL24;MRPS18B;MRPS14;MRPS22;MRPL9;MRPS2;MRPL51;MRPL13;MRPL16;MRPL34;MRPS18A;MRPL4;ERAL1
