Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__peptidyl-tyrosine modification (GO:0018212),0.8353691222913687,2.0611303089291564,0.0,0.17613967444874665,0.1,11/47,4.41%,ZAP70;PDGFB;RELN;PTPN6;FGFR1;FLT1;FGFR3;SRC;EGFR;PDGFRA;EPHA3
prerank,GO_Biological_Process_2021__cotranslational protein targeting to membrane (GO:0006613),-0.869437700496405,-2.041314098235676,0.0,0.0,0.0,64/88,8.41%,RPS12;RPS27;RPL19;RPL38;RPL23;RPS13;RPL34;RPL12;RPS18;RPS21;RPL35A;RPS27A;RPLP1;RPL27A;RPS16;RPS14;RPS8;RPL29;RPS23;RPL7A;SRP14;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPSA;RPS15;RPS5;RPS7;RPL18;RPL10A;RPL41;RPLP2;RPS6;RPL24;RPL21;RPL11;RPL13A;RPS3;RPS11;RPL37;RPS3A;RPL13;SEC62;RPS20;RPL15;RPS24;RPL3;RPL28;RPS9;UBA52;RPS4X;RPS28;RPL36;RPS19;RPL32;RPL6;SRP54
prerank,GO_Biological_Process_2021__SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.8726023627620877,-2.0249135684024733,0.0,0.0,0.0,64/85,8.41%,RPS12;RPS27;RPL19;RPL38;RPL23;RPS13;RPL34;RPL12;RPS18;RPS21;RPL35A;RPS27A;RPLP1;RPL27A;RPS16;RPS14;RPS8;RPL29;RPS23;RPL7A;SRP14;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPSA;RPS15;RPS5;RPS7;RPL18;RPL10A;RPL41;SEC61B;RPLP2;RPS6;RPL24;RPL21;RPL11;RPL13A;RPS3;RPS11;RPL37;RPS3A;RPL13;RPS20;RPL15;RPS24;RPL3;RPL28;RPS9;UBA52;RPS4X;RPS28;RPL36;RPS19;RPL32;RPL6;SRP54
prerank,GO_Biological_Process_2021__peptide biosynthetic process (GO:0043043),-0.8290597248057864,-1.9873391800033129,0.0,0.0,0.0,78/142,11.60%,RPS12;RPS27;RPL19;RPL38;RPL23;RPS13;RPL34;RPL12;RPS18;RPS21;RPL35A;RPS27A;RPLP1;RPL27A;RPS16;RPS14;RPS8;RPL29;RPS23;RPL7A;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPSA;RPS15;MRPL51;RPS5;RPS7;RPL18;RPL10A;RPL41;MRPL35;RPLP2;RPS6;RPL24;RPL21;RPL11;RPL13A;RPS3;MRPL36;RPS11;RPL37;RPS3A;RPL13;MRPS12;RPS20;RPL15;RPS24;RPL3;MRPL34;RPL28;RPS9;RPS4X;RPS28;RPL36;RPS19;MRPL27;COPS5;RPL32;RPL6;MRPS21;MRPS18B;RPL31;RPL39;PCSK1;MRPS18A;RPL8;RPLP0;RPS26;MRPL52;ABCF1
prerank,"GO_Biological_Process_2021__nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.8414718926853532,-1.9806918912223859,0.0,0.0,0.0,59/105,6.72%,RPS12;RPS27;RPL19;RPL38;RPL23;RPS13;RPL34;RPL12;RPS18;RPS21;RPL35A;RPS27A;RPLP1;RPL27A;RPS16;RPS14;RPS8;RPL29;RPS23;RPL7A;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPSA;RPS15;RPS5;RPS7;RPL18;RPL10A;RPL41;RPLP2;RPS6;RPL24;RPL21;RPL11;RPL13A;RPS3;RPS11;RPL37;RPS3A;RPL13;RPS20;RPL15;RPS24;RPL3;RPL28;RPS9;UBA52;RPS4X;RPS28;RPL36;RPS19
prerank,GO_Biological_Process_2021__cytoplasmic translation (GO:0002181),-0.8679353257434388,-1.9756160829889173,0.0,0.0,0.0,60/87,6.72%,RPS12;RPS27;RPL19;RPL38;RPL23;RPS13;RPL34;RPL12;RPS18;RPS21;RPL35A;RPS27A;RPLP1;RPL27A;RPS16;RPS14;RPS8;RPL29;RPS23;RPL7A;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPSA;RPS15;RPS5;RPS7;RPL18;RPL10A;RPL41;RPS6;RPL24;RPL21;RPL11;RPL13A;RPS3;TMA7;RPS11;RPL37;RPS3A;RPL13;RPS20;RPL22L1;RPL15;RPS24;RPL3;RPL28;RPS9;UBA52;RPS4X;RPS28;RPL36;RPS19
prerank,GO_Biological_Process_2021__protein targeting to ER (GO:0045047),-0.8215316403999098,-1.962129079212151,0.0,0.0,0.0,65/97,8.41%,RPS12;RPS27;RPL19;RPL38;RPL23;RPS13;RPL34;RPL12;RPS18;RPS21;RPL35A;RPS27A;RPLP1;RPL27A;RPS16;RPS14;RPS8;RPL29;RPS23;RPL7A;SRP14;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPSA;RPS15;RPS5;RPS7;RPL18;RPL10A;RPL41;RPLP2;RPS6;RPL24;RPL21;RPL11;RPL13A;RPS3;RPS11;RPL37;RPS3A;RPL13;SEC62;RPS20;RPL15;RPS24;RPL3;RPL28;RPS9;UBA52;RPS4X;RPS28;RPL36;RPS19;RPL32;RPL6;GET3;SRP54
prerank,GO_Biological_Process_2021__translation (GO:0006412),-0.799250452121568,-1.960717159265793,0.0,0.0,0.0,86/192,11.60%,RPS12;RPS27;RPL19;RPL38;RPL23;RPS13;RPL34;RPL12;RPS18;RPS21;RPL35A;RPS27A;RPLP1;RPL27A;NARS1;RPS16;RPS14;RPS8;RPL29;RPS23;RPL7A;EEF1B2;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPSA;RPS15;MRPL51;RPS5;RPS7;RPL18;RPL10A;RPL41;MRPL35;RPLP2;RPS6;RPL24;RPL21;RPL11;RPL13A;RPS3;TMA7;MRPL36;RPS11;RPL37;RPS3A;RPL13;MRPS12;RPS20;RPL22L1;RPL15;RPS24;RPL3;MRPL34;MRPS34;RPL28;RPS9;UBA52;RPS4X;AIMP1;TRMT112;RPS28;RPL36;RPS19;MRPL27;COPS5;RPL32;RPL6;MRPS21;MRPS18B;MRPL2;RPL31;RPL39;MRPS18A;RPL8;RPLP0;RPS26;MRPL52;ABCF1
prerank,"GO_Biological_Process_2021__synaptic transmission, GABAergic (GO:0051932)",0.9708981841543187,1.955398310199277,0.0,0.6435872720242667,0.36,1/11,0.02%,GABRE
prerank,GO_Biological_Process_2021__chloride transmembrane transport (GO:1902476),0.7616114357178212,1.9238051776586267,0.0,0.6232634634340265,0.48,4/43,4.52%,GABRE;GABRR2;ANO4;GLRB
prerank,GO_Biological_Process_2021__regulation of postsynaptic membrane potential (GO:0060078),0.8288239963929465,1.9065109008015677,0.0,0.6097142577071999,0.56,2/31,2.13%,GABRE;CHRNA4
prerank,GO_Biological_Process_2021__nuclear-transcribed mRNA catabolic process (GO:0000956),-0.771031603542372,-1.9056870280355478,0.0,0.0,0.0,60/161,6.72%,RPS12;RPS27;RPL19;RPL38;RPL23;RPS13;RPL34;RPL12;RPS18;RPS21;RPL35A;RPS27A;POLR2G;RPLP1;RPL27A;RPS16;RPS14;RPS8;RPL29;RPS23;RPL7A;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPSA;RPS15;RPS5;RPS7;RPL18;RPL10A;RPL41;RPLP2;RPS6;RPL24;RPL21;RPL11;RPL13A;RPS3;RPS11;RPL37;RPS3A;RPL13;RPS20;RPL15;RPS24;RPL3;RPL28;RPS9;UBA52;RPS4X;RPS28;RPL36;RPS19
prerank,GO_Biological_Process_2021__gene expression (GO:0010467),-0.7192832722846503,-1.9009399741512853,0.0,0.0,0.0,91/320,11.66%,RPS12;RPS27;RPL19;RPL38;RPL23;RPS13;RPL34;RPL12;RPS18;RPS21;NOX4;RPL35A;RPS27A;POLR2G;RPLP1;RPL27A;RPS16;RPS14;RPS8;RPL29;RPS23;RPL7A;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPSA;RPS15;MRPL51;RPS5;RPS7;RPL18;RPL10A;RPL41;PTMA;MRPL35;RPLP2;RPS6;RPL24;POLR2J;RPL21;RPL11;RPL13A;RPS3;RBMS2;MRPL36;RPS11;RPL37;RPS3A;POLR2L;RPL13;MRPS12;RPS20;RPL15;RPS24;RPL3;MRPL34;RPL28;POLR2I;RPS9;RPS4X;RBM3;RPS28;RPL36;RPS19;MRPL27;COPS5;FIP1L1;PAX8;RPL32;RPL6;MRPS21;MRPS18B;DHX38;RPL31;RPL39;TFIP11;MRPS18A;RPL8;RPLP0;RPS26;MRPL52;ABCF1;UPF2;SRSF7
prerank,GO_Biological_Process_2021__cellular macromolecule biosynthetic process (GO:0034645),-0.7233880965042365,-1.8869813337893553,0.0,0.0,0.0,102/278,12.90%,RPS12;RPS27;RPL19;RPL38;RPL23;RPS13;RPL34;RPL12;RPS18;MCM2;RPS21;RPL35A;RPS27A;POLR2G;RPLP1;RPL27A;RPS16;RPS14;RPS8;RPL29;RPS23;RPL7A;EEF1B2;RPL18A;RPL30;TYMS;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPSA;RPS15;MRPL51;RPS5;RPS7;RPL18;RPL10A;RPL41;PTMA;RMI1;MRPL35;RPLP2;RPS6;RPL24;POLR2J;RPL21;RPL11;RPL13A;RPS3;MRPL36;RPS11;RPL37;RPS3A;POLR2L;RPL13;MRPS12;RPS20;RPL15;RPS24;RPL3;MRPL34;RPL28;POLR2I;GCNT1;RPS9;POLE3;RPS4X;ORC6;MCM4;RPS28;RPL36;RPS19;MRPL27;COPS5;MCM3;GRWD1;PAX8;RPL32;RPL6;MRPS21;FAM111A;MRPS18B;RPA3;RPL31;RFC2;RPL39;MRPS18A;RPL8;RPLP0;RPS26;MRPL52;ABCF1;CLSPN;THAP1;BRCA1;EEF2;RPS29;RPL14
prerank,GO_Biological_Process_2021__regulation of cytokine production (GO:0001817),0.6637993775057414,1.883633469657314,0.0,0.6259733045793919,0.66,3/89,1.27%,KLRF2;NOS2;KAT2A
prerank,GO_Biological_Process_2021__regulation of astrocyte differentiation (GO:0048710),0.9668808494326471,1.8813670517945793,0.0,0.5419682290730665,0.66,1/9,0.07%,F2
prerank,GO_Biological_Process_2021__peptidyl-tyrosine phosphorylation (GO:0018108),0.7516546892300587,1.8810834758016182,0.0,0.4664797971664609,0.66,11/54,4.41%,ZAP70;PDGFB;RELN;PTPN6;FGFR1;FLT1;FGFR3;SRC;EGFR;PDGFRA;EPHA3
prerank,"GO_Biological_Process_2021__positive regulation of synaptic transmission, glutamatergic (GO:0051968)",0.8399064341336744,1.8624460833244947,0.0,0.508095214756,0.71,6/14,12.19%,RELN;NLGN1;CACNG5;CACNG4;NRXN1;NLGN3
prerank,GO_Biological_Process_2021__rRNA metabolic process (GO:0016072),-0.7517139445627069,-1.8364869490324929,0.0,0.0014866984232502745,0.02,61/151,12.94%,RPS27;RPL19;RPL38;RPL23;RPL34;RPL12;RPL35A;RPLP1;RPL27A;RPS16;RPS14;RPL29;RPL7A;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPS15;RPS7;RPL18;RPL10A;RPL41;RPLP2;RPS6;RPL24;RPL21;RPL11;RPL13A;SBDS;RPL37;RPL13;RPL15;RPS24;RPL3;RPL28;RPS9;UBA52;RPS28;RPL36;NOP53;RPS19;RPL32;RPL6;NIFK;RPL31;IMP3;RPL39;RPL8;RPLP0;EXOSC4;NOC4L;EXOSC10;NOB1;RPL14;WDR74
prerank,GO_Biological_Process_2021__rRNA processing (GO:0006364),-0.739874203815004,-1.8081260235354686,0.0,0.011583858547825059,0.14,62/164,12.94%,RPS27;RPL19;RPL38;RPL23;RPL34;RPL12;RPL35A;RPLP1;RPL27A;RPS16;RPS14;RPL29;RPL7A;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPS15;RPS7;RPL18;RPL10A;RPL41;RPLP2;RPS6;RPL24;RPL21;RPL11;RPL13A;SBDS;RPL37;RPL13;RPL15;RPS24;RPL3;RPL28;RPS9;UBA52;RPS28;RPL36;NOP53;RPS19;RPL32;NHP2;RPL6;TSR3;RPL31;IMP3;RPL39;RPL8;RPLP0;EXOSC4;NOC4L;EXOSC10;NOB1;RPL14;WDR74
prerank,GO_Biological_Process_2021__visual system development (GO:0150063),0.7487014170780082,1.804981530177705,0.0,0.8114468763066193,0.87,11/29,14.64%,PBX3;ADAMTS18;PBX1;FREM2;MEIS1;SMG9;MEIS3;TGFB2;C3;MEIS2;HIPK2
prerank,GO_Biological_Process_2021__positive regulation of carbohydrate metabolic process (GO:0045913),0.7919527661023295,1.7887640315160034,0.0,0.8414056756359359,0.91,8/22,10.72%,PDGFB;PFKFB3;IGF1;ARNT;P2RX7;MLXIPL;NFKB1;SLC4A4
prerank,GO_Biological_Process_2021__negative regulation of pri-miRNA transcription by RNA polymerase II (GO:1902894),0.8902354099303348,1.7812620215558412,0.02857142857142857,0.8289650412867586,0.93,4/12,6.61%,PDGFB;NFATC4;RELA;NFIB
prerank,GO_Biological_Process_2021__positive regulation of smooth muscle cell migration (GO:0014911),0.8403133225679252,1.777098262042236,0.0,0.7926285350193598,0.95,3/12,6.71%,PDGFB;IGF1;DOCK7
prerank,GO_Biological_Process_2021__iron ion transmembrane transport (GO:0034755),0.8594986115543185,1.776496381730694,0.0,0.7368683422204964,0.95,2/8,5.54%,SLC39A8;SLC40A1
prerank,GO_Biological_Process_2021__natural killer cell mediated cytotoxicity (GO:0042267),0.9731930946750436,1.775436830675939,0.0,0.6948806937043961,0.95,2/10,0.01%,KLRF2;CLEC2A
prerank,GO_Biological_Process_2021__chloride transport (GO:0006821),0.6730890884030187,1.7731927177789244,0.0,0.6612012394691412,0.95,7/59,5.96%,GABRE;SLC26A7;GABRR2;ANO4;CLIC5;GLRB;SLC26A6
prerank,GO_Biological_Process_2021__ncRNA processing (GO:0034470),-0.715687135936815,-1.7721985429149067,0.0,0.02704647516143769,0.31,74/190,16.01%,RPS27;RPL19;RPL38;RPL23;RPL34;RPL12;RPL35A;RPLP1;RPL27A;RPS16;RPS14;RPL29;RPL7A;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPS15;RPS7;RPL18;RPL10A;RPL41;RPLP2;RPS6;RPL24;RPL21;RPL11;RPL13A;SBDS;RPL37;RPL13;RPL15;RPS24;RPL3;RPL28;RPS9;UBA52;RPS28;RPL36;NOP53;RPS19;TRPT1;RPL32;RPL6;RPL31;IMP3;RPL39;RPL8;RPLP0;EXOSC4;NOC4L;EXOSC10;NOB1;SSB;INTS5;RPL14;WDR74;WDR12;SARS1;INTS12;POP7;EBNA1BP2;RPL7;IMP4;MRTO4;UTP11;METTL3;SNU13
prerank,GO_Biological_Process_2021__regulation of keratinocyte proliferation (GO:0010837),0.8242632877637098,1.7685116626253787,0.0,0.6452809227401199,0.96,2/16,0.27%,VDR;EPB41L4B
prerank,GO_Biological_Process_2021__regulation of cytokine production involved in inflammatory response (GO:1900015),0.790783068416941,1.7631295175069672,0.0,0.6415947417703215,0.96,5/26,4.38%,F2;NLRP7;NOS2;TICAM1;CLEC7A
prerank,GO_Biological_Process_2021__ribosome biogenesis (GO:0042254),-0.7180523383172479,-1.7607653312572442,0.0,0.03387548550120269,0.36,72/182,15.31%,RPS27;RPL19;RPL38;RPL23;RPL34;RPL12;RPL35A;RPLP1;RPL27A;RPS16;RPS14;RPL29;RPL7A;RPL18A;RPL30;RPL35;RPS25;RPS2;RPL23A;RPL5;RPL27;RPL10;RPL9;RPS15;RPS7;RPL18;RPL10A;RPL41;RPLP2;RPS6;RPL24;RPL21;RPL11;RPL13A;SBDS;MRPL36;RBIS;RPL37;RPL13;NOP16;RPL15;RPS24;RPL3;RPL28;RPS9;UBA52;RPF2;RPS28;RPL36;NOP53;RPS19;RPL32;RPL6;ZNF622;RPL31;IMP3;RPL39;RPL8;RPLP0;EXOSC4;NOC4L;EXOSC10;NOB1;RPL14;WDR74;SURF6;WDR12;EBNA1BP2;RPL7;IMP4;MRTO4;RPL26L1
prerank,GO_Biological_Process_2021__regulation of Notch signaling pathway (GO:0008593),0.6624083117820532,1.760296240906331,0.0,0.6194997951765747,0.97,15/66,11.23%,MFNG;TP63;YJEFN3;SRC;EGFR;MAML2;RFNG;LLGL2;NOTCH4;NOTCH3;DLL1;TGFB2;ARRB1;FBXW7;LFNG
prerank,GO_Biological_Process_2021__cellular response to interferon-gamma (GO:0071346),-0.7996974226504262,-1.7503400749944,0.0,0.04306469766014963,0.46,17/63,5.68%,CD44;GBP3;HLA-F;B2M;GBP2;HLA-C;GAPDH;IRF4;IFNGR2;MT2A;HLA-DPA1;PTAFR;RPL13A;HLA-E;HLA-A;IRF9;IRF1
prerank,GO_Biological_Process_2021__positive regulation of cyclin-dependent protein kinase activity (GO:1904031),0.7774705163129744,1.7479005631475675,0.02857142857142857,0.6639110806145065,0.99,3/19,5.72%,PDGFB;EGFR;PKD1
prerank,"GO_Biological_Process_2021__regulation of synaptic transmission, glutamatergic (GO:0051966)",0.6793763500302382,1.747278988462443,0.0,0.6361352088745119,0.99,13/40,12.19%,GRM2;RELN;HOMER1;GRM8;NLGN1;CACNG5;CACNG4;GRM3;GRM1;UNC13A;NRXN1;CDH2;NLGN3
prerank,GO_Biological_Process_2021__positive regulation of fibroblast proliferation (GO:0048146),0.7987381648472922,1.7426127940982707,0.0,0.6303606664337928,0.99,5/21,3.97%,PDGFB;PDGFC;IGF1;CDK6;PDGFRA
prerank,GO_Biological_Process_2021__eye development (GO:0001654),0.698279015194529,1.7387934691720703,0.0,0.630653939285023,0.99,12/39,14.64%,PBX3;ADAMTS18;PBX1;FREM2;MEIS1;SMG9;MEIS3;TGFB2;COL5A1;MEIS2;CEP290;HIPK2
