Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	cotranslational protein targeting to membrane (GO:0006613)	49/94	4.727854e-31	1.586195e-27	0	0	1.432749e+01	1.000441e+03	RPL5;RPL30;TRAM1;RPL3;RPL34;RPLP1;RPL8;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPL13;RPL15;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS27;RPL27A;SRPRA;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	cytoplasmic translation (GO:0002181)	48/93	3.492771e-30	5.859123e-27	0	0	1.402511e+01	9.512793e+02	RPL5;RPL30;RPL3;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPL35;RPL13;RPL38;RPL15;RPL18;RPS27A;RPL39;RPS13;ZC3H15;RPS12;RPL19;RPS9;RPL41;RPL21;RPS7;RPS8;RPL23;RPS6;TMA7;RPL13A;RPL35A;RPS3A;RPS26;RPS25;RPS27;RPL27A;RPL24;RPL27;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	47/90	6.968469e-30	7.793071e-27	0	0	1.436301e+01	9.642772e+02	RPL5;RPL30;RPL3;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPL35;RPLP2;RPL13;RPL38;RPL15;RPL18;RPS27A;RPL39;RPS13;RPS12;RPL19;RPS9;RPL41;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPL35A;RPS3A;RPS26;RPS25;RPS27;RPL27A;RPL24;RPL27;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	protein targeting to ER (GO:0045047)	48/103	1.376729e-27	1.154731e-24	0	0	1.146889e+01	7.093518e+02	RPL5;RPL30;RPL3;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL35;RPLP2;RPL13;RPL38;RPL15;RPL18;RPS27A;RPL39;RPS13;RPS12;RPL19;RPS9;RPL41;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPL35A;RPS3A;RPS26;RPS25;RPS27;RPL27A;SRPRA;RPL24;RPL27;RPL29;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	49/113	2.346575e-26	1.574552e-23	0	0	1.006367e+01	5.938998e+02	RPL5;RPL30;RPL3;RPL34;RPLP1;SMG9;RPL8;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;HELZ2;RPL13;RPL15;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS27;RPL27A;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	nuclear-transcribed mRNA catabolic process (GO:0000956)	54/171	4.297478e-21	2.403006e-18	0	0	6.070829e+00	2.846991e+02	RPL5;RPL30;RPL3;RPL34;RPLP1;SMG9;RPL8;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;PATL2;PDE12;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;HELZ2;RPL13;RPL15;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS27;CNOT2;RPL27A;CNOT9;RPS21;RPS24;DCP1B;RPS23
MSigDB_Hallmark_2020	peptide biosynthetic process (GO:0043043)	49/162	2.197712e-18	1.053332e-15	0	0	5.684664e+00	2.311334e+02	RPL5;RPL30;RPL3;RPL34;RPLP1;RPL8;RPL9;PCSK5;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPL13;RPL15;RPL18;RPS27A;RPL19;RPL41;RPL35A;WARS1;RPS26;RPS25;RPS27;RPL27A;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	translation (GO:0006412)	53/214	1.280273e-15	5.369144e-13	0	0	4.316602e+00	1.480236e+02	RPL5;RPL30;RPL3;RPL34;RPLP1;RPL8;RPL9;RPS15;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;EEF1D;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPL13;RPL15;RPL18;RPS27A;ZC3H15;RPL19;RPL41;TMA7;RPL35A;WARS1;RPS26;RPS25;GARS1;RPS27;RPL27A;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	rRNA metabolic process (GO:0016072)	43/162	4.617635e-14	1.721352e-11	0	0	4.715393e+00	1.447923e+02	POP5;RPL5;RPL30;RPL3;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPS15;RPS14;RPL7A;EMG1;RPS16;RPL18A;RPL35;RPLP2;RPL13;RPL38;RPL15;RPL18;RPL39;RPL19;RPS9;RPL41;RPL21;RPS7;RPL23;RPS6;RPL13A;RPL35A;RCL1;RPS25;RPS27;RPL27A;C1D;RPL24;RPL27;RPL29;RPS24;MPHOSPH6
MSigDB_Hallmark_2020	rRNA processing (GO:0006364)	44/173	1.220520e-13	4.094844e-11	0	0	4.451755e+00	1.323700e+02	POP5;RPL5;RPL30;RPL3;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPS15;RPS14;RPL7A;SART1;EMG1;RPS16;RPL18A;RPL35;RPLP2;RPL13;RPL38;RPL15;RPL18;RPL39;RPL19;RPS9;RPL41;RPL21;RPS7;RPL23;RPS6;RPL13A;RPL35A;RCL1;RPS25;RPS27;RPL27A;C1D;RPL24;RPL27;RPL29;RPS24;MPHOSPH6
MSigDB_Hallmark_2020	ribosome biogenesis (GO:0042254)	46/192	3.548257e-13	1.082218e-10	0	0	4.114227e+00	1.179431e+02	POP5;RPL5;RPL30;RPL3;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPS15;RPS14;RPL7A;EMG1;RPS16;XPO1;RPL18A;RPL35;RPLP2;RPL13;RPL38;RPL15;RPL18;RPL39;RPL19;RPS9;RPL41;RPL21;RPS7;RPL23;RPS6;LTO1;RPL13A;RPL35A;RCL1;RPS25;RPS27;RPL27A;C1D;RPL24;RPL27;NAF1;RPL29;RPS24;MPHOSPH6
MSigDB_Hallmark_2020	ncRNA processing (GO:0034470)	45/201	7.919746e-12	2.214229e-09	0	0	3.762070e+00	9.616477e+01	POP5;RPL5;RPL30;RPL3;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPS15;RPS14;RPL7A;EMG1;RPS16;RPL18A;RPL35;RPLP2;RPL13;DROSHA;RPL38;RPL15;RPL18;RPL39;RPL19;SMAD2;RPL41;RPS9;RPL21;RPS7;RPL23;RPS6;RPL13A;RPL35A;RCL1;RPS25;RPS27;RPL27A;C1D;RPL24;RPL27;RPL29;RPS24;MPHOSPH6
MSigDB_Hallmark_2020	cellular macromolecule biosynthetic process (GO:0034645)	57/314	1.125506e-10	2.904670e-08	0	0	2.901354e+00	6.646312e+01	RPL5;RPL30;RPL3;RPL34;RPLP1;RPL8;RPL9;RPS15;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;EEF1D;RPL24;RPL27;DNA2;RPL29;PIF1;RPL10;RPL12;GCNT1;RPL11;POLD3;FUT9;RPL13;RPL15;RPL18;RPS27A;RPL19;RPL41;DUT;RPL35A;WARS1;RPS26;NR4A2;RPS25;RPS27;RPL27A;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	gene expression (GO:0010467)	59/356	2.081104e-09	4.987216e-07	0	0	2.596722e+00	5.190942e+01	RPL5;RPL30;RPL3;NUP188;RPL34;RPLP1;HNRNPU;RPL8;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;WDR33;HNRNPH1;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;FIP1L1;NUP42;RPL13;DROSHA;RPL15;RPL18;RPS27A;RPL19;RPL41;RNGTT;RPL35A;WARS1;RPS26;NR4A2;RPS25;TSPAN14;RPS27;RPL27A;RPS21;RPS24;RPS23;NUP37
MSigDB_Hallmark_2020	cellular protein metabolic process (GO:0044267)	61/417	1.292979e-07	2.891962e-05	0	0	2.235764e+00	3.546178e+01	RPL5;RPL30;RPL3;PRKCSH;RPL34;RPLP1;RPL8;RPL9;PRSS23;PCSK5;RPS15;RPS4X;RPL7A;RPS14;RPS16;CDH2;RPL18A;RPL35;RPLP2;RPL38;QSOX1;RPL39;RPS13;RPS12;CSNK1G3;RPS9;USP6;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;GPC3;RPL13;TMEM208;RPL15;RPL18;RPS27A;RPL19;SEC11C;RPL41;RPL35A;UBE2G1;CP;WARS1;RPS26;RPS25;RPS27;MGAT4A;RPL27A;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020	cellular response to type I interferon (GO:0071357)	15/65	5.093230e-05	1.005164e-02	0	0	3.853125e+00	3.808819e+01	IFITM3;STAT1;STAT2;MX1;HLA-B;IFI6;ISG15;HLA-A;IFIT1;SAMHD1;IFIT3;IFIT2;BST2;IRF1;GBP2
MSigDB_Hallmark_2020	type I interferon signaling pathway (GO:0060337)	15/65	5.093230e-05	1.005164e-02	0	0	3.853125e+00	3.808819e+01	IFITM3;STAT1;STAT2;MX1;HLA-B;IFI6;ISG15;HLA-A;IFIT1;SAMHD1;IFIT3;IFIT2;BST2;IRF1;GBP2
MSigDB_Hallmark_2020	ribonucleoprotein complex biogenesis (GO:0022613)	14/60	7.909531e-05	1.474249e-02	0	0	3.907100e+00	3.690200e+01	RPL5;RPS7;RPS6;RPL11;LTO1;RPL35A;RPS15;RPS25;EMG1;RPS16;XPO1;RPL38;NAF1;RPS24
MSigDB_Hallmark_2020	nucleoside phosphate biosynthetic process (GO:1901293)	6/14	2.646477e-04	4.673121e-02	0	0	9.594720e+00	7.903278e+01	PNP;AK1;AK3;CMPK2;NMNAT3;NMNAT2
MSigDB_Hallmark_2020	synaptic vesicle budding from presynaptic endocytic zone membrane (GO:0016185)	4/7	8.166048e-04	1.369855e-01	0	0	1.703836e+01	1.211488e+02	DNM3;MX1;SNAP91;PICALM
MSigDB_Hallmark_2020	antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	4/8	1.539134e-03	2.347179e-01	0	0	1.277808e+01	8.275772e+01	ERAP2;ERAP1;HLA-A;B2M
MSigDB_Hallmark_2020	synaptic vesicle budding (GO:0070142)	4/8	1.539134e-03	2.347179e-01	0	0	1.277808e+01	8.275772e+01	DNM3;MX1;SNAP91;PICALM
MSigDB_Hallmark_2020	ribosomal small subunit biogenesis (GO:0042274)	9/40	1.938352e-03	2.827466e-01	0	0	3.717173e+00	2.321716e+01	RPS15;RPS14;RPS25;EMG1;RPS16;RPS27;RPS7;RPS6;RPS24
MSigDB_Hallmark_2020	negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	7/26	2.043693e-03	2.856913e-01	0	0	4.713652e+00	2.919163e+01	RPL5;EPHA4;CSNK2A1;RPS7;RPL23;RPL11;QRICH2
MSigDB_Hallmark_2020	negative regulation of ubiquitin protein ligase activity (GO:1904667)	4/9	2.611278e-03	3.504335e-01	0	0	1.022192e+01	6.079909e+01	RPL5;RPS7;RPL23;RPL11
MSigDB_Hallmark_2020	regulation of protein neddylation (GO:2000434)	4/10	4.102769e-03	5.294150e-01	0	0	8.517804e+00	4.681464e+01	RPL5;RPL11;DCUN1D1;COPS9
MSigDB_Hallmark_2020	membrane depolarization (GO:0051899)	7/32	7.132705e-03	8.863046e-01	0	0	3.581215e+00	1.770218e+01	ATP5IF1;CACNB4;CHRNA4;CACNA1B;CACNG2;CACNA1H;CACNA1G
