Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Ribosome,50/158,1.126791191072997e-19,3.2338907183795015e-17,0,0,6.075194411493344,265.05916980080195,RPL5;RPL30;RPL3;RPL34;RPLP1;RPL8;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL36AL;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;MRPL20;RPL13;RPL15;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS27;RPL27A;FAU;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,Coronavirus disease,59/232,8.052602132193131e-18,1.1555484059697145e-15,0,0,4.488248836477466,176.6598816486345,RPL5;RPL30;RPL3;RPL34;RPLP1;PIK3CB;RPL8;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL36AL;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;ACE2;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;EGFR;RPL13;RPL15;RPL18;RPS27A;RPL19;RPL41;STAT1;STAT2;MX1;RPL35A;ISG15;NFKB1;RPS26;MAPK10;RPS25;MAPK11;RPS27;RPL27A;FAU;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,Biosynthesis of unsaturated fatty acids,5/27,0.0427057311140492,0.9999951770946908,0,0,2.903291536050157,9.15530383660338,SCD5;ACOT2;ACOT1;ELOVL6;HACD2
MSigDB_Hallmark_2020,Fatty acid elongation,5/27,0.0427057311140492,0.9999951770946908,0,0,2.903291536050157,9.15530383660338,ACOT2;ACOT1;ELOVL6;HADH;HACD2
MSigDB_Hallmark_2020,AMPK signaling pathway,14/120,0.0534547431767088,0.9999951770946908,0,0,1.69003443625365,4.949975500486734,STRADB;SCD5;PPP2R5A;PIK3CB;FOXO3;ACACB;ADIPOR2;FOXO1;TBC1D1;PPP2R1B;RHEB;LEPR;PPARGC1A;CFTR
MSigDB_Hallmark_2020,Progesterone-mediated oocyte maturation,12/100,0.0589903855673759,0.9999951770946908,0,0,1.744188244188244,4.9367169263787245,MAPK10;MAPK11;CDC27;PDE3B;SPDYE1;PIK3CB;ADCY1;CPEB3;PRKACB;CDC25A;ANAPC1;ANAPC11
MSigDB_Hallmark_2020,Epithelial cell signaling in Helicobacter pylori infection,9/70,0.0664145928604276,0.9999951770946908,0,0,1.8859941500578192,5.114511499094796,ATP6V1A;MAPK10;MAP2K4;MAPK11;ATP6V0D2;GIT1;EGFR;ATP6V1C1;NFKB1
MSigDB_Hallmark_2020,Regulation of lipolysis in adipocytes,7/55,0.1025481256301746,0.9999951770946908,0,0,1.862899976979742,4.242611388867202,PDE3B;NPY1R;PIK3CB;PLIN1;ADCY1;PRKACB;MGLL
MSigDB_Hallmark_2020,Prolactin signaling pathway,8/70,0.1349084360990401,0.9999951770946908,0,0,1.648170854047306,3.3015482497900317,MAPK10;MAPK11;STAT1;IRF1;PIK3CB;FOXO3;SOCS6;NFKB1
MSigDB_Hallmark_2020,Various types of N-glycan biosynthesis,5/39,0.1508404604086645,0.9999951770946908,0,0,1.8773833671399596,3.551131755843601,CHST8;B4GALT3;MAN1A2;MGAT4A;STT3B
MSigDB_Hallmark_2020,Vibrio cholerae infection,6/50,0.1534691502413848,0.9999951770946908,0,0,1.7411067193675889,3.2632792066276823,ATP6V1A;KDELR3;PRKACB;ATP6V0D2;CFTR;ATP6V1C1
MSigDB_Hallmark_2020,Morphine addiction,9/91,0.2159741026917898,0.9999951770946908,0,0,1.4014016799919036,2.147783693036883,PDE3B;CACNA1B;PDE3A;PDE4A;ADCY1;PDE7B;PDE7A;PRKACB;GABRG1
MSigDB_Hallmark_2020,SNARE interactions in vesicular transport,4/33,0.2163741895563696,0.9999951770946908,0,0,1.7601178735236105,2.69429341386339,STX16;STX19;VTI1A;BET1
MSigDB_Hallmark_2020,Ubiquitin mediated proteolysis,13/140,0.2187529603292581,0.9999951770946908,0,0,1.3074251640874988,1.9870407422952847,PIAS3;KEAP1;UBE2G1;CBL;ANAPC11;RHOBTB2;CDC27;UBR5;ELOB;VHL;BTRC;RPS27A;ANAPC1
MSigDB_Hallmark_2020,Mitophagy,7/68,0.2238965512817562,0.9999951770946908,0,0,1.4648582555927905,2.192264616516975,MAPK10;RHOT1;CSNK2A1;TOMM7;MITF;FOXO3;RPS27A
MSigDB_Hallmark_2020,Purine metabolism,12/129,0.2287105670564202,0.9999951770946908,0,0,1.309806848268387,1.9323553897640295,PNP;ENTPD3;AK1;PDE3B;PDE3A;AK3;PDE4A;PDE5A;PDE6B;ADCY1;PDE7B;PDE7A
MSigDB_Hallmark_2020,Non-alcoholic fatty liver disease,14/155,0.2377505776324061,0.9999951770946908,0,0,1.2681106993272009,1.821683054892376,NDUFA6;COX4I1;NDUFA2;NDUFC1;PIK3CB;ADIPOR2;COX7A1;COX7C;NFKB1;MAPK10;MAPK11;NDUFS5;LEPR;UQCRFS1
MSigDB_Hallmark_2020,Type II diabetes mellitus,5/46,0.2410394307809532,0.9999951770946908,0,0,1.5562657695542472,2.21424675979671,MAPK10;ABCC8;CACNA1B;PIK3CB;CACNA1G
MSigDB_Hallmark_2020,Nicotinate and nicotinamide metabolism,4/35,0.2483657414284198,0.9999951770946908,0,0,1.6463840288121652,2.2931706955979734,NADK2;PNP;NMNAT3;NMNAT2
MSigDB_Hallmark_2020,Oxidative phosphorylation,12/133,0.2608578990029853,0.9999951770946908,0,0,1.2662325389598117,1.701537287807836,ATP6V1A;NDUFA6;COX4I1;NDUFS5;NDUFA2;UQCRFS1;NDUFC1;ATP6V0D2;COX7A1;COX7C;ATP6V1C1;COX10
MSigDB_Hallmark_2020,HIF-1 signaling pathway,10/109,0.2691810409388472,0.9999951770946908,0,0,1.2894341337247912,1.692216106780255,LDHC;EGLN3;IFNGR2;RPS6;ELOB;PIK3CB;VHL;ENO4;NFKB1;EGFR
MSigDB_Hallmark_2020,ErbB signaling pathway,8/85,0.2768884827840681,0.9999951770946908,0,0,1.3260215941625757,1.702797957465276,MAPK10;MAP2K4;NRG3;ERBB4;NCK2;PIK3CB;CBL;EGFR
MSigDB_Hallmark_2020,Glycerolipid metabolism,6/61,0.2825447969424287,0.9999951770946908,0,0,1.3920572181441746,1.75944640851751,DGKB;AGPAT2;MGLL;PLPP1;LPIN3;AGPAT4
MSigDB_Hallmark_2020,mRNA surveillance pathway,9/98,0.2831151028114176,0.9999951770946908,0,0,1.2906895426360203,1.6287233800565877,NUDT21;RNGTT;PPP2R1B;FIP1L1;CSTF3;PAPOLA;PPP2R5A;BCL2L2-PABPN1;WDR33
MSigDB_Hallmark_2020,Cholesterol metabolism,5/50,0.2978586654133934,0.9999951770946908,0,0,1.417624521072797,1.7169363501289243,ABCA1;STARD3;VAPA;SORT1;VAPB
MSigDB_Hallmark_2020,Thiamine metabolism,2/15,0.2988945749348465,0.9999951770946908,0,0,1.9622002223516333,2.369679275635419,TPK1;AK1
MSigDB_Hallmark_2020,Collecting duct acid secretion,3/27,0.3131232855134989,0.9999951770946908,0,0,1.5944387052341598,1.8513957086232475,ATP6V1A;ATP6V0D2;ATP6V1C1
MSigDB_Hallmark_2020,D-Glutamine and D-glutamate metabolism,1/5,0.314563110305369,0.9999951770946908,0,0,3.18792984869326,3.687065792094241,GLS
MSigDB_Hallmark_2020,Pancreatic cancer,7/76,0.3154200504156711,0.9999951770946908,0,0,1.2944591240291456,1.4936117056785572,SMAD2;MAPK10;STAT1;PIK3CB;EGFR;NFKB1;ARHGEF6
MSigDB_Hallmark_2020,PD-L1 expression and PD-1 checkpoint pathway in cancer,8/89,0.3203260467804779,0.9999951770946908,0,0,1.2602660250667623,1.434706888376758,MAPK11;CSNK2A1;STAT1;IFNGR2;PIK3CB;RASGRP1;EGFR;NFKB1
MSigDB_Hallmark_2020,Chagas disease,9/102,0.3237942826108072,0.9999951770946908,0,0,1.2349083121402755,1.392540523864958,SMAD2;MAPK10;MAP2K4;MAPK11;PPP2R1B;IFNGR2;PIK3CB;ADCY1;NFKB1
MSigDB_Hallmark_2020,Longevity regulating pathway,9/102,0.3237942826108072,0.9999951770946908,0,0,1.2349083121402755,1.392540523864958,RHEB;PIK3CB;ADCY1;FOXO3;PRKACB;ADIPOR2;PPARGC1A;FOXO1;NFKB1
MSigDB_Hallmark_2020,Thermogenesis,19/232,0.3293961467782952,0.9999951770946908,0,0,1.1387526645481056,1.2645781825320126,NDUFA6;COX4I1;RPS6;NDUFA2;NDUFC1;ADCY1;COX7C;COX7A1;ARID1B;MAPK11;RHEB;NDUFS5;UQCRFS1;PLIN1;PRKACB;PPARGC1A;MGLL;COX10;COX20
MSigDB_Hallmark_2020,Nicotine addiction,4/40,0.3316898146433124,0.9999951770946908,0,0,1.4173367026571713,1.5641090616405866,CHRNA4;CACNA1B;GABRG1;GRIN2D
MSigDB_Hallmark_2020,Inflammatory bowel disease,6/65,0.3345554914353602,0.9999951770946908,0,0,1.2973997262869776,1.4205910990893773,SMAD2;IL5;STAT1;IFNGR2;RORA;NFKB1
MSigDB_Hallmark_2020,Oocyte meiosis,11/129,0.3372340269024103,0.9999951770946908,0,0,1.1895922343772007,1.2930607635558664,MAPK11;PPP2R1B;CDC27;SPDYE1;PPP2R5A;ADCY1;BTRC;CPEB3;PRKACB;ANAPC1;ANAPC11
MSigDB_Hallmark_2020,Synaptic vesicle cycle,7/78,0.3393683265491785,0.9999951770946908,0,0,1.2578593105594895,1.3593298808053995,DNM3;ATP6V1A;CACNA1B;AP2B1;ATP6V0D2;SLC18A2;ATP6V1C1
MSigDB_Hallmark_2020,Cellular senescence,13/156,0.3468283908290297,0.9999951770946908,0,0,1.1601311310049174,1.2284920577794272,SMAD2;TRAF3IP2;HLA-B;HLA-A;PIK3CB;FOXO3;CDC25A;FOXO1;NFKB1;MAPK11;RHEB;BTRC;MCU
MSigDB_Hallmark_2020,Homologous recombination,4/41,0.3486250110072011,0.9999951770946908,0,0,1.3789557993555237,1.453086258814667,POLD3;TOP3B;SEM1;RAD54B
MSigDB_Hallmark_2020,RNA degradation,7/79,0.3514315585878331,0.9999951770946908,0,0,1.2403218999386127,1.29705459462269,ZCCHC7;CNOT2;C1D;CNOT9;ENO4;DCP1B;MPHOSPH6
MSigDB_Hallmark_2020,Parkinson disease,20/249,0.3556494719273744,0.9999951770946908,0,0,1.1147391324193965,1.1524280863886425,NDUFA6;COX4I1;NDUFA2;UBE2G1;NDUFC1;COX7C;COX7A1;PSMA7;PSMB6;SEM1;MAPK10;TUBB6;KLC3;NDUFS5;UQCRFS1;RPS27A;PRKACB;SLC18A2;MCU;SNCA
MSigDB_Hallmark_2020,Endocytosis,20/252,0.376057088163399,0.9999951770946908,0,0,1.1001441787816892,1.0759567574977105,SMAD2;HLA-B;ARAP2;HLA-A;EPS15L1;AP2B1;VPS37B;CBL;EGFR;EPN1;DNM3;CYTH3;ACAP3;ACAP2;RAB31;PSD2;PARD3;PIP5K1B;EPS15;GIT1
MSigDB_Hallmark_2020,Fatty acid biosynthesis,2/18,0.3806491996006903,0.9999951770946908,0,0,1.5940295939435651,1.5396366240465786,ACACB;HSD17B8
MSigDB_Hallmark_2020,Ribosome biogenesis in eukaryotes,9/108,0.3865791953828015,0.9999951770946908,0,0,1.159688167986923,1.1021891215325157,RCL1;POP5;EMG1;GNL3L;XPO1;CSNK2A1;DROSHA;RPP38;NOP10
MSigDB_Hallmark_2020,Adipocytokine signaling pathway,6/69,0.387536987096292,0.9999951770946908,0,0,1.2147622333957735,1.1515265513478083,MAPK10;LEPR;ACACB;ADIPOR2;PPARGC1A;NFKB1
MSigDB_Hallmark_2020,Circadian rhythm,3/31,0.3946035394623778,0.9999951770946908,0,0,1.366366587957497,1.2705483761336682,RORA;FBXL3;BTRC
MSigDB_Hallmark_2020,Insulin signaling pathway,11/137,0.4125312198674193,0.9999951770946908,0,0,1.113578903398848,0.9860110809776064,MAPK10;RHEB;RPS6;PPP1R3D;PDE3B;PIK3CB;CBL;PRKACB;ACACB;PPARGC1A;FOXO1
MSigDB_Hallmark_2020,Inflammatory mediator regulation of TRP channels,8/98,0.4212665247854972,0.9999951770946908,0,0,1.1336865545573216,0.9800602021859356,MAPK10;MAPK11;ASIC4;IL1R1;HTR2C;PIK3CB;ADCY1;PRKACB
