Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
PanglaoDB_Augmented_2021,cotranslational protein targeting to membrane (GO:0006613),49/94,4.727853791576177e-31,1.5861949470738071e-27,0,0,14.32748538011696,1000.4405438098617,RPL5;RPL30;TRAM1;RPL3;RPL34;RPLP1;RPL8;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPL13;RPL15;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS27;RPL27A;SRPRA;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,cytoplasmic translation (GO:0002181),48/93,3.4927707222578034e-30,5.8591228865874654e-27,0,0,14.02511253257522,951.2793086825544,RPL5;RPL30;RPL3;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPL35;RPL13;RPL38;RPL15;RPL18;RPS27A;RPL39;RPS13;ZC3H15;RPS12;RPL19;RPS9;RPL41;RPL21;RPS7;RPS8;RPL23;RPS6;TMA7;RPL13A;RPL35A;RPS3A;RPS26;RPS25;RPS27;RPL27A;RPL24;RPL27;RPL29;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),47/90,6.968469183196087e-30,7.79307136987429e-27,0,0,14.363008720930232,964.2772116198432,RPL5;RPL30;RPL3;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPL35;RPLP2;RPL13;RPL38;RPL15;RPL18;RPS27A;RPL39;RPS13;RPS12;RPL19;RPS9;RPL41;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPL35A;RPS3A;RPS26;RPS25;RPS27;RPL27A;RPL24;RPL27;RPL29;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,protein targeting to ER (GO:0045047),48/103,1.3767288369411588e-27,1.154731311984397e-24,0,0,11.468889319635588,709.3518048913727,RPL5;RPL30;RPL3;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL35;RPLP2;RPL13;RPL38;RPL15;RPL18;RPS27A;RPL39;RPS13;RPS12;RPL19;RPS9;RPL41;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPL35A;RPS3A;RPS26;RPS25;RPS27;RPL27A;SRPRA;RPL24;RPL27;RPL29;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",49/113,2.3465746895853732e-26,1.5745516167117853e-23,0,0,10.063666874110954,593.8998105093383,RPL5;RPL30;RPL3;RPL34;RPLP1;SMG9;RPL8;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;HELZ2;RPL13;RPL15;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS27;RPL27A;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,nuclear-transcribed mRNA catabolic process (GO:0000956),54/171,4.2974775155945995e-21,2.4030061774699797e-18,0,0,6.0708285290726405,284.69914538413684,RPL5;RPL30;RPL3;RPL34;RPLP1;SMG9;RPL8;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;PATL2;PDE12;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;HELZ2;RPL13;RPL15;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS27;CNOT2;RPL27A;CNOT9;RPS21;RPS24;DCP1B;RPS23
PanglaoDB_Augmented_2021,peptide biosynthetic process (GO:0043043),49/162,2.197711565055533e-18,1.0533317572516159e-15,0,0,5.684663704225884,231.1333955855259,RPL5;RPL30;RPL3;RPL34;RPLP1;RPL8;RPL9;PCSK5;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPL13;RPL15;RPL18;RPS27A;RPL19;RPL41;RPL35A;WARS1;RPS26;RPS25;RPS27;RPL27A;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,translation (GO:0006412),53/214,1.2802727940839569e-15,5.369144030189594e-13,0,0,4.3166018376587125,148.02362913291205,RPL5;RPL30;RPL3;RPL34;RPLP1;RPL8;RPL9;RPS15;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPL35;RPLP2;RPL38;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;EEF1D;RPL24;RPL27;RPL29;RPL10;RPL12;RPL11;RPL13;RPL15;RPL18;RPS27A;ZC3H15;RPL19;RPL41;TMA7;RPL35A;WARS1;RPS26;RPS25;GARS1;RPS27;RPL27A;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021,rRNA metabolic process (GO:0016072),43/162,4.61763532419603e-14,1.7213518347419644e-11,0,0,4.715392672649797,144.79230239947515,POP5;RPL5;RPL30;RPL3;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPS15;RPS14;RPL7A;EMG1;RPS16;RPL18A;RPL35;RPLP2;RPL13;RPL38;RPL15;RPL18;RPL39;RPL19;RPS9;RPL41;RPL21;RPS7;RPL23;RPS6;RPL13A;RPL35A;RCL1;RPS25;RPS27;RPL27A;C1D;RPL24;RPL27;RPL29;RPS24;MPHOSPH6
PanglaoDB_Augmented_2021,rRNA processing (GO:0006364),44/173,1.2205198086522614e-13,4.094843958028337e-11,0,0,4.451755036562117,132.3699505239253,POP5;RPL5;RPL30;RPL3;RPL10;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPS15;RPS14;RPL7A;SART1;EMG1;RPS16;RPL18A;RPL35;RPLP2;RPL13;RPL38;RPL15;RPL18;RPL39;RPL19;RPS9;RPL41;RPL21;RPS7;RPL23;RPS6;RPL13A;RPL35A;RCL1;RPS25;RPS27;RPL27A;C1D;RPL24;RPL27;RPL29;RPS24;MPHOSPH6
