Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,cytoplasmic translation (GO:0002181),70/93,9.199994018431193e-45,3.599037660010282e-41,0,0,22.542046122209165,2285.698698860281,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;ZC3H15;RPL19;RPL41;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL27A;DRG1;RPL22L1;RPS20;RPS21;RPL26L1;RPS24;RPS23
MSigDB_Hallmark_2020,cotranslational protein targeting to membrane (GO:0006613),69/94,6.6144791827750985e-43,1.2937921281508092e-39,0,0,20.43145631067961,1984.3418145109024,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;SRP54;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;SEC62;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL27A;SRPRA;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),67/90,2.306526947704319e-42,3.007711139806432e-39,0,0,21.548658610382702,2065.9309051960304,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;SRP54;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,protein targeting to ER (GO:0045047),70/103,6.7470935736625965e-40,6.59865751504202e-37,0,0,15.702165233415233,1416.2456743564194,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;SRP54;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;SEC62;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;SPCS1;RPL27A;SRPRA;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",70/113,6.283524521329438e-36,4.916229585488152e-33,0,0,12.04362429289755,976.1975603747948,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;NCBP2;RPL23;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL29;RPL28;RBM8A;RPL10;RPL12;RPL11;HELZ2;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;UPF3B;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,peptide biosynthetic process (GO:0043043),77/162,1.0922676331879523e-28,7.12158496838545e-26,0,0,6.705678052669606,431.7392251593798,RPL4;RPL5;PCSK1;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;MRPL34;RPL9;RPL6;GGTA1;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;MRPS21;RPL13A;RPSA;RPS3A;MRPL51;RPL37A;RPL24;RPL27;RPL29;RPL28;RHCE;RPL10;MRPS33;RPL12;RPL11;RPL14;RPL13;IGF2BP3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;MRPL27;RPL35A;RPL23A;WARS1;RPS26;RPS25;RPS28;COPS5;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,translation (GO:0006412),85/214,9.132051230094189e-25,5.103512058875494e-22,0,0,4.881793652833098,270.2211282657606,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;MRPL34;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS4X;RPS14;TRMT112;RPL7A;RPS16;RPL18A;RPS19;NARS1;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;MRPS21;RPL13A;RPSA;RPS3A;GTPBP2;MRPL51;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;MRPS33;RPL12;RPL11;RPL14;RPL13;IGF2BP3;RPL15;RPS2;RPL18;RPS27A;ZC3H15;RPL19;RPL41;MRPL27;TMA7;RPL35A;RPL23A;WARS1;AIMP1;RPS26;RPS25;GARS1;RPS28;RPS27;COPS5;RPL27A;DRG1;RPS20;RPL22L1;RPS21;RPS24;RPL26L1;RPS23
MSigDB_Hallmark_2020,nuclear-transcribed mRNA catabolic process (GO:0000956),71/171,3.098619032202392e-22,1.5152247067469697e-19,0,0,5.237862272919307,259.4099243665006,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;NCBP2;RPL23;RPS6;RPL13A;RPSA;RPS3A;PATL2;RPL37A;RPL24;RPL27;RPL29;RPL28;RBM8A;RPL10;RPL12;RPL11;HELZ2;RPL14;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;UPF3B;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,cellular macromolecule biosynthetic process (GO:0034645),92/314,2.6666189609096064e-16,1.159090375008709e-13,0,0,3.063063063063063,109.8431265081266,RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;BRCA1;RPL8;MRPL34;RPL10A;RPL9;RPL6;RPL7;RPS15;EEF1B2;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS6;MRPS21;RPL13A;RPSA;RPS3A;GTPBP2;MRPL51;RRAGC;RPL37A;RPL24;RPL27;RPL29;RPL28;PTMA;PIF1;BLM;RPL10;MRPS33;RPL12;GCNT1;RPL11;TYMS;POLD2;RPL14;RPL13;IGF2BP3;APOE;RPL15;RPS2;RPL18;RPS27A;POLR2I;POLR2J;RPL19;POLR2L;RPL41;MRPL27;RPL35A;RPL23A;WARS1;RPS26;RPS25;RPS28;RPS27;COPS5;RPL27A;RPA3;POLE3;DRG1;RPS20;INHA;RPS21;RPS24;RPS23
MSigDB_Hallmark_2020,rRNA metabolic process (GO:0016072),59/162,1.4866918230479694e-15,5.815938411763656e-13,0,0,4.203777388720887,143.526305032753,RPL4;POP5;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL39;RPS9;RPL21;RPS7;IMP3;RPL23;RPS6;RPL13A;EBNA1BP2;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;SNU13;EMG1;RPL14;RPL13;RPL15;RPS2;RPL18;RPL19;RPL41;RPL35A;RPL23A;WDR12;RPS25;RPS28;RPS27;RPL27A;RPS24
