Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Epithelial cell signaling in Helicobacter pylori infection	9/70	1.000449e-03	2.561150e-01	0	0	3.913912e+00	2.703459e+01	ATP6V1A;MAPK10;MAP2K4;MAPK11;ATP6V0D2;GIT1;EGFR;ATP6V1C1;NFKB1
KEGG_2021_Human	AMPK signaling pathway	11/120	4.624696e-03	5.919610e-01	0	0	2.677806e+00	1.439681e+01	TBC1D1;PPP2R1B;RHEB;SCD5;LEPR;PPP2R5A;FOXO3;ACACB;ADIPOR2;PPARGC1A;FOXO1
KEGG_2021_Human	Progesterone-mediated oocyte maturation	9/100	1.114134e-02	6.394691e-01	0	0	2.619513e+00	1.178019e+01	MAPK10;MAPK11;CDC27;PDE3B;ADCY1;CPEB3;PRKACB;CDC25A;ANAPC1
KEGG_2021_Human	Endocytosis	17/252	1.182647e-02	6.394691e-01	0	0	1.922881e+00	8.532622e+00	SMAD2;ARAP2;EPS15L1;AP2B1;VPS37B;CBL;EGFR;DNM3;CYTH3;ACAP3;ACAP2;RAB31;PSD2;PARD3;PIP5K1B;EPS15;GIT1
KEGG_2021_Human	Various types of N-glycan biosynthesis	5/39	1.339390e-02	6.394691e-01	0	0	3.885141e+00	1.675644e+01	CHST8;B4GALT3;MAN1A2;MGAT4A;STT3B
KEGG_2021_Human	Regulation of lipolysis in adipocytes	6/55	1.498756e-02	6.394691e-01	0	0	3.236898e+00	1.359670e+01	PDE3B;NPY1R;PLIN1;ADCY1;PRKACB;MGLL
KEGG_2021_Human	Morphine addiction	8/91	1.847245e-02	6.755637e-01	0	0	2.550428e+00	1.017997e+01	PDE3B;CACNA1B;PDE3A;ADCY1;PDE7B;PDE7A;PRKACB;GABRG1
KEGG_2021_Human	mRNA surveillance pathway	8/98	2.746082e-02	8.452187e-01	0	0	2.351203e+00	8.452563e+00	NUDT21;RNGTT;PPP2R1B;CSTF3;PAPOLA;PPP2R5A;BCL2L2-PABPN1;WDR33
KEGG_2021_Human	Longevity regulating pathway	8/102	3.377019e-02	8.452187e-01	0	0	2.250682e+00	7.625710e+00	RHEB;ADCY1;FOXO3;PRKACB;ADIPOR2;PPARGC1A;FOXO1;NFKB1
KEGG_2021_Human	Cholesterol metabolism	5/50	3.557975e-02	8.452187e-01	0	0	2.933761e+00	9.786963e+00	ABCA1;STARD3;VAPA;SORT1;VAPB
KEGG_2021_Human	ErbB signaling pathway	7/85	3.631799e-02	8.452187e-01	0	0	2.372024e+00	7.864310e+00	MAPK10;MAP2K4;NRG3;ERBB4;NCK2;CBL;EGFR
KEGG_2021_Human	Adipocytokine signaling pathway	6/69	4.053850e-02	8.648213e-01	0	0	2.515753e+00	8.064254e+00	MAPK10;LEPR;ACACB;ADIPOR2;PPARGC1A;NFKB1
KEGG_2021_Human	Oocyte meiosis	9/129	4.787962e-02	8.701322e-01	0	0	1.983460e+00	6.027864e+00	MAPK11;PPP2R1B;CDC27;PPP2R5A;ADCY1;BTRC;CPEB3;PRKACB;ANAPC1
KEGG_2021_Human	Relaxin signaling pathway	9/129	4.787962e-02	8.701322e-01	0	0	1.983460e+00	6.027864e+00	SMAD2;MAPK10;MAP2K4;MAPK11;VEGFD;ADCY1;PRKACB;NFKB1;EGFR
KEGG_2021_Human	Cellular senescence	10/156	6.148324e-02	8.701322e-01	0	0	1.811421e+00	5.052037e+00	SMAD2;MAPK11;TRAF3IP2;RHEB;BTRC;FOXO3;CDC25A;FOXO1;NFKB1;MCU
KEGG_2021_Human	Homologous recombination	4/41	6.224180e-02	8.701322e-01	0	0	2.851741e+00	7.918510e+00	POLD3;TOP3B;SEM1;RAD54B
