Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Epithelial cell signaling in Helicobacter pylori infection,9/70,0.0010004494005786,0.2561150465481316,0,0,3.913911783352957,27.034586263816763,ATP6V1A;MAPK10;MAP2K4;MAPK11;ATP6V0D2;GIT1;EGFR;ATP6V1C1;NFKB1
MSigDB_Hallmark_2020,AMPK signaling pathway,11/120,0.0046246955136795,0.591961025750985,0,0,2.677806297491677,14.39680981582148,TBC1D1;PPP2R1B;RHEB;SCD5;LEPR;PPP2R5A;FOXO3;ACACB;ADIPOR2;PPARGC1A;FOXO1
MSigDB_Hallmark_2020,Progesterone-mediated oocyte maturation,9/100,0.011141335193411,0.639469065067245,0,0,2.6195130836014813,11.780194464791158,MAPK10;MAPK11;CDC27;PDE3B;ADCY1;CPEB3;PRKACB;CDC25A;ANAPC1
MSigDB_Hallmark_2020,Endocytosis,17/252,0.0118264737381676,0.639469065067245,0,0,1.9228812552002847,8.532621593077875,SMAD2;ARAP2;EPS15L1;AP2B1;VPS37B;CBL;EGFR;DNM3;CYTH3;ACAP3;ACAP2;RAB31;PSD2;PARD3;PIP5K1B;EPS15;GIT1
MSigDB_Hallmark_2020,Various types of N-glycan biosynthesis,5/39,0.0133938993708115,0.639469065067245,0,0,3.8851405946994175,16.756440231004095,CHST8;B4GALT3;MAN1A2;MGAT4A;STT3B
MSigDB_Hallmark_2020,Regulation of lipolysis in adipocytes,6/55,0.0149875562125135,0.639469065067245,0,0,3.236897510035651,13.596701308242276,PDE3B;NPY1R;PLIN1;ADCY1;PRKACB;MGLL
MSigDB_Hallmark_2020,Morphine addiction,8/91,0.0184724450059984,0.6755637030765165,0,0,2.550427918570835,10.179969573096358,PDE3B;CACNA1B;PDE3A;ADCY1;PDE7B;PDE7A;PRKACB;GABRG1
MSigDB_Hallmark_2020,mRNA surveillance pathway,8/98,0.0274608205035206,0.845218658720702,0,0,2.3512030651341,8.452563261108676,NUDT21;RNGTT;PPP2R1B;CSTF3;PAPOLA;PPP2R5A;BCL2L2-PABPN1;WDR33
MSigDB_Hallmark_2020,Longevity regulating pathway,8/102,0.0337701887269617,0.845218658720702,0,0,2.2506823184152607,7.625709741467647,RHEB;ADCY1;FOXO3;PRKACB;ADIPOR2;PPARGC1A;FOXO1;NFKB1
MSigDB_Hallmark_2020,Cholesterol metabolism,5/50,0.0355797488386482,0.845218658720702,0,0,2.933760683760684,9.78696302233675,ABCA1;STARD3;VAPA;SORT1;VAPB
