Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
PanglaoDB_Augmented_2021,protein phosphorylation (GO:0006468),118/496,5.46761159593893e-09,2.6736620704141368e-05,0,0,1.9254456325386131,36.6304940114934,TP53RK;MAML1;RPS6KA4;RPS6KA3;STK11;PPP4R1;AKT2;RPS6KA2;PDK4;AKT1;PRKACB;MAP3K7;STK32C;MAP3K5;ACVR1;CSNK1G3;EPHA4;PDGFRA;MORC3;CDKL5;CSNK2A1;DAPK2;PRKCE;CSNK2A2;DYRK1A;LMTK3;CSNK1E;PASK;VRK3;PRKAB1;UHMK1;PRKAR1B;MAPKAPK2;SIK3;MAPKAPK5;PRKD1;TNIK;SIK2;TRIB2;CDKL1;CSF1R;PIK3R4;NLK;TTBK2;GRK3;GRK4;MAP3K20;ABL2;STK38L;SRPK2;SMAD2;CDK18;CDK19;NEK4;BRAF;EIF2AK4;PTK2;SMAD7;CDK9;CDK8;TBCK;BMP2;FER;WNK1;COPS2;WNK3;MAP3K10;CDK12;CDK13;BMPR1B;CDK14;MAP3K11;BMPR1A;GSK3B;SMG1;FLT1;MAST4;MAST2;PPP3CB;CAMKV;PRKG1;MAP4K2;OXSR1;YWHAZ;TGFBR1;CCNA2;LATS1;FAM20B;SGK3;CILK1;CAMK2B;CAMK2D;ROCK1;CAB39;ROCK2;CAMK2A;PRKX;EGFR;MAPK9;MAPK8;ERBB4;MAPK1;FYN;MAP4K5;PAK3;MAPK6;MAP4K3;MAP4K4;NTRK2;CDC42BPA;ACVR2A;HIPK2;MAPK10;RPS6KB1;ABI1;TAOK2;RPS6KB2;TAF1
PanglaoDB_Augmented_2021,phosphorylation (GO:0016310),97/400,4.6341674294627296e-08,0.00011330539365036374,0,0,1.968193099397467,33.2373181146781,PANK2;TP53RK;MAML1;DGKB;RPS6KA4;STK11;PPP4R1;PDK4;AKT1;PRKACB;MAP3K5;ACVR1;EPHA7;MORC3;CDKL5;CSNK2A1;DAPK2;PRKCE;DYRK1A;LMTK3;CSNK1E;PASK;PRKAB1;DGKZ;PRKAR1B;MAPKAPK2;SIK3;PRKD1;TNIK;SIK2;TRIB2;CDKL1;DGKH;PIK3R4;NLK;GRK3;GRK4;MAP3K20;STK38L;SRPK2;CDK18;CDK19;NEK4;BRAF;EIF2AK4;CDK9;CDK8;TBCK;BMP2;FER;WNK1;COPS2;WNK3;CDK12;CDK13;BMPR1B;CDK14;MAP3K11;BMPR1A;GSK3B;MAST2;LIMD1;PPP3CB;PRKG1;MAP4K2;OXSR1;YWHAZ;TGFBR1;LATS1;PIK3CA;FAM20B;SGK3;CILK1;CAMK2B;CAMK2D;ROCK1;ROCK2;CAMK2A;GK5;MAPK9;MAPK8;MAPK1;FYN;MAP4K5;PAK3;MAPK6;MAP4K3;MAP4K4;GK;AGK;CDC42BPA;ACVR2A;HIPK2;MAPK10;TAOK2;POMK;TAF1
PanglaoDB_Augmented_2021,stress-activated MAPK cascade (GO:0051403),26/62,9.210255200971261e-08,0.00014678495974059568,0,0,4.396749219891772,71.22893419539952,GPS1;CUL1;CRKL;MAPK9;MAPK8;IRAK2;MAP3K20;MAPK1;BTRC;MAP3K7;MAP4K3;MAP3K5;MAP2K4;MAP4K2;FBXW11;NFKB1;MAPK10;MAPK11;TAOK2;UBE2N;MAP3K10;TAB3;CCM2;TAB1;MAP3K11;ARHGEF6
PanglaoDB_Augmented_2021,ubiquitin-dependent protein catabolic process (GO:0006511),87/354,1.2006949672032366e-07,0.00014678495974059568,0,0,2.0002857982754114,31.874944496213946,RNF11;UBE3C;RNF14;FAF1;KEAP1;UBE2D1;ARRB1;UBE3B;FBXO21;TRIM9;CDC27;WDR91;PSMD1;ARIH1;RNF150;BTRC;FBXW11;FBXW7;UBE2E1;VPS37A;VPS37B;SIRT1;FBXO11;RAD23B;SIRT2;KLHL42;RNF144A;CDC34;WDR81;PSMA1;KCTD10;TBL1XR1;PSME4;KCTD13;SPOPL;KCTD17;CLOCK;ANAPC1;BIRC2;PRKN;PSMD10;VCP;PSMD11;PSMD14;KLHL15;CUL3;NEDD4L;UBR3;FBXO45;RNF6;AGAP3;CBL;PCNP;COP1;RMND5A;RNF217;UBQLN1;FEM1C;PSMF1;BUB3;MARCHF6;ATE1;ZRANB1;HACE1;NDFIP1;USP9X;SMURF1;FEM1B;FBXL17;UBE2G1;BFAR;FBXL14;MIB1;RNF146;CNOT4;SPSB2;NSFL1C;ITCH;KBTBD6;KLHL8;MDM2;TRIP12;UBAP1L;KBTBD7;SPSB4;NFE2L2;TAF1
PanglaoDB_Augmented_2021,proteasomal protein catabolic process (GO:0010498),57/205,2.593013047479112e-07,0.00025359667604345714,0,0,2.3552494802494803,35.71800632680585,FAF1;ARRB1;TRIM9;PSMD1;BTRC;UBXN6;FBXW11;FBXW7;SIRT1;RAD23B;SIRT2;KLHL42;RNF41;RCN3;CDC34;PSMA1;KCTD10;TBL1XR1;PSME4;KCTD13;SPOPL;KCTD17;CLOCK;BIRC2;PRKN;PSMD10;VCP;PSMD11;PSMD14;CUL3;NEDD4L;FBXO45;AGAP3;PCNP;COP1;RMND5A;FEM1C;PSMF1;SOCS6;MARCHF6;ATE1;HACE1;SMURF1;FEM1B;RHBDD1;FBXL17;UBE2G1;BFAR;NR1D1;SPSB2;NSFL1C;ITCH;KBTBD6;MDM2;KBTBD7;SPSB4;NFE2L2
PanglaoDB_Augmented_2021,peptidyl-serine phosphorylation (GO:0018105),46/156,5.939526224092541e-07,0.0004518820571736827,0,0,2.5529603228851347,36.60042958582101,GSK3B;SMG1;CAMK2D;MAST4;CAB39;ROCK1;ROCK2;MAST2;CAMK2A;PRKX;NLK;TTBK2;RPS6KA4;RPS6KA3;MAPK9;MAPK8;CAMKV;AKT2;RPS6KA2;AKT1;STK38L;MAPK1;STK32C;SRPK2;CSNK1G3;MORC3;CSNK2A1;PRKCE;CSNK2A2;DYRK1A;CSNK1E;VRK3;TGFBR1;UHMK1;HIPK2;LATS1;PIKFYVE;RPS6KB1;WNK1;MAPKAPK2;RPS6KB2;MAP3K10;MAPKAPK5;SGK3;PRKD1;TAF1
PanglaoDB_Augmented_2021,"positive regulation of transcription, DNA-templated (GO:0045893)",227/1183,6.468659305144742e-07,0.0004518820571736827,0,0,1.47313934079594,20.99389551183784,ATF2;PID1;MAML2;MAML1;HNRNPU;RBPJ;GABPB1;DCAF6;ELK4;RPS6KA4;ZXDA;RPS6KA3;TRIM28;MSANTD1;ZXDC;DPF1;AKT1;EPC1;DPF3;KAT7;SOX8;SOX9;BTRC;SOX4;ACVR1;SMARCC1;MRTFA;RFX3;TRIM16;PRKD1;ZFPM2;ATF6;CLOCK;DHX9;PIK3R1;ZNF24;PLAC8;HIVEP3;PPARGC1A;ZNF268;RREB1;SNX5;FZD5;EAF2;NFATC3;PBX2;TRIP4;NR1D2;NR1D1;SMARCA2;FLI1;PBX1;MLLT10;HNRNPD;CSRNP3;SETD3;HNF4G;RSF1;WASL;AATF;MEOX2;GLI3;RPTOR;PPP3CB;MED13;GABPA;SS18;NCOA2;NCOA3;TCF12;TFE3;TFEB;SIRT1;SIRT2;SUPT3H;RGMA;KAT2B;KAT2A;ZEB2;WAC;HCLS1;RARB;PLCB1;RHOQ;PRKN;YAP1;MYRF;SATB2;ASCL1;EGFR;SCAF8;SERTAD2;HSF2;NSD1;APBB1;MAP3K2;WWOX;ARNT2;WNT7A;GRIN1;HIPK2;NFIA;NFIB;ZNF451;CRTC2;CCNT2;KDM1A;KDM1B;UBP1;RORA;PRDM2;NR3C1;ETS2;YY1;SALL1;POGZ;EP300;MAP3K5;MEN1;KCNH2;PCID2;SLC30A9;FBXW11;ZBTB38;DYRK1A;MITF;LMO7;KAT6B;TBL1XR1;PHIP;KMT2C;GLIS3;NRF1;FOXO3;FOXO1;NPAS2;NPAS3;DVL1;RPRD1B;NDP;ZNF423;MAP2K5;ZNF300;SMAD2;AKIRIN2;DR1;TFAP2C;SMAD4;POU2F1;NEK4;AUTS2;PHF10;ZBTB16;ESRRG;BMP7;SMAD5;NFKB1;SMAD7;CDK9;NR4A2;BCL9;CDK8;BMP2;RGCC;LHX2;SP3;CAPRIN2;TCF4;BMPR1B;OGT;NFE2L2;PICALM;BMPR1A;KDM5A;RNF10;THRB;RNF14;ARRB1;HMGB1;PKD2;ZIC2;ZNF407;NCK2;UBTF;CEP290;YAF2;NCK1;PPP1R12A;ATRX;VEZF1;ETV1;ARID1B;ETV5;DCN;TGFBR1;ACTA2;METTL23;PPM1A;ELF1;TFDP2;ZNF639;ZNF516;CDH13;ITGA6;HDAC4;NFAT5;HDAC2;SMARCD2;CXXC1;RNF6;MLLT3;ATAD2B;ERBB4;NRIP1;ZNF746;VHL;TRIM44;USP22;FOXJ3;MEIS3;MEIS2;ACVR2A;REST;ZGLP1;ASXL2;LPIN3;CCDC62
PanglaoDB_Augmented_2021,cellular protein modification process (GO:0006464),200/1025,9.561003652854524e-07,0.0005427008146550064,0,0,1.500660259280949,20.79975587687794,PGAP1;TP53RK;MAML1;KEAP1;NTAQ1;PPP2R2A;DCAF5;DCAF7;DCAF6;RPS6KA4;PPP4R1;PPP2R1B;AKT2;PDK4;AKT1;PSMD1;BTRC;PRKACB;ACVR1;CSNK2A1;WSB2;DAPK2;PRKCE;ALG5;CSNK1E;PASK;PRKAB1;CDC34;PRKAR1B;PSME4;SIK3;PRKD1;SIK2;TRIB2;MTMR2;PIK3R4;DCUN1D1;COPS7B;NLK;STK38L;PSMF1;ATG7;ST3GAL1;ATG5;LHPP;SRPK2;CDK18;CDK19;BRAF;EIF2AK4;WNK1;WNK3;FBXL3;CDK12;CDK13;CDK14;SETD3;CHM;PTPRJ;PTPRK;PTPRG;PPP3CB;UBXN7;QSOX1;MAP4K2;COMMD1;SIRT1;SIRT2;PSMA1;FAM20B;SGK3;GPS1;PGGT1B;PAK3;MAP4K5;MAP4K3;MAP4K4;EGLN3;HIPK2;PDP1;SPSB2;KBTBD6;KLHL5;TAOK2;KBTBD7;SPSB4;ENGASE;PLOD2;FBXO21;LOXL1;LOXL2;PPP1CC;PTAR1;STK11;CDH2;LARGE1;MAP3K5;MEN1;CSNK1G3;MORC3;CDKL5;FBXW7;FBXW11;APLP2;UBE2E1;LMTK3;DYRK1A;UBE2E2;LMO7;FBXO11;FBXW2;KLHL42;MAPKAPK2;TNIK;CDKL1;PSMD10;PSMD11;PSMD14;CUL3;CUL2;CUL1;GRK3;COP1;BTBD1;FUT9;GRK4;MAP3K20;ABL2;SOCS6;NEK4;ZBTB16;RHBDD1;FBXO30;FBXO31;SSH1;CDK9;CDK8;TBCK;BMP2;FER;COPS2;STT3B;TAB1;BMPR1B;MAP3K11;BMPR1A;GSK3B;PRKCSH;MAST2;PTEN;DUSP10;PPP2R5E;PRKG1;PPP1R12A;PPP2R5A;OXSR1;YWHAZ;TGFBR1;DNAJC3;LATS1;PPM1A;PTP4A2;VCAN;PIK3C3;CILK1;B4GALT5;CAMK2B;RAB1A;CAMK2D;PPM1L;ROCK1;ROCK2;CAMK2A;TULP4;PPM1E;MAPK9;DCAF17;MAPK8;PTPRZ1;MAPK1;FEM1C;FYN;VHL;MAPK6;ATE1;USP25;FEM1B;HS3ST5;CDC42BPA;PTPN13;FBXL14;PTPN14;ACVR2A;MAPK10;MGAT4A;PTPN9;CD247;PTPN4;ASB3;TAF1
PanglaoDB_Augmented_2021,protein modification by small protein conjugation (GO:0032446),94/409,9.988358551932633e-07,0.0005427008146550064,0,0,1.8313516639199696,25.303191448678813,ZNF451;NUP188;RNF14;UBE2D1;KEAP1;ARRB1;UBE2Z;TRIM28;CDC27;TRIM24;ARIH1;BTRC;NUP214;NDC1;PIAS4;SHPRH;FBXW7;FBXW11;UBE2E3;NSMCE2;UBE2E1;MSL2;LMO7;PEX2;COMMD1;RANGAP1;SIRT1;FBXO11;PIAS1;RNF41;RNF144A;CDC34;KCTD10;PEX5;KCTD13;SDE2;WAC;PDZRN3;PRKN;NUP205;VCP;UHRF2;DCUN1D5;CUL3;CUL2;DCUN1D4;CUL1;DCUN1D1;NEDD4L;UBR3;DCUN1D2;DTX1;FBXO45;RNF6;UBR1;DTX4;CBL;PCNP;VCPIP1;NUP42;TMEM129;VHL;ATG7;TRIM44;MARCHF6;TRPM4;HACE1;USP9X;RNF25;SMURF1;FBXL17;UBE2G1;NUP153;KLHL24;PEX13;PEX14;MIB1;CNOT4;SPSB2;ITCH;RFWD3;UBE2T;TSPAN17;KLHL8;OTULIN;MDM2;RNF182;UBE2N;MKRN3;FBXL3;RAD18;SPSB4;NFE2L2;NUP37
PanglaoDB_Augmented_2021,protein ubiquitination (GO:0016567),114/525,1.52926666327338e-06,0.0007478113983406828,0,0,1.704948771177928,22.830495432558155,UBE3C;FBXO28;UBE2D1;KEAP1;UBE3B;FBXO21;UBE2Z;RUSC1;CDC27;TRIM24;PSMD1;BTRC;FBXW7;FBXW11;UBE2E3;UBE2E1;UBE2E2;LMO7;FBXO11;FBXW2;RNF41;KLHL42;CDC34;KCTD10;PSME4;KCTD13;PSMD10;VCP;PSMD11;CBFB;PSMD14;CUL3;CUL2;CUL1;NEDD4L;UBR3;DTX1;FBXO45;UBR1;DTX4;VCPIP1;RNF217;UBR5;TMEM129;PSMF1;HACE1;PHC1;SMURF1;LNPEP;BFAR;KLHL24;FBXO30;FBXO31;CNOT4;UBE2T;BCL2;MDM2;RNF182;UBE2N;MKRN3;FBXL3;BLMH;RAD18;NFE2L2;RNF10;RNF11;RNF14;ARRB1;SH3RF1;ARIH1;SHPRH;MSL2;RNF208;PEX2;COMMD1;SIRT1;RNF144A;PSMA1;PEX5;SDE2;WAC;PDZRN3;BIRC2;PRKN;UHRF2;RNF6;CBL;PCNP;RMND5A;MARCHF7;VHL;TRIM44;MARCHF6;SASH1;USP9X;RNF25;USP22;FBXL17;UBE2G1;FBXL14;PEX13;PEX14;MIB1;RNF146;SH3RF3;SPSB2;ITCH;RFWD3;TSPAN17;KLHL8;OTULIN;TRIP12;SPSB4;TAF1
