Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of short-term neuronal synaptic plasticity (GO:0048172)	4/13	1.245752e-04	1.577514e-01	0	0	2.060558e+01	1.852566e+02	SLC4A10;GRIK2;SHISA9;SHISA7
GO_Biological_Process_2021	membrane depolarization during action potential (GO:0086010)	5/26	1.946704e-04	1.577514e-01	0	0	1.105814e+01	9.448297e+01	SCN9A;CACNA1H;SCN1B;CACNA1G;YWHAH
GO_Biological_Process_2021	membrane biogenesis (GO:0044091)	3/7	3.151057e-04	1.577514e-01	0	0	3.469858e+01	2.797609e+02	TLCD2;ANK3;TLCD1
GO_Biological_Process_2021	action potential (GO:0001508)	6/45	3.634792e-04	1.577514e-01	0	0	7.155678e+00	5.667145e+01	KCNE1;SCN9A;ANK3;CACNA1H;CACNA1G;YWHAH
GO_Biological_Process_2021	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	7/65	4.547368e-04	1.577514e-01	0	0	5.621430e+00	4.326136e+01	CHRM3;HRH1;CALCRL;CNR1;NPY;NPY1R;HTR2C
GO_Biological_Process_2021	membrane depolarization (GO:0051899)	5/32	5.365694e-04	1.577514e-01	0	0	8.598135e+00	6.474666e+01	SCN9A;CACNA1H;SCN1B;CACNA1G;YWHAH
GO_Biological_Process_2021	central nervous system development (GO:0007417)	15/268	6.694979e-04	1.652482e-01	0	0	2.787138e+00	2.037115e+01	CHST8;EPHA7;CA10;MYRF;MOG;GRIK1;GRIN2D;HAPLN2;TGFBR2;C3;BCAN;GRIN2A;COL4A1;MBP;TAGLN3
GO_Biological_Process_2021	long-term synaptic potentiation (GO:0060291)	4/21	9.110698e-04	1.652482e-01	0	0	1.090438e+01	7.634036e+01	SLC24A2;GRIN2A;PLK2;GRIN2D
GO_Biological_Process_2021	positive regulation of synaptic transmission (GO:0050806)	7/73	9.202018e-04	1.652482e-01	0	0	4.938020e+00	3.452129e+01	RIMS2;SLC24A2;GRIN2A;PLK2;GRIK2;SHISA7;GRIN2D
GO_Biological_Process_2021	membrane assembly (GO:0071709)	5/36	9.367813e-04	1.652482e-01	0	0	7.487166e+00	5.220846e+01	RFTN1;IL1RAPL1;TLCD2;ANK3;TLCD1
GO_Biological_Process_2021	neuronal action potential (GO:0019228)	4/22	1.094953e-03	1.755907e-01	0	0	1.029805e+01	7.020227e+01	SCN9A;ANK3;CACNA1H;CACNA1G
GO_Biological_Process_2021	small GTPase mediated signal transduction (GO:0007264)	8/106	1.942749e-03	2.855841e-01	0	0	3.803535e+00	2.374795e+01	DIRAS3;SHTN1;CDKN2A;PLK2;PLD1;RASGRP2;RAPGEF5;RASGRP1
GO_Biological_Process_2021	negative regulation of macromolecule biosynthetic process (GO:0010558)	3/13	2.340852e-03	3.176357e-01	0	0	1.387518e+01	8.404528e+01	AR;TMEFF2;SELENOS
GO_Biological_Process_2021	positive regulation of transmembrane transport (GO:0034764)	3/14	2.932502e-03	3.694953e-01	0	0	1.261315e+01	7.355864e+01	C3;NR4A3;ACSL5
GO_Biological_Process_2021	regulation of neuronal synaptic plasticity (GO:0048168)	4/29	3.161340e-03	3.717736e-01	0	0	7.411943e+00	4.266877e+01	SLC4A10;GRIK2;SHISA9;SHISA7
GO_Biological_Process_2021	Ras protein signal transduction (GO:0007265)	9/142	3.434946e-03	3.787028e-01	0	0	3.154811e+00	1.789962e+01	SHTN1;CDKN2A;PLK2;ELMO1;TAX1BP3;PLD1;RASGRP2;RASGRP1;ARHGAP4
GO_Biological_Process_2021	regulation of integrin biosynthetic process (GO:0045113)	2/5	4.337498e-03	3.855440e-01	0	0	3.077201e+01	1.674138e+02	AR;TMEFF2
GO_Biological_Process_2021	tricuspid valve development (GO:0003175)	2/5	4.337498e-03	3.855440e-01	0	0	3.077201e+01	1.674138e+02	HEY2;TGFBR2
GO_Biological_Process_2021	tricuspid valve morphogenesis (GO:0003186)	2/5	4.337498e-03	3.855440e-01	0	0	3.077201e+01	1.674138e+02	HEY2;TGFBR2
GO_Biological_Process_2021	basement membrane organization (GO:0071711)	3/16	4.371248e-03	3.855440e-01	0	0	1.067158e+01	5.797555e+01	COL4A1;HPN;CTSS
GO_Biological_Process_2021	regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	2/6	6.414781e-03	4.713605e-01	0	0	2.307783e+01	1.165234e+02	MLIP;FOXO1
GO_Biological_Process_2021	regulation of macrophage apoptotic process (GO:2000109)	2/6	6.414781e-03	4.713605e-01	0	0	2.307783e+01	1.165234e+02	SELENOS;CDKN2A
GO_Biological_Process_2021	regulation of type B pancreatic cell proliferation (GO:0061469)	2/6	6.414781e-03	4.713605e-01	0	0	2.307783e+01	1.165234e+02	NR4A3;SGPP2
GO_Biological_Process_2021	leucine transport (GO:0015820)	2/6	6.414781e-03	4.713605e-01	0	0	2.307783e+01	1.165234e+02	SLC6A15;SLC3A2
GO_Biological_Process_2021	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	4/36	6.976211e-03	4.713605e-01	0	0	5.788507e+00	2.874138e+01	CDH6;CDH22;CDH24;CDH9
GO_Biological_Process_2021	cardiac muscle cell contraction (GO:0086003)	3/19	7.214702e-03	4.713605e-01	0	0	8.669326e+00	4.275395e+01	KCNE1;SCN1B;CACNA1G
GO_Biological_Process_2021	positive regulation of G protein-coupled receptor signaling pathway (GO:0045745)	3/19	7.214702e-03	4.713605e-01	0	0	8.669326e+00	4.275395e+01	C3;ACP3;MRAP2
GO_Biological_Process_2021	glutamate receptor signaling pathway (GO:0007215)	4/37	7.692791e-03	4.846458e-01	0	0	5.612811e+00	2.732020e+01	GRIN2A;GRIN3A;GRIK1;GRIK2
GO_Biological_Process_2021	excitatory chemical synaptic transmission (GO:0098976)	2/7	8.854661e-03	5.038588e-01	0	0	1.846132e+01	8.726318e+01	GRIN2A;GRIN2D
GO_Biological_Process_2021	long-term synaptic depression (GO:0060292)	2/7	8.854661e-03	5.038588e-01	0	0	1.846132e+01	8.726318e+01	SLC24A2;PLK2
GO_Biological_Process_2021	positive regulation of membrane depolarization (GO:1904181)	2/7	8.854661e-03	5.038588e-01	0	0	1.846132e+01	8.726318e+01	MLLT11;ANK3
GO_Biological_Process_2021	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	9/170	1.082732e-02	5.968558e-01	0	0	2.602395e+00	1.177762e+01	CDH6;FLRT3;SLITRK1;CDH22;IL1RAPL1;CDH24;L1CAM;CDH9;TGFBR2
