Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Calcium signaling pathway	12/240	5.554935e-03	7.050380e-01	0	0	2.459446e+00	1.277207e+01	CHRM3;FGF6;GRIN2A;HRH1;PDE1C;HTR2C;NGF;SLC25A5;MET;CACNA1H;GRIN2D;CACNA1G
MSigDB_Hallmark_2020	Neuroactive ligand-receptor interaction	15/341	6.714648e-03	7.050380e-01	0	0	2.154852e+00	1.078172e+01	CHRM3;CALCRL;CHRNA5;NPY1R;HTR2C;GRIK1;CCK;GRIK2;GRIN2D;C3;GRIN2A;HRH1;GRIN3A;CNR1;NPY
MSigDB_Hallmark_2020	Nicotine addiction	4/40	1.012760e-02	7.089320e-01	0	0	5.144286e+00	2.362509e+01	GRIN2A;GRIN3A;SLC32A1;GRIN2D
MSigDB_Hallmark_2020	Sulfur metabolism	2/10	1.818935e-02	9.549410e-01	0	0	1.153656e+01	4.622605e+01	SQOR;PAPSS2
MSigDB_Hallmark_2020	Glutamatergic synapse	6/114	3.524080e-02	9.946930e-01	0	0	2.574868e+00	8.614350e+00	GRIN2A;GRIN3A;GRIK1;GRIK2;PLD1;GRIN2D
MSigDB_Hallmark_2020	Ferroptosis	3/41	5.640331e-02	9.946930e-01	0	0	3.646137e+00	1.048347e+01	ACSL5;SLC3A2;FTL
MSigDB_Hallmark_2020	Ras signaling pathway	9/232	6.116585e-02	9.946930e-01	0	0	1.872859e+00	5.233078e+00	FGF6;GRIN2A;FLT3;RAPGEF5;PLD1;RASGRP2;NGF;RASGRP1;MET
MSigDB_Hallmark_2020	Rap1 signaling pathway	8/210	8.109065e-02	9.946930e-01	0	0	1.835426e+00	4.610934e+00	FGF6;GRIN2A;CNR1;ID1;RAPGEF5;RASGRP2;NGF;MET
MSigDB_Hallmark_2020	Ribosome biogenesis in eukaryotes	5/108	8.111068e-02	9.946930e-01	0	0	2.245117e+00	5.639600e+00	FCF1;IMP4;SNORD3A;RIOK2;RPP25L
MSigDB_Hallmark_2020	Bacterial invasion of epithelial cells	4/77	8.196060e-02	9.946930e-01	0	0	2.532104e+00	6.334101e+00	ARPC5L;ELMO1;MET;ACTR3B
MSigDB_Hallmark_2020	Cocaine addiction	3/49	8.629079e-02	9.946930e-01	0	0	3.010792e+00	7.376539e+00	GRIN2A;GRIN3A;GRIN2D
MSigDB_Hallmark_2020	Cellular senescence	6/156	1.168658e-01	9.946930e-01	0	0	1.849905e+00	3.971244e+00	TRAF3IP2;CCNE1;CDKN2A;SLC25A5;FOXO1;TGFBR2
MSigDB_Hallmark_2020	Viral carcinogenesis	7/203	1.438451e-01	9.946930e-01	0	0	1.651722e+00	3.202719e+00	C3;SP100;CDKN2A;CCNE1;HPN;H4C3;YWHAH
MSigDB_Hallmark_2020	Circadian entrainment	4/97	1.526725e-01	9.946930e-01	0	0	1.985527e+00	3.731719e+00	GRIN2A;CACNA1H;CACNA1G;GRIN2D
MSigDB_Hallmark_2020	Fc gamma R-mediated phagocytosis	4/97	1.526725e-01	9.946930e-01	0	0	1.985527e+00	3.731719e+00	MYO10;ARPC5L;PLD1;ACTR3B
MSigDB_Hallmark_2020	Prostate cancer	4/97	1.526725e-01	9.946930e-01	0	0	1.985527e+00	3.731719e+00	AR;CCNE1;LEF1;FOXO1
MSigDB_Hallmark_2020	MAPK signaling pathway	9/294	1.774112e-01	9.946930e-01	0	0	1.460735e+00	2.526027e+00	FGF6;FLT3;RASGRP2;NGF;RASGRP1;MET;CACNA1H;CACNA1G;TGFBR2
MSigDB_Hallmark_2020	Amphetamine addiction	3/69	1.819093e-01	9.946930e-01	0	0	2.096282e+00	3.572582e+00	GRIN2A;GRIN3A;GRIN2D
MSigDB_Hallmark_2020	Adherens junction	3/71	1.926735e-01	9.946930e-01	0	0	2.034418e+00	3.350194e+00	LEF1;MET;TGFBR2
MSigDB_Hallmark_2020	Melanoma	3/72	1.981145e-01	9.946930e-01	0	0	2.004831e+00	3.245641e+00	FGF6;CDKN2A;MET
MSigDB_Hallmark_2020	Various types of N-glycan biosynthesis	2/39	2.015343e-01	9.946930e-01	0	0	2.490694e+00	3.989582e+00	CHST8;B4GALNT3
MSigDB_Hallmark_2020	Inositol phosphate metabolism	3/73	2.035922e-01	9.946930e-01	0	0	1.976089e+00	3.145215e+00	INPP1;PI4K2A;MTMR7
MSigDB_Hallmark_2020	Alcoholism	6/186	2.064096e-01	9.946930e-01	0	0	1.539206e+00	2.428702e+00	GRIN2A;GRIN3A;H2AC20;NPY;H4C3;GRIN2D
MSigDB_Hallmark_2020	Taurine and hypotaurine metabolism	1/11	2.109224e-01	9.946930e-01	0	0	4.603294e+00	7.163945e+00	GGT5
MSigDB_Hallmark_2020	Gastric cancer	5/149	2.125632e-01	9.946930e-01	0	0	1.602501e+00	2.481498e+00	FGF6;CCNE1;LEF1;MET;TGFBR2
MSigDB_Hallmark_2020	Bladder cancer	2/41	2.171908e-01	9.946930e-01	0	0	2.362724e+00	3.607830e+00	CDKN2A;TYMP
MSigDB_Hallmark_2020	Pancreatic cancer	3/76	2.202261e-01	9.946930e-01	0	0	1.894589e+00	2.866703e+00	CDKN2A;PLD1;TGFBR2
MSigDB_Hallmark_2020	Cushing syndrome	5/155	2.357800e-01	9.946930e-01	0	0	1.537926e+00	2.222081e+00	CCNE1;CDKN2A;LEF1;CACNA1H;CACNA1G
MSigDB_Hallmark_2020	Pathways in cancer	14/531	2.441532e-01	9.946930e-01	0	0	1.252549e+00	1.766044e+00	CDKN2A;FLT3;LEF1;RASGRP2;PLD1;RASGRP1;FOXO1;TGFBR2;AR;FGF6;COL4A1;CCNE1;HEY2;MET
MSigDB_Hallmark_2020	Glycosphingolipid biosynthesis	2/45	2.487716e-01	9.946930e-01	0	0	2.142497e+00	2.980684e+00	B3GNT2;ABO
MSigDB_Hallmark_2020	Peroxisome	3/82	2.542318e-01	9.946930e-01	0	0	1.750157e+00	2.396855e+00	ABCD2;DAO;ACSL5
MSigDB_Hallmark_2020	Nucleotide excision repair	2/47	2.646263e-01	9.946930e-01	0	0	2.047065e+00	2.721443e+00	RPA1;ERCC8
MSigDB_Hallmark_2020	Hippo signaling pathway	5/163	2.677482e-01	9.946930e-01	0	0	1.459455e+00	1.923135e+00	DCHS2;ID1;LEF1;YWHAH;TGFBR2
MSigDB_Hallmark_2020	Cell cycle	4/124	2.718671e-01	9.946930e-01	0	0	1.536651e+00	2.001399e+00	CCNE1;CDKN2A;CDC26;YWHAH
MSigDB_Hallmark_2020	Insulin secretion	3/86	2.772961e-01	9.946930e-01	0	0	1.665470e+00	2.136248e+00	RIMS2;CHRM3;CCK
MSigDB_Hallmark_2020	Taste transduction	3/86	2.772961e-01	9.946930e-01	0	0	1.665470e+00	2.136248e+00	CHRM3;PDE1C;SCN9A
MSigDB_Hallmark_2020	Ether lipid metabolism	2/49	2.804820e-01	9.946930e-01	0	0	1.959755e+00	2.491330e+00	ENPP2;PLD1
