Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Calcium signaling pathway,12/240,0.005554934621515,0.7050380296471657,0,0,2.459445715738622,12.772070381942278,CHRM3;FGF6;GRIN2A;HRH1;PDE1C;HTR2C;NGF;SLC25A5;MET;CACNA1H;GRIN2D;CACNA1G
MSigDB_Hallmark_2020,Neuroactive ligand-receptor interaction,15/341,0.0067146479014015,0.7050380296471657,0,0,2.1548519994626303,10.781724156875082,CHRM3;CALCRL;CHRNA5;NPY1R;HTR2C;GRIK1;CCK;GRIK2;GRIN2D;C3;GRIN2A;HRH1;GRIN3A;CNR1;NPY
MSigDB_Hallmark_2020,Nicotine addiction,4/40,0.0101276006097055,0.7089320426793858,0,0,5.144286466561348,23.625088520407207,GRIN2A;GRIN3A;SLC32A1;GRIN2D
MSigDB_Hallmark_2020,Sulfur metabolism,2/10,0.0181893525377409,0.954941008231399,0,0,11.536556603773583,46.22604648306584,SQOR;PAPSS2
MSigDB_Hallmark_2020,Glutamatergic synapse,6/114,0.0352408035550251,0.9946930041016548,0,0,2.5748677248677247,8.61435045707352,GRIN2A;GRIN3A;GRIK1;GRIK2;PLD1;GRIN2D
MSigDB_Hallmark_2020,Ferroptosis,3/41,0.0564033109495796,0.9946930041016548,0,0,3.646136618141097,10.48347197214343,ACSL5;SLC3A2;FTL
MSigDB_Hallmark_2020,Ras signaling pathway,9/232,0.0611658495842886,0.9946930041016548,0,0,1.8728586637416524,5.233078485240961,FGF6;GRIN2A;FLT3;RAPGEF5;PLD1;RASGRP2;NGF;RASGRP1;MET
MSigDB_Hallmark_2020,Rap1 signaling pathway,8/210,0.0810906534458904,0.9946930041016548,0,0,1.8354256478279407,4.610933501396979,FGF6;GRIN2A;CNR1;ID1;RAPGEF5;RASGRP2;NGF;MET
MSigDB_Hallmark_2020,Ribosome biogenesis in eukaryotes,5/108,0.0811106846204372,0.9946930041016548,0,0,2.245116804649125,5.639600009098004,FCF1;IMP4;SNORD3A;RIOK2;RPP25L
MSigDB_Hallmark_2020,Bacterial invasion of epithelial cells,4/77,0.0819605953409967,0.9946930041016548,0,0,2.5321041355580083,6.334100760571514,ARPC5L;ELMO1;MET;ACTR3B
MSigDB_Hallmark_2020,Cocaine addiction,3/49,0.0862907920775695,0.9946930041016548,0,0,3.0107924761023743,7.376539065705425,GRIN2A;GRIN3A;GRIN2D
MSigDB_Hallmark_2020,Cellular senescence,6/156,0.1168658186294754,0.9946930041016548,0,0,1.849904761904762,3.971243925167218,TRAF3IP2;CCNE1;CDKN2A;SLC25A5;FOXO1;TGFBR2
