Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,Ribosome biogenesis in eukaryotes,4/108,0.0292727777448086,0.964880678681184,0,0,3.58749544294568,12.667795407902192,FCF1;IMP4;RIOK2;RPP25L
GO_Biological_Process_2021,Ferroptosis,2/41,0.0717693916188048,0.964880678681184,0,0,4.75406283856988,12.523614397615647,SLC3A2;FTL
GO_Biological_Process_2021,Mineral absorption,2/60,0.1360868625630124,0.964880678681184,0,0,3.1936214991096,6.3695564087718095,FTL;MT1E
GO_Biological_Process_2021,Oocyte meiosis,3/129,0.1620195283542941,0.964880678681184,0,0,2.2078840970350404,4.018433851756746,AR;CCNE1;CDC26
GO_Biological_Process_2021,Inositol phosphate metabolism,2/73,0.185165077252076,0.964880678681184,0,0,2.60715466507968,4.396986006611402,INPP1;PI4K2A
GO_Biological_Process_2021,One carbon pool by folate,1/20,0.1944796035377345,0.964880678681184,0,0,4.861288735858338,7.960010231667535,DHFR2
GO_Biological_Process_2021,Protein export,1/23,0.220206058125105,0.964880678681184,0,0,4.197748513169074,6.35199755040022,SRPRB
GO_Biological_Process_2021,Peroxisome,2/82,0.220418558024572,0.964880678681184,0,0,2.312793427230047,3.497468674601846,ABCD2;DAO
GO_Biological_Process_2021,Thermogenesis,4/232,0.23990266539024,0.964880678681184,0,0,1.6260912945871788,2.321281095041667,COX18;NDUFS5;NDUFAF3;UQCRFS1
GO_Biological_Process_2021,Ribosome,3/158,0.2416155426186494,0.964880678681184,0,0,1.7921485088253195,2.545581152510838,RPL35A;MRPL10;RPS24
GO_Biological_Process_2021,Necroptosis,3/159,0.2444784891772326,0.964880678681184,0,0,1.7805696661828738,2.508160203626721,H2AC20;SLC25A5;FTL
GO_Biological_Process_2021,Folate biosynthesis,1/26,0.2451145687595446,0.964880678681184,0,0,3.6934579439252335,5.193111011399348,DHFR2
GO_Biological_Process_2021,Fc gamma R-mediated phagocytosis,2/97,0.2800724018890195,0.964880678681184,0,0,1.9461329379787495,2.476857268162905,MYO10;ACTR3B
GO_Biological_Process_2021,Phosphatidylinositol signaling system,2/97,0.2800724018890195,0.964880678681184,0,0,1.9461329379787495,2.476857268162905,INPP1;PI4K2A
GO_Biological_Process_2021,Prostate cancer,2/97,0.2800724018890195,0.964880678681184,0,0,1.9461329379787495,2.476857268162905,AR;CCNE1
GO_Biological_Process_2021,Pentose and glucuronate interconversions,1/34,0.307732727408798,0.964880678681184,0,0,2.796941376380629,3.2962615342495463,DCXR
GO_Biological_Process_2021,Neutrophil extracellular trap formation,3/189,0.3319849551363448,0.964880678681184,0,0,1.4910986001217286,1.64418317274276,H2AC20;SLC25A5;H4C3
GO_Biological_Process_2021,Various types of N-glycan biosynthesis,1/39,0.3442148442647278,0.964880678681184,0,0,2.4283079193310377,2.589764338464581,B4GALNT3
GO_Biological_Process_2021,"Glycine, serine and threonine metabolism",1/40,0.3512782965578295,0.964880678681184,0,0,2.365923795830338,2.4751738806817505,DAO
GO_Biological_Process_2021,Diabetic cardiomyopathy,3/203,0.3730195809031134,0.964880678681184,0,0,1.3857311320754715,1.3665032326750124,NDUFS5;UQCRFS1;SLC25A5
GO_Biological_Process_2021,ABC transporters,1/45,0.3854756372944551,0.964880678681184,0,0,2.0965378079864063,1.9985818708715468,ABCD2
GO_Biological_Process_2021,Cell cycle,2/124,0.3858075048226319,0.964880678681184,0,0,1.513353344108366,1.4413430373902665,CCNE1;CDC26
GO_Biological_Process_2021,Proteasome,1/46,0.3920966595170652,0.964880678681184,0,0,2.0498442367601246,1.919160289984461,POMP
GO_Biological_Process_2021,Rap1 signaling pathway,3/210,0.3933773214760927,0.964880678681184,0,0,1.338392124692371,1.2487011445368097,FGF6;ID1;NGF
GO_Biological_Process_2021,Carbohydrate digestion and absorption,1/47,0.3986466734241839,0.964880678681184,0,0,2.005180820804551,1.8441242655039944,SLC2A5
GO_Biological_Process_2021,Nucleotide excision repair,1/47,0.3986466734241839,0.964880678681184,0,0,2.005180820804551,1.8441242655039944,ERCC8
GO_Biological_Process_2021,Intestinal immune network for IgA production,1/48,0.4051264370854153,0.964880678681184,0,0,1.962417975740704,1.7731546743727635,MADCAM1
GO_Biological_Process_2021,Arginine and proline metabolism,1/50,0.4178782054644466,0.964880678681184,0,0,1.8821285523555216,1.6422799960427914,DAO
GO_Biological_Process_2021,Human T-cell leukemia virus 1 infection,3/219,0.4192955221715004,0.964880678681184,0,0,1.2820361635220126,1.1143193005150664,CCNE1;CDC26;SLC25A5
GO_Biological_Process_2021,Oxidative phosphorylation,2/133,0.4196682215824286,0.964880678681184,0,0,1.4087374117478408,1.2231937743739347,NDUFS5;UQCRFS1
GO_Biological_Process_2021,Systemic lupus erythematosus,2/135,0.4270657018664164,0.964880678681184,0,0,1.3874121924529634,1.1804344468678278,H2AC20;H4C3
GO_Biological_Process_2021,Ubiquitin mediated proteolysis,2/140,0.4453408340914331,0.964880678681184,0,0,1.3368034292712798,1.0813608415096747,CDC26;ERCC8
GO_Biological_Process_2021,Ras signaling pathway,3/232,0.4560588041068373,0.964880678681184,0,0,1.2084534893301475,0.948797343534677,FGF6;FLT3;NGF
GO_Biological_Process_2021,Breast cancer,2/147,0.4703726847942328,0.964880678681184,0,0,1.2718147968269389,0.9592408133203654,FGF6;HEY2
GO_Biological_Process_2021,Notch signaling pathway,1/59,0.4719762184098096,0.964880678681184,0,0,1.589349017080245,1.1933256448875735,HEY2
GO_Biological_Process_2021,Gastric cancer,2/149,0.4774006577515559,0.964880678681184,0,0,1.2543834435182524,0.9274900986995284,FGF6;CCNE1
GO_Biological_Process_2021,Calcium signaling pathway,3/240,0.4781986474708379,0.964880678681184,0,0,1.1671841413900168,0.8610656505309088,FGF6;NGF;SLC25A5
GO_Biological_Process_2021,Spliceosome,2/150,0.4808934147311902,0.964880678681184,0,0,1.2458444359852812,0.912094702123321,SNRNP27;RP9
GO_Biological_Process_2021,Lysine degradation,1/63,0.4943843796733678,0.964880678681184,0,0,1.4865088935785349,1.0471592502183498,PRDM6
GO_Biological_Process_2021,Non-alcoholic fatty liver disease,2/155,0.4981409693367851,0.964880678681184,0,0,1.2048237135229678,0.8396081169838383,NDUFS5;UQCRFS1
GO_Biological_Process_2021,Cellular senescence,2/156,0.5015466036106173,0.964880678681184,0,0,1.196939211023718,0.8259583727469415,CCNE1;SLC25A5
GO_Biological_Process_2021,Parkinson disease,3/249,0.502597291960542,0.964880678681184,0,0,1.123964565117349,0.7732494531537674,NDUFS5;UQCRFS1;SLC25A5
GO_Biological_Process_2021,Acute myeloid leukemia,1/67,0.5158458208903408,0.964880678681184,0,0,1.3961342395921834,0.9241673669461692,FLT3
GO_Biological_Process_2021,Hippo signaling pathway,2/163,0.5249670751993176,0.964880678681184,0,0,1.1444901291808824,0.7375320226245898,DCHS2;ID1
