Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,ribosome biogenesis (GO:0042254),29/192,9.689456451700728e-07,0.0016089302079081,0,0,3.064149090478099,42.42944809399357,POP5;RPL31;RPL34;PAK1IP1;RPL12;FCF1;NOL8;NOC2L;RPF1;EXOSC8;RPL13;RIOK2;RPL37;RIOK1;RPL15;RPL18;RPL39;MDN1;NOP56;RPL23;RPL35A;IMP4;DDX52;RRP1B;RPS28;ZNF658;PIH1D2;RBIS;RPS24
MSigDB_Hallmark_2020,rRNA processing (GO:0006364),27/173,1.1874023674599032e-06,0.0016089302079081,0,0,3.18204460545681,43.41499728812361,POP5;RPL31;RPL34;RPL12;FCF1;NOL8;THUMPD1;RPF1;EXOSC8;RPL13;RIOK2;RPL37;RIOK1;RPL15;RPL18;RPL39;MDN1;NOP56;RPL23;RPL35A;IMP4;DDX52;RRP1B;RPS28;NSA2;PIH1D2;RPS24
MSigDB_Hallmark_2020,rRNA metabolic process (GO:0016072),24/162,1.1411537627390706e-05,0.0103084223234096,0,0,2.9855072463768115,33.97771655373747,NOP56;POP5;NIFK;RPL31;RPL34;RPL23;RPL12;FCF1;NOL8;RPL35A;IMP4;DDX52;RRP1B;RPF1;RPS28;EXOSC8;PIH1D2;RPL13;RPL37;RPL15;RPL18;RPL39;MDN1;RPS24
MSigDB_Hallmark_2020,ncRNA processing (GO:0034470),26/201,5.640952984458445e-05,0.0382174564697059,0,0,2.5501127129750985,24.94742739104689,POP5;RPL31;KARS1;RPL34;RPL12;FCF1;NOL8;RPF1;EXOSC8;RPL13;RPL37;RPL15;RPL18;RPL39;MDN1;NOP56;RPL23;METTL3;TRPT1;RPL35A;IMP4;RRP1B;DDX52;RPS28;PIH1D2;RPS24
MSigDB_Hallmark_2020,translation (GO:0006412),26/214,0.00016015144018895585,0.086802080582414,0,0,2.372125707593207,20.730933322550307,MRPS16;RPL31;FASTKD2;KARS1;RPL34;MRPL18;RPL12;MRPL10;RPL13;RPL37;RPL15;RPL18;RPL39;VARS1;EEFSEC;RPL23;TMA7;GATC;MRPS21;RPL35A;MRPL47;MRPS7;AIMP1;MRPL52;RPS28;RPS24
MSigDB_Hallmark_2020,protein targeting to ER (GO:0045047),15/103,0.0005807074139495321,0.2622861819672053,0,0,2.9099578895219222,21.6828630622893,RPL31;RPL34;RPL23;RPL12;RPL35A;RPS28;SPCS1;SRPRA;SRPRB;RPL13;RPL37;RPL15;RPL18;RPL39;RPS24
MSigDB_Hallmark_2020,mitochondrial translation (GO:0032543),15/105,0.0007136315394349531,0.2762773531241033,0,0,2.8449894035725096,20.612357281563103,MRPS16;FASTKD2;MRPL18;MRPS22;GATC;MRPS10;MRPS21;MRPL47;MTIF2;MRPL15;MTIF3;MRPS7;MRPL10;MRPL52;MRPS9
MSigDB_Hallmark_2020,cholesterol catabolic process (GO:0006707),4/9,0.0009688489208161628,0.2917311750457557,0,0,13.582014388489208,94.25105605535008,APOE;CEL;CYP46A1;SCARF1
MSigDB_Hallmark_2020,sterol catabolic process (GO:0016127),4/9,0.0009688489208161628,0.2917311750457557,0,0,13.582014388489208,94.25105605535008,APOE;CEL;CYP46A1;SCARF1
MSigDB_Hallmark_2020,mitochondrial respiratory chain complex assembly (GO:0033108),13/90,0.0014239535784536,0.3858914197609513,0,0,2.878701534186575,18.86792547192284,NDUFA12;DMAC2;COX18;NDUFB4;NDUFB1;NDUFS5;NDUFAF4;LYRM7;TMEM126A;UQCRFS1;NDUFAF3;NDUFV3;COX20
MSigDB_Hallmark_2020,intracellular sequestering of iron ion (GO:0006880),3/5,0.001591504555243,0.3920888495189645,0,0,25.447439353099732,163.95977173622245,FTH1;SRI;FTL
MSigDB_Hallmark_2020,peptide biosynthetic process (GO:0043043),19/162,0.0017655465594229,0.3987192646696839,0,0,2.26988417234543,14.389465318814826,MRPS16;RPL31;RPL34;RPL23;MRPL18;RPL12;MRPS21;RPL35A;MRPS7;MRPL10;MRPL52;RPS28;RPL13;RPL37;RPL15;RPL18;RPL39;RHCE;RPS24
MSigDB_Hallmark_2020,cytoplasmic translation (GO:0002181),13/93,0.0019283832683698,0.4019937428678768,0,0,2.7703082502266545,17.317399968733056,RPL31;RPL34;RPL23;RPL12;TMA7;RPL35A;RPS28;RPL13;RPL37;RPL15;RPL18;RPL39;RPS24
