Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	Neuroactive ligand-receptor interaction	14/341	1.767550e-05	3.075537e-03	0	0	4.208044e+00	4.605002e+01	CHRM3;CHRNA5;NPY1R;HTR2C;CCK;GRIK1;GRIK2;GRIN2D;C3;GRIN2A;HRH1;GRIN3A;CNR1;NPY
GO_Biological_Process_2021	Nicotine addiction	4/40	8.316812e-04	5.929994e-02	0	0	1.055128e+01	7.483034e+01	GRIN2A;GRIN3A;SLC32A1;GRIN2D
GO_Biological_Process_2021	Calcium signaling pathway	9/240	1.084706e-03	5.929994e-02	0	0	3.753503e+00	2.562309e+01	CHRM3;GRIN2A;HRH1;PDE1C;HTR2C;MET;CACNA1H;GRIN2D;CACNA1G
GO_Biological_Process_2021	Glutamatergic synapse	6/114	1.363217e-03	5.929994e-02	0	0	5.307443e+00	3.501802e+01	GRIN2A;GRIN3A;GRIK1;GRIK2;PLD1;GRIN2D
GO_Biological_Process_2021	Sulfur metabolism	2/10	4.758284e-03	1.655883e-01	0	0	2.354762e+01	1.259296e+02	SQOR;PAPSS2
GO_Biological_Process_2021	Cocaine addiction	3/49	1.512725e-02	4.386901e-01	0	0	6.160391e+00	2.581979e+01	GRIN2A;GRIN3A;GRIN2D
GO_Biological_Process_2021	Circadian entrainment	4/97	1.978344e-02	4.917598e-01	0	0	4.072581e+00	1.597637e+01	GRIN2A;CACNA1H;CACNA1G;GRIN2D
GO_Biological_Process_2021	cAMP signaling pathway	6/216	2.788744e-02	6.065518e-01	0	0	2.715395e+00	9.719972e+00	GRIN2A;GRIN3A;NPY;NPY1R;PLD1;GRIN2D
GO_Biological_Process_2021	Amphetamine addiction	3/69	3.692040e-02	6.274771e-01	0	0	4.289256e+00	1.415022e+01	GRIN2A;GRIN3A;GRIN2D
GO_Biological_Process_2021	Ras signaling pathway	6/232	3.754679e-02	6.274771e-01	0	0	2.521093e+00	8.274649e+00	GRIN2A;RAPGEF5;RASGRP2;PLD1;RASGRP1;MET
GO_Biological_Process_2021	Adherens junction	3/71	3.966809e-02	6.274771e-01	0	0	4.162679e+00	1.343383e+01	LEF1;MET;TGFBR2
GO_Biological_Process_2021	Pancreatic cancer	3/76	4.697656e-02	6.493213e-01	0	0	3.876581e+00	1.185500e+01	CDKN2A;PLD1;TGFBR2
GO_Biological_Process_2021	Bacterial invasion of epithelial cells	3/77	4.851251e-02	6.493213e-01	0	0	3.824001e+00	1.157117e+01	ARPC5L;ELMO1;MET
GO_Biological_Process_2021	Taste transduction	3/86	6.341525e-02	6.898961e-01	0	0	3.407794e+00	9.398869e+00	CHRM3;PDE1C;SCN9A
GO_Biological_Process_2021	Insulin secretion	3/86	6.341525e-02	6.898961e-01	0	0	3.407794e+00	9.398869e+00	RIMS2;CHRM3;CCK
GO_Biological_Process_2021	Viral carcinogenesis	5/203	6.538433e-02	6.898961e-01	0	0	2.389840e+00	6.518225e+00	C3;SP100;CDKN2A;HPN;YWHAH
GO_Biological_Process_2021	Bladder cancer	2/41	7.004110e-02	6.898961e-01	0	0	4.822711e+00	1.282201e+01	CDKN2A;TYMP
GO_Biological_Process_2021	Rap1 signaling pathway	5/210	7.325751e-02	6.898961e-01	0	0	2.307411e+00	6.031053e+00	GRIN2A;CNR1;RAPGEF5;RASGRP2;MET
GO_Biological_Process_2021	Glycosphingolipid biosynthesis	2/45	8.230040e-02	6.898961e-01	0	0	4.373200e+00	1.092154e+01	B3GNT2;ABO
GO_Biological_Process_2021	Cushing syndrome	4/155	8.305570e-02	6.898961e-01	0	0	2.500891e+00	6.222828e+00	CDKN2A;LEF1;CACNA1H;CACNA1G
GO_Biological_Process_2021	Cellular senescence	4/156	8.457096e-02	6.898961e-01	0	0	2.484312e+00	6.136658e+00	TRAF3IP2;CDKN2A;FOXO1;TGFBR2
GO_Biological_Process_2021	AGE-RAGE signaling pathway in diabetic complications	3/100	9.021928e-02	6.898961e-01	0	0	2.913876e+00	7.009363e+00	COL4A1;FOXO1;TGFBR2
GO_Biological_Process_2021	MAPK signaling pathway	6/294	9.349377e-02	6.898961e-01	0	0	1.972087e+00	4.673572e+00	RASGRP2;RASGRP1;MET;CACNA1H;CACNA1G;TGFBR2
GO_Biological_Process_2021	Ether lipid metabolism	2/49	9.515809e-02	6.898961e-01	0	0	4.000203e+00	9.409339e+00	ENPP2;PLD1
GO_Biological_Process_2021	Hepatocellular carcinoma	4/168	1.037864e-01	7.172104e-01	0	0	2.301126e+00	5.213016e+00	CDKN2A;LEF1;MET;TGFBR2
GO_Biological_Process_2021	Taurine and hypotaurine metabolism	1/11	1.106385e-01	7.172104e-01	0	0	9.373460e+00	2.063555e+01	GGT5
GO_Biological_Process_2021	Pathways in cancer	9/531	1.128576e-01	7.172104e-01	0	0	1.636317e+00	3.569837e+00	CDKN2A;COL4A1;LEF1;RASGRP2;PLD1;RASGRP1;MET;FOXO1;TGFBR2
GO_Biological_Process_2021	Regulation of lipolysis in adipocytes	2/55	1.154132e-01	7.172104e-01	0	0	3.546271e+00	7.657240e+00	NPY;NPY1R
GO_Biological_Process_2021	Glutathione metabolism	2/57	1.223905e-01	7.343427e-01	0	0	3.416970e+00	7.177478e+00	GGT5;PGD
GO_Biological_Process_2021	Alcoholism	4/186	1.359431e-01	7.529958e-01	0	0	2.071640e+00	4.133997e+00	GRIN2A;GRIN3A;NPY;GRIN2D
GO_Biological_Process_2021	Transcriptional misregulation in cancer	4/192	1.474675e-01	7.529958e-01	0	0	2.004910e+00	3.837693e+00	NR4A3;MET;FOXO1;TGFBR2
GO_Biological_Process_2021	GnRH secretion	2/64	1.475515e-01	7.529958e-01	0	0	3.030108e+00	5.798347e+00	CACNA1H;CACNA1G
GO_Biological_Process_2021	Cortisol synthesis and secretion	2/65	1.512283e-01	7.529958e-01	0	0	2.981859e+00	5.632626e+00	CACNA1H;CACNA1G
