Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	36/93	1.290795e-12	4.596203e-09	0	0	5.364054e+00	1.468451e+02	RPL5;RPL3;RPL10;RPLP1;RPL12;RPL10A;RPL8;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS18;RPL35;RPL38;RPS11;RPS27A;RPS13;RPL19;RPS9;RPL21;RPS7;RPS8;RPL23;RPL13A;RPS3A;RPS27;RPL27A;RPL37A;DRG1;RPL24;RPL27;RPS21;RPL26L1
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	35/90	2.254698e-12	4.596203e-09	0	0	5.402721e+00	1.448902e+02	RPL5;RPL3;RPL10;RPLP1;RPL12;RPL10A;RPL8;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPL38;RPS11;RPS27A;RPS13;RPL19;RPS9;RPL21;RPS7;RPS8;RPL23;RPL13A;RPS3A;RPS27;RPL27A;RPL37A;RPL24;RPL27;RPS21
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	35/94	9.831519e-12	1.336103e-08	0	0	5.035304e+00	1.276219e+02	RPL5;RPL3;RPL10;RPLP1;RPL12;RPL10A;RPL8;RPL9;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPL38;RPS11;RPS27A;RPS13;RPL19;RPS9;RPL21;RPS7;RPS8;RPL23;RPL13A;RPS3A;RPS27;RPL27A;RPL37A;RPL24;RPL27;RPS21
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	35/103	1.905587e-10	1.942269e-07	0	0	4.366659e+00	9.773045e+01	RPL5;RPL3;RPL10;RPLP1;RPL12;RPL10A;RPL8;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPL38;RPS11;RPS27A;RPS13;RPL19;RPS9;RPL21;RPS7;RPS8;RPL23;RPL13A;RPS3A;RPS27;RPL27A;RPL37A;RPL24;RPL27;RPS21
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	36/113	8.113319e-10	6.615600e-07	0	0	3.966334e+00	8.302467e+01	RPL5;RPL3;RPL10;RPLP1;RPL12;RPL10A;RPL8;RPL9;RPS15;HELZ2;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPL38;RPS11;RPS27A;RPS13;RPL19;RPS9;RPL21;RPS7;RPS8;RPL23;RPL13A;RPS3A;RPS27;RPL27A;RPL37A;RPL24;RPL27;RPS21
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	40/162	2.850193e-07	1.936706e-04	0	0	2.779758e+00	4.189292e+01	RPL5;RPL3;RPL10;RPLP1;RPL12;RPL10A;RPL8;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;CARNS1;RPL35;RPLP2;RPL38;RPS11;RPS27A;RPS13;RPL19;GGT5;RPS9;RPL21;RPS7;RPS8;RPL23;RPL13A;RPS3A;MRPL23;WARS1;COPS5;RPS27;RPL27A;RPL37A;RPL24;RPL27;RPS21
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	39/171	3.343401e-06	1.947292e-03	0	0	2.502334e+00	3.155073e+01	RPL5;RPL3;RPL10;RPLP1;RPL12;RPL10A;RPL8;RPL9;RPS15;HELZ2;RPS4X;RPS14;RPL7A;ZFP36;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPL38;RPS11;RPS27A;RPS13;RPL19;RPS9;RPL21;RPS7;RPS8;RPL23;RPL13A;RPS3A;PATL2;RPS27;RPL27A;MRTO4;RPL37A;RPL24;RPL27;RPS21
GO_Biological_Process_2021	translation (GO:0006412)	42/214	6.881449e-05	3.506959e-02	0	0	2.066414e+00	1.980471e+01	RPL5;RPL3;RPL10;RPLP1;RPL12;RPL8;RPL10A;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPL38;RPS11;RPS27A;RPS13;RPL19;RPS9;RPL21;RPS7;RPS8;RPL23;RPL13A;RPS3A;GTPBP2;MRPL23;WARS1;GARS1;RPS27;COPS5;RPL27A;RPL37A;DRG1;RPL24;RPL27;RPS21;RPL26L1
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	68/417	2.467873e-04	1.117946e-01	0	0	1.652905e+00	1.373066e+01	RPL5;CHRM3;APP;RPL3;RPLP1;SERPINA10;RPL8;RPL10A;RPL9;PHEX;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPL38;TIMP1;RPS11;RPS13;CHGB;RPS9;USP6;RPL21;RPS7;RPS8;RPL23;SFTPD;SHISA5;RPL13A;RPS3A;F5;RPL37A;RPL24;FAM20C;RPL27;B4GALT7;PIGH;RPL10;ATP23;RPL12;DENND3;LTBP1;C3;APH1A;TMEM208;ST3GAL6;IGFBP7;RPS27A;RPL19;SEC11C;SERPIND1;FN1;DAB2IP;LAMB1;MRPL23;CP;WARS1;COPS5;RPS27;UBE2S;RPL27A;NOTUM;RPS21;BAP1
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	54/314	2.767581e-04	1.128343e-01	0	0	1.758941e+00	1.440989e+01	RPL5;RPL3;RPLP1;SCX;BRCA1;RPL8;RPL10A;RPL9;RPS15;RPS4X;RPS14;RPL7A;HELB;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPL38;RPS11;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL13A;RPS3A;GTPBP2;RPL37A;RPL24;RPL27;PIF1;BLM;SET;RPL10;RPL12;GCNT1;TYMS;RECQL4;RPS27A;POLR2I;RPL19;RPA1;DONSON;MRPL23;WARS1;RPS27;COPS5;RPL27A;RPA3;POLE3;DRG1;RPS21
GO_Biological_Process_2021	cellular response to type I interferon (GO:0071357)	17/65	3.508298e-04	1.191944e-01	0	0	2.982465e+00	2.372613e+01	IFITM3;SP100;STAT1;STAT2;MX1;HLA-B;IFI6;HLA-C;ISG15;IFI35;HLA-A;IFIT1;IFIT3;IFIT2;BST2;IRF1;GBP2
GO_Biological_Process_2021	type I interferon signaling pathway (GO:0060337)	17/65	3.508298e-04	1.191944e-01	0	0	2.982465e+00	2.372613e+01	IFITM3;SP100;STAT1;STAT2;MX1;HLA-B;IFI6;HLA-C;ISG15;IFI35;HLA-A;IFIT1;IFIT3;IFIT2;BST2;IRF1;GBP2
