Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	fatty acid oxidation (GO:0019395)	17/59	2.808373e-04	7.688015e-01	0	0	3.089332e+00	2.526374e+01	ABCD2;PHYH;ABCD3;PEX2;ADIPOR1;MCAT;PEX13;ADH5;CPT2;SCP2;ACOX1;CYP4V2;EHHADH;ECHDC1;ACADM;ABCD1;PPARGC1A
GO_Biological_Process_2021	negative regulation of double-strand break repair via nonhomologous end joining (GO:2001033)	5/7	3.640159e-04	7.688015e-01	0	0	1.902562e+01	1.506509e+02	HSF1;TFIP11;ERCC6;CYREN;NUDT16L1
GO_Biological_Process_2021	macromolecule depalmitoylation (GO:0098734)	5/8	8.773479e-04	9.264794e-01	0	0	1.268303e+01	8.927088e+01	LYPLA2;ABHD17B;ABHD17A;ABHD17C;LYPLAL1
GO_Biological_Process_2021	protein depalmitoylation (GO:0002084)	5/8	8.773479e-04	9.264794e-01	0	0	1.268303e+01	8.927088e+01	LYPLA2;ABHD17B;ABHD17A;ABHD17C;LYPLAL1
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	17/70	2.301756e-03	9.999940e-01	0	0	2.446623e+00	1.486099e+01	ABCD2;PHYH;ABCD3;ABHD1;PEX2;CEL;AIG1;MCAT;PEX13;CPT2;SCP2;ACOX1;EHHADH;ECHDC1;ACADM;ABCD1;LPIN3
GO_Biological_Process_2021	response to UV (GO:0009411)	21/99	4.439603e-03	9.999940e-01	0	0	2.054256e+00	1.112830e+01	RHBDD1;EIF2AK4;PTPRK;EIF2S1;CDC25A;EGFR;PRIMPOL;YY1;MAPK8;MSH2;ERCC3;CAT;ERCC2;AKT1;EP300;ERCC8;POLK;ERCC6;MAP3K4;MEN1;ATR
GO_Biological_Process_2021	very long-chain fatty acid catabolic process (GO:0042760)	4/7	4.782063e-03	9.999940e-01	0	0	1.014206e+01	5.418783e+01	ABCD2;ABCD3;ACOX1;ABCD1
GO_Biological_Process_2021	ER-associated misfolded protein catabolic process (GO:0071712)	5/11	5.355024e-03	9.999940e-01	0	0	6.340439e+00	3.315872e+01	POMT2;VCP;DERL1;AUP1;UGGT1
GO_Biological_Process_2021	lipoprotein catabolic process (GO:0042159)	5/11	5.355024e-03	9.999940e-01	0	0	6.340439e+00	3.315872e+01	LYPLA2;ABHD17B;ABHD17A;ABHD17C;LYPLAL1
GO_Biological_Process_2021	tRNA processing (GO:0008033)	15/64	5.792596e-03	9.999940e-01	0	0	2.333522e+00	1.202038e+01	TSEN15;KARS1;RPP40;ZBTB8OS;NSUN6;TRMT1;THUMPD1;TSEN2;FTSJ1;TRIT1;ADAT2;DTWD2;DTWD1;LCMT2;RTRAF
GO_Biological_Process_2021	intracellular lipid transport (GO:0032365)	7/21	7.583440e-03	9.999940e-01	0	0	3.805819e+00	1.857920e+01	ABCD2;ARV1;ABCD3;CPT2;MID1IP1;ACACB;ABCD1
GO_Biological_Process_2021	positive regulation of fatty acid oxidation (GO:0046321)	5/12	8.308635e-03	9.999940e-01	0	0	5.434355e+00	2.603306e+01	ABCD2;AKT2;ABCD1;PPARGC1A;PLIN5
GO_Biological_Process_2021	regulation of glycogen metabolic process (GO:0070873)	5/12	8.308635e-03	9.999940e-01	0	0	5.434355e+00	2.603306e+01	PPP1R3G;PPP1R3F;PPP1R3D;RUBCNL;AKT1
GO_Biological_Process_2021	mitochondrial DNA replication (GO:0006264)	4/8	8.686792e-03	9.999940e-01	0	0	7.606113e+00	3.609824e+01	MGME1;POLG2;DNA2;PRIMPOL
GO_Biological_Process_2021	protein localization to microtubule (GO:0035372)	4/8	8.686792e-03	9.999940e-01	0	0	7.606113e+00	3.609824e+01	CHAMP1;CRIPT;HNRNPU;MID1
GO_Biological_Process_2021	ribosome disassembly (GO:0032790)	4/8	8.686792e-03	9.999940e-01	0	0	7.606113e+00	3.609824e+01	GFM2;DENR;MTIF2;MRRF
GO_Biological_Process_2021	retrograde protein transport, ER to cytosol (GO:0030970)	6/17	9.780229e-03	9.999940e-01	0	0	4.150719e+00	1.920700e+01	VCP;RHBDD1;TMEM129;DERL1;DERL2;AUP1
GO_Biological_Process_2021	stem cell development (GO:0048864)	6/17	9.780229e-03	9.999940e-01	0	0	4.150719e+00	1.920700e+01	CDH2;PEF1;WNT7A;KLHL12;SOX8;TAPT1
GO_Biological_Process_2021	protein import into peroxisome membrane (GO:0045046)	7/22	1.002457e-02	9.999940e-01	0	0	3.551897e+00	1.634837e+01	ABCD2;ABCD3;PEX2;GDAP1;PEX13;ABCD1;RAB8B
GO_Biological_Process_2021	very long-chain fatty acid metabolic process (GO:0000038)	9/33	1.100259e-02	9.999940e-01	0	0	2.855209e+00	1.287592e+01	ABCD2;ABCD3;ELOVL4;ACOX1;ELOVL2;ELOVL6;PEX2;HACD2;ABCD1
GO_Biological_Process_2021	DNA-templated transcription, initiation (GO:0006352)	30/168	1.107654e-02	9.999940e-01	0	0	1.659537e+00	7.472772e+00	NOTCH2;GTF2A2;RRN3;RORB;NR2E1;NR3C1;TFB1M;NR3C2;UBTF;NRBF2;PPARGC1A;ESRRA;BRF2;NR2F1;ESRRG;NR1D2;NR1D1;TFB2M;GTF2F2;GTF2H5;AR;KAT2B;ERCC3;ERCC2;TAF8;RARB;POLR1F;MAML3;TAF4;TAF2
GO_Biological_Process_2021	protein acylation (GO:0043543)	10/39	1.185691e-02	9.999940e-01	0	0	2.625869e+00	1.164532e+01	KAT2B;ZDHHC18;KAT2A;ZDHHC20;ZDHHC5;EP300;ZDHHC13;ZDHHC21;ZDHHC16;ZDHHC14
GO_Biological_Process_2021	cristae formation (GO:0042407)	8/28	1.212310e-02	9.999940e-01	0	0	3.044933e+00	1.343620e+01	DMAC2L;LETM1;CHCHD3;SAMM50;APOOL;ATP5PB;ATP5MC2;DNAJC11
GO_Biological_Process_2021	fatty acid elongation (GO:0030497)	5/13	1.222438e-02	9.999940e-01	0	0	4.754791e+00	2.094164e+01	ELOVL4;ELOVL2;ELOVL6;HACD2;ABCD1
GO_Biological_Process_2021	positive regulation of heterochromatin assembly (GO:0031453)	5/13	1.222438e-02	9.999940e-01	0	0	4.754791e+00	2.094164e+01	TRIM28;TASOR;SIRT6;ZNF304;PPHLN1
GO_Biological_Process_2021	protein deacylation (GO:0035601)	7/23	1.299133e-02	9.999940e-01	0	0	3.329714e+00	1.446252e+01	LYPLA2;ABHD17B;ABHD17A;SIRT5;SIRT6;ABHD17C;LYPLAL1
GO_Biological_Process_2021	camera-type eye photoreceptor cell differentiation (GO:0060219)	3/5	1.311742e-02	9.999940e-01	0	0	1.140555e+01	4.942954e+01	DSCAM;SOX8;SOX9
GO_Biological_Process_2021	constitutive secretory pathway (GO:0045054)	3/5	1.311742e-02	9.999940e-01	0	0	1.140555e+01	4.942954e+01	TMEM167B;TMEM167A;TRAPPC11
GO_Biological_Process_2021	mitochondrial DNA repair (GO:0043504)	3/5	1.311742e-02	9.999940e-01	0	0	1.140555e+01	4.942954e+01	MGME1;DNA2;PRIMPOL
GO_Biological_Process_2021	negative regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043371)	3/5	1.311742e-02	9.999940e-01	0	0	1.140555e+01	4.942954e+01	RC3H1;HMGB1;RUNX1
GO_Biological_Process_2021	regulation of homophilic cell adhesion (GO:1903385)	3/5	1.311742e-02	9.999940e-01	0	0	1.140555e+01	4.942954e+01	TENM3;PTPN23;PTPRG
GO_Biological_Process_2021	vesicle fusion with Golgi apparatus (GO:0048280)	3/5	1.311742e-02	9.999940e-01	0	0	1.140555e+01	4.942954e+01	VTI1A;SEC22B;BET1
GO_Biological_Process_2021	mitochondrial fission (GO:0000266)	6/18	1.325085e-02	9.999940e-01	0	0	3.804610e+00	1.644997e+01	DNM3;OPA1;MTFR1;MFF;GDAP1;SLC25A46
GO_Biological_Process_2021	mitochondrial fusion (GO:0008053)	6/18	1.325085e-02	9.999940e-01	0	0	3.804610e+00	1.644997e+01	CHCHD3;MIGA1;OPA1;PLD6;MFF;GDAP1
GO_Biological_Process_2021	regulation of cartilage development (GO:0061035)	6/18	1.325085e-02	9.999940e-01	0	0	3.804610e+00	1.644997e+01	BMP2;KAT2A;TRPS1;SOX9;TAPT1;SOX5
GO_Biological_Process_2021	regulation of mRNA polyadenylation (GO:1900363)	6/18	1.325085e-02	9.999940e-01	0	0	3.804610e+00	1.644997e+01	NUDT21;CPSF7;CPSF6;HSF1;CPEB3;ZC3H14
GO_Biological_Process_2021	DNA topological change (GO:0006265)	4/9	1.420842e-02	9.999940e-01	0	0	6.084546e+00	2.588317e+01	TOP3B;ERCC3;TOP1MT;HMGB1
GO_Biological_Process_2021	positive regulation of fatty acid beta-oxidation (GO:0032000)	4/9	1.420842e-02	9.999940e-01	0	0	6.084546e+00	2.588317e+01	ABCD2;AKT2;ABCD1;PLIN5
GO_Biological_Process_2021	regulation of glucan biosynthetic process (GO:0010962)	4/9	1.420842e-02	9.999940e-01	0	0	6.084546e+00	2.588317e+01	PPP1R3G;PPP1R3F;PPP1R3D;AKT1
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	12/52	1.452623e-02	9.999940e-01	0	0	2.285054e+00	9.669890e+00	ABCD2;ABCD3;CPT2;SCP2;ACOX1;EHHADH;ETFDH;ECHDC1;PEX2;ACADM;ABCD1;MCAT
GO_Biological_Process_2021	regulation of fatty acid beta-oxidation (GO:0031998)	5/14	1.722336e-02	9.999940e-01	0	0	4.226242e+00	1.716483e+01	ABCD2;AKT2;AKT1;ABCD1;PLIN5
GO_Biological_Process_2021	fatty acid transmembrane transport (GO:1902001)	6/19	1.749816e-02	9.999940e-01	0	0	3.511749e+00	1.420734e+01	ABCD2;ABCD3;CPT2;MID1IP1;ACACB;ABCD1
GO_Biological_Process_2021	maintenance of protein localization in organelle (GO:0072595)	6/19	1.749816e-02	9.999940e-01	0	0	3.511749e+00	1.420734e+01	MORC3;ARL2BP;TAF8;HNRNPU;AKT1;TAPT1
GO_Biological_Process_2021	transcription by RNA polymerase II (GO:0006366)	50/320	1.840781e-02	9.999940e-01	0	0	1.415361e+00	5.654341e+00	INTS13;ZC3H8;RORB;NR2E1;NR3C1;NR3C2;SNAPC5;SNAPC3;TRIM24;PAPOLA;ELOA;ELOC;SOX5;PCID2;GTF2F2;WDR33;AR;KAT2B;RARB;MAML3;SNRPF;NOTCH2;GTF2A2;CSTF3;DDX21;IWS1;NRBF2;PPARGC1A;ESRRA;CPSF7;POU2F1;EAF2;NR2F1;ELP2;NR1D2;ESRRG;NR1D1;ELP4;GTF2H5;NFKB1;NUDT21;ERCC3;COPS2;ERCC2;TAF8;INTS7;ERCC6;TAF4;INTS8;TAF2
GO_Biological_Process_2021	positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	16/79	1.847234e-02	9.999940e-01	0	0	1.935258e+00	7.724545e+00	PSMD10;ZYG11B;CEBPA;VCP;RNF14;PLK1;KEAP1;SIRT6;CSNK1E;RCHY1;CBFA2T3;COP1;BAG2;TRIB3;TRIB2;HSPA1A
GO_Biological_Process_2021	protein targeting to membrane (GO:0006612)	17/87	2.163209e-02	9.999940e-01	0	0	1.850656e+00	7.094631e+00	ABCD2;TRAM1;ABCD3;ZDHHC20;PEX2;VPS37A;ZDHHC21;VPS37B;ZDHHC11;GDAP1;PEX13;ZDHHC14;ZDHHC18;TAOK2;SSR1;ABCD1;RAB8B
GO_Biological_Process_2021	protein palmitoylation (GO:0018345)	8/31	2.247239e-02	9.999940e-01	0	0	2.647318e+00	1.004781e+01	ZDHHC18;ZDHHC20;ZDHHC5;ZDHHC13;ZDHHC21;ZDHHC11;ZDHHC16;ZDHHC14
GO_Biological_Process_2021	inner mitochondrial membrane organization (GO:0007007)	11/49	2.295175e-02	9.999940e-01	0	0	2.204175e+00	8.319351e+00	DMAC2L;LETM1;CHCHD3;SAMM50;OPA1;APOOL;ATP5PB;TMEM11;ATP5MC2;DNAJC11;MAIP1
GO_Biological_Process_2021	endoplasmic reticulum to cytosol transport (GO:1903513)	5/15	2.340883e-02	9.999940e-01	0	0	3.803402e+00	1.428041e+01	VCP;TMEM129;DERL1;DERL2;AUP1
GO_Biological_Process_2021	mitotic recombination (GO:0006312)	5/15	2.340883e-02	9.999940e-01	0	0	3.803402e+00	1.428041e+01	RAD52;MSH3;TPRKB;SMC6;RAD54B
GO_Biological_Process_2021	double-strand break repair via classical nonhomologous end joining (GO:0097680)	3/6	2.397741e-02	9.999940e-01	0	0	7.603270e+00	2.836509e+01	ERCC8;LIG4;ERCC6
GO_Biological_Process_2021	mitochondrial ribosome assembly (GO:0061668)	3/6	2.397741e-02	9.999940e-01	0	0	7.603270e+00	2.836509e+01	MTERF3;FASTKD2;MRPS2
GO_Biological_Process_2021	negative regulation of lens fiber cell differentiation (GO:1902747)	3/6	2.397741e-02	9.999940e-01	0	0	7.603270e+00	2.836509e+01	SPRED2;SPRED1;SPRY1
GO_Biological_Process_2021	negative regulation of vitamin metabolic process (GO:0046137)	3/6	2.397741e-02	9.999940e-01	0	0	7.603270e+00	2.836509e+01	PRMT3;AKR1C3;NFKB1
GO_Biological_Process_2021	protein localization to nuclear envelope (GO:0090435)	3/6	2.397741e-02	9.999940e-01	0	0	7.603270e+00	2.836509e+01	INTS13;PLK1;NUP54
GO_Biological_Process_2021	regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	19/102	2.531140e-02	9.999940e-01	0	0	1.744639e+00	6.414165e+00	PSMD10;ZYG11B;CEBPA;VCP;RNF14;PLK1;KEAP1;CSNK1E;COMMD1;RCHY1;FHIT;CBFA2T3;COP1;XPO1;BAG2;EIF3H;TRIB3;TRIB2;HSPA1A
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	12/56	2.547336e-02	9.999940e-01	0	0	2.076851e+00	7.622295e+00	CNOT4;EXOSC6;DIS3;PDE12;CNOT1;PNLDC1;CNOT2;RC3H1;CNOT9;EXOSC1;EDC3;DCP1B
GO_Biological_Process_2021	organelle fission (GO:0048285)	7/26	2.558224e-02	9.999940e-01	0	0	2.803494e+00	1.027721e+01	DNM3;WASHC5;OPA1;PEX11A;MTFR1;MFF;GDAP1
GO_Biological_Process_2021	positive regulation of filopodium assembly (GO:0051491)	7/26	2.558224e-02	9.999940e-01	0	0	2.803494e+00	1.027721e+01	GPM6A;TENM1;RALA;TENM2;PIK3R1;WASL;ARAP1
GO_Biological_Process_2021	regulation of glycogen biosynthetic process (GO:0005979)	7/26	2.558224e-02	9.999940e-01	0	0	2.803494e+00	1.027721e+01	PPP1R3G;EPM2AIP1;PPP1R3F;AKT2;PPP1R3D;AKT1;PASK
