Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Homologous recombination	5/41	5.310204e-03	9.984807e-01	0	0	4.901263e+00	2.567343e+01	POLD3;TOP3B;SEM1;BRCC3;RAD54B
MSigDB_Hallmark_2020	Starch and sucrose metabolism	4/36	1.711702e-02	9.984807e-01	0	0	4.404038e+00	1.791423e+01	MGAM;AMY2B;AGL;GANC
MSigDB_Hallmark_2020	Glycerolipid metabolism	4/61	8.904915e-02	9.984807e-01	0	0	2.469258e+00	5.972066e+00	DGKE;GK;DGKB;ALDH7A1
MSigDB_Hallmark_2020	Nicotine addiction	3/40	9.884352e-02	9.984807e-01	0	0	2.850764e+00	6.597287e+00	CHRNA4;GABRA4;GABRG1
MSigDB_Hallmark_2020	Histidine metabolism	2/22	1.234285e-01	9.984807e-01	0	0	3.512658e+00	7.348808e+00	CARNMT1;ALDH7A1
MSigDB_Hallmark_2020	ABC transporters	3/45	1.286554e-01	9.984807e-01	0	0	2.510740e+00	5.148569e+00	ABCA1;ABCD2;ABCB10
MSigDB_Hallmark_2020	Proteasome	3/46	1.349625e-01	9.984807e-01	0	0	2.452224e+00	4.911212e+00	SEM1;PSMD11;PSMA1
MSigDB_Hallmark_2020	Carbohydrate digestion and absorption	3/47	1.413740e-01	9.984807e-01	0	0	2.396369e+00	4.688128e+00	MGAM;AMY2B;SLC2A5
MSigDB_Hallmark_2020	p53 signaling pathway	4/73	1.446815e-01	9.984807e-01	0	0	2.038560e+00	3.940986e+00	AIFM2;CCNE1;ZMAT3;CCNG2
MSigDB_Hallmark_2020	Biosynthesis of unsaturated fatty acids	2/27	1.717350e-01	9.984807e-01	0	0	2.809403e+00	4.949614e+00	ELOVL4;ELOVL6
MSigDB_Hallmark_2020	Collecting duct acid secretion	2/27	1.717350e-01	9.984807e-01	0	0	2.809403e+00	4.949614e+00	ATP6V1A;ATP6V0D2
MSigDB_Hallmark_2020	Fatty acid elongation	2/27	1.717350e-01	9.984807e-01	0	0	2.809403e+00	4.949614e+00	ELOVL4;ELOVL6
MSigDB_Hallmark_2020	Glycosaminoglycan biosynthesis	3/53	1.817766e-01	9.984807e-01	0	0	2.108152e+00	3.594350e+00	CSGALNACT1;CHST11;HS3ST5
MSigDB_Hallmark_2020	Spinocerebellar ataxia	6/143	2.070549e-01	9.984807e-01	0	0	1.540266e+00	2.425566e+00	SEM1;MAPK10;PSMD11;PSMA1;PIK3R4;MCU
MSigDB_Hallmark_2020	Circadian rhythm	2/31	2.122121e-01	9.984807e-01	0	0	2.421401e+00	3.753580e+00	CUL1;NR1D1
MSigDB_Hallmark_2020	Galactose metabolism	2/31	2.122121e-01	9.984807e-01	0	0	2.421401e+00	3.753580e+00	MGAM;GANC
MSigDB_Hallmark_2020	Alzheimer disease	13/369	2.275468e-01	9.984807e-01	0	0	1.286107e+00	1.903952e+00	PSMD11;PIK3R4;WNT7A;NDUFB1;NDUFC2-KCTD14;AGER;EIF2S1;UQCRHL;SEM1;MAPK10;NCSTN;PSMA1;MCU
MSigDB_Hallmark_2020	Base excision repair	2/33	2.327864e-01	9.984807e-01	0	0	2.264948e+00	3.301465e+00	POLD3;APEX2
MSigDB_Hallmark_2020	GABAergic synapse	4/89	2.340965e-01	9.984807e-01	0	0	1.653464e+00	2.400866e+00	GABRA4;SLC6A13;GABRG1;TRAK2
MSigDB_Hallmark_2020	Sulfur metabolism	1/10	2.453390e-01	9.984807e-01	0	0	3.898115e+00	5.477296e+00	SUOX
MSigDB_Hallmark_2020	Lysine degradation	3/63	2.544757e-01	9.984807e-01	0	0	1.755888e+00	2.403020e+00	PRDM6;KMT5A;ALDH7A1
MSigDB_Hallmark_2020	Parkinson disease	9/249	2.563104e-01	9.984807e-01	0	0	1.319025e+00	1.795676e+00	SEM1;MAPK10;PSMD11;PSMA1;NDUFB1;NDUFC2-KCTD14;EIF2S1;MCU;UQCRHL
MSigDB_Hallmark_2020	Non-alcoholic fatty liver disease	6/155	2.614096e-01	9.984807e-01	0	0	1.415337e+00	1.898911e+00	MAPK10;LEPR;NDUFB1;NDUFC2-KCTD14;EIF2S1;UQCRHL
MSigDB_Hallmark_2020	DNA replication	2/36	2.638333e-01	9.984807e-01	0	0	2.064780e+00	2.751191e+00	POLD3;DNA2
MSigDB_Hallmark_2020	Taurine and hypotaurine metabolism	1/11	2.662913e-01	9.984807e-01	0	0	3.508123e+00	4.641823e+00	CSAD
MSigDB_Hallmark_2020	Ubiquinone and other terpenoid-quinone biosynthesis	1/11	2.662913e-01	9.984807e-01	0	0	3.508123e+00	4.641823e+00	COQ3
MSigDB_Hallmark_2020	Fc gamma R-mediated phagocytosis	4/97	2.829278e-01	9.984807e-01	0	0	1.510606e+00	1.907236e+00	ACTR3C;MYO10;PIP5K1B;ACTR3B
MSigDB_Hallmark_2020	Phosphatidylinositol signaling system	4/97	2.829278e-01	9.984807e-01	0	0	1.510606e+00	1.907236e+00	DGKE;DGKB;INPP1;PIP5K1B
MSigDB_Hallmark_2020	Choline metabolism in cancer	4/98	2.891463e-01	9.984807e-01	0	0	1.494459e+00	1.854358e+00	MAPK10;DGKE;DGKB;PIP5K1B
MSigDB_Hallmark_2020	Adipocytokine signaling pathway	3/69	2.998635e-01	9.984807e-01	0	0	1.595767e+00	1.921987e+00	MAPK10;LEPR;PPARGC1A
MSigDB_Hallmark_2020	AGE-RAGE signaling pathway in diabetic complications	4/100	3.016377e-01	9.984807e-01	0	0	1.463173e+00	1.753655e+00	MAPK10;VEGFC;VEGFD;AGER
MSigDB_Hallmark_2020	Glycine, serine and threonine metabolism	2/40	3.052087e-01	9.984807e-01	0	0	1.847054e+00	2.192009e+00	DAO;ALDH7A1
MSigDB_Hallmark_2020	Non-homologous end-joining	1/13	3.064699e-01	9.984807e-01	0	0	2.923135e+00	3.457004e+00	LIG4
MSigDB_Hallmark_2020	Epithelial cell signaling in Helicobacter pylori infection	3/70	3.074835e-01	9.984807e-01	0	0	1.571869e+00	1.853758e+00	ATP6V1A;MAPK10;ATP6V0D2
MSigDB_Hallmark_2020	Oxidative phosphorylation	5/133	3.099145e-01	9.984807e-01	0	0	1.371946e+00	1.607178e+00	ATP6V1A;NDUFB1;NDUFC2-KCTD14;ATP6V0D2;UQCRHL
MSigDB_Hallmark_2020	Amyotrophic lateral sclerosis	12/364	3.122990e-01	9.984807e-01	0	0	1.198707e+00	1.395048e+00	SEM1;PSMD11;PSMA1;PIK3R4;NDUFB1;NUP54;NXT2;NDUFC2-KCTD14;EIF2S1;MCU;UQCRHL;NUP37
MSigDB_Hallmark_2020	Ras signaling pathway	8/232	3.165182e-01	9.984807e-01	0	0	1.254962e+00	1.443676e+00	MAPK10;FGF6;EFNA2;FLT3;VEGFC;VEGFD;KSR2;NGF
MSigDB_Hallmark_2020	Fat digestion and absorption	2/43	3.359667e-01	9.984807e-01	0	0	1.711639e+00	1.866959e+00	ABCA1;MTTP
MSigDB_Hallmark_2020	Thiamine metabolism	1/15	3.444520e-01	9.984807e-01	0	0	2.505286e+00	2.670136e+00	AK1
MSigDB_Hallmark_2020	Prion disease	9/273	3.471822e-01	9.984807e-01	0	0	1.197615e+00	1.266963e+00	SEM1;MAPK10;PSMD11;PSMA1;NDUFB1;NDUFC2-KCTD14;EIF2S1;MCU;UQCRHL
MSigDB_Hallmark_2020	Ubiquitin mediated proteolysis	5/140	3.482761e-01	9.984807e-01	0	0	1.300337e+00	1.371543e+00	CUL1;ERCC8;ELOC;MID1;ANAPC1
MSigDB_Hallmark_2020	Insulin resistance	4/108	3.520512e-01	9.984807e-01	0	0	1.350063e+00	1.409437e+00	MAPK10;TBC1D4;PPP1R3D;PPARGC1A
MSigDB_Hallmark_2020	Synaptic vesicle cycle	3/78	3.684347e-01	9.984807e-01	0	0	1.403623e+00	1.401506e+00	ATP6V1A;SLC6A13;ATP6V0D2
MSigDB_Hallmark_2020	Nucleotide excision repair	2/47	3.763046e-01	9.984807e-01	0	0	1.559172e+00	1.523867e+00	POLD3;ERCC8
MSigDB_Hallmark_2020	Other types of O-glycan biosynthesis	2/47	3.763046e-01	9.984807e-01	0	0	1.559172e+00	1.523867e+00	GALNT14;POFUT1
MSigDB_Hallmark_2020	Pyruvate metabolism	2/47	3.763046e-01	9.984807e-01	0	0	1.559172e+00	1.523867e+00	ME2;ALDH7A1
MSigDB_Hallmark_2020	TNF signaling pathway	4/112	3.773268e-01	9.984807e-01	0	0	1.299792e+00	1.266834e+00	MAPK10;TAB3;VEGFC;VEGFD
