Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,fatty acid oxidation (GO:0019395),17/59,0.0002808372578398937,0.7688015496074122,0,0,3.0893320964749535,25.26373986072461,ABCD2;PHYH;ABCD3;PEX2;ADIPOR1;MCAT;PEX13;ADH5;CPT2;SCP2;ACOX1;CYP4V2;EHHADH;ECHDC1;ACADM;ABCD1;PPARGC1A
GO_Biological_Process_2021,negative regulation of double-strand break repair via nonhomologous end joining (GO:2001033),5/7,0.0003640158852307823,0.7688015496074122,0,0,19.025624461670972,150.65085046944347,HSF1;TFIP11;ERCC6;CYREN;NUDT16L1
GO_Biological_Process_2021,macromolecule depalmitoylation (GO:0098734),5/8,0.0008773479384105118,0.9264794229615004,0,0,12.68303186907838,89.27087571794922,LYPLA2;ABHD17B;ABHD17A;ABHD17C;LYPLAL1
GO_Biological_Process_2021,protein depalmitoylation (GO:0002084),5/8,0.0008773479384105118,0.9264794229615004,0,0,12.68303186907838,89.27087571794922,LYPLA2;ABHD17B;ABHD17A;ABHD17C;LYPLAL1
GO_Biological_Process_2021,fatty acid catabolic process (GO:0009062),17/70,0.0023017558681134,0.99999395291769,0,0,2.446622559830107,14.860988562636344,ABCD2;PHYH;ABCD3;ABHD1;PEX2;CEL;AIG1;MCAT;PEX13;CPT2;SCP2;ACOX1;EHHADH;ECHDC1;ACADM;ABCD1;LPIN3
GO_Biological_Process_2021,response to UV (GO:0009411),21/99,0.004439603102204,0.99999395291769,0,0,2.0542564547334714,11.128298136040454,RHBDD1;EIF2AK4;PTPRK;EIF2S1;CDC25A;EGFR;PRIMPOL;YY1;MAPK8;MSH2;ERCC3;CAT;ERCC2;AKT1;EP300;ERCC8;POLK;ERCC6;MAP3K4;MEN1;ATR
GO_Biological_Process_2021,very long-chain fatty acid catabolic process (GO:0042760),4/7,0.004782062838559,0.99999395291769,0,0,10.142057684029272,54.18783031717261,ABCD2;ABCD3;ACOX1;ABCD1
GO_Biological_Process_2021,ER-associated misfolded protein catabolic process (GO:0071712),5/11,0.0053550239523489,0.99999395291769,0,0,6.340439276485788,33.158722741004354,POMT2;VCP;DERL1;AUP1;UGGT1
GO_Biological_Process_2021,lipoprotein catabolic process (GO:0042159),5/11,0.0053550239523489,0.99999395291769,0,0,6.340439276485788,33.158722741004354,LYPLA2;ABHD17B;ABHD17A;ABHD17C;LYPLAL1
GO_Biological_Process_2021,tRNA processing (GO:0008033),15/64,0.0057925958603644,0.99999395291769,0,0,2.3335216439516984,12.020377777310346,TSEN15;KARS1;RPP40;ZBTB8OS;NSUN6;TRMT1;THUMPD1;TSEN2;FTSJ1;TRIT1;ADAT2;DTWD2;DTWD1;LCMT2;RTRAF
GO_Biological_Process_2021,intracellular lipid transport (GO:0032365),7/21,0.0075834398316397,0.99999395291769,0,0,3.805818965517241,18.579202796990536,ABCD2;ARV1;ABCD3;CPT2;MID1IP1;ACACB;ABCD1
GO_Biological_Process_2021,positive regulation of fatty acid oxidation (GO:0046321),5/12,0.0083086353497134,0.99999395291769,0,0,5.434354620401132,26.033057899260527,ABCD2;AKT2;ABCD1;PPARGC1A;PLIN5
