Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Collecting duct acid secretion	4/27	2.660253e-02	9.999663e-01	0	0	3.907832e+00	1.417273e+01	ATP6V1E2;SLC12A7;ATP6V0D2;ATP6V1C2
MSigDB_Hallmark_2020	Other types of O-glycan biosynthesis	5/47	4.932385e-02	9.999663e-01	0	0	2.675490e+00	8.051480e+00	GALNT7;C1GALT1C1;GALNT15;RFNG;GALNT8
MSigDB_Hallmark_2020	Nicotinate and nicotinamide metabolism	4/35	6.087069e-02	9.999663e-01	0	0	2.898146e+00	8.111922e+00	BST1;PNP;ENPP1;SIRT1
MSigDB_Hallmark_2020	Histidine metabolism	3/22	6.552464e-02	9.999663e-01	0	0	3.544477e+00	9.659867e+00	UROC1;AMDHD1;ALDH7A1
MSigDB_Hallmark_2020	Mucin type O-glycan biosynthesis	4/36	6.626385e-02	9.999663e-01	0	0	2.807432e+00	7.619683e+00	GALNT7;C1GALT1C1;GALNT15;GALNT8
MSigDB_Hallmark_2020	Transcriptional misregulation in cancer	13/192	6.898811e-02	9.999663e-01	0	0	1.635890e+00	4.374076e+00	NTRK1;FLT1;CDKN2C;PBX3;TMPRSS2;MITF;IGF1;FLI1;ETV5;RUNX1;CCNA2;SP1;NUPR1
MSigDB_Hallmark_2020	Central carbon metabolism in cancer	6/70	7.839240e-02	9.999663e-01	0	0	2.107001e+00	5.364484e+00	LDHC;NTRK1;IDH1;HIF1A;HK2;FGFR1
MSigDB_Hallmark_2020	ECM-receptor interaction	7/88	8.243757e-02	9.999663e-01	0	0	1.942814e+00	4.848708e+00	TNXB;SV2C;COL4A2;LAMA4;COL9A1;ITGB8;CD44
MSigDB_Hallmark_2020	HIF-1 signaling pathway	8/109	9.514853e-02	9.999663e-01	0	0	1.780916e+00	4.189277e+00	LDHC;EGLN3;FLT1;CAMK2A;IGF1;TEK;HIF1A;HK2
MSigDB_Hallmark_2020	Rheumatoid arthritis	7/93	1.030901e-01	9.999663e-01	0	0	1.829380e+00	4.156629e+00	IL11;FLT1;CXCL12;TEK;ATP6V1E2;ATP6V0D2;ATP6V1C2
MSigDB_Hallmark_2020	Ascorbate and aldarate metabolism	3/30	1.350832e-01	9.999663e-01	0	0	2.493219e+00	4.991086e+00	UGDH;UGT2B15;ALDH7A1
MSigDB_Hallmark_2020	Complement and coagulation cascades	6/85	1.559172e-01	9.999663e-01	0	0	1.705596e+00	3.169730e+00	C3;C5;C6;CFH;F2;F5
