Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PanglaoDB_Augmented_2021	positive regulation of vasculature development (GO:1904018)	14/102	1.103286e-04	3.027416e-01	0	0	3.604989e+00	3.284883e+01	SEMA5A;FLT1;VEGFC;FGF2;HIF1A;SIRT1;PIK3R6;HK2;RUNX1;RRAS;SP1;ITGB8;TEK;RAPGEF3
PanglaoDB_Augmented_2021	positive regulation of angiogenesis (GO:0045766)	14/116	4.329793e-04	5.180365e-01	0	0	3.107901e+00	2.407014e+01	SEMA5A;FLT1;VEGFC;FGF2;HIF1A;SIRT1;PIK3R6;HK2;RUNX1;RRAS;SP1;ITGB8;TEK;RAPGEF3
PanglaoDB_Augmented_2021	negative regulation of protein exit from endoplasmic reticulum (GO:0070862)	4/10	5.663664e-04	5.180365e-01	0	0	1.499334e+01	1.120943e+02	ERLEC1;DERL3;INSIG1;UBE2J1
PanglaoDB_Augmented_2021	positive regulation of lipid kinase activity (GO:0090218)	6/30	1.475832e-03	9.524539e-01	0	0	5.630448e+00	3.670226e+01	FLT1;IRS1;TEK;ATG14;F2;FGF2
PanglaoDB_Augmented_2021	regulation of MAPK cascade (GO:0043408)	16/166	2.057964e-03	9.524539e-01	0	0	2.414938e+00	1.493890e+01	NTRK1;IL11;EPHA7;FLT1;KSR1;SYK;APIP;IGF1;FGF2;ADRA1A;RIT2;RRAS;PAK6;TEK;FGF10;FGFR1
PanglaoDB_Augmented_2021	negative regulation of chromosome organization (GO:2001251)	3/8	3.709534e-03	9.524539e-01	0	0	1.347887e+01	7.543922e+01	TOP2A;ESPL1;TERF2IP
PanglaoDB_Augmented_2021	negative regulation of retrograde protein transport, ER to cytosol (GO:1904153)	3/9	5.388455e-03	9.524539e-01	0	0	1.123181e+01	5.866931e+01	ERLEC1;DERL3;UBE2J1
PanglaoDB_Augmented_2021	positive regulation of endothelial cell proliferation (GO:0001938)	9/77	5.470347e-03	9.524539e-01	0	0	2.984512e+00	1.554457e+01	SEMA5A;SP1;VEGFC;TEK;FGF2;SIRT1;HIF1A;TGFBR1;FGFR1
PanglaoDB_Augmented_2021	positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)	5/28	6.113372e-03	9.524539e-01	0	0	4.890537e+00	2.492842e+01	FLT1;IRS1;TEK;ATG14;FGF2
PanglaoDB_Augmented_2021	regulation of vascular endothelial cell proliferation (GO:1905562)	4/18	6.280213e-03	9.524539e-01	0	0	6.423032e+00	3.256703e+01	FLT1;SP1;FGF2;FGFR1
PanglaoDB_Augmented_2021	regulation of angiogenesis (GO:0045765)	17/203	6.454664e-03	9.524539e-01	0	0	2.067795e+00	1.042779e+01	SEMA5A;FLT1;VEGFC;TSPAN12;HIF1A;SIRT1;FGF2;PIK3R6;HK2;RUNX1;RRAS;COL4A2;SP1;STAB1;ITGB8;TEK;RAPGEF3
PanglaoDB_Augmented_2021	regulation of epithelial cell apoptotic process (GO:1904035)	3/10	7.455073e-03	9.524539e-01	0	0	9.626761e+00	4.716016e+01	NUPR1;TEK;BOK
PanglaoDB_Augmented_2021	regulation of leukocyte tethering or rolling (GO:1903236)	3/10	7.455073e-03	9.524539e-01	0	0	9.626761e+00	4.716016e+01	SELP;CXCL12;SELE
PanglaoDB_Augmented_2021	positive regulation of phospholipase C activity (GO:0010863)	6/43	9.473167e-03	9.524539e-01	0	0	3.649699e+00	1.700501e+01	FLT1;GPR55;ADRA1A;FGF2;SELE;FGFR1
PanglaoDB_Augmented_2021	negative regulation of natural killer cell mediated immunity (GO:0002716)	3/11	9.928244e-03	9.524539e-01	0	0	8.422975e+00	3.884989e+01	KLRD1;KLRC1;LGALS9
