Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,positive regulation of vasculature development (GO:1904018),14/102,0.00011032856513081686,0.3027415827189614,0,0,3.604988649875689,32.84882849426289,SEMA5A;FLT1;VEGFC;FGF2;HIF1A;SIRT1;PIK3R6;HK2;RUNX1;RRAS;SP1;ITGB8;TEK;RAPGEF3
MSigDB_Hallmark_2020,positive regulation of angiogenesis (GO:0045766),14/116,0.0004329793268614613,0.5180365073537253,0,0,3.107901424541279,24.070138898078135,SEMA5A;FLT1;VEGFC;FGF2;HIF1A;SIRT1;PIK3R6;HK2;RUNX1;RRAS;SP1;ITGB8;TEK;RAPGEF3
MSigDB_Hallmark_2020,negative regulation of protein exit from endoplasmic reticulum (GO:0070862),4/10,0.0005663664438998455,0.5180365073537253,0,0,14.993341167254211,112.09425570142623,ERLEC1;DERL3;INSIG1;UBE2J1
MSigDB_Hallmark_2020,positive regulation of lipid kinase activity (GO:0090218),6/30,0.0014758320347474,0.952453855775756,0,0,5.630447585394582,36.70226039953575,FLT1;IRS1;TEK;ATG14;F2;FGF2
MSigDB_Hallmark_2020,regulation of MAPK cascade (GO:0043408),16/166,0.0020579635516773,0.952453855775756,0,0,2.414938418752483,14.938901676802962,NTRK1;IL11;EPHA7;FLT1;KSR1;SYK;APIP;IGF1;FGF2;ADRA1A;RIT2;RRAS;PAK6;TEK;FGF10;FGFR1
MSigDB_Hallmark_2020,negative regulation of chromosome organization (GO:2001251),3/8,0.0037095343537764,0.952453855775756,0,0,13.47887323943662,75.43921715117382,TOP2A;ESPL1;TERF2IP
MSigDB_Hallmark_2020,"negative regulation of retrograde protein transport, ER to cytosol (GO:1904153)",3/9,0.005388455399655,0.952453855775756,0,0,11.23180751173709,58.669307258935184,ERLEC1;DERL3;UBE2J1
MSigDB_Hallmark_2020,positive regulation of endothelial cell proliferation (GO:0001938),9/77,0.0054703471902662,0.952453855775756,0,0,2.9845118898623277,15.544571101377215,SEMA5A;SP1;VEGFC;TEK;FGF2;SIRT1;HIF1A;TGFBR1;FGFR1
MSigDB_Hallmark_2020,positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552),5/28,0.0061133718963226,0.952453855775756,0,0,4.890537084398977,24.928421184773107,FLT1;IRS1;TEK;ATG14;FGF2
MSigDB_Hallmark_2020,regulation of vascular endothelial cell proliferation (GO:1905562),4/18,0.0062802127338628,0.952453855775756,0,0,6.423031727379554,32.567028066965776,FLT1;SP1;FGF2;FGFR1
