Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of smooth muscle cell apoptotic process (GO:0034391)	5/9	1.283761e-03	9.999959e-01	0	0	1.031351e+01	6.866696e+01	CDKN2A;IGF1;DIPK2A;SIRT1;LRP6
GO_Biological_Process_2021	regulation of vascular endothelial cell proliferation (GO:1905562)	7/18	1.868357e-03	9.999959e-01	0	0	5.253316e+00	3.300499e+01	FLT1;SP1;SIRT6;PPARG;HMGB1;FGF2;FGFR1
GO_Biological_Process_2021	regulation of phospholipase C activity (GO:1900274)	6/15	3.374022e-03	9.999959e-01	0	0	5.501543e+00	3.131286e+01	FLT1;ABL2;BICD1;ESR1;FGF2;FGFR1
GO_Biological_Process_2021	chromatin-mediated maintenance of transcription (GO:0048096)	5/11	3.907467e-03	9.999959e-01	0	0	6.874904e+00	3.812042e+01	ELOF1;CDCA4;SERTAD2;PADI2;ARID1A
GO_Biological_Process_2021	heparan sulfate proteoglycan metabolic process (GO:0030201)	7/21	5.102734e-03	9.999959e-01	0	0	4.126911e+00	2.178175e+01	HS3ST3B1;EXT1;UGDH;HS3ST5;HPSE;HS3ST4;HS2ST1
GO_Biological_Process_2021	positive regulation of biosynthetic process (GO:0009891)	11/44	6.107808e-03	9.999959e-01	0	0	2.753442e+00	1.403756e+01	MLXIPL;HDAC2;CREB1;CCL5;F2R;PLCG2;ZBTB20;RAB27A;F2;WNT4;RUNX1
GO_Biological_Process_2021	macromolecule depalmitoylation (GO:0098734)	4/8	6.704210e-03	9.999959e-01	0	0	8.246994e+00	4.127636e+01	ABHD10;LYPLA1;ABHD17B;ABHD17C
GO_Biological_Process_2021	protein depalmitoylation (GO:0002084)	4/8	6.704210e-03	9.999959e-01	0	0	8.246994e+00	4.127636e+01	ABHD10;LYPLA1;ABHD17B;ABHD17C
GO_Biological_Process_2021	ventricular trabecula myocardium morphogenesis (GO:0003222)	4/8	6.704210e-03	9.999959e-01	0	0	8.246994e+00	4.127636e+01	NRG1;RBPJ;TGFBR1;BMPR1A
GO_Biological_Process_2021	negative regulation of BMP signaling pathway (GO:0030514)	12/52	8.434163e-03	9.999959e-01	0	0	2.478273e+00	1.183491e+01	SPART;GREM2;SMAD1;BMP2;BMPER;UBE2D3;VWC2L;CRIM1;PPARG;SMAD6;ACVR2A;BMPR1A
GO_Biological_Process_2021	regulation of activated T cell proliferation (GO:0046006)	9/34	8.560147e-03	9.999959e-01	0	0	2.972295e+00	1.415002e+01	TMIGD2;BTN2A2;IL23R;SCRIB;HMGB1;LGALS9;IGF1;ICOSLG;IDO1
GO_Biological_Process_2021	protein deacylation (GO:0035601)	7/23	8.870097e-03	9.999959e-01	0	0	3.610642e+00	1.706053e+01	LYPLA1;ABHD10;HDAC3;ABHD17B;SIRT6;ABHD17C;SIRT1
GO_Biological_Process_2021	chromatin organization involved in regulation of transcription (GO:0034401)	5/13	9.046853e-03	9.999959e-01	0	0	5.155599e+00	2.425884e+01	ELOF1;CDCA4;SERTAD2;PADI2;ARID1A
GO_Biological_Process_2021	positive regulation of vascular endothelial cell proliferation (GO:1905564)	5/13	9.046853e-03	9.999959e-01	0	0	5.155599e+00	2.425884e+01	SP1;SIRT6;HMGB1;FGF2;FGFR1
GO_Biological_Process_2021	purine ribonucleoside triphosphate metabolic process (GO:0009205)	5/13	9.046853e-03	9.999959e-01	0	0	5.155599e+00	2.425884e+01	EFL1;RAB23;ENTPD7;GNAI3;AK3
GO_Biological_Process_2021	dorsal/ventral axis specification (GO:0009950)	3/5	1.071720e-02	9.999959e-01	0	0	1.236616e+01	5.609172e+01	SMAD2;SMAD6;CXXC4
