Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,regulation of smooth muscle cell apoptotic process (GO:0034391),5/9,0.0012837612833532,0.9999959243205392,0,0,10.313512262841275,68.66696249524126,CDKN2A;IGF1;DIPK2A;SIRT1;LRP6
MSigDB_Hallmark_2020,regulation of vascular endothelial cell proliferation (GO:1905562),7/18,0.0018683568540735,0.9999959243205392,0,0,5.253315929091751,33.004986564940594,FLT1;SP1;SIRT6;PPARG;HMGB1;FGF2;FGFR1
MSigDB_Hallmark_2020,regulation of phospholipase C activity (GO:1900274),6/15,0.0033740216481472,0.9999959243205392,0,0,5.5015432098765435,31.312857743222704,FLT1;ABL2;BICD1;ESR1;FGF2;FGFR1
MSigDB_Hallmark_2020,chromatin-mediated maintenance of transcription (GO:0048096),5/11,0.0039074671504284,0.9999959243205392,0,0,6.874903594015117,38.120418521457495,ELOF1;CDCA4;SERTAD2;PADI2;ARID1A
MSigDB_Hallmark_2020,heparan sulfate proteoglycan metabolic process (GO:0030201),7/21,0.0051027342722001,0.9999959243205392,0,0,4.12691060676239,21.78174649024393,HS3ST3B1;EXT1;UGDH;HS3ST5;HPSE;HS3ST4;HS2ST1
MSigDB_Hallmark_2020,positive regulation of biosynthetic process (GO:0009891),11/44,0.0061078082851353,0.9999959243205392,0,0,2.753441608662026,14.03756098445925,MLXIPL;HDAC2;CREB1;CCL5;F2R;PLCG2;ZBTB20;RAB27A;F2;WNT4;RUNX1
MSigDB_Hallmark_2020,macromolecule depalmitoylation (GO:0098734),4/8,0.0067042103819523,0.9999959243205392,0,0,8.24699352451434,41.27636369305708,ABHD10;LYPLA1;ABHD17B;ABHD17C
MSigDB_Hallmark_2020,protein depalmitoylation (GO:0002084),4/8,0.0067042103819523,0.9999959243205392,0,0,8.24699352451434,41.27636369305708,ABHD10;LYPLA1;ABHD17B;ABHD17C
MSigDB_Hallmark_2020,ventricular trabecula myocardium morphogenesis (GO:0003222),4/8,0.0067042103819523,0.9999959243205392,0,0,8.24699352451434,41.27636369305708,NRG1;RBPJ;TGFBR1;BMPR1A
MSigDB_Hallmark_2020,negative regulation of BMP signaling pathway (GO:0030514),12/52,0.008434163075143,0.9999959243205392,0,0,2.478272980501393,11.834905354426802,SPART;GREM2;SMAD1;BMP2;BMPER;UBE2D3;VWC2L;CRIM1;PPARG;SMAD6;ACVR2A;BMPR1A
MSigDB_Hallmark_2020,regulation of activated T cell proliferation (GO:0046006),9/34,0.0085601467353344,0.9999959243205392,0,0,2.9722948539638385,14.150019671444404,TMIGD2;BTN2A2;IL23R;SCRIB;HMGB1;LGALS9;IGF1;ICOSLG;IDO1
MSigDB_Hallmark_2020,protein deacylation (GO:0035601),7/23,0.0088700973753694,0.9999959243205392,0,0,3.6106415006947663,17.060532047205193,LYPLA1;ABHD10;HDAC3;ABHD17B;SIRT6;ABHD17C;SIRT1
MSigDB_Hallmark_2020,chromatin organization involved in regulation of transcription (GO:0034401),5/13,0.0090468527033714,0.9999959243205392,0,0,5.155599259602036,24.25883891002788,ELOF1;CDCA4;SERTAD2;PADI2;ARID1A
MSigDB_Hallmark_2020,positive regulation of vascular endothelial cell proliferation (GO:1905564),5/13,0.0090468527033714,0.9999959243205392,0,0,5.155599259602036,24.25883891002788,SP1;SIRT6;HMGB1;FGF2;FGFR1
MSigDB_Hallmark_2020,purine ribonucleoside triphosphate metabolic process (GO:0009205),5/13,0.0090468527033714,0.9999959243205392,0,0,5.155599259602036,24.25883891002788,EFL1;RAB23;ENTPD7;GNAI3;AK3
MSigDB_Hallmark_2020,dorsal/ventral axis specification (GO:0009950),3/5,0.0107171986787489,0.9999959243205392,0,0,12.366158113730927,56.09172428993948,SMAD2;SMAD6;CXXC4
MSigDB_Hallmark_2020,medium-chain fatty acid catabolic process (GO:0051793),3/5,0.0107171986787489,0.9999959243205392,0,0,12.366158113730927,56.09172428993948,GLYATL2;ABHD3;ACADM
MSigDB_Hallmark_2020,negative regulation of smooth muscle cell apoptotic process (GO:0034392),3/5,0.0107171986787489,0.9999959243205392,0,0,12.366158113730927,56.09172428993948,IGF1;DIPK2A;LRP6
MSigDB_Hallmark_2020,negative regulation of synapse organization (GO:1905809),3/5,0.0107171986787489,0.9999959243205392,0,0,12.366158113730927,56.09172428993948,ROBO2;NEUROD2;TLR2
MSigDB_Hallmark_2020,Toll signaling pathway (GO:0008063),3/5,0.0107171986787489,0.9999959243205392,0,0,12.366158113730927,56.09172428993948,PELI3;PELI2;PELI1
MSigDB_Hallmark_2020,neuron development (GO:0048666),25/143,0.0107418359417273,0.9999959243205392,0,0,1.753101275342585,7.947876175989298,GPM6A;CNTNAP2;TENM1;NLGN1;TENM3;HMGB1;PPP1R9A;NPY;NRTN;GPM6B;EPHA5;LGI1;EPHA8;PRMT1;PBX3;L1CAM;POU3F2;RUNX1;MANF;GPRIN3;EHD1;UGDH;NEDD4;HDGFL3;LRP12
MSigDB_Hallmark_2020,intestinal cholesterol absorption (GO:0030299),4/9,0.0110405833620577,0.9999959243205392,0,0,6.597224791859389,29.728265251636437,ABCG8;ABCG5;NPC1L1;LDLR
MSigDB_Hallmark_2020,regulation of endothelial cell differentiation (GO:0045601),4/9,0.0110405833620577,0.9999959243205392,0,0,6.597224791859389,29.728265251636437,TMEM100;ZEB1;VEZF1;APOLD1
MSigDB_Hallmark_2020,positive regulation of phospholipase activity (GO:0010518),7/24,0.0113743347063193,0.9999959243205392,0,0,3.3980601040786858,15.211061988960342,FLT1;CCL5;ABL2;ESR1;FGF2;FGFR3;FGFR1
MSigDB_Hallmark_2020,glycosaminoglycan metabolic process (GO:0030203),12/54,0.0114524983632714,0.9999959243205392,0,0,2.3599946942565326,10.548108091006473,HS3ST3B1;EXT1;UGDH;HPSE2;B3GAT2;SLC35D2;GPC5;HS3ST5;HPSE;HS3ST1;HS2ST1;HS3ST2
MSigDB_Hallmark_2020,positive regulation of lipid kinase activity (GO:0090218),8/30,0.0123306991960268,0.9999959243205392,0,0,3.001432302637122,13.193285689627382,FLT1;FLT3;IRS1;EPHA8;F2;FGF2;DGKZ;FGFR3
MSigDB_Hallmark_2020,heparan sulfate proteoglycan biosynthetic process (GO:0015012),6/19,0.0125219165806121,0.9999959243205392,0,0,3.8079059829059823,16.67967478336448,CSGALNACT1;HS3ST3B1;EXT1;UGDH;HS3ST5;HS2ST1
MSigDB_Hallmark_2020,positive regulation of autophagy (GO:0010508),17/90,0.0156133000620885,0.9999959243205392,0,0,1.9246734702983863,8.005933664309035,GPSM1;EPM2A;TFEB;GNAI3;HMGB1;TICAM1;FOXO3;SIRT1;IRGM;MID2;FOXO1;IL4;STING1;TP53INP1;FBXO7;RNF152;TRIM65
MSigDB_Hallmark_2020,synapse organization (GO:0050808),22/126,0.016203342842824,0.9999959243205392,0,0,1.749336251435132,7.211704663500939,UNC13B;GPM6A;ACHE;NLGN1;NLGN4X;DSCAM;FZD5;ZC4H2;NRXN1;F2R;PTEN;L1CAM;PTPRD;SDK1;PPFIBP1;GRM5;CACNB4;CDH2;NEDD4;LRRC4C;PPFIA3;SNCA
MSigDB_Hallmark_2020,positive regulation of coagulation (GO:0050820),4/10,0.0168416917974525,0.9999959243205392,0,0,5.497378970089423,22.450733948685752,F12;F2R;HPSE;F2
MSigDB_Hallmark_2020,positive regulation of hemostasis (GO:1900048),4/10,0.0168416917974525,0.9999959243205392,0,0,5.497378970089423,22.450733948685752,F12;F2R;HPSE;F2
MSigDB_Hallmark_2020,positive regulation of vasculogenesis (GO:2001214),4/10,0.0168416917974525,0.9999959243205392,0,0,5.497378970089423,22.450733948685752,TMEM100;RAP1A;RRAS;RIN2
MSigDB_Hallmark_2020,presynaptic membrane assembly (GO:0097105),4/10,0.0168416917974525,0.9999959243205392,0,0,5.497378970089423,22.450733948685752,PTPRD;NLGN1;NLGN4X;PTEN
MSigDB_Hallmark_2020,regulation of cell-cell adhesion mediated by integrin (GO:0033632),4/10,0.0168416917974525,0.9999959243205392,0,0,5.497378970089423,22.450733948685752,DPP4;CCL5;ADA;FERMT3
MSigDB_Hallmark_2020,positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068),15/77,0.0170795111633059,0.9999959243205392,0,0,1.9989202321500876,8.1353569019469,FLT1;FLT3;HGF;F2R;GAB1;IGF1;FGF2;SIRT1;PIK3R5;CCL5;NEDD4;PDGFC;HCLS1;ROR1;FGFR1
MSigDB_Hallmark_2020,GTP metabolic process (GO:0046039),5/15,0.0175665460530616,0.9999959243205392,0,0,4.124016658954188,16.668281357475998,EFL1;RAB23;ENTPD7;GNAI3;AK3
MSigDB_Hallmark_2020,intracellular cholesterol transport (GO:0032367),5/15,0.0175665460530616,0.9999959243205392,0,0,4.124016658954188,16.668281357475998,ABCA1;STARD4;NPC2;LDLR;LRP6
MSigDB_Hallmark_2020,regulation of glycogen biosynthetic process (GO:0005979),7/26,0.0178474728876921,0.9999959243205392,0,0,3.0400282781989714,12.2388296463364,DYRK2;IRS1;PPP1R3B;PPP1R3D;ENPP1;PPP1R3A;IGF1
