Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Galactose metabolism	4/31	7.722286e-03	9.976442e-01	0	0	5.675416e+00	2.760321e+01	G6PC3;GLA;GANC;GCK
MSigDB_Hallmark_2020	Sphingolipid metabolism	4/49	3.636138e-02	9.976442e-01	0	0	3.402100e+00	1.127540e+01	SMPD3;ACER2;ACER3;GLA
MSigDB_Hallmark_2020	Cysteine and methionine metabolism	4/50	3.875301e-02	9.976442e-01	0	0	3.327970e+00	1.081772e+01	DNMT1;BHMT;PSAT1;MAT2B
MSigDB_Hallmark_2020	Starch and sucrose metabolism	3/36	6.390991e-02	9.976442e-01	0	0	3.474728e+00	9.556477e+00	G6PC3;GANC;GCK
MSigDB_Hallmark_2020	Neomycin, kanamycin and gentamicin biosynthesis	1/5	1.216232e-01	9.976442e-01	0	0	9.532290e+00	2.008289e+01	GCK
MSigDB_Hallmark_2020	Insulin signaling pathway	6/137	1.400613e-01	9.976442e-01	0	0	1.752135e+00	3.444127e+00	SHC3;G6PC3;PPP1R3B;PPP1R3E;FBP2;GCK
MSigDB_Hallmark_2020	Maturity onset diabetes of the young	2/26	1.423369e-01	9.976442e-01	0	0	3.180392e+00	6.200362e+00	RFX6;GCK
MSigDB_Hallmark_2020	Caffeine metabolism	1/6	1.441153e-01	9.976442e-01	0	0	7.625440e+00	1.477156e+01	CYP1A2
MSigDB_Hallmark_2020	Vitamin B6 metabolism	1/6	1.441153e-01	9.976442e-01	0	0	7.625440e+00	1.477156e+01	PSAT1
MSigDB_Hallmark_2020	Biosynthesis of unsaturated fatty acids	2/27	1.512488e-01	9.976442e-01	0	0	3.053020e+00	5.766632e+00	ELOVL2;ELOVL6
MSigDB_Hallmark_2020	Fatty acid elongation	2/27	1.512488e-01	9.976442e-01	0	0	3.053020e+00	5.766632e+00	ELOVL2;ELOVL6
MSigDB_Hallmark_2020	Glycosaminoglycan biosynthesis	3/53	1.539427e-01	9.976442e-01	0	0	2.291316e+00	4.287453e+00	CHPF2;NDST3;XYLT1
MSigDB_Hallmark_2020	Linoleic acid metabolism	2/29	1.693808e-01	9.976442e-01	0	0	2.826580e+00	5.018891e+00	CYP1A2;PLA2G10
MSigDB_Hallmark_2020	Hedgehog signaling pathway	3/56	1.726447e-01	9.976442e-01	0	0	2.161286e+00	3.796341e+00	BOC;PTCH2;BCL2
MSigDB_Hallmark_2020	Legionellosis	3/57	1.790166e-01	9.976442e-01	0	0	2.121153e+00	3.648969e+00	HSPA8;HSPA1L;TLR2
MSigDB_Hallmark_2020	Sulfur metabolism	1/10	2.284798e-01	9.976442e-01	0	0	4.235486e+00	6.252880e+00	SQOR
MSigDB_Hallmark_2020	Alanine, aspartate and glutamate metabolism	2/37	2.445237e-01	9.976442e-01	0	0	2.179608e+00	3.069854e+00	GAD1;NAT8L
MSigDB_Hallmark_2020	Glycolysis / Gluconeogenesis	3/67	2.456530e-01	9.976442e-01	0	0	1.788802e+00	2.511183e+00	G6PC3;FBP2;GCK
MSigDB_Hallmark_2020	Taurine and hypotaurine metabolism	1/11	2.482405e-01	9.976442e-01	0	0	3.811742e+00	5.311117e+00	GAD1
MSigDB_Hallmark_2020	Primary immunodeficiency	2/38	2.540648e-01	9.976442e-01	0	0	2.118954e+00	2.903319e+00	IL7R;ADA
