Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Galactose metabolism	4/31	1.373944e-03	2.363183e-01	0	0	9.333808e+00	6.151045e+01	G6PC3;GLA;GANC;GCK
MSigDB_Hallmark_2020	Sphingolipid metabolism	4/49	7.410225e-03	6.372794e-01	0	0	5.595157e+00	2.744365e+01	SMPD3;ACER2;ACER3;GLA
MSigDB_Hallmark_2020	Starch and sucrose metabolism	3/36	1.898754e-02	9.881276e-01	0	0	5.707523e+00	2.262446e+01	G6PC3;GANC;GCK
MSigDB_Hallmark_2020	Glycosaminoglycan biosynthesis	3/53	5.130425e-02	9.881276e-01	0	0	3.763706e+00	1.117814e+01	CHPF2;NDST3;XYLT1
MSigDB_Hallmark_2020	Hedgehog signaling pathway	3/56	5.868145e-02	9.881276e-01	0	0	3.550124e+00	1.006684e+01	BOC;PTCH2;BCL2
MSigDB_Hallmark_2020	Maturity onset diabetes of the young	2/26	6.306904e-02	9.881276e-01	0	0	5.217622e+00	1.441903e+01	RFX6;GCK
MSigDB_Hallmark_2020	Insulin signaling pathway	5/137	6.652496e-02	9.881276e-01	0	0	2.381370e+00	6.453936e+00	SHC3;G6PC3;PPP1R3E;FBP2;GCK
MSigDB_Hallmark_2020	Neomycin, kanamycin and gentamicin biosynthesis	1/5	7.654986e-02	9.881276e-01	0	0	1.561905e+01	4.013803e+01	GCK
MSigDB_Hallmark_2020	Glycolysis / Gluconeogenesis	3/67	8.961092e-02	9.881276e-01	0	0	2.938299e+00	7.087994e+00	G6PC3;FBP2;GCK
MSigDB_Hallmark_2020	Caffeine metabolism	1/6	9.114400e-02	9.881276e-01	0	0	1.249460e+01	2.992851e+01	CYP1A2
MSigDB_Hallmark_2020	Vitamin B6 metabolism	1/6	9.114400e-02	9.881276e-01	0	0	1.249460e+01	2.992851e+01	PSAT1
MSigDB_Hallmark_2020	Neuroactive ligand-receptor interaction	9/341	9.287756e-02	9.881276e-01	0	0	1.708803e+00	4.060924e+00	GALR3;GRP;HRH2;TACR3;GABRE;ADRA1B;ADRA1A;DRD4;NTSR2
MSigDB_Hallmark_2020	Pyruvate metabolism	2/47	1.698879e-01	9.881276e-01	0	0	2.779759e+00	4.927447e+00	PC;ACYP2
MSigDB_Hallmark_2020	Morphine addiction	3/91	1.742734e-01	9.881276e-01	0	0	2.134331e+00	3.728953e+00	PDE10A;GRK5;GABRE
MSigDB_Hallmark_2020	Calcium signaling pathway	6/240	1.807417e-01	9.881276e-01	0	0	1.608768e+00	2.752096e+00	HRH2;CD38;TACR3;ADRA1B;ADRA1A;CAMK1G
MSigDB_Hallmark_2020	Salivary secretion	3/93	1.821326e-01	9.881276e-01	0	0	2.086688e+00	3.553672e+00	CD38;ADRA1B;ADRA1A
MSigDB_Hallmark_2020	Cysteine and methionine metabolism	2/50	1.869035e-01	9.881276e-01	0	0	2.605626e+00	4.370060e+00	DNMT1;PSAT1
MSigDB_Hallmark_2020	Hematopoietic cell lineage	3/99	2.062440e-01	9.881276e-01	0	0	1.955671e+00	3.087409e+00	IL11;CD38;IL7R
MSigDB_Hallmark_2020	Adrenergic signaling in cardiomyocytes	4/150	2.134715e-01	9.881276e-01	0	0	1.715666e+00	2.649420e+00	TPM4;BCL2;ADRA1B;ADRA1A
MSigDB_Hallmark_2020	Notch signaling pathway	2/59	2.390648e-01	9.881276e-01	0	0	2.193206e+00	3.138523e+00	MAML1;DTX1
MSigDB_Hallmark_2020	Glucagon signaling pathway	3/107	2.394060e-01	9.881276e-01	0	0	1.804497e+00	2.579700e+00	G6PC3;FBP2;GCK
MSigDB_Hallmark_2020	Steroid hormone biosynthesis	2/61	2.507820e-01	9.881276e-01	0	0	2.118644e+00	2.930448e+00	UGT2B15;CYP1A2
MSigDB_Hallmark_2020	Glycerolipid metabolism	2/61	2.507820e-01	9.881276e-01	0	0	2.118644e+00	2.930448e+00	DGKD;GLA
MSigDB_Hallmark_2020	Protein processing in endoplasmic reticulum	4/171	2.854715e-01	9.881276e-01	0	0	1.498311e+00	1.878302e+00	CAPN2;BCL2;UBXN8;SEC24C
MSigDB_Hallmark_2020	Retinol metabolism	2/68	2.918340e-01	9.881276e-01	0	0	1.893264e+00	2.331687e+00	UGT2B15;CYP1A2
MSigDB_Hallmark_2020	AMPK signaling pathway	3/120	2.948696e-01	9.881276e-01	0	0	1.602933e+00	1.957537e+00	G6PC3;ADRA1A;FBP2
MSigDB_Hallmark_2020	Epithelial cell signaling in Helicobacter pylori infection	2/70	3.035275e-01	9.881276e-01	0	0	1.837392e+00	2.190692e+00	CSK;ATP6V0D2
MSigDB_Hallmark_2020	Prolactin signaling pathway	2/70	3.035275e-01	9.881276e-01	0	0	1.837392e+00	2.190692e+00	SHC3;GCK
MSigDB_Hallmark_2020	Glioma	2/75	3.325890e-01	9.881276e-01	0	0	1.711107e+00	1.883668e+00	SHC3;CAMK1G
MSigDB_Hallmark_2020	Metabolism of xenobiotics by cytochrome P450	2/76	3.383629e-01	9.881276e-01	0	0	1.687898e+00	1.829068e+00	UGT2B15;CYP1A2
MSigDB_Hallmark_2020	Biosynthesis of unsaturated fatty acids	1/27	3.496777e-01	9.881276e-01	0	0	2.400244e+00	2.522041e+00	ELOVL6
MSigDB_Hallmark_2020	Collecting duct acid secretion	1/27	3.496777e-01	9.881276e-01	0	0	2.400244e+00	2.522041e+00	ATP6V0D2
MSigDB_Hallmark_2020	Fatty acid elongation	1/27	3.496777e-01	9.881276e-01	0	0	2.400244e+00	2.522041e+00	ELOVL6
MSigDB_Hallmark_2020	Vascular smooth muscle contraction	3/133	3.510361e-01	9.881276e-01	0	0	1.441681e+00	1.509247e+00	CALD1;ADRA1B;ADRA1A
MSigDB_Hallmark_2020	RNA degradation	2/79	3.555893e-01	9.881276e-01	0	0	1.621888e+00	1.676998e+00	TENT4A;DCPS
MSigDB_Hallmark_2020	Linoleic acid metabolism	1/29	3.700934e-01	9.881276e-01	0	0	2.228571e+00	2.215200e+00	CYP1A2
MSigDB_Hallmark_2020	Ascorbate and aldarate metabolism	1/30	3.800603e-01	9.881276e-01	0	0	2.151615e+00	2.081526e+00	UGT2B15
MSigDB_Hallmark_2020	Citrate cycle (TCA cycle)	1/30	3.800603e-01	9.881276e-01	0	0	2.151615e+00	2.081526e+00	PC
MSigDB_Hallmark_2020	Pentose phosphate pathway	1/30	3.800603e-01	9.881276e-01	0	0	2.151615e+00	2.081526e+00	FBP2
MSigDB_Hallmark_2020	Circadian rhythm	1/31	3.898701e-01	9.881276e-01	0	0	2.079788e+00	1.959039e+00	PER2
MSigDB_Hallmark_2020	Fructose and mannose metabolism	1/33	4.090278e-01	9.881276e-01	0	0	1.949603e+00	1.742891e+00	FBP2
MSigDB_Hallmark_2020	Bile secretion	2/90	4.172057e-01	9.881276e-01	0	0	1.418356e+00	1.239892e+00	ABCC4;UGT2B15
MSigDB_Hallmark_2020	Pentose and glucuronate interconversions	1/34	4.183805e-01	9.881276e-01	0	0	1.890428e+00	1.647251e+00	UGT2B15
