Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PanglaoDB_Augmented_2021	peptidyl-tyrosine dephosphorylation (GO:0035335)	10/35	3.336077e-04	9.999955e-01	0	0	4.554094e+00	3.645801e+01	DUSP4;DUSP2;PTPRB;PTPRS;UBASH3B;PTPRO;PTPN9;PTPRJ;PTPRF;DUSP6
PanglaoDB_Augmented_2021	regulation of synapse assembly (GO:0051963)	11/47	1.095137e-03	9.999955e-01	0	0	3.478895e+00	2.371519e+01	NLGN3;GRID2;NLGN2;WNT3A;DLG5;SYNDIG1;LHFPL4;WNT7A;EPHB2;GPC6;MDGA1
PanglaoDB_Augmented_2021	positive regulation of synapse assembly (GO:0051965)	8/28	1.310088e-03	9.999955e-01	0	0	4.549690e+00	3.019930e+01	NLGN3;GRID2;NLGN2;DLG5;SYNDIG1;WNT7A;EPHB2;AGRN
PanglaoDB_Augmented_2021	histidine catabolic process (GO:0006548)	4/8	2.311830e-03	9.999955e-01	0	0	1.135600e+01	6.892766e+01	CARNMT1;AMDHD1;HDC;HNMT
PanglaoDB_Augmented_2021	histidine metabolic process (GO:0006547)	4/8	2.311830e-03	9.999955e-01	0	0	1.135600e+01	6.892766e+01	CARNMT1;AMDHD1;HDC;HNMT
PanglaoDB_Augmented_2021	negative regulation of MAPK cascade (GO:0043409)	16/94	3.510343e-03	9.999955e-01	0	0	2.337389e+00	1.321102e+01	DUSP4;IGBP1;PTPRR;PRKCD;SPRY4;PRDM15;DAB2IP;PTPRJ;DUSP6;FOXO1;SPRED3;SPRED2;SPRED1;WNK2;APOE;EPHB2
PanglaoDB_Augmented_2021	phenol-containing compound biosynthetic process (GO:0046189)	4/9	3.895064e-03	9.999955e-01	0	0	9.084302e+00	5.040012e+01	MOXD1;TPH1;DCT;TYRP1
PanglaoDB_Augmented_2021	protein hydroxylation (GO:0018126)	5/15	5.249895e-03	9.999955e-01	0	0	5.679654e+00	2.981561e+01	JMJD4;EGLN3;P3H1;P3H4;P3H3
PanglaoDB_Augmented_2021	protein dephosphorylation (GO:0006470)	20/139	8.547725e-03	9.999955e-01	0	0	1.915568e+00	9.122106e+00	DUSP4;PTPRR;DUSP2;PTPRS;PPM1M;PTPRO;EYA4;PPM1H;PTPRJ;PPP2R5D;PTPRF;DUSP6;PTPRE;PPP5C;PTPRB;UBASH3B;PTPRA;CTDSP2;PTPN9;PPEF1
PanglaoDB_Augmented_2021	aromatic amino acid transport (GO:0015801)	3/6	8.832693e-03	9.999955e-01	0	0	1.134960e+01	5.367560e+01	SLC25A29;SLC3A2;SLC38A5
PanglaoDB_Augmented_2021	negative regulation of lens fiber cell differentiation (GO:1902747)	3/6	8.832693e-03	9.999955e-01	0	0	1.134960e+01	5.367560e+01	SPRED3;SPRED2;SPRED1
PanglaoDB_Augmented_2021	neurotransmitter-gated ion channel clustering (GO:0072578)	3/6	8.832693e-03	9.999955e-01	0	0	1.134960e+01	5.367560e+01	LHFPL4;APOE;SHISA7
PanglaoDB_Augmented_2021	regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	3/6	8.832693e-03	9.999955e-01	0	0	1.134960e+01	5.367560e+01	MLIP;TRPC3;FOXO1
PanglaoDB_Augmented_2021	dephosphorylation (GO:0016311)	21/153	1.206829e-02	9.999955e-01	0	0	1.813100e+00	8.008777e+00	DUSP4;PTPRR;DUSP2;PTPRS;PPM1M;EPHX2;PNKP;PTPRO;PPM1H;PTPRJ;PPP2R5D;DUSP15;PTPRF;DUSP6;PTPRE;PPP5C;PTPRB;PTPRA;CTDSP2;PTPN9;PPEF1
PanglaoDB_Augmented_2021	positive regulation of response to DNA damage stimulus (GO:2001022)	10/55	1.208476e-02	9.999955e-01	0	0	2.527295e+00	1.116006e+01	SPRED3;RNF168;SPRED2;SPRED1;FXR2;PRKCD;EYA4;ERCC8;BRCC3;ATR
PanglaoDB_Augmented_2021	presynapse organization (GO:0099172)	4/12	1.256477e-02	9.999955e-01	0	0	5.676761e+00	2.484638e+01	NLGN3;NLGN2;WNT3A;WNT7A
PanglaoDB_Augmented_2021	chemical synaptic transmission, postsynaptic (GO:0099565)	6/25	1.303931e-02	9.999955e-01	0	0	3.587611e+00	1.556947e+01	NLGN3;NPAS4;MPP2;GRID2;ARRB2;DRD4
PanglaoDB_Augmented_2021	regulation of AMPA receptor activity (GO:2000311)	6/25	1.303931e-02	9.999955e-01	0	0	3.587611e+00	1.556947e+01	NLGN3;ARC;NLGN2;CACNG4;SHISA7;SHANK1
PanglaoDB_Augmented_2021	cellular cation homeostasis (GO:0030003)	3/7	1.453085e-02	9.999955e-01	0	0	8.511736e+00	3.601725e+01	TESMIN;CLDN16;LETM2
PanglaoDB_Augmented_2021	chylomicron remnant clearance (GO:0034382)	3/7	1.453085e-02	9.999955e-01	0	0	8.511736e+00	3.601725e+01	LIPC;APOE;APOB
PanglaoDB_Augmented_2021	Golgi disassembly (GO:0090166)	3/7	1.453085e-02	9.999955e-01	0	0	8.511736e+00	3.601725e+01	PLK3;GBF1;STX5
PanglaoDB_Augmented_2021	inhibitory postsynaptic potential (GO:0060080)	3/7	1.453085e-02	9.999955e-01	0	0	8.511736e+00	3.601725e+01	NLGN3;NPAS4;DRD4
PanglaoDB_Augmented_2021	regulation of fat cell proliferation (GO:0070344)	3/7	1.453085e-02	9.999955e-01	0	0	8.511736e+00	3.601725e+01	PER2;PID1;TFDP1
PanglaoDB_Augmented_2021	regulation of lens fiber cell differentiation (GO:1902746)	3/7	1.453085e-02	9.999955e-01	0	0	8.511736e+00	3.601725e+01	SPRED3;SPRED2;SPRED1
PanglaoDB_Augmented_2021	long-term memory (GO:0007616)	5/19	1.549000e-02	9.999955e-01	0	0	4.056012e+00	1.690368e+01	NPAS4;ARC;RASGRF1;APOE;SHANK1
PanglaoDB_Augmented_2021	postsynaptic membrane organization (GO:0001941)	5/19	1.549000e-02	9.999955e-01	0	0	4.056012e+00	1.690368e+01	NLGN3;NLGN2;LHFPL4;APOE;SHISA7
PanglaoDB_Augmented_2021	fat cell differentiation (GO:0045444)	10/58	1.730977e-02	9.999955e-01	0	0	2.368952e+00	9.609615e+00	CLIP3;PER2;IL11;NR4A1;PID1;NR4A3;CBY1;SDF4;METRNL;FOXO1
PanglaoDB_Augmented_2021	synaptic vesicle recycling (GO:0036465)	7/34	1.755077e-02	9.999955e-01	0	0	2.945924e+00	1.190936e+01	NLGN3;NLGN2;WNT3A;WNT7A;SYNJ2;SNCB;RAB5A
PanglaoDB_Augmented_2021	negative regulation of ERK1 and ERK2 cascade (GO:0070373)	9/50	1.792266e-02	9.999955e-01	0	0	2.495471e+00	1.003601e+01	SPRED3;DUSP4;SPRED2;PTPRR;SPRED1;WNK2;DAB2IP;EPHB2;DUSP6
PanglaoDB_Augmented_2021	chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	6/27	1.897358e-02	9.999955e-01	0	0	3.245580e+00	1.286778e+01	CSGALNACT1;CHST11;CHSY1;CHST12;CHPF2;XYLT1
PanglaoDB_Augmented_2021	fatty acid transport (GO:0015908)	5/20	1.930482e-02	9.999955e-01	0	0	3.785405e+00	1.494251e+01	SLC25A17;LCN12;APOE;MFSD2A;SLC27A4
PanglaoDB_Augmented_2021	miRNA metabolic process (GO:0010586)	5/20	1.930482e-02	9.999955e-01	0	0	3.785405e+00	1.494251e+01	TRIM71;LIN28B;KHSRP;AGO2;DGCR8
PanglaoDB_Augmented_2021	regulation of postsynaptic membrane potential (GO:0060078)	7/35	2.044615e-02	9.999955e-01	0	0	2.840557e+00	1.104966e+01	NLGN3;NPAS4;MPP2;GRID2;ARRB2;GABRE;DRD4
PanglaoDB_Augmented_2021	regulation of trans-synaptic signaling (GO:0099177)	7/35	2.044615e-02	9.999955e-01	0	0	2.840557e+00	1.104966e+01	NLGN3;BCR;GRID2;ARC;NLGN2;GRIK4;NGF
PanglaoDB_Augmented_2021	regulation of alpha-beta T cell differentiation (GO:0046637)	3/8	2.186228e-02	9.999955e-01	0	0	6.809018e+00	2.603082e+01	PNP;NKAP;SH3RF1
PanglaoDB_Augmented_2021	regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	6/28	2.253636e-02	9.999955e-01	0	0	3.097885e+00	1.174912e+01	SPRED3;SPRED2;SPRED1;SMYD2;TWIST1;ATR
PanglaoDB_Augmented_2021	chondroitin sulfate biosynthetic process (GO:0030206)	5/21	2.368743e-02	9.999955e-01	0	0	3.548624e+00	1.328183e+01	CSGALNACT1;CHST11;CHSY1;CHPF2;CHST12
PanglaoDB_Augmented_2021	regulation of dendritic spine development (GO:0060998)	5/21	2.368743e-02	9.999955e-01	0	0	3.548624e+00	1.328183e+01	PTPRS;GRIN3A;DLG5;APOE;SHANK1
PanglaoDB_Augmented_2021	regulation of plasma membrane bounded cell projection assembly (GO:0120032)	11/70	2.469290e-02	9.999955e-01	0	0	2.120054e+00	7.846827e+00	IFT88;TBC1D2;FXR2;MYO10;TBC1D8;FSCN1;DCDC2;RAB5A;TBC1D10A;TBC1D22B;TBC1D16
PanglaoDB_Augmented_2021	positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517)	4/15	2.850599e-02	9.999955e-01	0	0	4.127880e+00	1.468551e+01	SPRED3;SPRED2;SPRED1;ATR
PanglaoDB_Augmented_2021	fatty acid alpha-oxidation (GO:0001561)	3/9	3.084590e-02	9.999955e-01	0	0	5.673873e+00	1.973799e+01	SLC25A17;PEX13;SLC27A2
PanglaoDB_Augmented_2021	inner ear receptor cell development (GO:0060119)	3/9	3.084590e-02	9.999955e-01	0	0	5.673873e+00	1.973799e+01	IFT88;PDZD7;TSKU
PanglaoDB_Augmented_2021	organic cyclic compound catabolic process (GO:1901361)	3/9	3.084590e-02	9.999955e-01	0	0	5.673873e+00	1.973799e+01	STS;EPHX2;CYP1A2
PanglaoDB_Augmented_2021	quaternary ammonium group transport (GO:0015697)	3/9	3.084590e-02	9.999955e-01	0	0	5.673873e+00	1.973799e+01	SLC25A29;SLC25A45;SLC6A20
PanglaoDB_Augmented_2021	regulation of protein deacetylation (GO:0090311)	3/9	3.084590e-02	9.999955e-01	0	0	5.673873e+00	1.973799e+01	SPRED3;SPRED2;SPRED1
PanglaoDB_Augmented_2021	chondroitin sulfate metabolic process (GO:0030204)	6/30	3.094979e-02	9.999955e-01	0	0	2.839418e+00	9.868084e+00	CSGALNACT1;CHST11;CHSY1;CHST12;CHPF2;ARSB
PanglaoDB_Augmented_2021	positive regulation of synaptic transmission (GO:0050806)	11/73	3.259846e-02	9.999955e-01	0	0	2.017140e+00	6.905660e+00	NLGN3;SLC8A3;MPP2;ARC;NLGN2;NMU;EPHB2;ADRA1A;SHISA7;CACNG4;CRHR2
PanglaoDB_Augmented_2021	long-chain fatty acid metabolic process (GO:0001676)	12/83	3.507444e-02	9.999955e-01	0	0	1.921827e+00	6.438662e+00	GLYATL2;DAGLA;EPHX2;PLA2G4C;CYP1A2;FAAH2;PNPLA3;ELOVL6;LTC4S;SLC27A2;FADS1;SLC27A4
PanglaoDB_Augmented_2021	ceramide catabolic process (GO:0046514)	4/16	3.563043e-02	9.999955e-01	0	0	3.783684e+00	1.261690e+01	ACER2;NEU3;ACER3;GLA
PanglaoDB_Augmented_2021	dendritic spine morphogenesis (GO:0060997)	4/16	3.563043e-02	9.999955e-01	0	0	3.783684e+00	1.261690e+01	ARC;WNT7A;EPHB2;SHANK1
PanglaoDB_Augmented_2021	negative regulation of epithelial cell differentiation (GO:0030857)	4/16	3.563043e-02	9.999955e-01	0	0	3.783684e+00	1.261690e+01	SPRED3;SPRED2;SPRED1;OSR1
PanglaoDB_Augmented_2021	sphingolipid catabolic process (GO:0030149)	4/16	3.563043e-02	9.999955e-01	0	0	3.783684e+00	1.261690e+01	ACER2;SMPD4;ACER3;GLA
PanglaoDB_Augmented_2021	negative regulation of osteoblast differentiation (GO:0045668)	6/31	3.583239e-02	9.999955e-01	0	0	2.725693e+00	9.073568e+00	BAMBI;PTCH1;TWIST2;TWIST1;HDAC7;MEN1
PanglaoDB_Augmented_2021	ether lipid biosynthetic process (GO:0008611)	3/10	4.146086e-02	9.999955e-01	0	0	4.863055e+00	1.547913e+01	PEX7;DHRS7B;PLA2G4C
PanglaoDB_Augmented_2021	genetic imprinting (GO:0071514)	3/10	4.146086e-02	9.999955e-01	0	0	4.863055e+00	1.547913e+01	MECP2;DNMT3A;CTCF
PanglaoDB_Augmented_2021	glycine transport (GO:0015816)	3/10	4.146086e-02	9.999955e-01	0	0	4.863055e+00	1.547913e+01	SLC6A17;SLC6A20;SLC38A5
PanglaoDB_Augmented_2021	histone H3-K36 demethylation (GO:0070544)	3/10	4.146086e-02	9.999955e-01	0	0	4.863055e+00	1.547913e+01	KDM2B;KDM8;KDM7A
PanglaoDB_Augmented_2021	inner ear receptor cell stereocilium organization (GO:0060122)	3/10	4.146086e-02	9.999955e-01	0	0	4.863055e+00	1.547913e+01	IFT88;PDZD7;TSKU
PanglaoDB_Augmented_2021	negative regulation of circadian rhythm (GO:0042754)	3/10	4.146086e-02	9.999955e-01	0	0	4.863055e+00	1.547913e+01	PER2;PIWIL2;CRY1
PanglaoDB_Augmented_2021	negative regulation of phosphatidylinositol 3-kinase signaling (GO:0014067)	3/10	4.146086e-02	9.999955e-01	0	0	4.863055e+00	1.547913e+01	DAB2IP;TWIST1;STAMBP
PanglaoDB_Augmented_2021	negative regulation of voltage-gated calcium channel activity (GO:1901386)	3/10	4.146086e-02	9.999955e-01	0	0	4.863055e+00	1.547913e+01	GNB5;DRD4;CBARP
PanglaoDB_Augmented_2021	adherens junction organization (GO:0034332)	8/49	4.204049e-02	9.999955e-01	0	0	2.216822e+00	7.025380e+00	CDH5;CDH4;CDH20;ZNF703;CDH13;CSK;PVR;CDH19
PanglaoDB_Augmented_2021	negative regulation of neuron projection development (GO:0010977)	9/58	4.284214e-02	9.999955e-01	0	0	2.087136e+00	6.574966e+00	PTPRS;PRAG1;BCL11A;WNT3A;PTPRO;PTPN9;APOE;KIAA0319;TSKU
PanglaoDB_Augmented_2021	cellular biogenic amine biosynthetic process (GO:0042401)	4/17	4.368903e-02	9.999955e-01	0	0	3.492441e+00	1.093364e+01	MOXD1;TPH1;HDC;PAH
PanglaoDB_Augmented_2021	histone H2A monoubiquitination (GO:0035518)	4/17	4.368903e-02	9.999955e-01	0	0	3.492441e+00	1.093364e+01	RNF168;PCGF6;KDM2B;RING1
PanglaoDB_Augmented_2021	regulation of cellular response to growth factor stimulus (GO:0090287)	4/17	4.368903e-02	9.999955e-01	0	0	3.492441e+00	1.093364e+01	TWSG1;ITGA3;DOK5;FSTL1
PanglaoDB_Augmented_2021	glycosaminoglycan biosynthetic process (GO:0006024)	13/97	4.944925e-02	9.999955e-01	0	0	1.759611e+00	5.290813e+00	CSGALNACT1;B4GALT2;CHPF2;SDC3;XYLT1;HS6ST2;CHST11;CHSY1;CHST12;UST;AGRN;GPC6;ST3GAL3
PanglaoDB_Augmented_2021	positive regulation of excitatory postsynaptic potential (GO:2000463)	4/18	5.268216e-02	9.999955e-01	0	0	3.242804e+00	9.545124e+00	NLGN3;NLGN2;WNT7A;SHANK1
PanglaoDB_Augmented_2021	presynapse assembly (GO:0099054)	4/18	5.268216e-02	9.999955e-01	0	0	3.242804e+00	9.545124e+00	NLGN3;NLGN2;WNT3A;WNT7A
PanglaoDB_Augmented_2021	regulation of presynapse assembly (GO:1905606)	4/18	5.268216e-02	9.999955e-01	0	0	3.242804e+00	9.545124e+00	WNT3A;WNT7A;GPC6;MDGA1
PanglaoDB_Augmented_2021	regulation of presynapse organization (GO:0099174)	4/18	5.268216e-02	9.999955e-01	0	0	3.242804e+00	9.545124e+00	WNT3A;WNT7A;GPC6;MDGA1
PanglaoDB_Augmented_2021	cell proliferation in forebrain (GO:0021846)	3/11	5.365493e-02	9.999955e-01	0	0	4.254941e+00	1.244648e+01	PCM1;WNT3A;WNT7A
PanglaoDB_Augmented_2021	Golgi inheritance (GO:0048313)	3/11	5.365493e-02	9.999955e-01	0	0	4.254941e+00	1.244648e+01	PLK3;GBF1;STX5
PanglaoDB_Augmented_2021	positive regulation of ceramide biosynthetic process (GO:2000304)	3/11	5.365493e-02	9.999955e-01	0	0	4.254941e+00	1.244648e+01	SMPD3;PRKCD;NSMAF
PanglaoDB_Augmented_2021	positive regulation of sphingolipid biosynthetic process (GO:0090154)	3/11	5.365493e-02	9.999955e-01	0	0	4.254941e+00	1.244648e+01	SMPD3;PRKCD;NSMAF
PanglaoDB_Augmented_2021	postsynapse assembly (GO:0099068)	3/11	5.365493e-02	9.999955e-01	0	0	4.254941e+00	1.244648e+01	NLGN3;NLGN2;WNT7A
PanglaoDB_Augmented_2021	tetrahydrofolate metabolic process (GO:0046653)	3/11	5.365493e-02	9.999955e-01	0	0	4.254941e+00	1.244648e+01	DHFR;MTHFD1L;MTHFR
PanglaoDB_Augmented_2021	urate metabolic process (GO:0046415)	3/11	5.365493e-02	9.999955e-01	0	0	4.254941e+00	1.244648e+01	SLC2A9;PNP;SLC16A9
PanglaoDB_Augmented_2021	histone lysine demethylation (GO:0070076)	5/26	5.483123e-02	9.999955e-01	0	0	2.702977e+00	7.848082e+00	PHF2;KDM3B;KDM2B;KDM8;KDM7A
PanglaoDB_Augmented_2021	proteoglycan metabolic process (GO:0006029)	5/26	5.483123e-02	9.999955e-01	0	0	2.702977e+00	7.848082e+00	CSGALNACT1;CHST11;CHST12;XYLT1;ADAMTS12
PanglaoDB_Augmented_2021	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)	2/5	5.571718e-02	9.999955e-01	0	0	7.561728e+00	2.183424e+01	NOP14;NOP9
PanglaoDB_Augmented_2021	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)	2/5	5.571718e-02	9.999955e-01	0	0	7.561728e+00	2.183424e+01	NOP14;NOP9
PanglaoDB_Augmented_2021	establishment of monopolar cell polarity (GO:0061162)	2/5	5.571718e-02	9.999955e-01	0	0	7.561728e+00	2.183424e+01	GBF1;FSCN1
PanglaoDB_Augmented_2021	insulin metabolic process (GO:1901142)	2/5	5.571718e-02	9.999955e-01	0	0	7.561728e+00	2.183424e+01	ERN1;CELA2A
PanglaoDB_Augmented_2021	lipid transport across blood-brain barrier (GO:1990379)	2/5	5.571718e-02	9.999955e-01	0	0	7.561728e+00	2.183424e+01	MFSD2A;SLC27A4
PanglaoDB_Augmented_2021	melanin biosynthetic process (GO:0042438)	2/5	5.571718e-02	9.999955e-01	0	0	7.561728e+00	2.183424e+01	DCT;TYRP1
PanglaoDB_Augmented_2021	mesonephric duct development (GO:0072177)	2/5	5.571718e-02	9.999955e-01	0	0	7.561728e+00	2.183424e+01	OSR1;PKD2
PanglaoDB_Augmented_2021	negative regulation of autophagosome maturation (GO:1901097)	2/5	5.571718e-02	9.999955e-01	0	0	7.561728e+00	2.183424e+01	RUBCN;CLEC16A
PanglaoDB_Augmented_2021	negative regulation of smooth muscle cell apoptotic process (GO:0034392)	2/5	5.571718e-02	9.999955e-01	0	0	7.561728e+00	2.183424e+01	DNMT1;APOH
