Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,Legionellosis,3/57,0.0186575403380247,0.907077346533666,0,0,5.655498281786942,22.517394160090088,HSPA8;HSPA1L;TLR2
GO_Biological_Process_2021,"Alanine, aspartate and glutamate metabolism",2/37,0.0513290240442937,0.907077346533666,0,0,5.792820512820513,17.201774233110324,GAD1;NAT8L
GO_Biological_Process_2021,Cellular senescence,4/156,0.0686291136110796,0.907077346533666,0,0,2.6794382328879194,7.178318017130312,RAD1;SLC25A31;HIPK1;CDC25A
GO_Biological_Process_2021,Hepatocellular carcinoma,4/168,0.0847588929879236,0.907077346533666,0,0,2.481865284974093,6.125106043405697,FRAT1;TCF7;ACTL6A;MGST1
GO_Biological_Process_2021,Cysteine and methionine metabolism,2/50,0.0869804918562356,0.907077346533666,0,0,4.221153846153846,10.308359154488748,BHMT;MAT2B
GO_Biological_Process_2021,Malaria,2/50,0.0869804918562356,0.907077346533666,0,0,4.221153846153846,10.308359154488748,SDC2;TLR2
GO_Biological_Process_2021,Sulfur metabolism,1/10,0.0942666825685649,0.907077346533666,0,0,11.22108843537415,26.50003063546954,SQOR
GO_Biological_Process_2021,Toxoplasmosis,3/112,0.0988142130237478,0.907077346533666,0,0,2.7940035940603423,6.466759954099219,HSPA8;HSPA1L;TLR2
GO_Biological_Process_2021,Taurine and hypotaurine metabolism,1/11,0.1031926036714436,0.907077346533666,0,0,10.098469387755102,22.93522053097424,GAD1
GO_Biological_Process_2021,Inflammatory bowel disease,2/65,0.1345136948528044,0.907077346533666,0,0,3.213675213675214,6.446919346247004,IL21R;TLR2
GO_Biological_Process_2021,Estrogen signaling pathway,3/137,0.1531186534961665,0.907077346533666,0,0,2.2698492075703958,4.259467701022521,HSPA8;HSPA1L;ESR1
GO_Biological_Process_2021,Measles,3/139,0.1578124743369417,0.907077346533666,0,0,2.2362416616130987,4.128879921675427,HSPA8;HSPA1L;TLR2
GO_Biological_Process_2021,Breast cancer,3/147,0.1770131972744749,0.907077346533666,0,0,2.111146907216495,3.6555162907309273,FRAT1;TCF7;ESR1
GO_Biological_Process_2021,Antigen processing and presentation,2/78,0.1792774758192537,0.907077346533666,0,0,2.66221322537112,4.575866744697604,HSPA8;HSPA1L
GO_Biological_Process_2021,Spliceosome,3/150,0.1843749916348925,0.907077346533666,0,0,2.0677466863033875,3.4961121804866155,HSPA8;HSPA1L;SRSF9
GO_Biological_Process_2021,Chemical carcinogenesis,4/239,0.2102641918937116,0.907077346533666,0,0,1.7257634218939475,2.691139054834157,MGST1;CHRNA9;ESR1;CDC25A
GO_Biological_Process_2021,alpha-Linolenic acid metabolism,1/25,0.2193431354092711,0.907077346533666,0,0,4.204719387755102,6.379055245294434,PLA2G10
GO_Biological_Process_2021,Wnt signaling pathway,3/166,0.2248646810654817,0.907077346533666,0,0,1.8632597558661688,2.7804614356494453,FRAT1;TCF7;NOTUM
GO_Biological_Process_2021,Biosynthesis of unsaturated fatty acids,1/27,0.2346657520091249,0.907077346533666,0,0,3.880886970172684,5.62570700950055,ELOVL2
GO_Biological_Process_2021,Fatty acid elongation,1/27,0.2346657520091249,0.907077346533666,0,0,3.880886970172684,5.62570700950055,ELOVL2
GO_Biological_Process_2021,Butanoate metabolism,1/28,0.2422144741188746,0.907077346533666,0,0,3.736961451247165,5.298756060910102,GAD1
GO_Biological_Process_2021,Linoleic acid metabolism,1/29,0.2496891151288308,0.907077346533666,0,0,3.603316326530612,4.999740759307304,PLA2G10
GO_Biological_Process_2021,beta-Alanine metabolism,1/30,0.2570903983018182,0.907077346533666,0,0,3.4788881069669246,4.725469425364806,GAD1
GO_Biological_Process_2021,Longevity regulating pathway,2/102,0.2659694063085119,0.907077346533666,0,0,2.020820512820513,2.6763221270380053,HSPA8;HSPA1L
GO_Biological_Process_2021,SNARE interactions in vesicular transport,1/33,0.278861229263361,0.907077346533666,0,0,3.152264030612245,4.025570432144096,SNAP23
GO_Biological_Process_2021,Prion disease,4/273,0.2826596096094156,0.907077346533666,0,0,1.5050176242849165,1.901607675246199,HSPA8;HSPA1L;SLC25A31;COX6A1
GO_Biological_Process_2021,Mucin type O-glycan biosynthesis,1/36,0.2999972130793481,0.907077346533666,0,0,2.8816326530612244,3.4694341160728244,GALNTL5
GO_Biological_Process_2021,African trypanosomiasis,1/37,0.3069046630939835,0.907077346533666,0,0,2.8014455782312924,3.3091182884214025,APOL1
GO_Biological_Process_2021,Thyroid cancer,1/37,0.3069046630939835,0.907077346533666,0,0,2.8014455782312924,3.3091182884214025,TCF7
GO_Biological_Process_2021,Primary immunodeficiency,1/38,0.3137442947182595,0.907077346533666,0,0,2.7255929398786543,3.159444573314536,ADA
GO_Biological_Process_2021,"Glycine, serine and threonine metabolism",1/40,0.3272227459608274,0.907077346533666,0,0,2.585557299843014,2.888362670304516,BHMT
GO_Biological_Process_2021,Proteoglycans in cancer,3/205,0.3285674803742342,0.907077346533666,0,0,1.500535878330101,1.6701160032376696,SDC2;ESR1;TLR2
GO_Biological_Process_2021,MAPK signaling pathway,4/294,0.3291467953295738,0.907077346533666,0,0,1.3945327854207612,1.5496765677615778,HSPA8;HSPA1L;MAPKAPK3;RASGRP4
GO_Biological_Process_2021,Type I diabetes mellitus,1/43,0.3469481384581217,0.907077346533666,0,0,2.4005102040816326,2.541132012855372,GAD1
GO_Biological_Process_2021,Fat digestion and absorption,1/43,0.3469481384581217,0.907077346533666,0,0,2.4005102040816326,2.541132012855372,PLA2G10
GO_Biological_Process_2021,Vasopressin-regulated water reabsorption,1/44,0.3533945481939682,0.907077346533666,0,0,2.344565733270052,2.438747280952085,AQP3
GO_Biological_Process_2021,Lipid and atherosclerosis,3/215,0.3554699931943859,0.907077346533666,0,0,1.4290264539972768,1.4780626974127742,HSPA8;HSPA1L;TLR2
GO_Biological_Process_2021,Basal transcription factors,1/45,0.3597776438006098,0.907077346533666,0,0,2.291164192949908,2.3421863448078786,TBPL1
GO_Biological_Process_2021,Other types of O-glycan biosynthesis,1/47,0.372356361503517,0.907077346533666,0,0,2.191326530612245,2.164820074478216,GALNTL5
GO_Biological_Process_2021,Ether lipid metabolism,1/49,0.3846891693056931,0.907077346533666,0,0,2.099808673469388,2.005988430797245,PLA2G10
GO_Biological_Process_2021,Fluid shear stress and atherosclerosis,2/139,0.3985435489210228,0.907077346533666,0,0,1.472281489799738,1.354408432094668,SDC2;MGST1
GO_Biological_Process_2021,Ubiquitin mediated proteolysis,2/140,0.401998149801314,0.907077346533666,0,0,1.4615384615384617,1.3319113895616936,HERC3;UBE2L6
GO_Biological_Process_2021,Endocrine and other factor-regulated calcium reabsorption,1/53,0.4086360961583358,0.907077346533666,0,0,1.937892464678179,1.7342786061763646,ESR1
GO_Biological_Process_2021,Spinocerebellar ataxia,2/143,0.412305484973087,0.907077346533666,0,0,1.4302236770321877,1.267164928262961,TBPL1;SLC25A31
GO_Biological_Process_2021,Fanconi anemia pathway,1/54,0.4144764966064914,0.907077346533666,0,0,1.9012321909896035,1.6744893557986198,FANCF
GO_Biological_Process_2021,Glutathione metabolism,1/57,0.4316555914059851,0.907077346533666,0,0,1.7991071428571428,1.5114789378597475,MGST1
GO_Biological_Process_2021,Gastric cancer,2/149,0.4326531455326484,0.907077346533666,0,0,1.3714285714285714,1.149008806723861,FRAT1;TCF7
GO_Biological_Process_2021,Endometrial cancer,1/58,0.4372697730407063,0.907077346533666,0,0,1.767454350161117,1.4620469780616636,TCF7
GO_Biological_Process_2021,VEGF signaling pathway,1/59,0.4428287756572594,0.907077346533666,0,0,1.7368930330752992,1.414824596019285,MAPKAPK3
GO_Biological_Process_2021,Parkinson disease,3/249,0.4452842005780261,0.907077346533666,0,0,1.2293814432989691,0.9946218949615347,UBE2L6;SLC25A31;COX6A1
GO_Biological_Process_2021,Arachidonic acid metabolism,1/61,0.4537833968400045,0.907077346533666,0,0,1.678826530612245,1.3265000947773218,PLA2G10
GO_Biological_Process_2021,Basal cell carcinoma,1/63,0.4645237090349114,0.907077346533666,0,0,1.624506254114549,1.245578278916038,TCF7
GO_Biological_Process_2021,Acute myeloid leukemia,1/67,0.4853780120744478,0.907077346533666,0,0,1.5257421150278294,1.102848031050523,TCF7
GO_Biological_Process_2021,Long-term potentiation,1/67,0.4853780120744478,0.907077346533666,0,0,1.5257421150278294,1.102848031050523,PPP1R1A
GO_Biological_Process_2021,Alzheimer disease,4/369,0.4940216331556412,0.907077346533666,0,0,1.103726311306693,0.778321273227732,BACE2;FRAT1;SLC25A31;COX6A1
GO_Biological_Process_2021,Prolactin signaling pathway,1/70,0.5004866210880893,0.907077346533666,0,0,1.4591836734693877,1.010009600712171,ESR1
GO_Biological_Process_2021,Protein processing in endoplasmic reticulum,2/171,0.503846512466654,0.907077346533666,0,0,1.1915642542861478,0.8167977499512173,HSPA8;HSPA1L
GO_Biological_Process_2021,Adherens junction,1/71,0.5054240974234667,0.907077346533666,0,0,1.438265306122449,0.981410982362234,TCF7
GO_Biological_Process_2021,PPAR signaling pathway,1/74,0.519947064136187,0.907077346533666,0,0,1.3789488398098966,0.9018715273277892,PLIN4
GO_Biological_Process_2021,Metabolism of xenobiotics by cytochrome P450,1/76,0.5293925177137138,0.907077346533666,0,0,1.3420408163265307,0.8535716750208164,MGST1
GO_Biological_Process_2021,Arrhythmogenic right ventricular cardiomyopathy,1/77,0.5340456714681998,0.907077346533666,0,0,1.324315252416756,0.8307084151769345,TCF7
GO_Biological_Process_2021,Leishmaniasis,1/77,0.5340456714681998,0.907077346533666,0,0,1.324315252416756,0.8307084151769345,TLR2
GO_Biological_Process_2021,Herpes simplex virus 1 infection,5/498,0.5455650322937655,0.907077346533666,0,0,1.0200092968221772,0.6180575634287879,ZNF582;ZNF175;ZNF284;TLR2;SRSF9
GO_Biological_Process_2021,RNA transport,2/186,0.548985384333511,0.907077346533666,0,0,1.0935897435897437,0.6558076814426692,NUP210L;SMN2
GO_Biological_Process_2021,Neutrophil extracellular trap formation,2/189,0.5576631029723939,0.907077346533666,0,0,1.0758809817633348,0.6283147699051449,SLC25A31;TLR2
GO_Biological_Process_2021,Colorectal cancer,1/86,0.5739169454100319,0.907077346533666,0,0,1.1835534213685477,0.6571924036676114,TCF7
GO_Biological_Process_2021,Cardiac muscle contraction,1/87,0.578131975830874,0.907077346533666,0,0,1.1697318462268629,0.6409581965563749,COX6A1
GO_Biological_Process_2021,Huntington disease,3/306,0.582815356448203,0.907077346533666,0,0,0.9952026130448096,0.5372948190140902,TBPL1;SLC25A31;COX6A1
GO_Biological_Process_2021,GABAergic synapse,1/89,0.5864379795629191,0.907077346533666,0,0,1.1430310760667903,0.6100223840453565,GAD1
GO_Biological_Process_2021,PD-L1 expression and PD-1 checkpoint pathway in cancer,1/89,0.5864379795629191,0.907077346533666,0,0,1.1430310760667903,0.6100223840453565,TLR2
GO_Biological_Process_2021,Diabetic cardiomyopathy,2/203,0.5965841502959804,0.907077346533666,0,0,1.0002296211251436,0.5166535813143919,SLC25A31;COX6A1
GO_Biological_Process_2021,Rheumatoid arthritis,1/93,0.602564996920353,0.907077346533666,0,0,1.093112244897959,0.5537266553641191,TLR2
GO_Biological_Process_2021,Pathways in cancer,5/531,0.6027272643598084,0.907077346533666,0,0,0.9543825253485424,0.4831947892323155,FRAT1;TCF7;MGST1;ESR1;RASGRP4
