Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	excitatory synapse assembly (GO:1904861)	3/8	2.391286e-03	9.472086e-01	0	0	1.583178e+01	9.555943e+01	GRID2;NLGN1;WNT5A
MSigDB_Hallmark_2020	lipoprotein catabolic process (GO:0042159)	3/11	6.488902e-03	9.472086e-01	0	0	9.893322e+00	4.983921e+01	ABHD17A;PPT1;NOTUM
MSigDB_Hallmark_2020	protein deacylation (GO:0035601)	4/23	9.090964e-03	9.472086e-01	0	0	5.558588e+00	2.612800e+01	HDAC3;ABHD17A;PPT1;NOTUM
MSigDB_Hallmark_2020	regulation of neuron apoptotic process (GO:0043523)	9/98	9.825425e-03	9.472086e-01	0	0	2.678658e+00	1.238285e+01	GRID2;EGLN3;PINK1;FGF20;BCL2;PPT1;KIF14;SLC30A10;CRLF1
MSigDB_Hallmark_2020	establishment of monopolar cell polarity (GO:0061162)	2/5	1.246033e-02	9.472086e-01	0	0	1.756863e+01	7.704204e+01	GBF1;SCRIB
MSigDB_Hallmark_2020	regulation of skeletal muscle tissue development (GO:0048641)	2/5	1.246033e-02	9.472086e-01	0	0	1.756863e+01	7.704204e+01	TGFB1;MEGF10
MSigDB_Hallmark_2020	negative regulation of smooth muscle cell apoptotic process (GO:0034392)	2/5	1.246033e-02	9.472086e-01	0	0	1.756863e+01	7.704204e+01	DNMT1;APOH
MSigDB_Hallmark_2020	negative regulation of synapse organization (GO:1905809)	2/5	1.246033e-02	9.472086e-01	0	0	1.756863e+01	7.704204e+01	ROBO2;NEUROD2
MSigDB_Hallmark_2020	regulation of protein kinase C signaling (GO:0090036)	3/14	1.318994e-02	9.472086e-01	0	0	7.194022e+00	3.113789e+01	DGKD;WNT5A;ADRA1A
MSigDB_Hallmark_2020	positive regulation of SMAD protein signal transduction (GO:0060391)	3/14	1.318994e-02	9.472086e-01	0	0	7.194022e+00	3.113789e+01	TGFB1;KIAA0319;TGFBR1
MSigDB_Hallmark_2020	negative regulation of neuron apoptotic process (GO:0043524)	7/71	1.508316e-02	9.472086e-01	0	0	2.893014e+00	1.213381e+01	PINK1;KIF14;FGF20;BCL2;PPT1;SLC30A10;CRLF1
MSigDB_Hallmark_2020	choline catabolic process (GO:0042426)	2/6	1.823929e-02	9.472086e-01	0	0	1.317579e+01	5.275818e+01	BHMT;ALDH7A1
MSigDB_Hallmark_2020	foam cell differentiation (GO:0090077)	2/6	1.823929e-02	9.472086e-01	0	0	1.317579e+01	5.275818e+01	TGFB1;SOAT1
MSigDB_Hallmark_2020	intracellular pH elevation (GO:0051454)	2/6	1.823929e-02	9.472086e-01	0	0	1.317579e+01	5.275818e+01	BCL2;SLC26A3
MSigDB_Hallmark_2020	macrophage derived foam cell differentiation (GO:0010742)	2/6	1.823929e-02	9.472086e-01	0	0	1.317579e+01	5.275818e+01	TGFB1;SOAT1
MSigDB_Hallmark_2020	mitotic DNA replication initiation (GO:1902975)	2/6	1.823929e-02	9.472086e-01	0	0	1.317579e+01	5.275818e+01	MCM3;MCM2
MSigDB_Hallmark_2020	neurotransmitter-gated ion channel clustering (GO:0072578)	2/6	1.823929e-02	9.472086e-01	0	0	1.317579e+01	5.275818e+01	NLGN1;LHFPL4
MSigDB_Hallmark_2020	nuclear cell cycle DNA replication initiation (GO:1902315)	2/6	1.823929e-02	9.472086e-01	0	0	1.317579e+01	5.275818e+01	MCM3;MCM2
MSigDB_Hallmark_2020	positive regulation of heart rate by epinephrine-norepinephrine (GO:0001996)	2/6	1.823929e-02	9.472086e-01	0	0	1.317579e+01	5.275818e+01	ADRA1B;ADRA1A
MSigDB_Hallmark_2020	negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254)	3/17	2.271534e-02	9.472086e-01	0	0	5.651566e+00	2.138956e+01	ARMC10;BCL2;CD44
MSigDB_Hallmark_2020	fatty acid elongation, monounsaturated fatty acid (GO:0034625)	2/7	2.492050e-02	9.472086e-01	0	0	1.054008e+01	3.891466e+01	ELOVL2;ELOVL6
MSigDB_Hallmark_2020	fatty acid elongation, polyunsaturated fatty acid (GO:0034626)	2/7	2.492050e-02	9.472086e-01	0	0	1.054008e+01	3.891466e+01	ELOVL2;ELOVL6
MSigDB_Hallmark_2020	fatty acid elongation, saturated fatty acid (GO:0019367)	2/7	2.492050e-02	9.472086e-01	0	0	1.054008e+01	3.891466e+01	ELOVL2;ELOVL6
MSigDB_Hallmark_2020	fatty acid elongation, unsaturated fatty acid (GO:0019368)	2/7	2.492050e-02	9.472086e-01	0	0	1.054008e+01	3.891466e+01	ELOVL2;ELOVL6
MSigDB_Hallmark_2020	Golgi disassembly (GO:0090166)	2/7	2.492050e-02	9.472086e-01	0	0	1.054008e+01	3.891466e+01	GBF1;STX5
MSigDB_Hallmark_2020	tachykinin receptor signaling pathway (GO:0007217)	2/7	2.492050e-02	9.472086e-01	0	0	1.054008e+01	3.891466e+01	GRK5;TACR3
MSigDB_Hallmark_2020	negative regulation of dendritic spine development (GO:0061000)	2/7	2.492050e-02	9.472086e-01	0	0	1.054008e+01	3.891466e+01	NLGN1;GRIN3A
