Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PanglaoDB_Augmented_2021	heparan sulfate proteoglycan biosynthetic process (GO:0015012)	10/19	1.969141e-05	8.565762e-02	0	0	8.197531e+00	8.882294e+01	CSGALNACT1;HS3ST3B1;EXT1;EXT2;UGDH;B3GAT3;NDST3;HS3ST5;HS6ST2;HS2ST1
PanglaoDB_Augmented_2021	glycosaminoglycan biosynthetic process (GO:0006024)	26/97	5.194215e-05	1.129742e-01	0	0	2.710385e+00	2.673898e+01	B4GALT2;B4GALT3;CEMIP;HS6ST2;HS2ST1;CHST11;CHSY1;CHST12;CHSY3;GPC5;GPC4;GPC6;CSGALNACT1;HS3ST3B1;CHST6;ANGPT1;CHPF2;B3GAT3;HS3ST5;HS3ST1;EXT1;EXT2;UGDH;VCAN;UST;CSPG5
PanglaoDB_Augmented_2021	chondroitin sulfate biosynthetic process (GO:0030206)	9/21	3.793384e-04	3.497884e-01	0	0	5.530071e+00	4.356082e+01	CSGALNACT1;UGDH;VCAN;CHST11;CHSY1;CHPF2;CHST12;CSPG5;CHSY3
PanglaoDB_Augmented_2021	heparan sulfate proteoglycan metabolic process (GO:0030201)	9/21	3.793384e-04	3.497884e-01	0	0	5.530071e+00	4.356082e+01	HS3ST3B1;EXT1;EXT2;UGDH;B3GAT3;NDST3;HS3ST5;HS6ST2;HS2ST1
PanglaoDB_Augmented_2021	modulation of chemical synaptic transmission (GO:0050804)	26/109	4.020557e-04	3.497884e-01	0	0	2.316935e+00	1.811593e+01	PXK;NLGN1;GRIK1;GRIK2;LRP8;RIMS2;GRM3;GRM2;GRM4;GRM7;GRM8;LRRC4C;DLGAP4;GRID2;NLGN4X;SYT1;CEL;NGF;SNCAIP;DGKZ;NPAS4;SLC8A3;ARC;NRG3;AKAP9;NMU
PanglaoDB_Augmented_2021	regulation of trans-synaptic signaling (GO:0099177)	12/35	4.966841e-04	3.600960e-01	0	0	3.849441e+00	2.928484e+01	NLGN1;PXK;GRID2;ARC;NLGN4X;NRG3;GRIK1;GRIK2;CEL;LRRC4C;NGF;LRP8
PanglaoDB_Augmented_2021	proteoglycan biosynthetic process (GO:0030166)	11/31	6.073852e-04	3.639258e-01	0	0	4.056942e+00	3.004712e+01	CHST8;CSGALNACT1;HS3ST3B1;EXT1;EXT2;UGDH;CHST11;CHST12;B3GAT3;NDST3;FAM20B
PanglaoDB_Augmented_2021	chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	10/27	7.272425e-04	3.639258e-01	0	0	4.337896e+00	3.134672e+01	CSGALNACT1;UGDH;VCAN;CHST11;CHSY1;CHST12;B3GAT3;CHPF2;CSPG5;CHSY3
PanglaoDB_Augmented_2021	protein deacylation (GO:0035601)	9/23	8.435429e-04	3.639258e-01	0	0	4.739522e+00	3.354586e+01	HDAC4;HDAC3;HDAC10;ABHD17B;HDAC1;ABHD17A;ABHD17C;SIRT7;SIRT1
PanglaoDB_Augmented_2021	negative regulation of smooth muscle cell apoptotic process (GO:0034392)	4/5	9.277597e-04	3.639258e-01	0	0	2.945044e+01	2.056447e+02	DNMT1;APOH;DIPK2A;LRP6
PanglaoDB_Augmented_2021	regulation of histone H4-K16 acetylation (GO:2000618)	4/5	9.277597e-04	3.639258e-01	0	0	2.945044e+01	2.056447e+02	SMARCB1;AUTS2;PIH1D1;SIRT1
PanglaoDB_Augmented_2021	heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0015014)	5/8	1.003933e-03	3.639258e-01	0	0	1.227476e+01	8.474282e+01	CSGALNACT1;EXT1;EXT2;NDST3;HS2ST1
PanglaoDB_Augmented_2021	chondroitin sulfate metabolic process (GO:0030204)	10/30	1.849023e-03	5.765375e-01	0	0	3.686583e+00	2.320003e+01	CSGALNACT1;UGDH;VCAN;CHST11;CHSY1;CHST12;CHPF2;CSPG5;CHSY3;ARSB
