Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	TNF signaling pathway	3/112	6.849884e-03	4.784017e-01	0	0	8.266055e+00	4.119408e+01	VCAM1;CX3CL1;CREB5
MSigDB_Hallmark_2020	Hepatitis C	3/157	1.704192e-02	4.784017e-01	0	0	5.837367e+00	2.377022e+01	RSAD2;STAT1;MX1
MSigDB_Hallmark_2020	Influenza A	3/172	2.164427e-02	4.784017e-01	0	0	5.315223e+00	2.037333e+01	RSAD2;STAT1;MX1
MSigDB_Hallmark_2020	Human papillomavirus infection	4/331	2.747796e-02	4.784017e-01	0	0	3.689297e+00	1.326070e+01	STAT1;MX1;HES1;CREB5
MSigDB_Hallmark_2020	Antigen processing and presentation	2/78	2.976809e-02	4.784017e-01	0	0	7.798507e+00	2.740644e+01	PDIA3;CD74
MSigDB_Hallmark_2020	Epstein-Barr virus infection	3/202	3.269394e-02	4.784017e-01	0	0	4.507081e+00	1.541677e+01	PDIA3;STAT1;HES1
MSigDB_Hallmark_2020	ErbB signaling pathway	2/85	3.484980e-02	4.784017e-01	0	0	7.138284e+00	2.396114e+01	ABL2;NRG2
MSigDB_Hallmark_2020	Human cytomegalovirus infection	3/225	4.281434e-02	4.784017e-01	0	0	4.035422e+00	1.271514e+01	PDIA3;CX3CL1;CREB5
MSigDB_Hallmark_2020	AGE-RAGE signaling pathway in diabetic complications	2/100	4.676264e-02	4.784017e-01	0	0	6.041121e+00	1.850196e+01	VCAM1;STAT1
MSigDB_Hallmark_2020	C-type lectin receptor signaling pathway	2/104	5.015879e-02	4.784017e-01	0	0	5.803044e+00	1.736596e+01	CYLD;STAT1
MSigDB_Hallmark_2020	NF-kappa B signaling pathway	2/104	5.015879e-02	4.784017e-01	0	0	5.803044e+00	1.736596e+01	CYLD;VCAM1
MSigDB_Hallmark_2020	Primary bile acid biosynthesis	1/17	5.708081e-02	4.784017e-01	0	0	1.830423e+01	5.241026e+01	HSD17B4
MSigDB_Hallmark_2020	Growth hormone synthesis, secretion and action	2/119	6.364128e-02	4.784017e-01	0	0	5.055237e+00	1.392461e+01	STAT1;CREB5
MSigDB_Hallmark_2020	Osteoclast differentiation	2/127	7.127744e-02	4.784017e-01	0	0	4.729791e+00	1.249221e+01	CYLD;STAT1
MSigDB_Hallmark_2020	Measles	2/139	8.325383e-02	4.784017e-01	0	0	4.312888e+00	1.072124e+01	STAT1;MX1
MSigDB_Hallmark_2020	Maturity onset diabetes of the young	1/26	8.598753e-02	4.784017e-01	0	0	1.170941e+01	2.872966e+01	HES1
MSigDB_Hallmark_2020	Signaling pathways regulating pluripotency of stem cells	2/143	8.737498e-02	4.784017e-01	0	0	4.189690e+00	1.021256e+01	SMAD9;TBX3
MSigDB_Hallmark_2020	Biosynthesis of unsaturated fatty acids	1/27	8.914497e-02	4.784017e-01	0	0	1.125848e+01	2.721729e+01	HSD17B4
MSigDB_Hallmark_2020	Adrenergic signaling in cardiomyocytes	2/150	9.473094e-02	4.784017e-01	0	0	3.990117e+00	9.403567e+00	TPM1;CREB5
MSigDB_Hallmark_2020	Necroptosis	2/159	1.044402e-01	4.784017e-01	0	0	3.759673e+00	8.493628e+00	CYLD;STAT1
MSigDB_Hallmark_2020	Hepatitis B	2/162	1.077355e-01	4.784017e-01	0	0	3.688619e+00	8.218523e+00	STAT1;CREB5
MSigDB_Hallmark_2020	African trypanosomiasis	1/37	1.201341e-01	4.784017e-01	0	0	8.127042e+00	1.722240e+01	VCAM1
MSigDB_Hallmark_2020	Tuberculosis	2/180	1.280619e-01	4.784017e-01	0	0	3.312594e+00	6.808182e+00	CD74;STAT1
MSigDB_Hallmark_2020	Alcoholism	2/186	1.350279e-01	4.784017e-01	0	0	3.203602e+00	6.414489e+00	HDAC9;CREB5
MSigDB_Hallmark_2020	Vasopressin-regulated water reabsorption	1/44	1.412058e-01	4.784017e-01	0	0	6.801642e+00	1.331446e+01	CREB5
MSigDB_Hallmark_2020	Chemokine signaling pathway	2/192	1.420781e-01	4.784017e-01	0	0	3.101493e+00	6.052185e+00	STAT1;CX3CL1
MSigDB_Hallmark_2020	Viral carcinogenesis	2/203	1.552019e-01	4.784017e-01	0	0	2.930125e+00	5.458907e+00	HDAC9;CREB5
MSigDB_Hallmark_2020	Cocaine addiction	1/49	1.559518e-01	4.784017e-01	0	0	6.091605e+00	1.131947e+01	CREB5
MSigDB_Hallmark_2020	Arginine and proline metabolism	1/50	1.588709e-01	4.784017e-01	0	0	5.966987e+00	1.097725e+01	LAP3
MSigDB_Hallmark_2020	Cholesterol metabolism	1/50	1.588709e-01	4.784017e-01	0	0	5.966987e+00	1.097725e+01	LRPAP1
MSigDB_Hallmark_2020	Malaria	1/50	1.588709e-01	4.784017e-01	0	0	5.966987e+00	1.097725e+01	VCAM1
MSigDB_Hallmark_2020	Human immunodeficiency virus 1 infection	2/212	1.661090e-01	4.784017e-01	0	0	2.803269e+00	5.032180e+00	PDIA3;TRIM5
MSigDB_Hallmark_2020	Fanconi anemia pathway	1/54	1.704482e-01	4.784017e-01	0	0	5.515538e+00	9.758772e+00	HES1
MSigDB_Hallmark_2020	Glutathione metabolism	1/57	1.790280e-01	4.784017e-01	0	0	5.219275e+00	8.978265e+00	LAP3
