Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,TNF signaling pathway,3/112,0.0068498839614225,0.4784017351338849,0,0,8.26605504587156,41.19408012548262,VCAM1;CX3CL1;CREB5
KEGG_2021_Human,Hepatitis C,3/157,0.0170419179212363,0.4784017351338849,0,0,5.837367178276269,23.770221526928506,RSAD2;STAT1;MX1
KEGG_2021_Human,Influenza A,3/172,0.0216442674158165,0.4784017351338849,0,0,5.315223238300161,20.37332850898054,RSAD2;STAT1;MX1
KEGG_2021_Human,Human papillomavirus infection,4/331,0.0274779628507835,0.4784017351338849,0,0,3.689296636085627,13.260700641557776,STAT1;MX1;HES1;CREB5
KEGG_2021_Human,Antigen processing and presentation,2/78,0.0297680936992516,0.4784017351338849,0,0,7.798507462686567,27.406436243326244,PDIA3;CD74
KEGG_2021_Human,Epstein-Barr virus infection,3/202,0.032693943166074,0.4784017351338849,0,0,4.507080858839653,15.416765032363893,PDIA3;STAT1;HES1
KEGG_2021_Human,ErbB signaling pathway,2/85,0.0348497960704622,0.4784017351338849,0,0,7.138284481208416,23.96113657744526,ABL2;NRG2
KEGG_2021_Human,Human cytomegalovirus infection,3/225,0.0428143367731468,0.4784017351338849,0,0,4.035421785421786,12.715138919941962,PDIA3;CX3CL1;CREB5
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,2/100,0.0467626402187707,0.4784017351338849,0,0,6.041120925982333,18.501963939065423,VCAM1;STAT1
KEGG_2021_Human,C-type lectin receptor signaling pathway,2/104,0.0501587908102398,0.4784017351338849,0,0,5.803043605501903,17.365964816305862,CYLD;STAT1
KEGG_2021_Human,NF-kappa B signaling pathway,2/104,0.0501587908102398,0.4784017351338849,0,0,5.803043605501903,17.365964816305862,CYLD;VCAM1
KEGG_2021_Human,Primary bile acid biosynthesis,1/17,0.0570808058931169,0.4784017351338849,0,0,18.30422794117647,52.410264641542106,HSD17B4
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",2/119,0.0636412828460871,0.4784017351338849,0,0,5.05523663732619,13.924613515609533,STAT1;CREB5
KEGG_2021_Human,Osteoclast differentiation,2/127,0.0712774398481934,0.4784017351338849,0,0,4.729791044776119,12.492207817494595,CYLD;STAT1
KEGG_2021_Human,Measles,2/139,0.0832538272631929,0.4784017351338849,0,0,4.312888114173657,10.721241128284069,STAT1;MX1
KEGG_2021_Human,Maturity onset diabetes of the young,1/26,0.0859875288365276,0.4784017351338849,0,0,11.709411764705882,28.729662442835576,HES1
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,2/143,0.087374980632977,0.4784017351338849,0,0,4.189689848629194,10.212562989018217,SMAD9;TBX3
KEGG_2021_Human,Biosynthesis of unsaturated fatty acids,1/27,0.0891449708907092,0.4784017351338849,0,0,11.258484162895927,27.217288055780266,HSD17B4
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,2/150,0.0947309433364264,0.4784017351338849,0,0,3.990116982654296,9.403566872857326,TPM1;CREB5
KEGG_2021_Human,Necroptosis,2/159,0.1044402427623795,0.4784017351338849,0,0,3.7596729727160376,8.493628391873926,CYLD;STAT1
KEGG_2021_Human,Hepatitis B,2/162,0.1077355447720296,0.4784017351338849,0,0,3.6886194029850743,8.2185233108872,STAT1;CREB5
KEGG_2021_Human,African trypanosomiasis,1/37,0.1201340677322892,0.4784017351338849,0,0,8.12704248366013,17.222397118954486,VCAM1
KEGG_2021_Human,Tuberculosis,2/180,0.1280618864618707,0.4784017351338849,0,0,3.312594331712225,6.808181819954305,CD74;STAT1
KEGG_2021_Human,Alcoholism,2/186,0.1350278618533028,0.4784017351338849,0,0,3.20360155743024,6.414488546064349,HDAC9;CREB5
KEGG_2021_Human,Vasopressin-regulated water reabsorption,1/44,0.1412058416793381,0.4784017351338849,0,0,6.801641586867305,13.31446223150924,CREB5
KEGG_2021_Human,Chemokine signaling pathway,2/192,0.1420781195783817,0.4784017351338849,0,0,3.1014925373134328,6.052185032631493,STAT1;CX3CL1
KEGG_2021_Human,Viral carcinogenesis,2/203,0.1552018839032804,0.4784017351338849,0,0,2.9301254919432687,5.458907396041994,HDAC9;CREB5
KEGG_2021_Human,Cocaine addiction,1/49,0.1559518351617717,0.4784017351338849,0,0,6.091605392156863,11.319470289022188,CREB5
KEGG_2021_Human,Arginine and proline metabolism,1/50,0.158870948881139,0.4784017351338849,0,0,5.966986794717887,10.977245117600177,LAP3
