Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,cellular response to type I interferon (GO:0071357),13/65,2.397917211076312e-13,2.069402553158857e-10,0,0,23.82608695652174,692.3623961318868,SP100;RSAD2;STAT1;MX1;HLA-B;HLA-C;ISG15;HLA-F;IFI27;IRF1;OAS3;IRF2;XAF1
MSigDB_Hallmark_2020,type I interferon signaling pathway (GO:0060337),13/65,2.397917211076312e-13,2.069402553158857e-10,0,0,23.82608695652174,692.3623961318868,SP100;RSAD2;STAT1;MX1;HLA-B;HLA-C;ISG15;HLA-F;IFI27;IRF1;OAS3;IRF2;XAF1
MSigDB_Hallmark_2020,interferon-gamma-mediated signaling pathway (GO:0060333),10/68,3.521640634774874e-09,2.0261172452071446e-06,0,0,16.192118226600986,315.16887612895476,SP100;VCAM1;STAT1;IRF1;OAS3;IRF2;HLA-B;HLA-C;HLA-F;GBP1
MSigDB_Hallmark_2020,cellular response to interferon-gamma (GO:0071346),12/121,9.488709653558482e-09,4.094378215510485e-06,0,0,10.411609033168666,192.33535287176144,SP100;VCAM1;STAT1;IRF1;OAS3;IRF2;HLA-B;HLA-C;HLA-F;GBP1;CX3CL1;GBP4
MSigDB_Hallmark_2020,defense response to symbiont (GO:0140546),12/124,1.2543208121847086e-08,4.329915443661614e-06,0,0,10.13118131868132,184.32758929343987,IFIH1;RSAD2;IFI27;STAT1;IRF1;OAS3;IRF2;MX1;NLRC5;EIF2AK2;ISG15;IFI44L
MSigDB_Hallmark_2020,defense response to virus (GO:0051607),12/133,2.7705253939031773e-08,7.969878049794807e-06,0,0,9.373331214240306,163.11137071764747,IFIH1;RSAD2;IFI27;STAT1;IRF1;OAS3;IRF2;MX1;NLRC5;EIF2AK2;ISG15;IFI44L
MSigDB_Hallmark_2020,regulation of viral genome replication (GO:0045069),9/67,4.9229283007018195e-08,1.2138534638587628e-05,0,0,14.503840496813204,244.0528926919747,IFIH1;RSAD2;TNIP1;OAS3;MX1;EIF2AK2;ISG15;PABPC1;ZC3HAV1
MSigDB_Hallmark_2020,negative regulation of viral process (GO:0048525),9/70,7.277042837503776e-08,1.5700219921914395e-05,0,0,13.78843912671898,226.62618111059888,IFIH1;RSAD2;TNIP1;STAT1;OAS3;MX1;EIF2AK2;ISG15;ZC3HAV1
MSigDB_Hallmark_2020,negative regulation of viral genome replication (GO:0045071),8/54,1.2709808110930226e-07,2.4374587554961743e-05,0,0,16.18867924528302,257.048815036805,IFIH1;RSAD2;TNIP1;OAS3;MX1;EIF2AK2;ISG15;ZC3HAV1
MSigDB_Hallmark_2020,regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),13/224,1.2671481810436365e-06,0.00021870977604813164,0,0,5.8245071776907755,79.08947854928455,PRKN;CD74;STAT1;PLK2;SHISA5;ZDHHC17;CX3CL1;UFL1;TNIP1;TNFSF10;PLCG2;OPTN;APOL3
MSigDB_Hallmark_2020,regulation of interferon-gamma-mediated signaling pathway (GO:0060334),5/23,4.40566772295348e-06,0.0006912893172561551,0,0,25.532299741602067,314.8801179392207,STAT1;CDC37;NLRC5;PPARG;PARP14
MSigDB_Hallmark_2020,cytokine-mediated signaling pathway (GO:0019221),21/621,5.451758215232735e-06,0.0007841445566243084,0,0,3.3733668341708545,40.883763554934234,SP100;VCAM1;RSAD2;STAT1;MX1;HLA-B;FN1;HLA-C;ISG15;HLA-F;SOD2;CX3CL1;PSMB9;IFI27;PSMA1;TMSB4X;IRF1;OAS3;IRF2;XAF1;GBP1
