Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	ErbB signaling pathway	2/85	5.429511e-03	2.584461e-01	0	0	1.997088e+01	1.041663e+02	ABL2;NRG2
GO_Biological_Process_2021	Primary bile acid biosynthesis	1/17	2.188015e-02	2.584461e-01	0	0	4.989500e+01	1.907074e+02	HSD17B4
GO_Biological_Process_2021	Alcoholism	2/186	2.415148e-02	2.584461e-01	0	0	8.962862e+00	3.337241e+01	HDAC9;CREB5
GO_Biological_Process_2021	Viral carcinogenesis	2/203	2.839696e-02	2.584461e-01	0	0	8.197761e+00	2.919611e+01	HDAC9;CREB5
GO_Biological_Process_2021	Human immunodeficiency virus 1 infection	2/212	3.075789e-02	2.584461e-01	0	0	7.842857e+00	2.730576e+01	PDIA3;TRIM5
GO_Biological_Process_2021	Human cytomegalovirus infection	2/225	3.430160e-02	2.584461e-01	0	0	7.380792e+00	2.489219e+01	PDIA3;CREB5
GO_Biological_Process_2021	Biosynthesis of unsaturated fatty acids	1/27	3.453506e-02	2.584461e-01	0	0	3.068923e+01	1.032932e+02	HSD17B4
GO_Biological_Process_2021	Chemical carcinogenesis	2/239	3.828831e-02	2.584461e-01	0	0	6.939873e+00	2.264210e+01	KPNA3;CREB5
GO_Biological_Process_2021	Vasopressin-regulated water reabsorption	1/44	5.568795e-02	2.698628e-01	0	0	1.854047e+01	5.354471e+01	CREB5
GO_Biological_Process_2021	Cocaine addiction	1/49	6.182410e-02	2.698628e-01	0	0	1.660500e+01	4.621939e+01	CREB5
GO_Biological_Process_2021	Viral myocarditis	1/60	7.518898e-02	2.698628e-01	0	0	1.350169e+01	3.493902e+01	ABL2
GO_Biological_Process_2021	Cortisol synthesis and secretion	1/65	8.120323e-02	2.698628e-01	0	0	1.244375e+01	3.124377e+01	CREB5
GO_Biological_Process_2021	Amphetamine addiction	1/69	8.598753e-02	2.698628e-01	0	0	1.170941e+01	2.872966e+01	CREB5
GO_Biological_Process_2021	Thyroid hormone synthesis	1/75	9.311910e-02	2.698628e-01	0	0	1.075676e+01	2.553521e+01	CREB5
GO_Biological_Process_2021	Antigen processing and presentation	1/78	9.666479e-02	2.698628e-01	0	0	1.033610e+01	2.415037e+01	PDIA3
GO_Biological_Process_2021	Peroxisome	1/82	1.013716e-01	2.698628e-01	0	0	9.823704e+00	2.248608e+01	HSD17B4
GO_Biological_Process_2021	Insulin secretion	1/86	1.060549e-01	2.698628e-01	0	0	9.359529e+00	2.100090e+01	CREB5
GO_Biological_Process_2021	TGF-beta signaling pathway	1/94	1.153511e-01	2.698628e-01	0	0	8.550968e+00	1.846816e+01	SMAD9
GO_Biological_Process_2021	Prostate cancer	1/97	1.188132e-01	2.698628e-01	0	0	8.282500e+00	1.764340e+01	CREB5
GO_Biological_Process_2021	Aldosterone synthesis and secretion	1/98	1.199643e-01	2.698628e-01	0	0	8.196701e+00	1.738160e+01	CREB5
GO_Biological_Process_2021	Longevity regulating pathway	1/102	1.245544e-01	2.698628e-01	0	0	7.870495e+00	1.639434e+01	CREB5
