Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,ErbB signaling pathway,2/85,0.0054295113427952,0.2584460997303134,0,0,19.970883534136547,104.16625407098388,ABL2;NRG2
KEGG_2021_Human,Primary bile acid biosynthesis,1/17,0.0218801506534414,0.2584460997303134,0,0,49.895,190.70744238188936,HSD17B4
KEGG_2021_Human,Alcoholism,2/186,0.0241514800180625,0.2584460997303134,0,0,8.96286231884058,33.37240774816722,HDAC9;CREB5
KEGG_2021_Human,Viral carcinogenesis,2/203,0.0283969557018182,0.2584460997303134,0,0,8.197761194029852,29.19610788413947,HDAC9;CREB5
KEGG_2021_Human,Human immunodeficiency virus 1 infection,2/212,0.030757888538507,0.2584460997303134,0,0,7.8428571428571425,27.305760287227304,PDIA3;TRIM5
KEGG_2021_Human,Human cytomegalovirus infection,2/225,0.0343015984280023,0.2584460997303134,0,0,7.380792227204783,24.892189171200208,PDIA3;CREB5
KEGG_2021_Human,Biosynthesis of unsaturated fatty acids,1/27,0.0345350613606546,0.2584460997303134,0,0,30.689230769230768,103.29320526635196,HSD17B4
KEGG_2021_Human,Chemical carcinogenesis,2/239,0.0382883110711575,0.2584460997303134,0,0,6.939873417721519,22.64210473730176,KPNA3;CREB5
KEGG_2021_Human,Vasopressin-regulated water reabsorption,1/44,0.0556879502757451,0.2698627662034332,0,0,18.54046511627907,53.54470543982107,CREB5
KEGG_2021_Human,Cocaine addiction,1/49,0.061824103460221,0.2698627662034332,0,0,16.605,46.219385960868735,CREB5
KEGG_2021_Human,Viral myocarditis,1/60,0.0751889789422143,0.2698627662034332,0,0,13.501694915254236,34.93901932570728,ABL2
KEGG_2021_Human,Cortisol synthesis and secretion,1/65,0.0812032260122347,0.2698627662034332,0,0,12.44375,31.243771275296563,CREB5
KEGG_2021_Human,Amphetamine addiction,1/69,0.0859875288365276,0.2698627662034332,0,0,11.709411764705882,28.729662442835576,CREB5
KEGG_2021_Human,Thyroid hormone synthesis,1/75,0.0931190960947256,0.2698627662034332,0,0,10.756756756756756,25.53520672349185,CREB5
KEGG_2021_Human,Antigen processing and presentation,1/78,0.0966647857687068,0.2698627662034332,0,0,10.336103896103896,24.150369828536576,PDIA3
KEGG_2021_Human,Peroxisome,1/82,0.1013716424127319,0.2698627662034332,0,0,9.823703703703703,22.4860833724728,HSD17B4
KEGG_2021_Human,Insulin secretion,1/86,0.1060549125253618,0.2698627662034332,0,0,9.359529411764706,21.000895961244385,CREB5
KEGG_2021_Human,TGF-beta signaling pathway,1/94,0.1153511465610254,0.2698627662034332,0,0,8.550967741935484,18.46816083576708,SMAD9
KEGG_2021_Human,Prostate cancer,1/97,0.1188132118767595,0.2698627662034332,0,0,8.2825,17.64340359069681,CREB5
KEGG_2021_Human,Aldosterone synthesis and secretion,1/98,0.1199643358649244,0.2698627662034332,0,0,8.196701030927835,17.38160274385576,CREB5
KEGG_2021_Human,Longevity regulating pathway,1/102,0.124554389413718,0.2698627662034332,0,0,7.87049504950495,16.39434189671731,CREB5
KEGG_2021_Human,"Parathyroid hormone synthesis, secretion and action",1/106,0.129121418613924,0.2698627662034332,0,0,7.569142857142857,15.494051230927994,CREB5
KEGG_2021_Human,Glucagon signaling pathway,1/107,0.1302595913745322,0.2698627662034332,0,0,7.497358490566038,15.281310728397788,CREB5
KEGG_2021_Human,Insulin resistance,1/108,0.1313963337628756,0.2698627662034332,0,0,7.426915887850467,15.07320114483968,CREB5
KEGG_2021_Human,TNF signaling pathway,1/112,0.1359290341840525,0.2698627662034332,0,0,7.157837837837838,14.284341073134293,CREB5
KEGG_2021_Human,Cholinergic synapse,1/113,0.137058650616631,0.2698627662034332,0,0,7.093571428571429,14.097383202443446,CREB5
KEGG_2021_Human,Glutamatergic synapse,1/114,0.1381868469963723,0.2698627662034332,0,0,7.0304424778761065,13.914290006879398,GRIK2
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",1/119,0.1438065882864303,0.2698627662034332,0,0,6.730847457627118,13.053038371424424,CREB5
KEGG_2021_Human,AMPK signaling pathway,1/120,0.1449263003685104,0.2698627662034332,0,0,6.673949579831933,12.890933425468226,CREB5
KEGG_2021_Human,Relaxin signaling pathway,1/129,0.1549405489192802,0.2756673863693539,0,0,6.201875,11.564721842549098,CREB5
KEGG_2021_Human,Dopaminergic synapse,1/132,0.1582534995824069,0.2756673863693539,0,0,6.058931297709924,11.169985836162711,CREB5
KEGG_2021_Human,Estrogen signaling pathway,1/137,0.163747350080978,0.2763236532616505,0,0,5.834705882352941,10.55749529148292,CREB5
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,1/143,0.1702944669620657,0.278663673210653,0,0,5.586478873239437,9.889331165414369,SMAD9
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,1/150,0.1778704835093364,0.282500179691299,0,0,5.322147651006712,9.189750296073624,CREB5
KEGG_2021_Human,Cushing syndrome,1/155,0.1832411528538297,0.2827149215459086,0,0,5.148051948051948,8.735998174132183,CREB5
KEGG_2021_Human,Hepatitis B,1/162,0.1907034462286013,0.2844969235999745,0,0,4.92248447204969,8.156732478628248,CREB5
KEGG_2021_Human,cGMP-PKG signaling pathway,1/167,0.1959934725280854,0.2844969235999745,0,0,4.773012048192771,7.778453272609529,CREB5
KEGG_2021_Human,Protein processing in endoplasmic reticulum,1/171,0.2002015388296117,0.2844969235999745,0,0,4.659764705882353,7.494908727328963,PDIA3
KEGG_2021_Human,Neutrophil extracellular trap formation,1/189,0.2188771881168769,0.3030607220079834,0,0,4.209787234042553,6.395696064943001,HDAC9
KEGG_2021_Human,Epstein-Barr virus infection,1/202,0.2321036207760561,0.3056830879200613,0,0,3.934925373134329,5.747239326379849,PDIA3
KEGG_2021_Human,Diabetic cardiomyopathy,1/203,0.233112069977469,0.3056830879200613,0,0,3.915247524752475,5.701524214455285,PDK4
KEGG_2021_Human,cAMP signaling pathway,1/216,0.2461065825334588,0.3056830879200613,0,0,3.676093023255814,5.153847769772427,CREB5
KEGG_2021_Human,Regulation of actin cytoskeleton,1/218,0.2480868509652648,0.3056830879200613,0,0,3.6418433179723504,5.0766435963058445,ARHGEF4
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,1/219,0.2490751086756055,0.3056830879200613,0,0,3.624954128440367,5.038689090408649,CREB5
KEGG_2021_Human,Thermogenesis,1/232,0.2618093496487844,0.3073414104572687,0,0,3.418701298701299,4.581533959256237,CREB5
KEGG_2021_Human,Ras signaling pathway,1/232,0.2618093496487844,0.3073414104572687,0,0,3.418701298701299,4.581533959256237,ABL2
KEGG_2021_Human,Salmonella infection,1/249,0.2781488121480666,0.3195752309786297,0,0,3.1816129032258065,4.071188730761572,KPNA3
KEGG_2021_Human,Prion disease,1/273,0.3006254256249686,0.3382036038280897,0,0,2.8973529411764707,3.4823001706182133,CREB5
KEGG_2021_Human,Huntington disease,1/306,0.3304346299544092,0.3641524493375122,0,0,2.5795409836065573,2.856445500827111,CREB5
KEGG_2021_Human,Human papillomavirus infection,1/331,0.352200057218641,0.3803760617961323,0,0,2.381090909090909,2.484801515333859,CREB5
KEGG_2021_Human,Neuroactive ligand-receptor interaction,1/341,0.3607143404102489,0.3819328310226165,0,0,2.3098823529411763,2.3553152780957607,GRIK2
KEGG_2021_Human,PI3K-Akt signaling pathway,1/354,0.3716221570860812,0.3859153169740074,0,0,2.223342776203966,2.200837317220621,CREB5
KEGG_2021_Human,Amyotrophic lateral sclerosis,1/364,0.3798907813800664,0.3870585319721431,0,0,2.16099173553719,2.091562280136057,NRG2
KEGG_2021_Human,Herpes simplex virus 1 infection,1/498,0.4810825792821921,0.4810825792821921,0,0,1.5675653923541248,1.1470132133483633,PDIA3
