Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	Glutamatergic synapse	6/114	7.131441e-04	1.253509e-01	0	0	6.048189e+00	4.382413e+01	GRIA2;HOMER2;ITPR1;GRIK1;GRIK2;SLC38A3
GO_Biological_Process_2021	Proximal tubule bicarbonate reclamation	3/23	1.241098e-03	1.253509e-01	0	0	1.613560e+01	1.079755e+02	GLUD1;SLC38A3;SLC4A4
GO_Biological_Process_2021	Propanoate metabolism	3/34	3.889191e-03	2.618722e-01	0	0	1.040428e+01	5.773910e+01	LDHA;ACOX1;HIBCH
GO_Biological_Process_2021	Protein processing in endoplasmic reticulum	6/171	5.497100e-03	2.776035e-01	0	0	3.947363e+00	2.054024e+01	BCAP31;HSPH1;CANX;EIF2AK2;CALR;MAP3K5
GO_Biological_Process_2021	FoxO signaling pathway	5/131	7.813683e-03	3.156728e-01	0	0	4.292473e+00	2.082656e+01	BCL6;HOMER2;PIK3R3;PRKAG2;KLF2
GO_Biological_Process_2021	Spinocerebellar ataxia	5/143	1.115323e-02	3.250456e-01	0	0	3.916826e+00	1.761015e+01	GRIA2;PSMC6;ITPR1;PIK3R3;MAP3K5
GO_Biological_Process_2021	Proteoglycans in cancer	6/205	1.279869e-02	3.250456e-01	0	0	3.267276e+00	1.424014e+01	WNT2B;ERBB4;ITPR1;PIK3R3;TIMP3;ANK2
GO_Biological_Process_2021	Human papillomavirus infection	8/331	1.287309e-02	3.250456e-01	0	0	2.696785e+00	1.173807e+01	BCAP31;LAMA5;WNT2B;PKM;EIF2AK2;PIK3R3;LAMC1;PPP2R3A
GO_Biological_Process_2021	Glucagon signaling pathway	4/107	1.811879e-02	4.066661e-01	0	0	4.182715e+00	1.677606e+01	LDHA;PKM;ITPR1;PRKAG2
GO_Biological_Process_2021	Alzheimer disease	8/369	2.307400e-02	4.274659e-01	0	0	2.408208e+00	9.076654e+00	PSMC6;WNT2B;ITPR1;EIF2AK2;PIK3R3;GAPDH;RTN4;MAP3K5
GO_Biological_Process_2021	Glycolysis / Gluconeogenesis	3/67	2.489301e-02	4.274659e-01	0	0	5.031165e+00	1.858094e+01	LDHA;PKM;GAPDH
GO_Biological_Process_2021	Biosynthesis of unsaturated fatty acids	2/27	2.618520e-02	4.274659e-01	0	0	8.556973e+00	3.116929e+01	SCP2;ACOX1
GO_Biological_Process_2021	Central carbon metabolism in cancer	3/70	2.787683e-02	4.274659e-01	0	0	4.805159e+00	1.720227e+01	LDHA;PKM;PIK3R3
GO_Biological_Process_2021	beta-Alanine metabolism	2/30	3.186664e-02	4.274659e-01	0	0	7.638996e+00	2.632548e+01	ACOX1;HIBCH
GO_Biological_Process_2021	PPAR signaling pathway	3/74	3.213788e-02	4.274659e-01	0	0	4.533527e+00	1.558500e+01	SCP2;ACOX1;ANGPTL4
GO_Biological_Process_2021	Circadian rhythm	2/31	3.385868e-02	4.274659e-01	0	0	7.375210e+00	2.496921e+01	BHLHE40;PRKAG2
GO_Biological_Process_2021	Autophagy	4/137	3.986134e-02	4.427468e-01	0	0	3.234315e+00	1.042209e+01	DDIT4;ATG10;ITPR1;PIK3R3
GO_Biological_Process_2021	Fluid shear stress and atherosclerosis	4/139	4.167582e-02	4.427468e-01	0	0	3.186076e+00	1.012482e+01	VCAM1;PIK3R3;KLF2;MAP3K5
GO_Biological_Process_2021	Nicotinate and nicotinamide metabolism	2/35	4.228978e-02	4.427468e-01	0	0	6.479934e+00	2.049739e+01	PNP;NNT
GO_Biological_Process_2021	D-Glutamine and D-glutamate metabolism	1/5	4.588819e-02	4.427468e-01	0	0	2.662500e+01	8.204620e+01	GLUD1
GO_Biological_Process_2021	Alanine, aspartate and glutamate metabolism	2/37	4.676876e-02	4.427468e-01	0	0	6.109035e+00	1.870916e+01	GLUD1;RIMKLB
GO_Biological_Process_2021	PI3K-Akt signaling pathway	7/354	4.919253e-02	4.427468e-01	0	0	2.181588e+00	6.570973e+00	LAMA5;ERBB4;PKN3;DDIT4;PIK3R3;LAMC1;PPP2R3A
GO_Biological_Process_2021	Cell adhesion molecules	4/148	5.041176e-02	4.427468e-01	0	0	2.985580e+00	8.919512e+00	VCAM1;CNTN1;NRCAM;NCAM2
GO_Biological_Process_2021	Phosphonate and phosphinate metabolism	1/6	5.481134e-02	4.461132e-01	0	0	2.129892e+01	6.184906e+01	CHPT1
GO_Biological_Process_2021	Small cell lung cancer	3/92	5.521203e-02	4.461132e-01	0	0	3.613337e+00	1.046630e+01	LAMA5;PIK3R3;LAMC1
GO_Biological_Process_2021	Hepatitis C	4/157	6.007592e-02	4.667437e-01	0	0	2.808672e+00	7.898395e+00	RSAD2;CD81;PIK3R3;EIF2AK2
GO_Biological_Process_2021	Choline metabolism in cancer	3/98	6.426111e-02	4.764941e-01	0	0	3.384096e+00	9.288669e+00	SLC22A5;PIK3R3;CHPT1
GO_Biological_Process_2021	Type II diabetes mellitus	2/46	6.885882e-02	4.764941e-01	0	0	4.857248e+00	1.299652e+01	PKM;PIK3R3
GO_Biological_Process_2021	Amoebiasis	3/102	7.064948e-02	4.764941e-01	0	0	3.246706e+00	8.603851e+00	LAMA5;PIK3R3;LAMC1
GO_Biological_Process_2021	Pyruvate metabolism	2/47	7.149053e-02	4.764941e-01	0	0	4.749069e+00	1.252895e+01	LDHA;PKM
GO_Biological_Process_2021	Hepatocellular carcinoma	4/168	7.312533e-02	4.764941e-01	0	0	2.618819e+00	6.849732e+00	PBRM1;WNT2B;PHF10;PIK3R3
GO_Biological_Process_2021	Cholesterol metabolism	2/50	7.957603e-02	4.871018e-01	0	0	4.451577e+00	1.126713e+01	STARD3;ANGPTL4
GO_Biological_Process_2021	Malaria	2/50	7.957603e-02	4.871018e-01	0	0	4.451577e+00	1.126713e+01	VCAM1;CD81
GO_Biological_Process_2021	HIF-1 signaling pathway	3/109	8.248393e-02	4.900516e-01	0	0	3.031224e+00	7.563365e+00	LDHA;PIK3R3;GAPDH
