Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Proximal tubule bicarbonate reclamation	2/23	2.442121e-03	1.025691e-01	0	0	3.059140e+01	1.840038e+02	SLC38A3;SLC4A4
MSigDB_Hallmark_2020	NOD-like receptor signaling pathway	3/181	2.029281e-02	4.261491e-01	0	0	5.459016e+00	2.127645e+01	GBP2;GBP1;GBP4
MSigDB_Hallmark_2020	Bile secretion	2/90	3.371209e-02	4.700754e-01	0	0	7.275660e+00	2.466375e+01	SLCO1A2;SLC4A4
MSigDB_Hallmark_2020	Glutamatergic synapse	2/114	5.164912e-02	4.700754e-01	0	0	5.709677e+00	1.691939e+01	HOMER2;SLC38A3
MSigDB_Hallmark_2020	Hepatitis C	2/157	9.008573e-02	4.700754e-01	0	0	4.116753e+00	9.908999e+00	RSAD2;EIF2AK2
MSigDB_Hallmark_2020	beta-Alanine metabolism	1/30	9.173898e-02	4.700754e-01	0	0	1.089600e+01	2.602846e+01	HIBCH
MSigDB_Hallmark_2020	Propanoate metabolism	1/34	1.033272e-01	4.700754e-01	0	0	9.573353e+00	2.173012e+01	HIBCH
MSigDB_Hallmark_2020	Influenza A	2/172	1.049997e-01	4.700754e-01	0	0	3.750664e+00	8.453240e+00	RSAD2;EIF2AK2
MSigDB_Hallmark_2020	Nicotinate and nicotinamide metabolism	1/35	1.062014e-01	4.700754e-01	0	0	9.291317e+00	2.083501e+01	NNT
MSigDB_Hallmark_2020	African trypanosomiasis	1/37	1.119227e-01	4.700754e-01	0	0	8.774250e+00	1.921514e+01	VCAM1
MSigDB_Hallmark_2020	Valine, leucine and isoleucine degradation	1/48	1.427513e-01	4.789363e-01	0	0	6.716988e+00	1.307563e+01	HIBCH
MSigDB_Hallmark_2020	Malaria	1/50	1.482422e-01	4.789363e-01	0	0	6.442177e+00	1.229752e+01	VCAM1
MSigDB_Hallmark_2020	Cholesterol metabolism	1/50	1.482422e-01	4.789363e-01	0	0	6.442177e+00	1.229752e+01	STARD3
MSigDB_Hallmark_2020	GABAergic synapse	1/89	2.486521e-01	5.760170e-01	0	0	3.580087e+00	4.982409e+00	SLC38A3
