Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Proximal tubule bicarbonate reclamation,2/23,0.0024421209821295,0.102569081249443,0,0,30.591397849462364,184.0038429108897,SLC38A3;SLC4A4
KEGG_2021_Human,NOD-like receptor signaling pathway,3/181,0.0202928131692437,0.4261490765541176,0,0,5.459016393442623,21.2764535420942,GBP2;GBP1;GBP4
KEGG_2021_Human,Bile secretion,2/90,0.0337120857727269,0.4700753681382015,0,0,7.275659824046921,24.66375107166157,SLCO1A2;SLC4A4
KEGG_2021_Human,Glutamatergic synapse,2/114,0.05164911524009,0.4700753681382015,0,0,5.709677419354839,16.91938554145026,HOMER2;SLC38A3
KEGG_2021_Human,Hepatitis C,2/157,0.0900857260691463,0.4700753681382015,0,0,4.116753381893861,9.90899883766989,RSAD2;EIF2AK2
KEGG_2021_Human,beta-Alanine metabolism,1/30,0.091738983515608,0.4700753681382015,0,0,10.896004378763,26.028461010792668,HIBCH
KEGG_2021_Human,Propanoate metabolism,1/34,0.1033271840716739,0.4700753681382015,0,0,9.573352573352574,21.73012010811059,HIBCH
KEGG_2021_Human,Influenza A,2/172,0.1049996633381447,0.4700753681382015,0,0,3.750664136622391,8.453239836630281,RSAD2;EIF2AK2
KEGG_2021_Human,Nicotinate and nicotinamide metabolism,1/35,0.1062014185406305,0.4700753681382015,0,0,9.291316526610643,20.83501368555894,NNT
KEGG_2021_Human,African trypanosomiasis,1/37,0.1119227066995718,0.4700753681382015,0,0,8.774250440917108,19.2151413655998,VCAM1
KEGG_2021_Human,"Valine, leucine and isoleucine degradation",1/48,0.1427512947350202,0.4789363196593001,0,0,6.716987504221547,13.075632863820008,HIBCH
KEGG_2021_Human,Malaria,1/50,0.1482421941802595,0.4789363196593001,0,0,6.442176870748299,12.297522293260638,VCAM1
KEGG_2021_Human,Cholesterol metabolism,1/50,0.1482421941802595,0.4789363196593001,0,0,6.442176870748299,12.297522293260638,STARD3
KEGG_2021_Human,GABAergic synapse,1/89,0.2486520831462469,0.5760170102925583,0,0,3.58008658008658,4.982408698951666,SLC38A3
KEGG_2021_Human,Choline metabolism in cancer,1/98,0.2701144788961077,0.5760170102925583,0,0,3.2464408443789887,4.249296982984643,SLC22A5
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,1/100,0.2748013108427819,0.5760170102925583,0,0,3.180535513868848,4.108319823136149,VCAM1
KEGG_2021_Human,Pancreatic secretion,1/102,0.2794585143583938,0.5760170102925583,0,0,3.1172402954581173,3.974174096178889,SLC4A4
KEGG_2021_Human,Protein digestion and absorption,1/103,0.2817760630989103,0.5760170102925583,0,0,3.086523498288204,3.909522229071847,COL8A1
KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.2840862737801622,0.5760170102925583,0,0,3.0564031437817847,3.846413994549356,VCAM1
KEGG_2021_Human,Ribosome biogenesis in eukaryotes,1/108,0.2932541921172858,0.5760170102925583,0,0,2.941551698561044,3.6084470514412463,RPP38
KEGG_2021_Human,TNF signaling pathway,1/112,0.3023065181413962,0.5760170102925583,0,0,2.834977834977835,3.391523150899673,VCAM1
KEGG_2021_Human,Leukocyte transendothelial migration,1/114,0.3067897829938897,0.5760170102925583,0,0,2.784520297794634,3.290168333076411,VCAM1
KEGG_2021_Human,FoxO signaling pathway,1/131,0.3437700872590354,0.5760170102925583,0,0,2.418315018315018,2.582233720987442,HOMER2
KEGG_2021_Human,Autophagy,1/137,0.3563526297723748,0.5760170102925583,0,0,2.310924369747899,2.384491503881056,ATG10
KEGG_2021_Human,Fluid shear stress and atherosclerosis,1/139,0.3604937998924885,0.5760170102925583,0,0,2.2772026685070164,2.323385525135524,VCAM1
KEGG_2021_Human,Measles,1/139,0.3604937998924885,0.5760170102925583,0,0,2.2772026685070164,2.323385525135524,EIF2AK2
KEGG_2021_Human,Cell adhesion molecules,1/148,0.3788068172695544,0.5760170102925583,0,0,2.1368102796674227,2.0742635367710305,VCAM1
KEGG_2021_Human,Necroptosis,1/159,0.4004894875350773,0.5760170102925583,0,0,1.9869399236487844,1.8181846675127509,EIF2AK2
KEGG_2021_Human,Protein processing in endoplasmic reticulum,1/171,0.4232940458291964,0.5760170102925583,0,0,1.8455648926237165,1.5866103561528635,EIF2AK2
KEGG_2021_Human,RNA transport,1/186,0.4506019469537197,0.5760170102925583,0,0,1.6946374946374947,1.3509157479359994,RPP38
KEGG_2021_Human,Transcriptional misregulation in cancer,1/192,0.4611651011653013,0.5760170102925583,0,0,1.640904180171196,1.2700584621522883,MLLT3
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.4629060826256345,0.5760170102925583,0,0,1.6322751322751323,1.25722905557359,EIF2AK2
KEGG_2021_Human,Herpes simplex virus 1 infection,2/498,0.4757202894035852,0.5760170102925583,0,0,1.2643080124869928,0.9392863143613536,EIF2AK2;ZNF33B
KEGG_2021_Human,Epstein-Barr virus infection,1/202,0.4783277955024176,0.5760170102925583,0,0,1.558477453999842,1.149313251041416,EIF2AK2
KEGG_2021_Human,Viral carcinogenesis,1/203,0.4800141752437985,0.5760170102925583,0,0,1.5506836397925507,1.1381081981712318,EIF2AK2
KEGG_2021_Human,Lipid and atherosclerosis,1/215,0.4998369103880504,0.5831430621193923,0,0,1.4628393413440142,1.014440190700595,VCAM1
KEGG_2021_Human,Coronavirus disease,1/232,0.5266515731196494,0.5978207046223046,0,0,1.354016354016354,0.868217086770486,EIF2AK2
KEGG_2021_Human,Endocytosis,1/252,0.5563905655733672,0.6149579935284585,0,0,1.2448618225510657,0.7298435338779613,MVB12B
KEGG_2021_Human,Human papillomavirus infection,1/331,0.656909227668869,0.7074407067203203,0,0,0.943049543049543,0.3962783127253696,EIF2AK2
KEGG_2021_Human,Amyotrophic lateral sclerosis,1/364,0.6919211960631276,0.7139074911554445,0,0,0.855874764965674,0.3152043044050006,ALS2
KEGG_2021_Human,Alzheimer disease,1/369,0.6969096937469815,0.7139074911554445,0,0,0.8440303657694962,0.3047788931177072,EIF2AK2
KEGG_2021_Human,Pathways of neurodegeneration,1/475,0.7857889302717747,0.7857889302717747,0,0,0.6517312973009175,0.157110947206273,ALS2
