Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,Proteoglycans in cancer,6/205,0.0017669673592828,0.1660386881985937,0,0,5.027765948385998,31.868446992721765,WNT2B;ERBB4;ITPR1;PIK3R3;TIMP3;ANK2
GO_Biological_Process_2021,Spinocerebellar ataxia,5/143,0.0019848946995808,0.1660386881985937,0,0,6.009621239800268,37.39300166235887,GRIA2;PSMC6;ITPR1;PIK3R3;MAP3K5
GO_Biological_Process_2021,Protein processing in endoplasmic reticulum,5/171,0.0042824211079396,0.1660386881985937,0,0,4.988863015085553,27.20545113407936,BCAP31;HSPH1;CANX;CALR;MAP3K5
GO_Biological_Process_2021,Glucagon signaling pathway,4/107,0.0044437366849436,0.1660386881985937,0,0,6.399029126213592,34.65880332442269,LDHA;PKM;ITPR1;PRKAG2
GO_Biological_Process_2021,Human papillomavirus infection,7/331,0.0046147647643539,0.1660386881985937,0,0,3.6104252400548695,19.41865187856072,BCAP31;LAMA5;WNT2B;PKM;PIK3R3;LAMC1;PPP2R3A
GO_Biological_Process_2021,Glutamatergic synapse,4/114,0.0055590292452442,0.1660386881985937,0,0,5.989696969696969,31.100493941159797,GRIA2;ITPR1;GRIK1;GRIK2
GO_Biological_Process_2021,PI3K-Akt signaling pathway,7/354,0.0066045068316948,0.1660386881985937,0,0,3.3671519002931105,16.903112673591448,LAMA5;ERBB4;PKN3;DDIT4;PIK3R3;LAMC1;PPP2R3A
GO_Biological_Process_2021,Alzheimer disease,7/369,0.0082086689102278,0.1660386881985937,0,0,3.225149926807385,15.48899054231972,PSMC6;WNT2B;ITPR1;PIK3R3;GAPDH;RTN4;MAP3K5
GO_Biological_Process_2021,Glycolysis / Gluconeogenesis,3/67,0.0083501793444014,0.1660386881985937,0,0,7.675103305785124,36.72899397765495,LDHA;PKM;GAPDH
GO_Biological_Process_2021,FoxO signaling pathway,4/131,0.0090093133311371,0.1660386881985937,0,0,5.183464566929134,24.41150783217295,BCL6;PIK3R3;PRKAG2;KLF2
GO_Biological_Process_2021,Central carbon metabolism in cancer,3/70,0.0094145647947656,0.1660386881985937,0,0,7.330331812014308,34.19964358938645,LDHA;PKM;PIK3R3
GO_Biological_Process_2021,PPAR signaling pathway,3/74,0.0109516590148388,0.1770518207398947,0,0,6.915958561285065,31.220465013243807,SCP2;ACOX1;ANGPTL4
GO_Biological_Process_2021,Biosynthesis of unsaturated fatty acids,2/27,0.0120947557122399,0.1804909698595802,0,0,13.017049180327868,57.47005517001714,SCP2;ACOX1
GO_Biological_Process_2021,Circadian rhythm,2/31,0.015767174190479,0.2184879852109242,0,0,11.219332956472584,46.5582693172924,BHLHE40;PRKAG2
GO_Biological_Process_2021,Propanoate metabolism,2/34,0.0187945087853043,0.2362206406682372,0,0,10.165983606557376,40.40155585559051,LDHA;ACOX1
GO_Biological_Process_2021,Small cell lung cancer,3/92,0.0195838200851954,0.2362206406682372,0,0,5.512210975949484,21.679809975364883,LAMA5;PIK3R3;LAMC1
GO_Biological_Process_2021,Hepatocellular carcinoma,4/168,0.0206997468626805,0.2362206406682372,0,0,4.006504065040651,15.535755613055116,PBRM1;WNT2B;PHF10;PIK3R3
GO_Biological_Process_2021,"Alanine, aspartate and glutamate metabolism",2/37,0.0220453659011322,0.2376000547122034,0,0,9.29320843091335,35.450364141776255,GLUD1;RIMKLB
GO_Biological_Process_2021,Amoebiasis,3/102,0.0256161523135699,0.2615543973069774,0,0,4.952917605810168,18.15012593509918,LAMA5;PIK3R3;LAMC1
GO_Biological_Process_2021,Prion disease,5/273,0.0277095334878935,0.268782474832567,0,0,3.0741251724570424,11.02374756098863,PSMC6;ITPR1;PIK3R3;LAMC1;NCAM2
GO_Biological_Process_2021,HIF-1 signaling pathway,3/109,0.0303667507210087,0.2700198909278185,0,0,4.624200842039607,16.158839770593083,LDHA;PIK3R3;GAPDH
GO_Biological_Process_2021,D-Glutamine and D-glutamate metabolism,1/5,0.0306208123732577,0.2700198909278185,0,0,40.39024390243903,140.8034339839893,GLUD1
GO_Biological_Process_2021,Type II diabetes mellitus,2/46,0.0330487598960871,0.2779066157729526,0,0,7.388971684053652,25.19470310779092,PKM;PIK3R3
GO_Biological_Process_2021,Pyruvate metabolism,2/47,0.0343801998894374,0.2779066157729526,0,0,7.224408014571949,24.34823785570828,LDHA;PKM
GO_Biological_Process_2021,Phosphonate and phosphinate metabolism,1/6,0.0366324477864724,0.2780805559074022,0,0,32.31056910569106,106.84526455648567,CHPT1
GO_Biological_Process_2021,Sphingolipid signaling pathway,3/119,0.037900692752845,0.2780805559074022,0,0,4.223425477343973,13.822367303896396,PIK3R3;PPP2R3A;MAP3K5
GO_Biological_Process_2021,AMPK signaling pathway,3/120,0.038701933038659,0.2780805559074022,0,0,4.187115914388642,13.615938753199549,PIK3R3;PRKAG2;PPP2R3A
GO_Biological_Process_2021,MicroRNAs in cancer,5/310,0.0440091863433405,0.3049207910931451,0,0,2.696101391376222,8.420886846985423,ZEB2;DDIT4;PIK3R3;TIMP3;ZFPM2
GO_Biological_Process_2021,Regulation of lipolysis in adipocytes,2/55,0.0457492344294098,0.3059596147074116,0,0,6.131456851221776,18.912970530321875,PIK3R3;MGLL
GO_Biological_Process_2021,Dopaminergic synapse,3/132,0.0489824023642356,0.3059596147074116,0,0,3.795310397847396,11.447772667356237,GRIA2;ITPR1;PPP2R3A
GO_Biological_Process_2021,Vascular smooth muscle contraction,3/133,0.0498937842220827,0.3059596147074116,0,0,3.7659249841068014,11.289711537036563,ITPR1;KCNMB4;ADM
GO_Biological_Process_2021,Long-term depression,2/60,0.0534587096432134,0.3059596147074116,0,0,5.601469756924816,16.405840641650475,GRIA2;ITPR1
GO_Biological_Process_2021,Apelin signaling pathway,3/137,0.0536217881445979,0.3059596147074116,0,0,3.652769211792278,10.687271422978306,ITPR1;PRKAG2;KLF2
GO_Biological_Process_2021,Autophagy,3/137,0.0536217881445979,0.3059596147074116,0,0,3.652769211792278,10.687271422978306,DDIT4;ITPR1;PIK3R3
GO_Biological_Process_2021,Fluid shear stress and atherosclerosis,3/139,0.0555348308110348,0.3059708764396221,0,0,3.5986874088478364,10.402887176283292,PIK3R3;KLF2;MAP3K5
GO_Biological_Process_2021,Apoptosis,3/142,0.0584649494575951,0.3059708764396221,0,0,3.52048278732386,9.995804854756775,ITPR1;PIK3R3;MAP3K5
GO_Biological_Process_2021,Signaling pathways regulating pluripotency of stem cells,3/143,0.0594576657147191,0.3059708764396221,0,0,3.495159386068477,9.865054933008548,WNT2B;PIK3R3;TBX3
GO_Biological_Process_2021,GnRH secretion,2/64,0.0599324397149775,0.3059708764396221,0,0,5.2390269698572185,14.745437115388128,ITPR1;PIK3R3
GO_Biological_Process_2021,Cell adhesion molecules,3/148,0.0645397108117084,0.3073491811342079,0,0,3.3737817041892275,9.245762975618396,CNTN1;NRCAM;NCAM2
GO_Biological_Process_2021,Retrograde endocannabinoid signaling,3/148,0.0645397108117084,0.3073491811342079,0,0,3.3737817041892275,9.245762975618396,GRIA2;ITPR1;MGLL
GO_Biological_Process_2021,Long-term potentiation,2/67,0.0649552393118687,0.3073491811342079,0,0,4.996469104665826,13.660630692693942,GRIA2;ITPR1
GO_Biological_Process_2021,Phagosome,3/152,0.0687452661551608,0.3173638435644387,0,0,3.2825447889511343,8.788512758481628,CANX;CALR;SEC22B
GO_Biological_Process_2021,mTOR signaling pathway,3/154,0.0708938352099862,0.3173638435644387,0,0,3.238738985277215,8.571555265082988,WNT2B;DDIT4;PIK3R3
GO_Biological_Process_2021,Non-alcoholic fatty liver disease,3/155,0.0719794284372953,0.3173638435644387,0,0,3.2172683775554587,8.465839309761728,PIK3R3;PRKAG2;MAP3K5
GO_Biological_Process_2021,Thyroid hormone synthesis,2/75,0.0789960108347074,0.3405605800429611,0,0,4.4471143049629465,11.28836783294977,CANX;ITPR1
GO_Biological_Process_2021,Antigen processing and presentation,2/78,0.0844852903618623,0.3563075289174197,0,0,4.270923209663503,10.554210784930882,CANX;CALR
GO_Biological_Process_2021,B cell receptor signaling pathway,2/81,0.0900870766139219,0.3717456526554,0,0,4.108113716538701,9.88814163143724,CD81;PIK3R3
GO_Biological_Process_2021,Peroxisome,2/82,0.0919783058116453,0.3717456526554,0,0,4.05655737704918,9.679767501091714,SCP2;ACOX1
GO_Biological_Process_2021,ErbB signaling pathway,2/85,0.0977208692393312,0.3817943878132586,0,0,3.909342287181513,9.091723334014675,ERBB4;PIK3R3
GO_Biological_Process_2021,Nitrogen metabolism,1/17,0.100368627724104,0.3817943878132586,0,0,10.091463414634148,23.19932168971406,GLUD1
GO_Biological_Process_2021,Primary bile acid biosynthesis,1/17,0.100368627724104,0.3817943878132586,0,0,10.091463414634148,23.19932168971406,SCP2
GO_Biological_Process_2021,ECM-receptor interaction,2/88,0.1035623221264743,0.3863671248564621,0,0,3.772398017537171,8.55422071475538,LAMA5;LAMC1
GO_Biological_Process_2021,One carbon pool by folate,1/20,0.1170131002125961,0.3914870999502636,0,0,8.496790757381259,18.22960442221716,MTHFD1L
GO_Biological_Process_2021,Transcriptional misregulation in cancer,3/192,0.1170417702319716,0.3914870999502636,0,0,2.582579037124492,5.540211558570112,BCL6;NFKBIZ;PBX3
GO_Biological_Process_2021,Circadian entrainment,2/97,0.1216254039872709,0.3914870999502636,0,0,3.4134598792062123,7.191509417724148,GRIA2;ITPR1
GO_Biological_Process_2021,Phosphatidylinositol signaling system,2/97,0.1216254039872709,0.3914870999502636,0,0,3.4134598792062123,7.191509417724148,ITPR1;PIK3R3
