Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,receptor-mediated endocytosis (GO:0006898),16/143,8.280370307790988e-07,0.0024534737221984,0,0,4.9177038354076705,68.86854719869606,SCARB2;ITGB1;HSP90AA1;CD81;SGIP1;ADM;LRP1B;HSP90B1;PIKFYVE;HSPH1;INPP5F;CANX;CD9;GRB2;CALR;PICALM
MSigDB_Hallmark_2020,membrane assembly (GO:0071709),7/36,3.0312078693631286e-05,0.0316702754386304,0,0,9.3009900990099,96.7671688343494,PTPRD;ANXA2;NRXN1;RFTN1;IL1RAPL1;ANK3;PICALM
MSigDB_Hallmark_2020,neuron migration (GO:0001764),8/50,3.641824908529281e-05,0.0316702754386304,0,0,7.349206349206349,75.11212665860177,MAP1B;DDIT4;SPOCK1;NRCAM;NAV1;ELP3;RAC1;FGFR1
MSigDB_Hallmark_2020,protein stabilization (GO:0050821),15/179,6.008108264808077e-05,0.0316702754386304,0,0,3.5562153408254407,34.56575709978111,CDKN1A;HSP90AA1;UBE2B;CCNH;RPL23;ANK2;ATP1B3;PIK3R1;RTN4;SMAD7;RAB21;PINK1;LAMP2;CALR;GAPDH
MSigDB_Hallmark_2020,Ras protein signal transduction (GO:0007265),13/142,7.50647516026122e-05,0.0316702754386304,0,0,3.909633219928229,37.130410128383645,SHC2;JUN;CDKN1A;MYO9B;EPS8;GNA13;RASSF1;RAP1A;GRB2;SHOC2;KRAS;RAC1;RAPGEF3
MSigDB_Hallmark_2020,response to laminar fluid shear stress (GO:0034616),4/10,7.884894387662568e-05,0.0316702754386304,0,0,25.566929133858267,241.5557491806826,KLF4;KLF2;NFE2L2;SMAD7
MSigDB_Hallmark_2020,small GTPase mediated signal transduction (GO:0007264),11/106,8.632596007957049e-05,0.0316702754386304,0,0,4.482046433448891,41.940212520746705,BCR;CCDC88A;RASSF1;SHC2;JUN;CDKN1A;GRB2;SHOC2;KRAS;RAC1;RAPGEF5
MSigDB_Hallmark_2020,negative regulation of gene expression (GO:0010629),21/322,9.293047888418377e-05,0.0316702754386304,0,0,2.726329749443471,25.310315397054932,SRGN;NDFIP1;RPL13A;PPHLN1;ATP2B1;PPM1D;KLF4;HIF1A;GIGYF2;PTBP2;CLDN5;PINK1;REST;AGO2;REL;DIP2A;CALR;CCDC3;GAPDH;DCP2;PICALM
MSigDB_Hallmark_2020,maintenance of blood-brain barrier (GO:0035633),6/30,9.619725917910013e-05,0.0316702754386304,0,0,9.616600790513834,88.94499557140728,ITGB1;CLDN5;GJA1;PECAM1;MBP;LAMC1
MSigDB_Hallmark_2020,negative regulation of protein localization to cell surface (GO:2000009),4/11,0.000121400253139971,0.0347114372360641,0,0,21.913385826771652,197.58023751630236,NEDD4L;COMMD1;GPM6B;PICALM
MSigDB_Hallmark_2020,cellular response to cytokine stimulus (GO:0071345),27/482,0.0001319925854262837,0.0347114372360641,0,0,2.328723235527359,20.801936965817465,ITGB1;LAMA5;CDKN1A;CDKN1B;PIK3R1;HIF1A;YBX3;HSP90B1;MT2A;HYAL2;GRB10;S1PR1;RPS27A;JUNB;JAK1;HSP90AA1;ANXA1;DUSP1;ERBIN;RPL13A;FOS;BCL6;IL1RAPL1;GRB2;GAPDH;BCL2L1;NFE2L2
MSigDB_Hallmark_2020,ERBB2 signaling pathway (GO:0038128),6/32,0.00014057956356151543,0.0347114372360641,0,0,8.875950136819702,78.72734281304747,HSP90AA1;ERBB4;ERBIN;GRB2;PIK3R1;NRG2
MSigDB_Hallmark_2020,regulation of sprouting angiogenesis (GO:1903670),6/33,0.00016813560145987965,0.0379081028231197,0,0,8.5467720685112,74.27777177209977,PKM;KLF4;ADAMTS9;GLUL;KLF2;JAK1
MSigDB_Hallmark_2020,positive regulation of neuron death (GO:1901216),7/47,0.00017911354691990444,0.0379081028231197,0,0,6.739405940594059,58.14416148898186,PRNP;REST;DDIT4;FOS;GRIN2B;MAP3K5;PICALM
MSigDB_Hallmark_2020,positive regulation of angiogenesis (GO:0045766),11/116,0.00019414791682659564,0.0383506851704801,0,0,4.053093812375249,34.64134791256697,ITGB1;FLT1;PKM;SERPINE1;AGO2;ANGPTL4;KLF4;HIF1A;RAPGEF3;MTDH;JAK1
MSigDB_Hallmark_2020,negative regulation of cellular protein localization (GO:1903828),6/36,0.0002770900969381724,0.0435132745467355,0,0,7.690909090909091,62.99752724394826,CTNNA1;NEDD4L;OTUD7B;COMMD1;GPM6B;PICALM
MSigDB_Hallmark_2020,peptide biosynthetic process (GO:0043043),13/162,0.00028172332718926933,0.0435132745467355,0,0,3.3813533106481417,27.641160316287387,GGT5;RPS9;RPL23;RPL13A;RRBP1;RPL8;EEF1A1;RPS18;AGO2;RPLP2;RPL37;RPS11;RPS27A
MSigDB_Hallmark_2020,positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003),5/24,0.0003062271292241786,0.0435132745467355,0,0,10.105366967715144,81.7643782581903,HSPA5;HIF1A;KLF2;ATF3;NFE2L2
MSigDB_Hallmark_2020,glutamate receptor signaling pathway (GO:0007215),6/37,0.000323643256064602,0.0435132745467355,0,0,7.442432742572995,59.80641240466258,GRIA2;GRM7;GRIK1;GRIK2;GRIN2B;CPEB4
MSigDB_Hallmark_2020,MAPK cascade (GO:0000165),19/303,0.0003251357656608491,0.0435132745467355,0,0,2.6060337685341257,20.929754888631468,SHC2;PEBP1;PIK3R1;NRG2;GRIN2B;DUSP6;PSMC6;LRRC7;ERBB4;RASA1;GRB2;SHOC2;MBP;KRAS;RPS27A;JAK1;MAP3K5;BCL2L1;FGFR1
MSigDB_Hallmark_2020,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),23/404,0.00032516276349977245,0.0435132745467355,0,0,2.3587749384087724,18.94375717304643,CEP57;SHC2;HSP90AA1;FLT1;PIK3R3;NEDD9;PIK3R1;GRIN2B;GIGYF2;ARPC2;COL4A2;FES;ERBB4;RASA1;DDIT4;GRB10;PDK4;GRB2;SHOC2;RAC1;PAK2;ANKS1B;FGFR1
MSigDB_Hallmark_2020,cellular metal ion homeostasis (GO:0006875),10/104,0.0003360704252493337,0.0435132745467355,0,0,4.109943205899805,32.872105914346804,VAPB;NEDD4L;ANK2;ATP1B3;SLC30A1;CALR;ATP1A1;ATP2B1;SLC8A1;TMEM165
MSigDB_Hallmark_2020,negative regulation of cell migration (GO:0030336),12/144,0.0003391349164538284,0.0435132745467355,0,0,3.5192727272727273,28.115865898667906,CLDN5;GJA1;ADAM15;NAV3;HYAL2;DLC1;SERPINE1;MAGI2;CALR;RAC1;SRGAP1;SMAD7
MSigDB_Hallmark_2020,regulation of Ras protein signal transduction (GO:0046578),9/86,0.00035245311816458084,0.0435132745467355,0,0,4.510572926079885,35.861729273496536,EPS8;BCR;DLC1;ERBIN;DENND3;SHOC2;MYO9B;GRB2;OGT
MSigDB_Hallmark_2020,regulation of cell migration (GO:0030334),23/408,0.0003735186225491855,0.0442694271445294,0,0,2.333779512920618,18.419454446593765,SEMA6B;ITGB1;SUN2;ANXA1;FLT1;HSPA5;SERPINE1;MAGI2;PIK3R3;NEDD9;ELP3;VSIR;SMAD7;CLDN5;ADAM15;NAV3;ERBB4;MGAT5;DLC1;PECAM1;ENPP2;RAC1;SRGAP1
MSigDB_Hallmark_2020,regulation of receptor-mediated endocytosis (GO:0048259),6/39,0.0004349864820743645,0.0471112666163164,0,0,6.990657563780093,54.10905693759587,RAB21;ARF1;SGIP1;SERPINE1;RAC1;PICALM
MSigDB_Hallmark_2020,lamellipodium assembly (GO:0030032),5/26,0.0004543371618282869,0.0471112666163164,0,0,9.142011834319527,70.36305726035978,ITGB1;CCDC88A;S1PR1;ARHGEF4;RAC1
MSigDB_Hallmark_2020,regulation of cytoplasmic translation (GO:2000765),4/15,0.00046283833636523257,0.0471112666163164,0,0,13.94201861130995,107.04866942690388,PKM;CNBP;YBX3;CPEB4
MSigDB_Hallmark_2020,cellular sodium ion homeostasis (GO:0006883),4/15,0.00046283833636523257,0.0471112666163164,0,0,13.94201861130995,107.04866942690388,NEDD4L;ATP1B3;ATP1A1;SLC8A1
MSigDB_Hallmark_2020,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),9/90,0.0004947229103574833,0.0471112666163164,0,0,4.286944996686548,32.63013641159493,RPS9;RPS18;RPL23;RPLP2;RPL13A;RPL37;RPL8;RPS11;RPS27A
MSigDB_Hallmark_2020,protein localization to membrane (GO:0072657),14/195,0.0005198533904258107,0.0471112666163164,0,0,2.998713084381726,22.676159573665892,DPP10;CD81;NRXN1;RFTN1;MAGI2;KCNIP4;ANK2;ATP1B3;ANK3;TTC7A;EHD4;RAP1A;LRRC7;PACS1
MSigDB_Hallmark_2020,response to endoplasmic reticulum stress (GO:0034976),10/110,0.0005270332867574564,0.0471112666163164,0,0,3.8621513944223103,29.152472092111783,ERO1A;BCAP31;UFL1;JUN;HSPA5;ITPR1;PIK3R1;ATF3;MAP3K5;HSP90B1
MSigDB_Hallmark_2020,cellular response to laminar fluid shear stress (GO:0071499),3/7,0.0005405950269843944,0.0471112666163164,0,0,28.709233791748527,215.97497587579116,KLF4;KLF2;NFE2L2
MSigDB_Hallmark_2020,positive regulation of cytoplasmic translation (GO:2000767),3/7,0.0005405950269843944,0.0471112666163164,0,0,28.709233791748527,215.97497587579116,PKM;CNBP;YBX3
MSigDB_Hallmark_2020,cotranslational protein targeting to membrane (GO:0006613),9/94,0.0006810485788382031,0.0559967400574888,0,0,4.084364401824348,29.78268251369436,RPS9;RPS18;RPL23;RPLP2;RPL13A;RPL37;RPL8;RPS11;RPS27A
MSigDB_Hallmark_2020,protein localization to plasma membrane (GO:0072659),11/136,0.000761786277333234,0.0559967400574888,0,0,3.401085828343313,24.41926743837834,DPP10;CCDC88A;RAP1A;EHD4;CD81;PACS1;KCNIP4;ANK2;ATP1B3;ANK3;TTC7A
MSigDB_Hallmark_2020,lamellipodium organization (GO:0097581),5/29,0.0007699920947481171,0.0559967400574888,0,0,7.998027613412229,57.33890218137217,ITGB1;CCDC88A;S1PR1;ARHGEF4;RAC1
MSigDB_Hallmark_2020,regulated exocytosis (GO:0045055),13/180,0.0007700305786408357,0.0559967400574888,0,0,3.014088056352225,21.608239401855677,SRGN;SNAP25;TMED10;VWF;PCDH7;SERPINE1;SYTL4;DNAJC5;LAMP2;PSAP;PECAM1;TIMP3;CD9
MSigDB_Hallmark_2020,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881),4/17,0.0007748452049804403,0.0559967400574888,0,0,11.79588128407026,84.4920962188128,ANK2;CACNA1C;CLIC2;SLC8A1
