Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Glucagon signaling pathway	5/107	1.651917e-03	3.402949e-01	0	0	6.283104e+00	4.024843e+01	LDHA;PKM;ITPR1;PRKAG2;CREB5
KEGG_2021_Human	Lipid and atherosclerosis	6/215	7.537833e-03	3.479894e-01	0	0	3.683648e+00	1.800501e+01	ERO1A;JUN;ITPR1;PIK3R3;MAP3K5;NFE2L2
KEGG_2021_Human	HIF-1 signaling pathway	4/109	1.122506e-02	3.479894e-01	0	0	4.850630e+00	2.177742e+01	LDHA;SERPINE1;PGK1;PIK3R3
KEGG_2021_Human	Protein processing in endoplasmic reticulum	5/171	1.192618e-02	3.479894e-01	0	0	3.848185e+00	1.704369e+01	ERO1A;NPLOC4;SEC24D;MAP3K5;NFE2L2
KEGG_2021_Human	TNF signaling pathway	4/112	1.230584e-02	3.479894e-01	0	0	4.715173e+00	2.073583e+01	JUN;PIK3R3;MAP3K5;CREB5
KEGG_2021_Human	AMPK signaling pathway	4/120	1.550666e-02	3.479894e-01	0	0	4.388209e+00	1.828341e+01	PIK3R3;PRKAG2;PPP2R3A;CREB5
KEGG_2021_Human	Glycolysis / Gluconeogenesis	3/67	1.629605e-02	3.479894e-01	0	0	5.942608e+00	2.446472e+01	LDHA;PKM;PGK1
KEGG_2021_Human	Human papillomavirus infection	7/331	1.684055e-02	3.479894e-01	0	0	2.774103e+00	1.132934e+01	PKM;PIK3R3;HES1;LAMC1;PPP2R3A;CREB5;ATR
KEGG_2021_Human	Central carbon metabolism in cancer	3/70	1.830400e-02	3.479894e-01	0	0	5.675660e+00	2.270625e+01	LDHA;PKM;PIK3R3
KEGG_2021_Human	Autophagy	4/137	2.392699e-02	3.479894e-01	0	0	3.824012e+00	1.427407e+01	DDIT4;ATG10;ITPR1;PIK3R3
KEGG_2021_Human	Estrogen signaling pathway	4/137	2.392699e-02	3.479894e-01	0	0	3.824012e+00	1.427407e+01	JUN;ITPR1;PIK3R3;CREB5
KEGG_2021_Human	Fluid shear stress and atherosclerosis	4/139	2.506792e-02	3.479894e-01	0	0	3.766977e+00	1.388570e+01	JUN;PIK3R3;MAP3K5;NFE2L2
KEGG_2021_Human	Circadian rhythm	2/31	2.511634e-02	3.479894e-01	0	0	8.702833e+00	3.206330e+01	BHLHE40;PRKAG2
KEGG_2021_Human	Apoptosis	4/142	2.684005e-02	3.479894e-01	0	0	3.684525e+00	1.333010e+01	JUN;ITPR1;PIK3R3;MAP3K5
KEGG_2021_Human	Spinocerebellar ataxia	4/143	2.744703e-02	3.479894e-01	0	0	3.657832e+00	1.315173e+01	PSMC6;ITPR1;PIK3R3;MAP3K5
KEGG_2021_Human	SNARE interactions in vesicular transport	2/33	2.822700e-02	3.479894e-01	0	0	8.140538e+00	2.904118e+01	SEC22B;BET1
KEGG_2021_Human	ErbB signaling pathway	3/85	3.031806e-02	3.479894e-01	0	0	4.633912e+00	1.620021e+01	JUN;NRG3;PIK3R3
KEGG_2021_Human	Alanine, aspartate and glutamate metabolism	2/37	3.488006e-02	3.479894e-01	0	0	7.208735e+00	2.419136e+01	GLUD1;RIMKLB
KEGG_2021_Human	Non-alcoholic fatty liver disease	4/155	3.537203e-02	3.479894e-01	0	0	3.365093e+00	1.124558e+01	JUN;PIK3R3;PRKAG2;MAP3K5
KEGG_2021_Human	Cellular senescence	4/156	3.608624e-02	3.479894e-01	0	0	3.342784e+00	1.110421e+01	SERPINE1;ITPR1;PIK3R3;ATR
KEGG_2021_Human	Coronavirus disease	5/232	3.809817e-02	3.479894e-01	0	0	2.805366e+00	9.166785e+00	JUN;RPS18;RPL23;PIK3R3;RPS12
KEGG_2021_Human	D-Glutamine and D-glutamate metabolism	1/5	3.912662e-02	3.479894e-01	0	0	3.138766e+01	1.017259e+02	GLUD1
KEGG_2021_Human	Aldosterone synthesis and secretion	3/98	4.336809e-02	3.479894e-01	0	0	3.997166e+00	1.254323e+01	ITPR1;ATP2B1;CREB5
KEGG_2021_Human	cGMP-PKG signaling pathway	4/167	4.449218e-02	3.479894e-01	0	0	3.115456e+00	9.696676e+00	ITPR1;PDE5A;ATP2B1;CREB5
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	4.558808e-02	3.479894e-01	0	0	3.914354e+00	1.208795e+01	JUN;SERPINE1;PIK3R3
KEGG_2021_Human	Chagas disease	3/102	4.786351e-02	3.479894e-01	0	0	3.834887e+00	1.165576e+01	JUN;SERPINE1;PIK3R3
KEGG_2021_Human	Longevity regulating pathway	3/102	4.786351e-02	3.479894e-01	0	0	3.834887e+00	1.165576e+01	PIK3R3;PRKAG2;CREB5
KEGG_2021_Human	C-type lectin receptor signaling pathway	3/104	5.019390e-02	3.479894e-01	0	0	3.758568e+00	1.124512e+01	JUN;ITPR1;PIK3R3
KEGG_2021_Human	Type II diabetes mellitus	2/46	5.176572e-02	3.479894e-01	0	0	5.731616e+00	1.697147e+01	PKM;PIK3R3
KEGG_2021_Human	Pyruvate metabolism	2/47	5.379138e-02	3.479894e-01	0	0	5.603963e+00	1.637838e+01	LDHA;PKM
KEGG_2021_Human	Insulin resistance	3/108	5.501747e-02	3.479894e-01	0	0	3.614652e+00	1.048287e+01	PIK3R3;PRKAG2;CREB5
KEGG_2021_Human	Cocaine addiction	2/49	5.792539e-02	3.479894e-01	0	0	5.364955e+00	1.528261e+01	JUN;CREB5
KEGG_2021_Human	Cholinergic synapse	3/113	6.134642e-02	3.479894e-01	0	0	3.449476e+00	9.628240e+00	ITPR1;PIK3R3;CREB5
KEGG_2021_Human	Glutamatergic synapse	3/114	6.265140e-02	3.479894e-01	0	0	3.418226e+00	9.469064e+00	HOMER1;ITPR1;GRIK1
KEGG_2021_Human	PI3K-Akt signaling pathway	6/354	6.387697e-02	3.479894e-01	0	0	2.196642e+00	6.042515e+00	PKN3;DDIT4;PIK3R3;LAMC1;PPP2R3A;CREB5
KEGG_2021_Human	Glycosaminoglycan biosynthesis	2/53	6.650866e-02	3.479894e-01	0	0	4.943175e+00	1.339810e+01	DSE;B3GNT2
KEGG_2021_Human	Prion disease	5/273	6.723034e-02	3.479894e-01	0	0	2.371220e+00	6.401419e+00	PSMC6;ITPR1;PIK3R3;LAMC1;CREB5
KEGG_2021_Human	Fanconi anemia pathway	2/54	6.871700e-02	3.479894e-01	0	0	4.847869e+00	1.298142e+01	HES1;ATR
KEGG_2021_Human	Growth hormone synthesis, secretion and action	3/119	6.936794e-02	3.479894e-01	0	0	3.270060e+00	8.725600e+00	ITPR1;PIK3R3;CREB5
KEGG_2021_Human	Neurotrophin signaling pathway	3/119	6.936794e-02	3.479894e-01	0	0	3.270060e+00	8.725600e+00	JUN;PIK3R3;MAP3K5
KEGG_2021_Human	Sphingolipid signaling pathway	3/119	6.936794e-02	3.479894e-01	0	0	3.270060e+00	8.725600e+00	PIK3R3;PPP2R3A;MAP3K5
KEGG_2021_Human	Regulation of lipolysis in adipocytes	2/55	7.094930e-02	3.479894e-01	0	0	4.756159e+00	1.258380e+01	PIK3R3;MGLL
KEGG_2021_Human	Epstein-Barr virus infection	4/202	7.787217e-02	3.654510e-01	0	0	2.560182e+00	6.535344e+00	JUN;PSMC6;PIK3R3;HES1
KEGG_2021_Human	Viral carcinogenesis	4/203	7.897020e-02	3.654510e-01	0	0	2.547188e+00	6.466506e+00	JUN;PKM;PIK3R3;CREB5
KEGG_2021_Human	Notch signaling pathway	2/59	8.010785e-02	3.654510e-01	0	0	4.421500e+00	1.116155e+01	CTBP2;HES1
KEGG_2021_Human	Relaxin signaling pathway	3/129	8.372539e-02	3.654510e-01	0	0	3.009005e+00	7.462973e+00	JUN;PIK3R3;CREB5
KEGG_2021_Human	FoxO signaling pathway	3/131	8.673875e-02	3.654510e-01	0	0	2.961689e+00	7.240898e+00	HOMER1;PIK3R3;PRKAG2
KEGG_2021_Human	Dopaminergic synapse	3/132	8.826255e-02	3.654510e-01	0	0	2.938581e+00	7.133227e+00	ITPR1;PPP2R3A;CREB5
KEGG_2021_Human	Human immunodeficiency virus 1 infection	4/212	8.919753e-02	3.654510e-01	0	0	2.435856e+00	5.887225e+00	JUN;ITPR1;PIK3R3;ATR
KEGG_2021_Human	GnRH secretion	2/64	9.203520e-02	3.654510e-01	0	0	4.063900e+00	9.694775e+00	ITPR1;PIK3R3
