Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	Lipid and atherosclerosis	6/215	1.464373e-03	1.741426e-01	0	0	5.230463e+00	3.413571e+01	ERO1A;JUN;ITPR1;PIK3R3;MAP3K5;NFE2L2
GO_Biological_Process_2021	Protein processing in endoplasmic reticulum	5/171	2.988834e-03	1.741426e-01	0	0	5.449320e+00	3.167620e+01	ERO1A;NPLOC4;SEC24D;MAP3K5;NFE2L2
GO_Biological_Process_2021	Glucagon signaling pathway	4/107	3.291865e-03	1.741426e-01	0	0	6.984289e+00	3.992430e+01	LDHA;PKM;ITPR1;PRKAG2
GO_Biological_Process_2021	HIF-1 signaling pathway	4/109	3.518032e-03	1.741426e-01	0	0	6.850563e+00	3.870468e+01	LDHA;SERPINE1;PGK1;PIK3R3
GO_Biological_Process_2021	Glycolysis / Gluconeogenesis	3/67	6.629700e-03	2.005691e-01	0	0	8.370777e+00	4.198946e+01	LDHA;PKM;PGK1
GO_Biological_Process_2021	Central carbon metabolism in cancer	3/70	7.482913e-03	2.005691e-01	0	0	7.994756e+00	3.913539e+01	LDHA;PKM;PIK3R3
GO_Biological_Process_2021	Fluid shear stress and atherosclerosis	4/139	8.270277e-03	2.005691e-01	0	0	5.320135e+00	2.551051e+01	JUN;PIK3R3;MAP3K5;NFE2L2
GO_Biological_Process_2021	Apoptosis	4/142	8.900078e-03	2.005691e-01	0	0	5.203689e+00	2.457023e+01	JUN;ITPR1;PIK3R3;MAP3K5
GO_Biological_Process_2021	Spinocerebellar ataxia	4/143	9.116776e-03	2.005691e-01	0	0	5.165991e+00	2.426796e+01	PSMC6;ITPR1;PIK3R3;MAP3K5
GO_Biological_Process_2021	Coronavirus disease	5/232	1.063057e-02	2.047814e-01	0	0	3.972639e+00	1.805176e+01	JUN;RPS18;RPL23;PIK3R3;RPS12
GO_Biological_Process_2021	Non-alcoholic fatty liver disease	4/155	1.198942e-02	2.047814e-01	0	0	4.752559e+00	2.102404e+01	JUN;PIK3R3;PRKAG2;MAP3K5
GO_Biological_Process_2021	ErbB signaling pathway	3/85	1.269753e-02	2.047814e-01	0	0	6.527357e+00	2.850071e+01	JUN;NRG3;PIK3R3
GO_Biological_Process_2021	Circadian rhythm	2/31	1.344524e-02	2.047814e-01	0	0	1.222722e+01	5.268867e+01	BHLHE40;PRKAG2
GO_Biological_Process_2021	Alanine, aspartate and glutamate metabolism	2/37	1.883552e-02	2.480085e-01	0	0	1.012806e+01	4.022877e+01	GLUD1;RIMKLB
GO_Biological_Process_2021	AGE-RAGE signaling pathway in diabetic complications	3/100	1.955421e-02	2.480085e-01	0	0	5.513792e+00	2.169437e+01	JUN;SERPINE1;PIK3R3
GO_Biological_Process_2021	Chagas disease	3/102	2.059524e-02	2.480085e-01	0	0	5.401856e+00	2.097376e+01	JUN;SERPINE1;PIK3R3
GO_Biological_Process_2021	C-type lectin receptor signaling pathway	3/104	2.166628e-02	2.480085e-01	0	0	5.294354e+00	2.028795e+01	JUN;ITPR1;PIK3R3
