Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Lipid and atherosclerosis	6/215	1.464373e-03	1.741426e-01	0	0	5.230463e+00	3.413571e+01	ERO1A;JUN;ITPR1;PIK3R3;MAP3K5;NFE2L2
KEGG_2021_Human	Protein processing in endoplasmic reticulum	5/171	2.988834e-03	1.741426e-01	0	0	5.449320e+00	3.167620e+01	ERO1A;NPLOC4;SEC24D;MAP3K5;NFE2L2
KEGG_2021_Human	Glucagon signaling pathway	4/107	3.291865e-03	1.741426e-01	0	0	6.984289e+00	3.992430e+01	LDHA;PKM;ITPR1;PRKAG2
KEGG_2021_Human	HIF-1 signaling pathway	4/109	3.518032e-03	1.741426e-01	0	0	6.850563e+00	3.870468e+01	LDHA;SERPINE1;PGK1;PIK3R3
KEGG_2021_Human	Glycolysis / Gluconeogenesis	3/67	6.629700e-03	2.005691e-01	0	0	8.370777e+00	4.198946e+01	LDHA;PKM;PGK1
KEGG_2021_Human	Central carbon metabolism in cancer	3/70	7.482913e-03	2.005691e-01	0	0	7.994756e+00	3.913539e+01	LDHA;PKM;PIK3R3
KEGG_2021_Human	Fluid shear stress and atherosclerosis	4/139	8.270277e-03	2.005691e-01	0	0	5.320135e+00	2.551051e+01	JUN;PIK3R3;MAP3K5;NFE2L2
KEGG_2021_Human	Apoptosis	4/142	8.900078e-03	2.005691e-01	0	0	5.203689e+00	2.457023e+01	JUN;ITPR1;PIK3R3;MAP3K5
KEGG_2021_Human	Spinocerebellar ataxia	4/143	9.116776e-03	2.005691e-01	0	0	5.165991e+00	2.426796e+01	PSMC6;ITPR1;PIK3R3;MAP3K5
KEGG_2021_Human	Coronavirus disease	5/232	1.063057e-02	2.047814e-01	0	0	3.972639e+00	1.805176e+01	JUN;RPS18;RPL23;PIK3R3;RPS12
KEGG_2021_Human	Non-alcoholic fatty liver disease	4/155	1.198942e-02	2.047814e-01	0	0	4.752559e+00	2.102404e+01	JUN;PIK3R3;PRKAG2;MAP3K5
KEGG_2021_Human	ErbB signaling pathway	3/85	1.269753e-02	2.047814e-01	0	0	6.527357e+00	2.850071e+01	JUN;NRG3;PIK3R3
KEGG_2021_Human	Circadian rhythm	2/31	1.344524e-02	2.047814e-01	0	0	1.222722e+01	5.268867e+01	BHLHE40;PRKAG2
KEGG_2021_Human	Alanine, aspartate and glutamate metabolism	2/37	1.883552e-02	2.480085e-01	0	0	1.012806e+01	4.022877e+01	GLUD1;RIMKLB
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	1.955421e-02	2.480085e-01	0	0	5.513792e+00	2.169437e+01	JUN;SERPINE1;PIK3R3
KEGG_2021_Human	Chagas disease	3/102	2.059524e-02	2.480085e-01	0	0	5.401856e+00	2.097376e+01	JUN;SERPINE1;PIK3R3
KEGG_2021_Human	C-type lectin receptor signaling pathway	3/104	2.166628e-02	2.480085e-01	0	0	5.294354e+00	2.028795e+01	JUN;ITPR1;PIK3R3
KEGG_2021_Human	TNF signaling pathway	3/112	2.625066e-02	2.480085e-01	0	0	4.903794e+00	1.785012e+01	JUN;PIK3R3;MAP3K5
KEGG_2021_Human	D-Glutamine and D-glutamate metabolism	1/5	2.817955e-02	2.480085e-01	0	0	4.398673e+01	1.569956e+02	GLUD1
KEGG_2021_Human	Type II diabetes mellitus	2/46	2.831876e-02	2.480085e-01	0	0	8.052760e+00	2.870189e+01	PKM;PIK3R3
KEGG_2021_Human	Epstein-Barr virus infection	4/202	2.853333e-02	2.480085e-01	0	0	3.615794e+00	1.286023e+01	JUN;PSMC6;PIK3R3;HES1
KEGG_2021_Human	Pyruvate metabolism	2/47	2.946908e-02	2.480085e-01	0	0	7.873413e+00	2.774916e+01	LDHA;PKM
KEGG_2021_Human	Neurotrophin signaling pathway	3/119	3.065517e-02	2.480085e-01	0	0	4.606244e+00	1.605255e+01	JUN;PIK3R3;MAP3K5
KEGG_2021_Human	Sphingolipid signaling pathway	3/119	3.065517e-02	2.480085e-01	0	0	4.606244e+00	1.605255e+01	PIK3R3;PPP2R3A;MAP3K5
KEGG_2021_Human	AMPK signaling pathway	3/120	3.131421e-02	2.480085e-01	0	0	4.566644e+00	1.581741e+01	PIK3R3;PRKAG2;PPP2R3A
KEGG_2021_Human	Regulation of lipolysis in adipocytes	2/55	3.931423e-02	2.880479e-01	0	0	6.682278e+00	2.162498e+01	PIK3R3;MGLL
KEGG_2021_Human	Human papillomavirus infection	5/331	4.112315e-02	2.880479e-01	0	0	2.752294e+00	8.783075e+00	PKM;PIK3R3;HES1;LAMC1;PPP2R3A
KEGG_2021_Human	Apelin signaling pathway	3/137	4.364362e-02	2.880479e-01	0	0	3.983864e+00	1.247626e+01	SERPINE1;ITPR1;PRKAG2
KEGG_2021_Human	Autophagy	3/137	4.364362e-02	2.880479e-01	0	0	3.983864e+00	1.247626e+01	DDIT4;ITPR1;PIK3R3
KEGG_2021_Human	Estrogen signaling pathway	3/137	4.364362e-02	2.880479e-01	0	0	3.983864e+00	1.247626e+01	JUN;ITPR1;PIK3R3
KEGG_2021_Human	GnRH secretion	2/64	5.164912e-02	3.054145e-01	0	0	5.709677e+00	1.691939e+01	ITPR1;PIK3R3
KEGG_2021_Human	Breast cancer	3/147	5.186838e-02	3.054145e-01	0	0	3.705330e+00	1.096424e+01	JUN;PIK3R3;HES1
KEGG_2021_Human	PI3K-Akt signaling pathway	5/354	5.213171e-02	3.054145e-01	0	0	2.567887e+00	7.585493e+00	PKN3;DDIT4;PIK3R3;LAMC1;PPP2R3A
KEGG_2021_Human	Parkinson disease	4/249	5.426356e-02	3.054145e-01	0	0	2.915176e+00	8.494539e+00	PSMC6;ITPR1;MAP3K5;NFE2L2
KEGG_2021_Human	Mitophagy	2/68	5.751903e-02	3.054145e-01	0	0	5.362554e+00	1.531352e+01	BNIP3L;JUN
KEGG_2021_Human	Oxytocin signaling pathway	3/154	5.803991e-02	3.054145e-01	0	0	3.532307e+00	1.005515e+01	JUN;ITPR1;PRKAG2
KEGG_2021_Human	Renal cell carcinoma	2/69	5.902134e-02	3.054145e-01	0	0	5.282249e+00	1.494801e+01	JUN;PIK3R3
KEGG_2021_Human	Cellular senescence	3/156	5.986442e-02	3.054145e-01	0	0	3.485780e+00	9.814816e+00	SERPINE1;ITPR1;PIK3R3
KEGG_2021_Human	Alzheimer disease	5/369	6.015741e-02	3.054145e-01	0	0	2.460177e+00	6.915044e+00	PSMC6;ITPR1;PIK3R3;RTN4;MAP3K5
KEGG_2021_Human	Ribosome	3/158	6.171575e-02	3.054930e-01	0	0	3.440453e+00	9.582406e+00	RPS18;RPL23;RPS12
KEGG_2021_Human	PPAR signaling pathway	2/74	6.673183e-02	3.222659e-01	0	0	4.914187e+00	1.330306e+01	SCP2;ANGPTL4
KEGG_2021_Human	cGMP-PKG signaling pathway	3/167	7.037235e-02	3.256514e-01	0	0	3.250165e+00	8.625791e+00	ITPR1;PDE5A;ATP2B1
KEGG_2021_Human	Prion disease	4/273	7.101339e-02	3.256514e-01	0	0	2.651842e+00	7.013821e+00	PSMC6;ITPR1;PIK3R3;LAMC1
KEGG_2021_Human	Tight junction	3/169	7.236698e-02	3.256514e-01	0	0	3.210681e+00	8.431264e+00	JUN;PRKAG2;MAP3K5
KEGG_2021_Human	B cell receptor signaling pathway	2/81	7.804827e-02	3.434124e-01	0	0	4.477170e+00	1.141870e+01	JUN;PIK3R3
KEGG_2021_Human	Colorectal cancer	2/86	8.647251e-02	3.474444e-01	0	0	4.209609e+00	1.030482e+01	JUN;PIK3R3
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	2/89	9.165283e-02	3.474444e-01	0	0	4.063834e+00	9.711537e+00	JUN;PIK3R3
KEGG_2021_Human	Nitrogen metabolism	1/17	9.263990e-02	3.474444e-01	0	0	1.099004e+01	2.614570e+01	GLUD1
KEGG_2021_Human	Primary bile acid biosynthesis	1/17	9.263990e-02	3.474444e-01	0	0	1.099004e+01	2.614570e+01	SCP2
KEGG_2021_Human	Small cell lung cancer	2/92	9.692187e-02	3.474444e-01	0	0	3.927778e+00	9.166844e+00	PIK3R3;LAMC1
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	3/193	9.819716e-02	3.474444e-01	0	0	2.801707e+00	6.502140e+00	JUN;ITPR1;PIK3R3
KEGG_2021_Human	GnRH signaling pathway	2/93	9.869716e-02	3.474444e-01	0	0	3.884419e+00	8.995146e+00	JUN;ITPR1
KEGG_2021_Human	Salivary secretion	2/93	9.869716e-02	3.474444e-01	0	0	3.884419e+00	8.995146e+00	ITPR1;ATP2B1
KEGG_2021_Human	Phosphatidylinositol signaling system	2/97	1.058887e-01	3.474444e-01	0	0	3.720113e+00	8.353017e+00	ITPR1;PIK3R3
KEGG_2021_Human	Focal adhesion	3/201	1.075346e-01	3.474444e-01	0	0	2.687415e+00	5.992781e+00	JUN;PIK3R3;LAMC1
KEGG_2021_Human	Aldosterone synthesis and secretion	2/98	1.077084e-01	3.474444e-01	0	0	3.681176e+00	8.202865e+00	ITPR1;ATP2B1
KEGG_2021_Human	Choline metabolism in cancer	2/98	1.077084e-01	3.474444e-01	0	0	3.681176e+00	8.202865e+00	JUN;PIK3R3
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	2/98	1.077084e-01	3.474444e-01	0	0	3.681176e+00	8.202865e+00	ITPR1;PIK3R3
KEGG_2021_Human	One carbon pool by folate	1/20	1.080813e-01	3.474444e-01	0	0	9.253377e+00	2.058758e+01	MTHFD1L
KEGG_2021_Human	Steroid biosynthesis	1/20	1.080813e-01	3.474444e-01	0	0	9.253377e+00	2.058758e+01	LBR
KEGG_2021_Human	Viral carcinogenesis	3/203	1.099217e-01	3.474444e-01	0	0	2.660270e+00	5.873843e+00	JUN;PKM;PIK3R3
KEGG_2021_Human	Amoebiasis	2/102	1.150698e-01	3.474444e-01	0	0	3.533214e+00	7.639573e+00	PIK3R3;LAMC1
KEGG_2021_Human	Longevity regulating pathway	2/102	1.150698e-01	3.474444e-01	0	0	3.533214e+00	7.639573e+00	PIK3R3;PRKAG2
KEGG_2021_Human	Pancreatic secretion	2/102	1.150698e-01	3.474444e-01	0	0	3.533214e+00	7.639573e+00	ITPR1;ATP2B1
KEGG_2021_Human	Arginine biosynthesis	1/22	1.182305e-01	3.474444e-01	0	0	8.371260e+00	1.787364e+01	GLUD1
KEGG_2021_Human	T cell receptor signaling pathway	2/104	1.187980e-01	3.474444e-01	0	0	3.463585e+00	7.378582e+00	JUN;PIK3R3
KEGG_2021_Human	Toll-like receptor signaling pathway	2/104	1.187980e-01	3.474444e-01	0	0	3.463585e+00	7.378582e+00	JUN;PIK3R3
KEGG_2021_Human	Human immunodeficiency virus 1 infection	3/212	1.209132e-01	3.474444e-01	0	0	2.544549e+00	5.375824e+00	JUN;ITPR1;PIK3R3
KEGG_2021_Human	Mismatch repair	1/23	1.232621e-01	3.474444e-01	0	0	7.990346e+00	1.672733e+01	RFC3
KEGG_2021_Human	Proximal tubule bicarbonate reclamation	1/23	1.232621e-01	3.474444e-01	0	0	7.990346e+00	1.672733e+01	GLUD1
KEGG_2021_Human	cAMP signaling pathway	3/216	1.259246e-01	3.474444e-01	0	0	2.496257e+00	5.172424e+00	JUN;PIK3R3;ATP2B1
KEGG_2021_Human	Insulin resistance	2/108	1.263434e-01	3.474444e-01	0	0	3.332210e+00	6.893515e+00	PIK3R3;PRKAG2
KEGG_2021_Human	Cholinergic synapse	2/113	1.359306e-01	3.648133e-01	0	0	3.181306e+00	6.348650e+00	ITPR1;PIK3R3
KEGG_2021_Human	Glutamatergic synapse	2/114	1.378673e-01	3.648133e-01	0	0	3.152742e+00	6.247044e+00	ITPR1;GRIK1
KEGG_2021_Human	Maturity onset diabetes of the young	1/26	1.381868e-01	3.648133e-01	0	0	7.030442e+00	1.391429e+01	HES1
KEGG_2021_Human	Biosynthesis of unsaturated fatty acids	1/27	1.431056e-01	3.728277e-01	0	0	6.759700e+00	1.314202e+01	SCP2
KEGG_2021_Human	Thermogenesis	3/232	1.466880e-01	3.747799e-01	0	0	2.319958e+00	4.453037e+00	PRKAG2;MGLL;MAP3K5
KEGG_2021_Human	Growth hormone synthesis, secretion and action	2/119	1.476406e-01	3.747799e-01	0	0	3.017247e+00	5.771916e+00	ITPR1;PIK3R3
KEGG_2021_Human	Platelet activation	2/124	1.575512e-01	3.948751e-01	0	0	2.892857e+00	5.346014e+00	ITPR1;PIK3R3
KEGG_2021_Human	Osteoclast differentiation	2/127	1.635571e-01	3.961712e-01	0	0	2.823000e+00	5.111304e+00	JUN;PIK3R3
KEGG_2021_Human	Shigellosis	3/246	1.657078e-01	3.961712e-01	0	0	2.184740e+00	3.927134e+00	JUN;ITPR1;PIK3R3
KEGG_2021_Human	Purine metabolism	2/129	1.675839e-01	3.961712e-01	0	0	2.778262e+00	4.962730e+00	PKM;PDE5A
KEGG_2021_Human	Relaxin signaling pathway	2/129	1.675839e-01	3.961712e-01	0	0	2.778262e+00	4.962730e+00	JUN;PIK3R3
KEGG_2021_Human	FoxO signaling pathway	2/131	1.716278e-01	3.961712e-01	0	0	2.734911e+00	4.820082e+00	PIK3R3;PRKAG2
KEGG_2021_Human	SNARE interactions in vesicular transport	1/33	1.720389e-01	3.961712e-01	0	0	5.490597e+00	9.663640e+00	SEC22B
KEGG_2021_Human	Dopaminergic synapse	2/132	1.736560e-01	3.961712e-01	0	0	2.713736e+00	4.750881e+00	ITPR1;PPP2R3A
KEGG_2021_Human	Endocytosis	3/252	1.740752e-01	3.961712e-01	0	0	2.131445e+00	3.726336e+00	EHD4;TSG101;RAB11FIP3
KEGG_2021_Human	Propanoate metabolism	1/34	1.767661e-01	3.977237e-01	0	0	5.323947e+00	9.226017e+00	LDHA
KEGG_2021_Human	Insulin signaling pathway	2/137	1.838539e-01	4.001683e-01	0	0	2.612566e+00	4.424678e+00	PIK3R3;PRKAG2
