Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	Synthesis and degradation of ketone bodies	2/10	3.770028e-02	9.999861e-01	0	0	7.707803e+00	2.526685e+01	BDH1;HMGCS1
GO_Biological_Process_2021	Collecting duct acid secretion	3/27	5.196569e-02	9.999861e-01	0	0	3.856858e+00	1.140539e+01	ATP6V0A4;ATP6V1E1;ATP6V1E2
GO_Biological_Process_2021	Other types of O-glycan biosynthesis	4/47	5.999199e-02	9.999861e-01	0	0	2.871982e+00	8.080447e+00	POFUT2;GALNT3;C1GALT1;GALNT8
GO_Biological_Process_2021	Phenylalanine metabolism	2/17	9.869093e-02	9.999861e-01	0	0	4.109342e+00	9.516258e+00	PAH;GLYAT
GO_Biological_Process_2021	Pancreatic secretion	6/102	1.030622e-01	9.999861e-01	0	0	1.930489e+00	4.386887e+00	CHRM3;CPA1;PLA2G10;RAC1;PLCB1;SLC26A3
GO_Biological_Process_2021	Mucin type O-glycan biosynthesis	3/36	1.034464e-01	9.999861e-01	0	0	2.803683e+00	6.360721e+00	GALNT3;C1GALT1;GALNT8
GO_Biological_Process_2021	One carbon pool by folate	2/20	1.297591e-01	9.999861e-01	0	0	3.423921e+00	6.991905e+00	DHFR2;TYMS
GO_Biological_Process_2021	Renin-angiotensin system	2/23	1.626993e-01	9.999861e-01	0	0	2.934334e+00	5.328315e+00	ACE2;ENPEP
GO_Biological_Process_2021	Rheumatoid arthritis	5/93	1.697648e-01	9.999861e-01	0	0	1.752909e+00	3.108506e+00	HLA-DPB1;ATP6V0A4;ATP6V1E1;ATP6V1E2;TNFSF13B
GO_Biological_Process_2021	Caffeine metabolism	1/6	1.747465e-01	9.999861e-01	0	0	6.157393e+00	1.074107e+01	CYP1A2
GO_Biological_Process_2021	Phenylalanine, tyrosine and tryptophan biosynthesis	1/6	1.747465e-01	9.999861e-01	0	0	6.157393e+00	1.074107e+01	PAH
GO_Biological_Process_2021	Epithelial cell signaling in Helicobacter pylori infection	4/70	1.787975e-01	9.999861e-01	0	0	1.868913e+00	3.217335e+00	ATP6V0A4;RAC1;ATP6V1E1;ATP6V1E2
GO_Biological_Process_2021	mRNA surveillance pathway	5/98	1.965973e-01	9.999861e-01	0	0	1.658237e+00	2.697284e+00	RBM8A;FIP1L1;UPF3B;UPF3A;PPP2R3B
GO_Biological_Process_2021	Folate biosynthesis	2/26	1.969098e-01	9.999861e-01	0	0	2.567144e+00	4.171634e+00	DHFR2;PAH
GO_Biological_Process_2021	Vibrio cholerae infection	3/50	2.082645e-01	9.999861e-01	0	0	1.967118e+00	3.086302e+00	ATP6V0A4;ATP6V1E1;ATP6V1E2
GO_Biological_Process_2021	Oxytocin signaling pathway	7/154	2.130820e-01	9.999861e-01	0	0	1.469311e+00	2.271670e+00	CACNB1;GUCY1A2;OXTR;PLCB1;CAMK1G;PIK3R5;KCNJ3
GO_Biological_Process_2021	Metabolism of xenobiotics by cytochrome P450	4/76	2.177055e-01	9.999861e-01	0	0	1.712638e+00	2.611108e+00	GSTM3;CYP1A2;SULT2A1;GSTM5
GO_Biological_Process_2021	Butanoate metabolism	2/28	2.201682e-01	9.999861e-01	0	0	2.369427e+00	3.585804e+00	HMGCS1;BDH1
GO_Biological_Process_2021	Riboflavin metabolism	1/8	2.259349e-01	9.999861e-01	0	0	4.397683e+00	6.541590e+00	ENPP1
GO_Biological_Process_2021	Synaptic vesicle cycle	4/78	2.311542e-01	9.999861e-01	0	0	1.666177e+00	2.440401e+00	STX1B;ATP6V0A4;ATP6V1E1;ATP6V1E2
GO_Biological_Process_2021	Linoleic acid metabolism	2/29	2.318828e-01	9.999861e-01	0	0	2.281552e+00	3.334542e+00	CYP1A2;PLA2G10
GO_Biological_Process_2021	Glycosaminoglycan biosynthesis	3/53	2.331931e-01	9.999861e-01	0	0	1.848804e+00	2.691652e+00	CSGALNACT1;CHSY3;HS6ST3
GO_Biological_Process_2021	SNARE interactions in vesicular transport	2/33	2.789744e-01	9.999861e-01	0	0	1.986747e+00	2.536352e+00	STX1B;STX4
GO_Biological_Process_2021	Cholinergic synapse	5/113	2.842048e-01	9.999861e-01	0	0	1.426815e+00	1.795019e+00	CHRM3;KCNQ4;PLCB1;PIK3R5;KCNJ3
GO_Biological_Process_2021	Nicotinate and nicotinamide metabolism	2/35	3.024852e-01	9.999861e-01	0	0	1.866146e+00	2.231393e+00	ENPP1;NMNAT3
GO_Biological_Process_2021	Phospholipase D signaling pathway	6/148	3.237593e-01	9.999861e-01	0	0	1.302004e+00	1.468342e+00	RALA;SHC3;GRM7;SPHK1;PLCB1;PIK3R5
GO_Biological_Process_2021	Spliceosome	6/150	3.349163e-01	9.999861e-01	0	0	1.283787e+00	1.404302e+00	PRPF6;RBM8A;SNRNP27;U2AF1;SF3B1;RNU4-2
GO_Biological_Process_2021	NOD-like receptor signaling pathway	7/181	3.448452e-01	9.999861e-01	0	0	1.239571e+00	1.319722e+00	IFI16;STING1;TRPV2;TAB3;NLRP1;ANTXR2;PLCB1
GO_Biological_Process_2021	Aminoacyl-tRNA biosynthesis	3/66	3.450383e-01	9.999861e-01	0	0	1.466317e+00	1.560308e+00	SARS1;NARS1;TARS3
GO_Biological_Process_2021	Non-alcoholic fatty liver disease	6/155	3.629786e-01	9.999861e-01	0	0	1.240385e+00	1.257020e+00	IRS1;SDHC;RAC1;NDUFC2-KCTD14;ADIPOR2;MAP3K11
GO_Biological_Process_2021	Fc gamma R-mediated phagocytosis	4/97	3.653939e-01	9.999861e-01	0	0	1.324470e+00	1.333449e+00	HCK;ACTR3C;SPHK1;RAC1
GO_Biological_Process_2021	Hematopoietic cell lineage	4/99	3.797533e-01	9.999861e-01	0	0	1.296452e+00	1.255268e+00	CD5;HLA-DPB1;CD9;CD44
GO_Biological_Process_2021	Transcriptional misregulation in cancer	7/192	4.015279e-01	9.999861e-01	0	0	1.165199e+00	1.063219e+00	CCNA2;LDB1;NFKBIZ;ETV4;PBX1;ETV5;RUNX1
GO_Biological_Process_2021	Oxidative phosphorylation	5/133	4.088123e-01	9.999861e-01	0	0	1.202625e+00	1.075747e+00	SDHC;ATP6V0A4;ATP6V1E1;NDUFC2-KCTD14;ATP6V1E2
GO_Biological_Process_2021	Basal transcription factors	2/45	4.166337e-01	9.999861e-01	0	0	1.431418e+00	1.253275e+00	CCNH;GTF2F1
GO_Biological_Process_2021	Nitrogen metabolism	1/17	4.197730e-01	9.999861e-01	0	0	1.923092e+00	1.669323e+00	CA9
GO_Biological_Process_2021	Selenocompound metabolism	1/17	4.197730e-01	9.999861e-01	0	0	1.923092e+00	1.669323e+00	TXNRD2
GO_Biological_Process_2021	Wnt signaling pathway	6/166	4.249275e-01	9.999861e-01	0	0	1.154447e+00	9.880182e-01	FZD1;SFRP1;FRAT2;RAC1;PLCB1;RSPO4
GO_Biological_Process_2021	Hepatocellular carcinoma	6/168	4.361327e-01	9.999861e-01	0	0	1.140076e+00	9.460449e-01	FZD1;GSTM3;FRAT2;SHC3;TXNRD2;GSTM5
GO_Biological_Process_2021	Nucleotide excision repair	2/47	4.383936e-01	9.999861e-01	0	0	1.367657e+00	1.127823e+00	CCNH;XPC
GO_Biological_Process_2021	Bacterial invasion of epithelial cells	3/77	4.389047e-01	9.999861e-01	0	0	1.247640e+00	1.027398e+00	ACTR3C;SHC3;RAC1
GO_Biological_Process_2021	Tight junction	6/169	4.417211e-01	9.999861e-01	0	0	1.133023e+00	9.257662e-01	CLDN4;ACTR3C;NEDD4;MARVELD3;RAC1;RUNX1
GO_Biological_Process_2021	Amino sugar and nucleotide sugar metabolism	2/48	4.491063e-01	9.999861e-01	0	0	1.337857e+00	1.070948e+00	CYB5R2;CHIT1
GO_Biological_Process_2021	Intestinal immune network for IgA production	2/48	4.491063e-01	9.999861e-01	0	0	1.337857e+00	1.070948e+00	HLA-DPB1;TNFSF13B
GO_Biological_Process_2021	Glycosaminoglycan degradation	1/19	4.557825e-01	9.999861e-01	0	0	1.709239e+00	1.343017e+00	HGSNAT
