Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PanglaoDB_Augmented_2021	negative regulation of B cell differentiation (GO:0045578)	2/5	9.299414e-03	9.393673e-01	0	0	2.055945e+01	9.617307e+01	SFRP1;INHA
PanglaoDB_Augmented_2021	positive regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043378)	2/5	9.299414e-03	9.393673e-01	0	0	2.055945e+01	9.617307e+01	NCKAP1L;RUNX1
PanglaoDB_Augmented_2021	epiboly involved in wound healing (GO:0090505)	3/16	1.282506e-02	9.393673e-01	0	0	7.124402e+00	3.103642e+01	CD151;LCP1;CD44
PanglaoDB_Augmented_2021	regulation of systemic arterial blood pressure by hormone (GO:0001990)	3/16	1.282506e-02	9.393673e-01	0	0	7.124402e+00	3.103642e+01	ACE2;ENPEP;OXTR
PanglaoDB_Augmented_2021	regulation of response to reactive oxygen species (GO:1901031)	2/6	1.365943e-02	9.393673e-01	0	0	1.541879e+01	6.619788e+01	HEBP2;STK26
PanglaoDB_Augmented_2021	negative regulation of insulin secretion (GO:0046676)	3/17	1.521478e-02	9.393673e-01	0	0	6.615174e+00	2.768773e+01	SFRP1;IRS1;CCN3
PanglaoDB_Augmented_2021	aminoglycan catabolic process (GO:0006026)	4/31	1.562661e-02	9.393673e-01	0	0	4.577683e+00	1.903758e+01	CHIT1;HGSNAT;GPC2;GPC6
PanglaoDB_Augmented_2021	regulation of B cell differentiation (GO:0045577)	3/18	1.783815e-02	9.393673e-01	0	0	6.173844e+00	2.485846e+01	SFRP1;NCKAP1L;INHA
PanglaoDB_Augmented_2021	negative regulation of peptide hormone secretion (GO:0090278)	3/18	1.783815e-02	9.393673e-01	0	0	6.173844e+00	2.485846e+01	SFRP1;IRS1;CCN3
PanglaoDB_Augmented_2021	regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043376)	2/7	1.872712e-02	9.393673e-01	0	0	1.233439e+01	4.906354e+01	NCKAP1L;RUNX1
PanglaoDB_Augmented_2021	cellular amino acid biosynthetic process (GO:0008652)	2/7	1.872712e-02	9.393673e-01	0	0	1.233439e+01	4.906354e+01	PAH;ALDH1A1
PanglaoDB_Augmented_2021	regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081)	2/7	1.872712e-02	9.393673e-01	0	0	1.233439e+01	4.906354e+01	ACE2;ENPEP
PanglaoDB_Augmented_2021	negative regulation of lymphocyte differentiation (GO:0045620)	2/7	1.872712e-02	9.393673e-01	0	0	1.233439e+01	4.906354e+01	SFRP1;INHA
PanglaoDB_Augmented_2021	positive regulation of neutrophil chemotaxis (GO:0090023)	3/19	2.069684e-02	9.393673e-01	0	0	5.787679e+00	2.244331e+01	DAPK2;NCKAP1L;RAC1
PanglaoDB_Augmented_2021	ventricular cardiac muscle tissue morphogenesis (GO:0055010)	4/34	2.139574e-02	9.393673e-01	0	0	4.119276e+00	1.583682e+01	MYBPC3;TPM1;NRG1;ZFPM2
PanglaoDB_Augmented_2021	natural killer cell differentiation (GO:0001779)	2/8	2.445372e-02	9.393673e-01	0	0	1.027813e+01	3.814187e+01	NFIL3;PBX1
PanglaoDB_Augmented_2021	negative regulation of osteoblast proliferation (GO:0033689)	2/8	2.445372e-02	9.393673e-01	0	0	1.027813e+01	3.814187e+01	SFRP1;ATRAID
PanglaoDB_Augmented_2021	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	3/21	2.712229e-02	9.393673e-01	0	0	5.144072e+00	1.855672e+01	IFI16;RPS27L;AEN
PanglaoDB_Augmented_2021	acyl-CoA metabolic process (GO:0006637)	4/37	2.831343e-02	9.393673e-01	0	0	3.744215e+00	1.334595e+01	HMGCS1;ACOT11;ACOT1;GLYAT
PanglaoDB_Augmented_2021	negative regulation of B cell activation (GO:0050869)	3/22	3.068806e-02	9.393673e-01	0	0	4.873080e+00	1.697723e+01	SFRP1;INHA;SAMSN1
