Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,mRNA surveillance pathway,5/98,0.0240023687778878,0.9994275253499914,0,0,3.2084316810910045,11.966175635184532,RBM8A;FIP1L1;UPF3B;UPF3A;PPP2R3B
GO_Biological_Process_2021,One carbon pool by folate,2/20,0.0431097224990701,0.9994275253499914,0,0,6.595837529372273,20.737357564438184,DHFR2;TYMS
GO_Biological_Process_2021,Folate biosynthesis,2/26,0.069122644357998,0.9994275253499914,0,0,4.945367573011078,13.213393587611174,DHFR2;PAH
GO_Biological_Process_2021,Collecting duct acid secretion,2/27,0.0738562863142132,0.9994275253499914,0,0,4.747311178247734,12.369756130940916,ATP6V1E1;ATP6V1E2
GO_Biological_Process_2021,Hematopoietic cell lineage,4/99,0.0834961567119075,0.9994275253499914,0,0,2.50481522956327,6.219342685725459,CD5;HLA-DPB1;CD9;CD44
GO_Biological_Process_2021,Caffeine metabolism,1/6,0.0958440060457461,0.9994275253499914,0,0,11.844578313253011,27.77593111601713,CYP1A2
GO_Biological_Process_2021,"Phenylalanine, tyrosine and tryptophan biosynthesis",1/6,0.0958440060457461,0.9994275253499914,0,0,11.844578313253011,27.77593111601713,PAH
GO_Biological_Process_2021,Aminoacyl-tRNA biosynthesis,3/66,0.0975236015072316,0.9994275253499914,0,0,2.8288600288600287,6.58462677758445,SARS1;NARS1;TARS3
GO_Biological_Process_2021,SNARE interactions in vesicular transport,2/33,0.1042127026987761,0.9994275253499914,0,0,3.827307279992203,8.654771283271891,STX1B;STX4
GO_Biological_Process_2021,Epithelial cell signaling in Helicobacter pylori infection,3/70,0.1113065911763065,0.9994275253499914,0,0,2.659430122116689,5.838690546785178,RAC1;ATP6V1E1;ATP6V1E2
GO_Biological_Process_2021,Metabolism of xenobiotics by cytochrome P450,3/76,0.1332651279744461,0.9994275253499914,0,0,2.4400996264009964,4.917812636053422,GSTM3;CYP1A2;GSTM5
GO_Biological_Process_2021,Synaptic vesicle cycle,3/78,0.1408962360142792,0.9994275253499914,0,0,2.374787878787879,4.653946788360029,STX1B;ATP6V1E1;ATP6V1E2
GO_Biological_Process_2021,Synthesis and degradation of ketone bodies,1/10,0.1545948968175073,0.9994275253499914,0,0,6.578982597054886,12.282612824708192,BDH1
GO_Biological_Process_2021,RNA transport,5/186,0.1991997241029624,0.9994275253499914,0,0,1.6411197951758525,2.647860333451084,RBM8A;UPF3B;UPF3A;EIF2S2;RNU4-2
GO_Biological_Process_2021,Rheumatoid arthritis,3/93,0.2021509735781309,0.9994275253499914,0,0,1.9774747474747476,3.161468900842349,HLA-DPB1;ATP6V1E1;ATP6V1E2
GO_Biological_Process_2021,Vibrio cholerae infection,2/50,0.202328363867512,0.9994275253499914,0,0,2.469662638469285,3.946183386445572,ATP6V1E1;ATP6V1E2
GO_Biological_Process_2021,Cysteine and methionine metabolism,2/50,0.202328363867512,0.9994275253499914,0,0,2.469662638469285,3.946183386445572,LDHC;APIP
GO_Biological_Process_2021,Spliceosome,4/150,0.2405558710530385,0.9994275253499914,0,0,1.625598534371487,2.3161575130726817,PRPF6;RBM8A;SNRNP27;RNU4-2
GO_Biological_Process_2021,Glutathione metabolism,2/57,0.2453024269593855,0.9994275253499914,0,0,2.1545729195276024,3.0277425395368907,GSTM3;GSTM5
GO_Biological_Process_2021,Phagosome,4/152,0.247767375377368,0.9994275253499914,0,0,1.6034666885730715,2.2372609099909337,HLA-DPB1;RAC1;ATP6V1E1;ATP6V1E2
GO_Biological_Process_2021,Selenocompound metabolism,1/17,0.2483973321345459,0.9994275253499914,0,0,3.699359939759036,5.152193547637034,TXNRD2
GO_Biological_Process_2021,Phenylalanine metabolism,1/17,0.2483973321345459,0.9994275253499914,0,0,3.699359939759036,5.152193547637034,PAH
GO_Biological_Process_2021,Viral myocarditis,2/60,0.2638507100162929,0.9994275253499914,0,0,2.0428169601000103,2.721791767703168,HLA-DPB1;RAC1
GO_Biological_Process_2021,Drug metabolism,3/108,0.2682732405919478,0.9994275253499914,0,0,1.6936796536796537,2.228457756792257,GSTM3;CYP1A2;GSTM5
GO_Biological_Process_2021,Glycosaminoglycan degradation,1/19,0.273238857368733,0.9994275253499914,0,0,3.2879852744310574,4.265861459758775,HGSNAT
GO_Biological_Process_2021,Cytosolic DNA-sensing pathway,2/63,0.2824031294972828,0.9994275253499914,0,0,1.9420533901243129,2.455570548680093,STING1;CGAS
GO_Biological_Process_2021,Leukocyte transendothelial migration,3/114,0.2954342249212958,0.9994275253499914,0,0,1.6016380016380016,1.9528917198492872,CLDN4;TXK;RAC1
GO_Biological_Process_2021,Hepatocellular carcinoma,4/168,0.3068435236148287,0.9994275253499914,0,0,1.4458447623989918,1.7081460969572326,GSTM3;SHC3;TXNRD2;GSTM5
