Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Mucin type O-glycan biosynthesis	3/36	1.626841e-02	9.832852e-01	0	0	6.061325e+00	2.496375e+01	GALNT3;C1GALT1;GALNT8
KEGG_2021_Human	Pancreatic secretion	5/102	1.832548e-02	9.832852e-01	0	0	3.449034e+00	1.379428e+01	CHRM3;CPA1;PLA2G10;PLCB1;SLC26A3
KEGG_2021_Human	Other types of O-glycan biosynthesis	3/47	3.280375e-02	9.832852e-01	0	0	4.543451e+00	1.552594e+01	GALNT3;C1GALT1;GALNT8
KEGG_2021_Human	Glycosaminoglycan biosynthesis	3/53	4.443573e-02	9.832852e-01	0	0	3.997017e+00	1.244556e+01	CSGALNACT1;CHSY3;HS6ST3
KEGG_2021_Human	Renin-angiotensin system	2/23	4.557472e-02	9.832852e-01	0	0	6.332368e+00	1.955690e+01	ACE2;ENPEP
KEGG_2021_Human	Phospholipase D signaling pathway	5/148	7.087027e-02	9.832852e-01	0	0	2.334065e+00	6.178047e+00	RALA;GRM7;SPHK1;PLCB1;PIK3R5
KEGG_2021_Human	Oxytocin signaling pathway	5/154	8.085709e-02	9.832852e-01	0	0	2.239389e+00	5.632224e+00	GUCY1A2;OXTR;PLCB1;PIK3R5;KCNJ3
KEGG_2021_Human	Cholinergic synapse	4/113	8.874589e-02	9.832852e-01	0	0	2.445609e+00	5.923213e+00	CHRM3;PLCB1;PIK3R5;KCNJ3
KEGG_2021_Human	Riboflavin metabolism	1/8	1.131840e-01	9.832852e-01	0	0	9.473304e+00	2.063987e+01	ENPP1
KEGG_2021_Human	NOD-like receptor signaling pathway	5/181	1.342782e-01	9.832852e-01	0	0	1.893228e+00	3.801303e+00	IFI16;TRPV2;TAB3;ANTXR2;PLCB1
KEGG_2021_Human	Synthesis and degradation of ketone bodies	1/10	1.394253e-01	9.832852e-01	0	0	7.367377e+00	1.451540e+01	HMGCS1
KEGG_2021_Human	Morphine addiction	3/91	1.544348e-01	9.832852e-01	0	0	2.266641e+00	4.234047e+00	GABRR1;PDE4C;KCNJ3
KEGG_2021_Human	Salivary secretion	3/93	1.615852e-01	9.832852e-01	0	0	2.216045e+00	4.039237e+00	CHRM3;GUCY1A2;PLCB1
KEGG_2021_Human	Circadian entrainment	3/97	1.761745e-01	9.832852e-01	0	0	2.121313e+00	3.683193e+00	GUCY1A2;PLCB1;KCNJ3
KEGG_2021_Human	Retrograde endocannabinoid signaling	4/148	1.798903e-01	9.832852e-01	0	0	1.847884e+00	3.169875e+00	GABRR1;PLCB1;NDUFC2-KCTD14;KCNJ3
KEGG_2021_Human	Non-alcoholic fatty liver disease	4/155	2.009573e-01	9.832852e-01	0	0	1.761589e+00	2.826757e+00	IRS1;NDUFC2-KCTD14;ADIPOR2;MAP3K11
KEGG_2021_Human	Long-term depression	2/60	2.249554e-01	9.832852e-01	0	0	2.288444e+00	3.414022e+00	GUCY1A2;PLCB1
KEGG_2021_Human	Nitrogen metabolism	1/17	2.253224e-01	9.832852e-01	0	0	4.142677e+00	6.173512e+00	CA9
KEGG_2021_Human	Phenylalanine metabolism	1/17	2.253224e-01	9.832852e-01	0	0	4.142677e+00	6.173512e+00	GLYAT
KEGG_2021_Human	Serotonergic synapse	3/113	2.375969e-01	9.832852e-01	0	0	1.811279e+00	2.603133e+00	KCND2;PLCB1;KCNJ3
KEGG_2021_Human	cGMP-PKG signaling pathway	4/167	2.386224e-01	9.832852e-01	0	0	1.630900e+00	2.336873e+00	GUCY1A2;IRS1;PLCB1;PIK3R5
KEGG_2021_Human	Glutamatergic synapse	3/114	2.415602e-01	9.832852e-01	0	0	1.794869e+00	2.549857e+00	GRM7;PLCB1;KCNJ3
KEGG_2021_Human	Tight junction	4/169	2.450584e-01	9.832852e-01	0	0	1.610967e+00	2.265436e+00	ACTR3C;NEDD4;MARVELD3;RUNX1
KEGG_2021_Human	GnRH secretion	2/64	2.470047e-01	9.832852e-01	0	0	2.140366e+00	2.992976e+00	PLCB1;KCNJ3
KEGG_2021_Human	Neuroactive ligand-receptor interaction	7/341	2.474998e-01	9.832852e-01	0	0	1.394901e+00	1.947764e+00	CHRM3;UTS2R;OXTR;GABRR1;CALCR;NPW;GRM7
KEGG_2021_Human	Cortisol synthesis and secretion	2/65	2.525315e-01	9.832852e-01	0	0	2.106285e+00	2.898710e+00	PLCB1;PBX1
KEGG_2021_Human	Acute myeloid leukemia	2/67	2.635928e-01	9.832852e-01	0	0	2.041268e+00	2.721725e+00	CCNA2;RUNX1
KEGG_2021_Human	AMPK signaling pathway	3/120	2.655492e-01	9.832852e-01	0	0	1.702303e+00	2.257178e+00	CCNA2;IRS1;ADIPOR2
KEGG_2021_Human	Pantothenate and CoA biosynthesis	1/21	2.705123e-01	9.832852e-01	0	0	3.313468e+00	4.332153e+00	ENPP1
KEGG_2021_Human	Adipocytokine signaling pathway	2/69	2.746558e-01	9.832852e-01	0	0	1.980133e+00	2.558801e+00	IRS1;ADIPOR2
KEGG_2021_Human	Renin secretion	2/69	2.746558e-01	9.832852e-01	0	0	1.980133e+00	2.558801e+00	GUCY1A2;PLCB1
KEGG_2021_Human	Terpenoid backbone biosynthesis	1/22	2.813931e-01	9.832852e-01	0	0	3.155523e+00	4.001212e+00	HMGCS1
KEGG_2021_Human	Platelet activation	3/124	2.816990e-01	9.832852e-01	0	0	1.645693e+00	2.084954e+00	GUCY1A2;PLCB1;PIK3R5
KEGG_2021_Human	Purine metabolism	3/129	3.020017e-01	9.832852e-01	0	0	1.579984e+00	1.891751e+00	GUCY1A2;PDE4C;ENPP1
KEGG_2021_Human	FoxO signaling pathway	3/131	3.101453e-01	9.832852e-01	0	0	1.555138e+00	1.820622e+00	IRS1;SGK3;SGK2
KEGG_2021_Human	Alzheimer disease	7/369	3.122980e-01	9.832852e-01	0	0	1.285147e+00	1.495651e+00	FZD1;SEM1;CHRM3;FRAT2;IRS1;PLCB1;NDUFC2-KCTD14
KEGG_2021_Human	alpha-Linolenic acid metabolism	1/25	3.130744e-01	9.832852e-01	0	0	2.760662e+00	3.205997e+00	PLA2G10
KEGG_2021_Human	Gastric acid secretion	2/76	3.132543e-01	9.832852e-01	0	0	1.792184e+00	2.080260e+00	CHRM3;PLCB1
KEGG_2021_Human	Vascular smooth muscle contraction	3/133	3.182959e-01	9.832852e-01	0	0	1.531056e+00	1.752713e+00	GUCY1A2;PLA2G10;PLCB1
KEGG_2021_Human	Transcriptional misregulation in cancer	4/192	3.212069e-01	9.832852e-01	0	0	1.412216e+00	1.603811e+00	CCNA2;NFKBIZ;PBX1;RUNX1
