Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	presynapse assembly (GO:0099054)	8/18	1.902796e-05	4.303549e-02	0	0	1.011167e+01	1.099098e+02	FZD1;PTPRD;NLGN1;NLGN4X;LRRTM3;WNT5A;IL1RAPL1;CEL
MSigDB_Hallmark_2020	synapse assembly (GO:0007416)	16/69	3.148990e-05	4.303549e-02	0	0	3.827767e+00	3.967803e+01	FZD1;GABRB2;GPM6A;GRID2;NLGN1;NLGN4X;DSCAM;RYK;NRXN1;WNT5A;CDH2;LRRTM3;FLRT3;RAB29;PCDHB3;ADGRL3
MSigDB_Hallmark_2020	positive regulation of cell projection organization (GO:0031346)	22/117	3.941866e-05	4.303549e-02	0	0	2.941739e+00	2.983297e+01	FZD1;ROBO2;LTK;RETREG3;TENM3;MAGI2;WNT5A;ZNF804A;NDNF;STYXL1;ROBO1;PTPRD;GRIP1;RIT2;IL1RAPL1;DVL2;NPTN;ABL2;ROR1;PRKD1;SLIT2;EPHA3
MSigDB_Hallmark_2020	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	28/170	4.776414e-05	4.303549e-02	0	0	2.508797e+00	2.496061e+01	ROBO2;TENM2;NLGN1;ITGAM;TENM3;PTPRM;CDH8;ROBO1;CDH2;CDH20;FLRT3;NPTN;HMCN1;LRRC4C;GPC6;GRID2;DSCAM;UNC5D;PTPRD;LRFN5;CDH10;IL1RAPL1;CNTN4;FAT4;PCDHB3;NECTIN3;CDH18;ADGRL3
MSigDB_Hallmark_2020	neuron cell-cell adhesion (GO:0007158)	7/16	7.325495e-05	5.280217e-02	0	0	9.824617e+00	9.354573e+01	NLGN1;NLGN4X;NRXN1;NRXN3;CEL;CNTN4;NCAM2
MSigDB_Hallmark_2020	synapse organization (GO:0050808)	22/126	1.248014e-04	7.496402e-02	0	0	2.685853e+00	2.414256e+01	CX3CR1;GPM6A;NLGN1;NLGN4X;DSCAM;RYK;NRXN1;PTPRD;CACNB2;LRFN5;GRM5;CDH2;FLRT3;NEDD4;RAB29;PCDHB3;LRRC4C;PDZRN3;GPC6;PPFIA3;SNCA;ADGRL3
MSigDB_Hallmark_2020	regulation of trans-synaptic signaling (GO:0099177)	10/35	1.517853e-04	7.814777e-02	0	0	5.058647e+00	4.448090e+01	CX3CR1;NLGN1;PXK;GRID2;NLGN4X;NRG3;NTF3;GRIK2;CEL;LRRC4C
MSigDB_Hallmark_2020	enzyme linked receptor protein signaling pathway (GO:0007167)	23/140	2.269906e-04	1.022593e-01	0	0	2.495903e+00	2.094213e+01	LTK;CSF1;SYK;RYK;NPR2;FRS2;GP6;GUCY2F;EGFR;ACVR2A;IGF1R;PTPRG;PTPRD;CNKSR1;FER;CD8A;ERBB4;NTF3;CASS4;ROR1;EPHA3;FGFR2;FRK
MSigDB_Hallmark_2020	retinal ganglion cell axon guidance (GO:0031290)	4/6	3.895724e-04	1.428006e-01	0	0	2.522124e+01	1.979983e+02	ROBO2;NRP1;PTPRM;SLIT2
MSigDB_Hallmark_2020	presynaptic membrane assembly (GO:0097105)	5/10	3.962282e-04	1.428006e-01	0	0	1.261717e+01	9.883683e+01	PTPRD;NLGN1;NLGN4X;IL1RAPL1;CEL
MSigDB_Hallmark_2020	regulation of neuron projection development (GO:0010975)	25/165	4.465865e-04	1.463180e-01	0	0	2.267537e+00	1.749150e+01	KANK1;HDAC2;LTK;RETREG3;TENM3;NDNF;STYXL1;CDH2;NPTN;RAB29;ABL2;CSMD3;CTNNA2;LRRC4C;FBXO7;MINAR1;FZD1;MAGI2;WNT5A;ZNF804A;RIT2;IL1RAPL1;ROR1;PRKD1;EPHA3
MSigDB_Hallmark_2020	regulation of synapse assembly (GO:0051963)	11/47	4.897030e-04	1.470741e-01	0	0	3.864588e+00	2.945478e+01	ROBO2;PTPRD;NLGN1;GRID2;LRFN5;NRXN1;IL1RAPL2;IL1RAPL1;LHFPL4;GPC6;SNCA
MSigDB_Hallmark_2020	postsynapse assembly (GO:0099068)	5/11	6.823925e-04	1.670931e-01	0	0	1.051374e+01	7.664415e+01	NLGN1;NLGN4X;NRXN1;WNT5A;CEL
MSigDB_Hallmark_2020	presynaptic membrane organization (GO:0097090)	5/11	6.823925e-04	1.670931e-01	0	0	1.051374e+01	7.664415e+01	PTPRD;NLGN1;NLGN4X;IL1RAPL1;CEL
MSigDB_Hallmark_2020	ventricular septum morphogenesis (GO:0060412)	8/28	6.954487e-04	1.670931e-01	0	0	5.053106e+00	3.674090e+01	ROBO2;HEY1;SLIT2;ZFPM2;TGFBR1;ROBO1;SMAD7;BMPR1A
MSigDB_Hallmark_2020	modulation of chemical synaptic transmission (GO:0050804)	18/109	9.822529e-04	2.200553e-01	0	0	2.506310e+00	1.735786e+01	CX3CR1;PXK;GRID2;NLGN1;MCTP1;NLGN4X;SYT1;CEL;GRIK2;RIMS2;GRM5;CDH2;GRM7;NRG3;GRM8;NTF3;TMEM108;LRRC4C
MSigDB_Hallmark_2020	anterograde trans-synaptic signaling (GO:0098916)	32/244	1.056845e-03	2.200553e-01	0	0	1.918479e+00	1.314631e+01	CHRM2;GABRB2;CHRM3;GABRB1;NLGN1;NRXN1;SLC1A2;GRIK2;GPR176;GABRR1;GLRA2;GRM5;PTCHD1;GRM7;CHRNA10;PRKACB;GRIA4;SNCA;NLGN4X;KCND2;SYT1;OPRK1;CEL;GABRG3;CACNB2;RIT2;DLG2;SYPL1;GLRB;NOVA1;APBA1;PCDHB3
MSigDB_Hallmark_2020	presynapse organization (GO:0099172)	5/12	1.099055e-03	2.200553e-01	0	0	9.011288e+00	6.139665e+01	FZD1;NLGN1;NLGN4X;LRRTM3;WNT5A
MSigDB_Hallmark_2020	regulation of presynapse assembly (GO:1905606)	6/18	1.354568e-03	2.440931e-01	0	0	6.310498e+00	4.167625e+01	PTPRD;LRFN5;IL1RAPL2;IL1RAPL1;GPC6;SNCA
MSigDB_Hallmark_2020	regulation of presynapse organization (GO:0099174)	6/18	1.354568e-03	2.440931e-01	0	0	6.310498e+00	4.167625e+01	PTPRD;LRFN5;IL1RAPL2;IL1RAPL1;GPC6;SNCA
MSigDB_Hallmark_2020	ventricular septum development (GO:0003281)	9/38	1.436829e-03	2.465872e-01	0	0	3.921283e+00	2.566604e+01	ROBO2;HEY1;PDE2A;SLIT2;ZFPM2;TGFBR1;ROBO1;SMAD7;BMPR1A
MSigDB_Hallmark_2020	outflow tract septum morphogenesis (GO:0003148)	7/25	1.710174e-03	2.801577e-01	0	0	4.909921e+00	3.128189e+01	ROBO2;NRP1;SEMA3C;ZFPM2;FGFR2;ROBO1;BMPR1A
MSigDB_Hallmark_2020	positive regulation of neuron projection development (GO:0010976)	15/88	1.818773e-03	2.849938e-01	0	0	2.600767e+00	1.640978e+01	FZD1;LTK;RETREG3;TENM3;MAGI2;WNT5A;ZNF804A;NDNF;STYXL1;RIT2;NPTN;ABL2;ROR1;PRKD1;EPHA3
