Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Mucin type O-glycan biosynthesis,3/36,0.0162684138811796,0.983285168677095,0,0,6.061325115562403,24.963748417974152,GALNT3;C1GALT1;GALNT8
KEGG_2021_Human,Pancreatic secretion,5/102,0.0183254831520082,0.983285168677095,0,0,3.449034164878083,13.79428337559054,CHRM3;CPA1;PLA2G10;PLCB1;SLC26A3
KEGG_2021_Human,Other types of O-glycan biosynthesis,3/47,0.0328037487705539,0.983285168677095,0,0,4.543451463790447,15.52593903678626,GALNT3;C1GALT1;GALNT8
KEGG_2021_Human,Glycosaminoglycan biosynthesis,3/53,0.0444357264956643,0.983285168677095,0,0,3.9970169491525422,12.445557569518424,CSGALNACT1;CHSY3;HS6ST3
KEGG_2021_Human,Renin-angiotensin system,2/23,0.0455747204795115,0.983285168677095,0,0,6.332368082368083,19.5568988305819,ACE2;ENPEP
KEGG_2021_Human,Phospholipase D signaling pathway,5/148,0.0708702743292436,0.983285168677095,0,0,2.334065252153989,6.178047108001811,RALA;GRM7;SPHK1;PLCB1;PIK3R5
KEGG_2021_Human,Oxytocin signaling pathway,5/154,0.0808570884686318,0.983285168677095,0,0,2.2393888723457867,5.632224300298709,GUCY1A2;OXTR;PLCB1;PIK3R5;KCNJ3
KEGG_2021_Human,Cholinergic synapse,4/113,0.0887458902274793,0.983285168677095,0,0,2.4456094364351246,5.923212640477541,CHRM3;PLCB1;PIK3R5;KCNJ3
KEGG_2021_Human,Riboflavin metabolism,1/8,0.1131840058919903,0.983285168677095,0,0,9.473304473304474,20.63987130919014,ENPP1
KEGG_2021_Human,NOD-like receptor signaling pathway,5/181,0.1342781940984918,0.983285168677095,0,0,1.8932283586720449,3.801302573039113,IFI16;TRPV2;TAB3;ANTXR2;PLCB1
KEGG_2021_Human,Synthesis and degradation of ketone bodies,1/10,0.1394252695424448,0.983285168677095,0,0,7.367377478488589,14.515402516497678,HMGCS1
KEGG_2021_Human,Morphine addiction,3/91,0.1544348276216332,0.983285168677095,0,0,2.2666409861325114,4.234047054345031,GABRR1;PDE4C;KCNJ3
KEGG_2021_Human,Salivary secretion,3/93,0.1615851500208751,0.983285168677095,0,0,2.216045197740113,4.039236618666796,CHRM3;GUCY1A2;PLCB1
KEGG_2021_Human,Circadian entrainment,3/97,0.1761745302656445,0.983285168677095,0,0,2.121312657771367,3.6831930088620752,GUCY1A2;PLCB1;KCNJ3
KEGG_2021_Human,Retrograde endocannabinoid signaling,4/148,0.179890275470272,0.983285168677095,0,0,1.847883597883598,3.1698746666289126,GABRR1;PLCB1;NDUFC2-KCTD14;KCNJ3
KEGG_2021_Human,Non-alcoholic fatty liver disease,4/155,0.2009573170581897,0.983285168677095,0,0,1.7615894039735098,2.8267568910400462,IRS1;NDUFC2-KCTD14;ADIPOR2;MAP3K11
KEGG_2021_Human,Long-term depression,2/60,0.2249553638693446,0.983285168677095,0,0,2.2884436160298227,3.4140221129782224,GUCY1A2;PLCB1
KEGG_2021_Human,Nitrogen metabolism,1/17,0.2253224315788269,0.983285168677095,0,0,4.142676767676767,6.173511676066833,CA9
KEGG_2021_Human,Phenylalanine metabolism,1/17,0.2253224315788269,0.983285168677095,0,0,4.142676767676767,6.173511676066833,GLYAT
KEGG_2021_Human,Serotonergic synapse,3/113,0.2375969170364779,0.983285168677095,0,0,1.8112788906009245,2.603133192862469,KCND2;PLCB1;KCNJ3
KEGG_2021_Human,cGMP-PKG signaling pathway,4/167,0.2386224176132273,0.983285168677095,0,0,1.6309002128458745,2.336872585390965,GUCY1A2;IRS1;PLCB1;PIK3R5
KEGG_2021_Human,Glutamatergic synapse,3/114,0.2415602416832779,0.983285168677095,0,0,1.7948694457169034,2.5498568481482,GRM7;PLCB1;KCNJ3
KEGG_2021_Human,Tight junction,4/169,0.2450584161558457,0.983285168677095,0,0,1.610966810966811,2.2654360346441096,ACTR3C;NEDD4;MARVELD3;RUNX1
KEGG_2021_Human,GnRH secretion,2/64,0.247004720562313,0.983285168677095,0,0,2.1403661726242373,2.9929763949245847,PLCB1;KCNJ3
KEGG_2021_Human,Neuroactive ligand-receptor interaction,7/341,0.2474997605427021,0.983285168677095,0,0,1.3949009198098647,1.9477638517530096,CHRM3;UTS2R;OXTR;GABRR1;CALCR;NPW;GRM7
KEGG_2021_Human,Cortisol synthesis and secretion,2/65,0.2525314930406528,0.983285168677095,0,0,2.1062848562848564,2.8987098981740487,PLCB1;PBX1
KEGG_2021_Human,Acute myeloid leukemia,2/67,0.263592758037793,0.983285168677095,0,0,2.041268191268191,2.721724840830218,CCNA2;RUNX1
KEGG_2021_Human,AMPK signaling pathway,3/120,0.2655492183190973,0.983285168677095,0,0,1.702303346371143,2.2571777625834466,CCNA2;IRS1;ADIPOR2
KEGG_2021_Human,Pantothenate and CoA biosynthesis,1/21,0.2705123096236039,0.983285168677095,0,0,3.3134680134680137,4.332152915067912,ENPP1
KEGG_2021_Human,Adipocytokine signaling pathway,2/69,0.2746557591961003,0.983285168677095,0,0,1.98013311819282,2.5588007856049764,IRS1;ADIPOR2
KEGG_2021_Human,Renin secretion,2/69,0.2746557591961003,0.983285168677095,0,0,1.98013311819282,2.5588007856049764,GUCY1A2;PLCB1
KEGG_2021_Human,Terpenoid backbone biosynthesis,1/22,0.2813930846883027,0.983285168677095,0,0,3.155523488856822,4.001212333042656,HMGCS1
KEGG_2021_Human,Platelet activation,3/124,0.2816990268453413,0.983285168677095,0,0,1.6456926740439837,2.0849544764047803,GUCY1A2;PLCB1;PIK3R5
KEGG_2021_Human,Purine metabolism,3/129,0.3020016554898639,0.983285168677095,0,0,1.5799838579499597,1.891750664946859,GUCY1A2;PDE4C;ENPP1
KEGG_2021_Human,FoxO signaling pathway,3/131,0.3101452999138693,0.983285168677095,0,0,1.5551377118644067,1.820622085135412,IRS1;SGK3;SGK2
