Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Arrhythmogenic right ventricular cardiomyopathy,7/77,0.0104122020550296,0.9999114932436856,0,0,3.113387096774193,14.2119174567166,SGCD;ITGB5;LAMA2;PKP2;CTNNA1;CACNG3;CACNG4
MSigDB_Hallmark_2020,"Phenylalanine, tyrosine and tryptophan biosynthesis",2/6,0.0135350302467289,0.9999114932436856,0,0,15.4952,66.66769700302906,GOT1;PAH
MSigDB_Hallmark_2020,Hypertrophic cardiomyopathy,7/90,0.0229321304208392,0.9999114932436856,0,0,2.623979790128255,9.906091213335658,PRKAB2;SGCD;ITGB5;LAMA2;IGF1;CACNG3;CACNG4
MSigDB_Hallmark_2020,Sulfur metabolism,2/10,0.037371741093341,0.9999114932436856,0,0,7.746,25.459866093941184,SUOX;PAPSS2
MSigDB_Hallmark_2020,Collecting duct acid secretion,3/27,0.051361922675548,0.9999114932436856,0,0,3.876001602564103,11.50729908296005,ATP6V1B2;SLC12A7;ATP6V0D2
MSigDB_Hallmark_2020,ECM-receptor interaction,6/88,0.0581522446503702,0.9999114932436856,0,0,2.273005773535996,6.465998611698025,SV2C;ITGB5;LAMA2;LAMA4;NPNT;FREM1
MSigDB_Hallmark_2020,Acute myeloid leukemia,5/67,0.058848790920631,0.9999114932436856,0,0,2.503759983404211,7.0926111972695365,PER2;BCL2A1;KIT;RUNX1;RUNX1T1
MSigDB_Hallmark_2020,Dilated cardiomyopathy,6/96,0.0811751292882269,0.9999114932436856,0,0,2.070101986044015,5.198329084233135,SGCD;ITGB5;LAMA2;IGF1;CACNG3;CACNG4
MSigDB_Hallmark_2020,AMPK signaling pathway,7/120,0.083491551873375,0.9999114932436856,0,0,1.924350556665715,4.778181343588728,PRKAB2;G6PC3;FASN;PPP2R3B;IGF1;ADIPOR2;CREB5
MSigDB_Hallmark_2020,Nitrogen metabolism,2/17,0.0978965704233523,0.9999114932436856,0,0,4.129706666666666,9.596793074099317,CA12;CA3
MSigDB_Hallmark_2020,Phenylalanine metabolism,2/17,0.0978965704233523,0.9999114932436856,0,0,4.129706666666666,9.596793074099317,GOT1;PAH
MSigDB_Hallmark_2020,FoxO signaling pathway,7/131,0.1180832839751719,0.9999114932436856,0,0,1.752640478668054,3.744279963871648,PRKAB2;BCL2L11;G6PC3;HOMER2;CCNG2;IGF1;SOD2
MSigDB_Hallmark_2020,Axon guidance,9/182,0.1195249020628249,0.9999114932436856,0,0,1.616252314944722,3.4332925339848965,UNC5A;TRPC3;UNC5B;SEMA3D;RASA1;EPHB2;SRGAP1;BMP7;EPHA3
MSigDB_Hallmark_2020,D-Glutamine and D-glutamate metabolism,1/5,0.1472385299892716,0.9999114932436856,0,0,7.735223642172524,14.81837840707764,DGLUCY
MSigDB_Hallmark_2020,Retinol metabolism,4/68,0.1644248851644331,0.9999114932436856,0,0,1.9370987158908508,3.497047097736887,CYP3A7-CYP3A51P;RDH10;ALDH1A1;CYP1A2
