Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,peptidyl-tyrosine dephosphorylation (GO:0035335),8/35,0.0037607259485035,0.9999944332544356,0,0,3.6605970519014,20.43763779013334,PTPRT;DUSP4;DUSP5;DUSP2;PTPRB;PTPRS;UBASH3B;PTPN9
MSigDB_Hallmark_2020,endoderm formation (GO:0001706),8/36,0.0045224339262924,0.9999944332544356,0,0,3.5296703296703296,19.055648683474946,DUSP4;DUSP5;DUSP2;ITGB5;ITGA4;LAMB3;COL4A2;COL11A1
MSigDB_Hallmark_2020,positive regulation by host of viral transcription (GO:0043923),5/16,0.0051565022207554,0.9999944332544356,0,0,5.6092972448112635,29.546955251040192,TFAP4;LEF1;TAF11;RRP1B;SMARCA4
MSigDB_Hallmark_2020,collagen fibril organization (GO:0030199),14/89,0.0064134083855864,0.9999944332544356,0,0,2.3094515334676515,11.661262402683343,COL18A1;COL15A1;TGFB2;LAMB3;COL11A1;COL11A2;LOXL1;GREM1;ADAMTS2;ADAMTS3;COL4A2;COL6A2;COL4A3;ITGA6
MSigDB_Hallmark_2020,erythrocyte development (GO:0048821),4/11,0.0068259330372012,0.9999944332544356,0,0,7.048508529495854,35.15109697893947,ABCB10;ALAS1;LYAR;ZBTB7A
MSigDB_Hallmark_2020,negative regulation of peptidyl-threonine phosphorylation (GO:0010801),5/17,0.0068589703875719,0.9999944332544356,0,0,5.141577659101023,25.616357610129853,SPRED3;SPRED2;SPRED1;SIRT2;EIF4G1
MSigDB_Hallmark_2020,double-strand break repair via classical nonhomologous end joining (GO:0097680),3/6,0.0071264828412795,0.9999944332544356,0,0,12.329333333333333,60.95545287918982,XRCC6;ERCC8;ZBTB7A
MSigDB_Hallmark_2020,L-arginine transmembrane transport (GO:1903400),3/6,0.0071264828412795,0.9999944332544356,0,0,12.329333333333333,60.95545287918982,SLC25A29;SLC22A2;SLC7A1
MSigDB_Hallmark_2020,negative regulation of lens fiber cell differentiation (GO:1902747),3/6,0.0071264828412795,0.9999944332544356,0,0,12.329333333333333,60.95545287918982,SPRED3;SPRED2;SPRED1
MSigDB_Hallmark_2020,positive regulation of nuclear cell cycle DNA replication (GO:0010571),3/6,0.0071264828412795,0.9999944332544356,0,0,12.329333333333333,60.95545287918982,WIZ;DBF4B;INO80
MSigDB_Hallmark_2020,positive regulation of synaptic transmission (GO:0050806),12/73,0.0078822843987301,0.9999944332544356,0,0,2.432430649470594,11.780596140351348,GRIN2A;CLSTN2;RGS14;PLK2;KCTD13;EPHB2;CACNG3;ZDHHC3;SHANK2;CACNG4;CRHR2;CACNG5
MSigDB_Hallmark_2020,modulation by host of symbiont process (GO:0051851),7/32,0.0084823884513221,0.9999944332544356,0,0,3.4573262032085563,16.490627335396983,SAP30BP;TFAP4;HDAC1;LEF1;TAF11;RRP1B;SMARCA4
MSigDB_Hallmark_2020,regulation of AMPA receptor activity (GO:2000311),6/25,0.0091213701348187,0.9999944332544356,0,0,3.897901065288472,18.30896850296036,GSG1L;CACNG3;CNIH3;CACNG4;CACNG5;SHANK1
MSigDB_Hallmark_2020,negative regulation of protein phosphorylation (GO:0001933),20/152,0.0100617410917937,0.9999944332544356,0,0,1.8763154130652444,8.62920283924034,WWTR1;PID1;TRAF3IP1;PRKRIP1;PRKCD;PRR5L;SIRT2;SPRED3;GREM1;SPRED2;SFRP1;SPRED1;RASSF2;UBASH3B;CHP1;PMEPA1;EPHB2;TRIB2;ZBED3;EIF4G1
MSigDB_Hallmark_2020,positive regulation of kinase activity (GO:0033674),16/114,0.0111975622967826,0.9999944332544356,0,0,2.020119951141183,9.074498364040783,EPHA5;MAP2K3;ALK;XRCC6;LMO4;MMD2;AZU1;EREG;RASSF2;KIT;KDR;ROR2;EPHB2;FGFR4;EPHA3;DRD4
MSigDB_Hallmark_2020,DNA ligation (GO:0006266),3/7,0.0117781420172615,0.9999944332544356,0,0,9.2465,41.06842070495944,XRCC6;XRCC4;MGMT
MSigDB_Hallmark_2020,regulation of fat cell proliferation (GO:0070344),3/7,0.0117781420172615,0.9999944332544356,0,0,9.2465,41.06842070495944,PER2;PID1;TFDP1
MSigDB_Hallmark_2020,regulation of lens fiber cell differentiation (GO:1902746),3/7,0.0117781420172615,0.9999944332544356,0,0,9.2465,41.06842070495944,SPRED3;SPRED2;SPRED1
MSigDB_Hallmark_2020,negative regulation of hippo signaling (GO:0035331),4/13,0.0131030819313329,0.9999944332544356,0,0,5.4815803128011265,23.762145333831075,MAP2K3;DLG5;WTIP;SHANK2
MSigDB_Hallmark_2020,negative regulation of Ras protein signal transduction (GO:0046580),7/35,0.0139262005237506,0.9999944332544356,0,0,3.0863970588235294,13.19120943513113,RIPOR2;TGFB2;HEG1;SPRY4;KCTD13;SPRY3;EPHB2
MSigDB_Hallmark_2020,nucleobase-containing compound biosynthetic process (GO:0034654),5/20,0.0142375843808487,0.9999944332544356,0,0,4.112594570538496,17.48621757354677,PNP;GMPR;POLL;TYMS;APRT
MSigDB_Hallmark_2020,regulation of hippo signaling (GO:0035330),5/20,0.0142375843808487,0.9999944332544356,0,0,4.112594570538496,17.48621757354677,MAP2K3;DLG5;WTIP;MOB3B;SHANK2
MSigDB_Hallmark_2020,synaptic membrane adhesion (GO:0099560),4/14,0.0172715518852831,0.9999944332544356,0,0,4.933155436957972,20.02217099098651,NTNG1;PTPRS;LRFN4;GPC4
MSigDB_Hallmark_2020,heparan sulfate proteoglycan metabolic process (GO:0030201),5/21,0.0175559737856526,0.9999944332544356,0,0,3.855348798397864,15.58471162535806,HS3ST3B1;EXT1;EXT2;HS3ST4;SULF2
MSigDB_Hallmark_2020,long-term synaptic potentiation (GO:0060291),5/21,0.0175559737856526,0.9999944332544356,0,0,3.855348798397864,15.58471162535806,GRIN2A;RGS14;PLK2;SHANK2;CRHR2
MSigDB_Hallmark_2020,neurotransmitter receptor diffusion trapping (GO:0099628),3/8,0.0178018779268413,0.9999944332544356,0,0,7.3968,29.797648766241377,CACNG3;CACNG4;CACNG5
MSigDB_Hallmark_2020,postsynaptic neurotransmitter receptor diffusion trapping (GO:0098970),3/8,0.0178018779268413,0.9999944332544356,0,0,7.3968,29.797648766241377,CACNG3;CACNG4;CACNG5
MSigDB_Hallmark_2020,regulation of positive chemotaxis (GO:0050926),3/8,0.0178018779268413,0.9999944332544356,0,0,7.3968,29.797648766241377,KDR;CDH13;F2RL1
MSigDB_Hallmark_2020,glycosaminoglycan metabolic process (GO:0030203),9/54,0.0183586140069659,0.9999944332544356,0,0,2.470147255689424,9.874799952193497,HS3ST3B1;EXT1;EXT2;HS3ST3A1;B3GAT2;GCNT2;GPC4;GUSB;HS3ST2
MSigDB_Hallmark_2020,positive regulation of cell cycle process (GO:0090068),14/101,0.0187326109099445,0.9999944332544356,0,0,1.9896096276911912,7.913651154579783,SVIL;NUMA1;WIZ;IGF1;INO80;DBF4B;SIRT2;CDC14B;EREG;BTC;NSFL1C;TPR;ANKRD31;MAP3K20
MSigDB_Hallmark_2020,extracellular structure organization (GO:0043062),25/216,0.0206094628455851,0.9999944332544356,0,0,1.6211592005611093,6.293348036816897,COL18A1;COL15A1;ITGB5;COL11A1;LAMA4;COL11A2;LOXL1;ADAMTS15;ADAMTS5;ADAMTS2;ADAMTS3;KDR;TNR;ADAMTS8;ITGA4;LAMB3;LAMB2;NPNT;ADAM19;VCAN;COL4A2;COL6A2;ADAM12;COL4A3;ITGA6
MSigDB_Hallmark_2020,external encapsulating structure organization (GO:0045229),25/217,0.0216895305753188,0.9999944332544356,0,0,1.6126275654036988,6.177856218450321,COL18A1;COL15A1;ITGB5;COL11A1;LAMA4;COL11A2;LOXL1;ADAMTS15;ADAMTS5;ADAMTS2;ADAMTS3;KDR;TNR;ADAMTS8;ITGA4;LAMB3;LAMB2;NPNT;ADAM19;VCAN;COL4A2;COL6A2;ADAM12;COL4A3;ITGA6
MSigDB_Hallmark_2020,fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540),4/15,0.022178968275188,0.9999944332544356,0,0,4.484444174904482,17.079502579942734,ACOT8;EHHADH;CROT;DECR2
MSigDB_Hallmark_2020,medium-chain fatty acid metabolic process (GO:0051791),4/15,0.022178968275188,0.9999944332544356,0,0,4.484444174904482,17.079502579942734,CYP4Z1;GLYATL2;ABHD1;CROT
MSigDB_Hallmark_2020,negative regulation of androgen receptor signaling pathway (GO:0060766),4/15,0.022178968275188,0.9999944332544356,0,0,4.484444174904482,17.079502579942734,SFRP1;HDAC1;ZBTB7A;SMARCA4
MSigDB_Hallmark_2020,response to ethanol (GO:0045471),4/15,0.022178968275188,0.9999944332544356,0,0,4.484444174904482,17.079502579942734,GRIN2A;GRIN3A;GOT2;SDF4
MSigDB_Hallmark_2020,regulation of synapse assembly (GO:0051963),8/47,0.0226491643365735,0.9999944332544356,0,0,2.532612983449104,9.592606796156204,LRFN4;CLSTN2;DLG5;LHFPL4;GPC4;EPHB2;MDGA1;EIF4G1
MSigDB_Hallmark_2020,negative regulation of MAPK cascade (GO:0043409),13/94,0.0233414827566598,0.9999944332544356,0,0,1.9836606181125196,7.453650645857346,DUSP4;IGBP1;RGS14;PRKCD;SPRY4;PRDM15;BMP7;SORL1;SPRED3;SPRED2;SPRED1;SPRY3;EPHB2
MSigDB_Hallmark_2020,regulation of peptidyl-threonine phosphorylation (GO:0010799),7/39,0.0245540019713015,0.9999944332544356,0,0,2.70001253342246,10.008623607234098,SPRED3;SPRED2;SPRED1;AZU1;BMP7;SIRT2;EIF4G1
MSigDB_Hallmark_2020,basement membrane assembly (GO:0070831),3/9,0.0252309187267293,0.9999944332544356,0,0,6.163666666666667,22.68035241277386,NTNG1;LAMB3;LAMB2
MSigDB_Hallmark_2020,histone phosphorylation (GO:0016572),3/9,0.0252309187267293,0.9999944332544356,0,0,6.163666666666667,22.68035241277386,INCENP;PRKCD;BAZ1B
MSigDB_Hallmark_2020,regulation of DNA-templated transcription in response to stress (GO:0043620),3/9,0.0252309187267293,0.9999944332544356,0,0,6.163666666666667,22.68035241277386,RGS14;TCIM;INO80
MSigDB_Hallmark_2020,regulation of nuclear cell cycle DNA replication (GO:0033262),3/9,0.0252309187267293,0.9999944332544356,0,0,6.163666666666667,22.68035241277386,WIZ;DBF4B;INO80
MSigDB_Hallmark_2020,regulation of protein deacetylation (GO:0090311),3/9,0.0252309187267293,0.9999944332544356,0,0,6.163666666666667,22.68035241277386,SPRED3;SPRED2;SPRED1
MSigDB_Hallmark_2020,proteoglycan biosynthetic process (GO:0030166),6/31,0.0258312307065728,0.9999944332544356,0,0,2.961442885771543,10.8275416759096,CHST8;HS3ST3B1;EXT1;EXT2;B3GAT2;IGF1
MSigDB_Hallmark_2020,regulation of mitotic sister chromatid separation (GO:0010965),4/16,0.0278531336835539,0.9999944332544356,0,0,4.1105181231932395,14.71898357401632,CDC23;PTTG1;NEK6;TPR
MSigDB_Hallmark_2020,extracellular matrix assembly (GO:0085029),5/24,0.0304351250612151,0.9999944332544356,0,0,3.246082495959525,11.335832658025195,NTNG1;TNXB;LAMB3;LAMB2;MYH11
MSigDB_Hallmark_2020,negative regulation of cellular catabolic process (GO:0031330),10/69,0.0327397300914588,0.9999944332544356,0,0,2.0931579007117964,7.156854224332279,STAT3;MTMR8;BCL2;MTMR9;FOXK1;NRDE2;SORL1;SIRT2;EIF4G1;PTPN3
MSigDB_Hallmark_2020,DNA dealkylation (GO:0035510),3/10,0.0340658551540307,0.9999944332544356,0,0,5.282857142857143,17.85320287576167,ALKBH3;ALKBH2;MGMT
MSigDB_Hallmark_2020,DNA dealkylation involved in DNA repair (GO:0006307),3/10,0.0340658551540307,0.9999944332544356,0,0,5.282857142857143,17.85320287576167,ALKBH3;ALKBH2;MGMT
MSigDB_Hallmark_2020,lipid phosphorylation (GO:0046834),3/10,0.0340658551540307,0.9999944332544356,0,0,5.282857142857143,17.85320287576167,DGKD;DGKB;DGKH
MSigDB_Hallmark_2020,regulation of tau-protein kinase activity (GO:1902947),3/10,0.0340658551540307,0.9999944332544356,0,0,5.282857142857143,17.85320287576167,C5AR1;CLU;SORL1
MSigDB_Hallmark_2020,positive regulation of positive chemotaxis (GO:0050927),4/17,0.0343128863311527,0.9999944332544356,0,0,3.794119156360651,12.794658759567277,KDR;CDH13;F2RL1;AZU1
MSigDB_Hallmark_2020,organophosphate ester transport (GO:0015748),5/25,0.0357635708933531,0.9999944332544356,0,0,3.083611481975968,10.270971683687227,SCARB1;PRELID2;PITPNA;TRIAP1;PITPNC1
MSigDB_Hallmark_2020,positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895),6/34,0.0390092875226984,0.9999944332544356,0,0,2.643716003435442,8.576097121588809,TGFB2;ATOH8;STAT3;FOS;ETS1;SMARCA4
MSigDB_Hallmark_2020,striated muscle tissue development (GO:0014706),6/34,0.0390092875226984,0.9999944332544356,0,0,2.643716003435442,8.576097121588809,SVIL;RBP4;SGCD;MYH14;CFLAR;BMP7
MSigDB_Hallmark_2020,regulation of presynapse assembly (GO:1905606),4/18,0.0415684681617355,0.9999944332544356,0,0,3.522920041932717,11.204342023962411,LRFN4;GPC4;MDGA1;EIF4G1
MSigDB_Hallmark_2020,regulation of presynapse organization (GO:0099174),4/18,0.0415684681617355,0.9999944332544356,0,0,3.522920041932717,11.204342023962411,LRFN4;GPC4;MDGA1;EIF4G1
MSigDB_Hallmark_2020,positive regulation of microtubule polymerization or depolymerization (GO:0031112),5/26,0.0416312465582172,0.9999944332544356,0,0,2.9366138978956067,9.335214472505523,NUMA1;STMN2;KATNB1;MAPRE1;CDK5RAP2
MSigDB_Hallmark_2020,cellular response to amyloid-beta (GO:1904646),6/35,0.0441988971651126,0.9999944332544356,0,0,2.5524151751779423,7.961124440404831,GRIN2A;ABCC1;ITGA4;CACNA2D1;CACNA1A;IGF1
MSigDB_Hallmark_2020,negative regulation of bone remodeling (GO:0046851),3/11,0.0442808422346231,0.9999944332544356,0,0,4.62225,14.408492263171212,GREM1;SFRP1;UBASH3B
MSigDB_Hallmark_2020,positive regulation of ceramide biosynthetic process (GO:2000304),3/11,0.0442808422346231,0.9999944332544356,0,0,4.62225,14.408492263171212,SMPD3;SPHK2;PRKCD
MSigDB_Hallmark_2020,positive regulation of dendrite development (GO:1900006),3/11,0.0442808422346231,0.9999944332544356,0,0,4.62225,14.408492263171212,ALK;VLDLR;BMP7
MSigDB_Hallmark_2020,positive regulation of DNA-dependent DNA replication (GO:2000105),3/11,0.0442808422346231,0.9999944332544356,0,0,4.62225,14.408492263171212,WIZ;DBF4B;INO80
MSigDB_Hallmark_2020,positive regulation of sphingolipid biosynthetic process (GO:0090154),3/11,0.0442808422346231,0.9999944332544356,0,0,4.62225,14.408492263171212,SMPD3;SPHK2;PRKCD
MSigDB_Hallmark_2020,protein kinase C-activating G protein-coupled receptor signaling pathway (GO:0007205),3/11,0.0442808422346231,0.9999944332544356,0,0,4.62225,14.408492263171212,DGKD;AZU1;DGKH
MSigDB_Hallmark_2020,regulation of toll-like receptor 9 signaling pathway (GO:0034163),3/11,0.0442808422346231,0.9999944332544356,0,0,4.62225,14.408492263171212,PTPRS;RAB7B;GRAMD4
MSigDB_Hallmark_2020,urate metabolic process (GO:0046415),3/11,0.0442808422346231,0.9999944332544356,0,0,4.62225,14.408492263171212,SLC2A9;PNP;SLC16A9
MSigDB_Hallmark_2020,regulation of Notch signaling pathway (GO:0008593),11/83,0.0459258809295081,0.9999944332544356,0,0,1.8866826779862973,5.8123532592964535,JAG2;TGFB2;PRAG1;TCIM;MAML1;STAT3;RITA1;DTX1;MAML3;ZBTB7A;BEND6
MSigDB_Hallmark_2020,regulation of vasculature development (GO:1901342),5/27,0.0480457023852668,0.9999944332544356,0,0,2.802979730549824,8.508732524277871,SFRP1;VASH2;VASH1;TSPAN12;ETS1
MSigDB_Hallmark_2020,alkaloid metabolic process (GO:0009820),2/5,0.0484347683806669,0.9999944332544356,0,0,8.214079502553853,24.868432639187517,CYP2D6;CYP1A2
MSigDB_Hallmark_2020,cell-cell adhesion mediated by integrin (GO:0033631),2/5,0.0484347683806669,0.9999944332544356,0,0,8.214079502553853,24.868432639187517,ITGA4;NPNT
MSigDB_Hallmark_2020,dopamine biosynthetic process (GO:0042416),2/5,0.0484347683806669,0.9999944332544356,0,0,8.214079502553853,24.868432639187517,TGFB2;GCH1
MSigDB_Hallmark_2020,hemoglobin metabolic process (GO:0020027),2/5,0.0484347683806669,0.9999944332544356,0,0,8.214079502553853,24.868432639187517,ALAS1;INHA
MSigDB_Hallmark_2020,insulin metabolic process (GO:1901142),2/5,0.0484347683806669,0.9999944332544356,0,0,8.214079502553853,24.868432639187517,CELA2A;IDE
MSigDB_Hallmark_2020,L-arginine import across plasma membrane (GO:0097638),2/5,0.0484347683806669,0.9999944332544356,0,0,8.214079502553853,24.868432639187517,SLC22A2;SLC7A1
MSigDB_Hallmark_2020,L-methionine salvage from methylthioadenosine (GO:0019509),2/5,0.0484347683806669,0.9999944332544356,0,0,8.214079502553853,24.868432639187517,APIP;MRI1
MSigDB_Hallmark_2020,medium-chain fatty acid catabolic process (GO:0051793),2/5,0.0484347683806669,0.9999944332544356,0,0,8.214079502553853,24.868432639187517,GLYATL2;ABHD1
MSigDB_Hallmark_2020,negative regulation of B cell differentiation (GO:0045578),2/5,0.0484347683806669,0.9999944332544356,0,0,8.214079502553853,24.868432639187517,SFRP1;INHA
MSigDB_Hallmark_2020,"negative regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043371)",2/5,0.0484347683806669,0.9999944332544356,0,0,8.214079502553853,24.868432639187517,CBFB;RUNX1
MSigDB_Hallmark_2020,negative regulation of collateral sprouting (GO:0048671),2/5,0.0484347683806669,0.9999944332544356,0,0,8.214079502553853,24.868432639187517,PTPRS;FGF13
MSigDB_Hallmark_2020,negative regulation of smooth muscle cell apoptotic process (GO:0034392),2/5,0.0484347683806669,0.9999944332544356,0,0,8.214079502553853,24.868432639187517,DNMT1;IGF1
