Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of mitophagy (GO:1901524)	4/5	3.886116e-04	9.999932e-01	0	0	3.780868e+01	2.969089e+02	TSC2;VDAC1;SLC25A5;SLC25A4
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	21/103	6.760430e-04	9.999932e-01	0	0	2.431441e+00	1.774771e+01	RPL4;RPL5;SGTB;RPL22;SRP68;RPL8;SRP14;RPL9;SRP9;RPL37A;RPL36;CHMP4B;RPLP2;RPL38;RPS20;MAN1A1;RPL37;RPL15;SEC62;RPL28;RPS21
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	18/94	3.274725e-03	9.999932e-01	0	0	2.245822e+00	1.284952e+01	RPL4;RPL5;RPL22;SRP68;RPL8;SRP14;RPL9;SRP9;RPL37A;RPL36;RPLP2;RPL38;RPS20;RPL37;RPL15;SEC62;RPL28;RPS21
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	17/90	4.847592e-03	9.999932e-01	0	0	2.207426e+00	1.176398e+01	RPL4;RPL5;RPL22;SRP68;RPL8;SRP14;RPL9;SRP9;RPL37A;RPL36;RPLP2;RPL38;RPS20;RPL37;RPL15;RPL28;RPS21
GO_Biological_Process_2021	homeostasis of number of cells (GO:0048872)	5/13	5.365595e-03	9.999932e-01	0	0	5.908407e+00	3.088767e+01	NOTCH1;LRRC19;LPCAT3;UBAP2L;OCIAD2
GO_Biological_Process_2021	regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069)	4/9	7.142565e-03	9.999932e-01	0	0	7.560063e+00	3.735944e+01	BCAP31;USP14;SVIP;HERPUD1
GO_Biological_Process_2021	positive regulation of release of cytochrome c from mitochondria (GO:0090200)	7/25	7.509051e-03	9.999932e-01	0	0	3.678156e+00	1.799224e+01	HRK;MOAP1;PINK1;BIK;BNIP3;PDCD5;DNM1L
GO_Biological_Process_2021	negative regulation of blood coagulation, intrinsic pathway (GO:2000267)	3/5	7.579217e-03	9.999932e-01	0	0	1.417006e+01	6.918314e+01	F8;SERPING1;A2M
GO_Biological_Process_2021	regulation of blood coagulation, intrinsic pathway (GO:2000266)	3/5	7.579217e-03	9.999932e-01	0	0	1.417006e+01	6.918314e+01	F8;SERPING1;A2M
GO_Biological_Process_2021	7-methylguanosine mRNA capping (GO:0006370)	8/32	9.085050e-03	9.999932e-01	0	0	3.153309e+00	1.482410e+01	NCBP1;RNMT;POLR2B;NCBP2;SUPT5H;CMTR1;POLR2J;POLR2K
GO_Biological_Process_2021	7-methylguanosine RNA capping (GO:0009452)	8/32	9.085050e-03	9.999932e-01	0	0	3.153309e+00	1.482410e+01	NCBP1;RNMT;POLR2B;NCBP2;SUPT5H;CMTR1;POLR2J;POLR2K
GO_Biological_Process_2021	regulation of cellular metabolic process (GO:0031323)	10/47	1.222963e-02	9.999932e-01	0	0	2.557576e+00	1.126329e+01	ARF1;PINK1;RNF34;BTN2A2;MBOAT7;FASN;FLOT1;CYP1B1;VPS35;FOXM1
GO_Biological_Process_2021	negative regulation of establishment of protein localization to mitochondrion (GO:1903748)	3/6	1.408154e-02	9.999932e-01	0	0	9.446186e+00	4.026806e+01	DNAJA1;LMAN1;BAG4
GO_Biological_Process_2021	positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904925)	3/6	1.408154e-02	9.999932e-01	0	0	9.446186e+00	4.026806e+01	ATP5IF1;PINK1;TOMM7
GO_Biological_Process_2021	proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	6/22	1.494420e-02	9.999932e-01	0	0	3.545330e+00	1.490255e+01	PSMA5;PSMB6;PSMA3;PSMB2;ENC1;PSMA7
GO_Biological_Process_2021	regulation of centrosome cycle (GO:0046605)	6/22	1.494420e-02	9.999932e-01	0	0	3.545330e+00	1.490255e+01	RAB6C;CHMP2B;CHMP2A;NAT10;CHMP4B;ATF5
GO_Biological_Process_2021	regulation of double-strand break repair (GO:2000779)	9/42	1.628458e-02	9.999932e-01	0	0	2.580046e+00	1.062343e+01	RAD51AP1;SLF1;PPP4C;KDM1A;FIGNL1;TERF2IP;DEK;FOXM1;OTUB1
GO_Biological_Process_2021	negative regulation of cell cycle G2/M phase transition (GO:1902750)	11/57	1.811821e-02	9.999932e-01	0	0	2.262957e+00	9.076353e+00	PSMA5;PSMB6;PSMA3;PSMD12;PSMC6;PSMB2;PSMC3;ATF5;PSMA7;SKP1;RBX1
GO_Biological_Process_2021	cilium-dependent cell motility (GO:0060285)	6/23	1.861687e-02	9.999932e-01	0	0	3.336596e+00	1.329196e+01	DNAH3;CCDC39;DNAH7;DNAH8;TEKT3;DRC1
GO_Biological_Process_2021	muscle tissue morphogenesis (GO:0060415)	5/17	1.866705e-02	9.999932e-01	0	0	3.938067e+00	1.567742e+01	NOTCH1;ACTC1;ZFPM1;MYLK;TTN
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	18/113	2.170402e-02	9.999932e-01	0	0	1.794762e+00	6.874400e+00	RPL4;RPL5;NCBP1;NCBP2;RPL22;UPF3B;RPL8;RPL9;RPL37A;RPL36;RPLP2;RPL38;RNPS1;RPS20;RPL37;RPL15;RPL28;RPS21
GO_Biological_Process_2021	phagosome maturation (GO:0090382)	8/37	2.175514e-02	9.999932e-01	0	0	2.608912e+00	9.986670e+00	ATP6V0B;RAB31;ATP6V1B2;ATP6V1E1;MCOLN1;CORO1A;ATP6V1D;ATP6V1C1
GO_Biological_Process_2021	poly-N-acetyllactosamine biosynthetic process (GO:0030311)	4/12	2.221576e-02	9.999932e-01	0	0	4.724255e+00	1.798502e+01	B3GALNT1;B3GNT9;B3GALT1;B3GNT4
GO_Biological_Process_2021	positive regulation of protein localization to chromosome, telomeric region (GO:1904816)	4/12	2.221576e-02	9.999932e-01	0	0	4.724255e+00	1.798502e+01	CCT6A;TCP1;CCT8;GNL3
GO_Biological_Process_2021	posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	4/12	2.221576e-02	9.999932e-01	0	0	4.724255e+00	1.798502e+01	HSPA5;SGTB;CHMP4B;SEC62
GO_Biological_Process_2021	detection of muscle stretch (GO:0035995)	3/7	2.290135e-02	9.999932e-01	0	0	7.084248e+00	2.675408e+01	CSRP3;CAV3;TTN
GO_Biological_Process_2021	regulation of extracellular matrix assembly (GO:1901201)	3/7	2.290135e-02	9.999932e-01	0	0	7.084248e+00	2.675408e+01	NOTCH1;TGFB1;AGT
GO_Biological_Process_2021	positive regulation of vascular endothelial growth factor production (GO:0010575)	6/25	2.770874e-02	9.999932e-01	0	0	2.985045e+00	1.070439e+01	TGFB1;CYP1B1;BRCA1;IL6ST;NODAL;NOX1
GO_Biological_Process_2021	regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	6/25	2.770874e-02	9.999932e-01	0	0	2.985045e+00	1.070439e+01	ATP5IF1;USP14;PINK1;TMF1;UBE3A;UCHL5
GO_Biological_Process_2021	regulation of receptor-mediated endocytosis (GO:0048259)	8/39	2.925504e-02	9.999932e-01	0	0	2.440325e+00	8.618505e+00	LRPAP1;ARF1;FLOT1;HIP1R;PIK3CB;RAC1;LDLRAP1;B2M
GO_Biological_Process_2021	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:1902166)	4/13	2.970474e-02	9.999932e-01	0	0	4.199106e+00	1.476594e+01	CD74;ING2;KDM1A;CD44
GO_Biological_Process_2021	poly-N-acetyllactosamine metabolic process (GO:0030309)	4/13	2.970474e-02	9.999932e-01	0	0	4.199106e+00	1.476594e+01	B3GALNT1;B3GNT9;B3GALT1;B3GNT4
GO_Biological_Process_2021	pre-mRNA cleavage required for polyadenylation (GO:0098789)	4/13	2.970474e-02	9.999932e-01	0	0	4.199106e+00	1.476594e+01	NCBP1;FIP1L1;NCBP2;CSTF2T
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	15/93	3.083671e-02	9.999932e-01	0	0	1.820452e+00	6.333443e+00	EIF4A2;RPL4;RPL5;RPL22;RPL8;RPL9;RPL37A;RPL36;RPL38;RPS20;RPL37;RPL15;RPL28;RPS21;ZC3H15
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	12/70	3.313425e-02	9.999932e-01	0	0	1.957643e+00	6.670058e+00	NDUFB9;COX7A2L;UQCRB;COX4I1;NDUFB4;NDUFB3;NDUFA2;NDUFAB1;NDUFS2;CYCS;NDUFC1;COX6C
GO_Biological_Process_2021	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230)	6/26	3.318891e-02	9.999932e-01	0	0	2.835636e+00	9.656870e+00	CDKN2D;CD74;ING2;KDM1A;TRIM32;CD44
GO_Biological_Process_2021	antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	3/8	3.406700e-02	9.999932e-01	0	0	5.667085e+00	1.915149e+01	ERAP2;HLA-A;B2M
