Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Collecting duct acid secretion	3/27	6.440046e-03	8.707466e-01	0	0	8.759786e+00	4.419505e+01	ATP6V1B2;ATP6V1E1;SLC12A7
MSigDB_Hallmark_2020	beta-Alanine metabolism	3/30	8.664145e-03	8.707466e-01	0	0	7.785291e+00	3.696894e+01	ALDH2;GAD1;UPB1
MSigDB_Hallmark_2020	Aminoacyl-tRNA biosynthesis	4/66	1.441241e-02	9.495138e-01	0	0	4.528571e+00	1.919963e+01	NARS1;EPRS1;IARS2;TARS3
MSigDB_Hallmark_2020	Gastric acid secretion	4/76	2.300432e-02	9.495138e-01	0	0	3.897619e+00	1.470210e+01	KCNE2;ATP1A1;ATP1B1;MYLK
MSigDB_Hallmark_2020	Cell cycle	5/124	3.206940e-02	9.495138e-01	0	0	2.951267e+00	1.015192e+01	CDKN2D;WEE2;CCNE1;SKP1;MCM2
MSigDB_Hallmark_2020	Pantothenate and CoA biosynthesis	2/21	3.533154e-02	9.495138e-01	0	0	7.352370e+00	2.457882e+01	ALDH2;UPB1
MSigDB_Hallmark_2020	Endocrine and other factor-regulated calcium reabsorption	3/53	3.943832e-02	9.495138e-01	0	0	4.199146e+00	1.357591e+01	CALB1;ATP1A1;ATP1B1
MSigDB_Hallmark_2020	Proximal tubule bicarbonate reclamation	2/23	4.178765e-02	9.495138e-01	0	0	6.651469e+00	2.111944e+01	ATP1A1;ATP1B1
MSigDB_Hallmark_2020	Protein digestion and absorption	4/103	5.922697e-02	9.495138e-01	0	0	2.830736e+00	8.000730e+00	MEP1B;COL9A1;ATP1A1;ATP1B1
MSigDB_Hallmark_2020	Epithelial cell signaling in Helicobacter pylori infection	3/70	7.755269e-02	9.495138e-01	0	0	3.130982e+00	8.005288e+00	ATP6V1B2;RAC1;ATP6V1E1
MSigDB_Hallmark_2020	Phenylalanine, tyrosine and tryptophan biosynthesis	1/6	8.224168e-02	9.495138e-01	0	0	1.393004e+01	3.479852e+01	GOT1
MSigDB_Hallmark_2020	Thyroid hormone synthesis	3/75	9.097413e-02	9.495138e-01	0	0	2.912811e+00	6.982534e+00	DUOX1;ATP1A1;ATP1B1
MSigDB_Hallmark_2020	DNA replication	2/36	9.239509e-02	9.495138e-01	0	0	4.105549e+00	9.778109e+00	POLE3;MCM2
MSigDB_Hallmark_2020	Alanine, aspartate and glutamate metabolism	2/37	9.679366e-02	9.495138e-01	0	0	3.988045e+00	9.312777e+00	GOT1;GAD1
MSigDB_Hallmark_2020	Aldosterone-regulated sodium reabsorption	2/37	9.679366e-02	9.495138e-01	0	0	3.988045e+00	9.312777e+00	ATP1A1;ATP1B1
MSigDB_Hallmark_2020	FoxO signaling pathway	4/131	1.165704e-01	9.495138e-01	0	0	2.203487e+00	4.735867e+00	CDKN2D;BNIP3;CCNG2;SOD2
MSigDB_Hallmark_2020	Tryptophan metabolism	2/42	1.196117e-01	9.495138e-01	0	0	3.488652e+00	7.408171e+00	ALDH2;CYP1B1
MSigDB_Hallmark_2020	Oxidative phosphorylation	4/133	1.213593e-01	9.495138e-01	0	0	2.169103e+00	4.574638e+00	PPA1;COX4I1;ATP6V1B2;ATP6V1E1
MSigDB_Hallmark_2020	Porphyrin and chlorophyll metabolism	2/43	1.243234e-01	9.495138e-01	0	0	3.403390e+00	7.095623e+00	EPRS1;UROD
MSigDB_Hallmark_2020	Cardiac muscle contraction	3/87	1.266788e-01	9.495138e-01	0	0	2.495170e+00	5.155272e+00	COX4I1;ATP1A1;ATP1B1
MSigDB_Hallmark_2020	ECM-receptor interaction	3/88	1.298542e-01	9.495138e-01	0	0	2.465690e+00	5.033318e+00	LAMA2;COL9A1;CD44
MSigDB_Hallmark_2020	Sulfur metabolism	1/10	1.332891e-01	9.495138e-01	0	0	7.737338e+00	1.559255e+01	SUOX
MSigDB_Hallmark_2020	Bile secretion	3/90	1.362883e-01	9.495138e-01	0	0	2.408762e+00	4.800620e+00	EPHX1;ATP1A1;ATP1B1
MSigDB_Hallmark_2020	Carbohydrate digestion and absorption	2/47	1.435890e-01	9.495138e-01	0	0	3.100236e+00	6.016940e+00	ATP1A1;ATP1B1
MSigDB_Hallmark_2020	Taurine and hypotaurine metabolism	1/11	1.456026e-01	9.495138e-01	0	0	6.963251e+00	1.341731e+01	GAD1
MSigDB_Hallmark_2020	Valine, leucine and isoleucine degradation	2/48	1.484995e-01	9.495138e-01	0	0	3.032686e+00	5.783859e+00	ALDH2;HSD17B10
MSigDB_Hallmark_2020	Arginine and proline metabolism	2/50	1.584193e-01	9.495138e-01	0	0	2.906028e+00	5.354386e+00	ALDH2;GOT1
MSigDB_Hallmark_2020	Vibrio cholerae infection	2/50	1.584193e-01	9.495138e-01	0	0	2.906028e+00	5.354386e+00	ATP6V1B2;ATP6V1E1
MSigDB_Hallmark_2020	Ovarian steroidogenesis	2/51	1.634248e-01	9.495138e-01	0	0	2.846577e+00	5.156295e+00	CYP1B1;ACOT4
MSigDB_Hallmark_2020	Phagosome	4/152	1.707214e-01	9.495138e-01	0	0	1.888803e+00	3.338879e+00	TUBB1;ATP6V1B2;RAC1;ATP6V1E1
MSigDB_Hallmark_2020	Pancreatic secretion	3/102	1.769760e-01	9.495138e-01	0	0	2.115497e+00	3.663492e+00	RAC1;ATP1A1;ATP1B1
MSigDB_Hallmark_2020	Fanconi anemia pathway	2/54	1.786019e-01	9.495138e-01	0	0	2.681942e+00	4.619902e+00	FANCI;FANCM
MSigDB_Hallmark_2020	Human immunodeficiency virus 1 infection	5/212	1.843783e-01	9.495138e-01	0	0	1.689003e+00	2.855709e+00	CD4;WEE2;RAC1;B2M;SKP1
MSigDB_Hallmark_2020	Pyrimidine metabolism	2/56	1.888363e-01	9.495138e-01	0	0	2.582348e+00	4.304451e+00	TK2;UPB1
MSigDB_Hallmark_2020	cAMP signaling pathway	5/216	1.941098e-01	9.495138e-01	0	0	1.656644e+00	2.715789e+00	HHIP;PPP1R1B;RAC1;ATP1A1;ATP1B1
MSigDB_Hallmark_2020	Mineral absorption	2/60	2.095257e-01	9.495138e-01	0	0	2.403766e+00	3.756867e+00	ATP1A1;ATP1B1
MSigDB_Hallmark_2020	Viral myocarditis	2/60	2.095257e-01	9.495138e-01	0	0	2.403766e+00	3.756867e+00	LAMA2;RAC1
MSigDB_Hallmark_2020	cGMP-PKG signaling pathway	4/167	2.138161e-01	9.495138e-01	0	0	1.713672e+00	2.643578e+00	IRAG1;ATP1A1;ATP1B1;MYLK
MSigDB_Hallmark_2020	Steroid hormone biosynthesis	2/61	2.147351e-01	9.495138e-01	0	0	2.362904e+00	3.634973e+00	CYP3A7-CYP3A51P;CYP1B1
MSigDB_Hallmark_2020	Nitrogen metabolism	1/17	2.159071e-01	9.495138e-01	0	0	4.350707e+00	6.669229e+00	CA12
MSigDB_Hallmark_2020	Phenylalanine metabolism	1/17	2.159071e-01	9.495138e-01	0	0	4.350707e+00	6.669229e+00	GOT1
MSigDB_Hallmark_2020	Selenocompound metabolism	1/17	2.159071e-01	9.495138e-01	0	0	4.350707e+00	6.669229e+00	TXNRD2
MSigDB_Hallmark_2020	Protein processing in endoplasmic reticulum	4/171	2.257886e-01	9.495138e-01	0	0	1.672284e+00	2.488620e+00	LMAN1;WFS1;CAPN1;SKP1
MSigDB_Hallmark_2020	Mitophagy	2/68	2.514597e-01	9.495138e-01	0	0	2.111541e+00	2.914925e+00	PINK1;BNIP3
MSigDB_Hallmark_2020	Axon guidance	4/182	2.595245e-01	9.495138e-01	0	0	1.568058e+00	2.115160e+00	SEMA3D;RASA1;RAC1;EPHA1
MSigDB_Hallmark_2020	Adherens junction	2/71	2.672681e-01	9.495138e-01	0	0	2.019426e+00	2.664639e+00	CTNNA1;RAC1
MSigDB_Hallmark_2020	Arginine biosynthesis	1/22	2.700689e-01	9.495138e-01	0	0	3.313983e+00	4.338263e+00	GOT1
MSigDB_Hallmark_2020	Histidine metabolism	1/22	2.700689e-01	9.495138e-01	0	0	3.313983e+00	4.338263e+00	ALDH2
MSigDB_Hallmark_2020	Shigellosis	5/246	2.719651e-01	9.495138e-01	0	0	1.448192e+00	1.885665e+00	BNIP3;RAC1;CAPN1;CD44;SKP1
MSigDB_Hallmark_2020	p53 signaling pathway	2/73	2.778072e-01	9.495138e-01	0	0	1.962341e+00	2.513422e+00	CCNE1;CCNG2
MSigDB_Hallmark_2020	Protein export	1/23	2.804453e-01	9.495138e-01	0	0	3.163187e+00	4.021602e+00	SRP68
