Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,regulation of mitophagy (GO:1901524),4/5,0.00038861161718889415,0.9999932284080418,0,0,37.8086774699425,296.90890234640375,TSC2;VDAC1;SLC25A5;SLC25A4
GO_Biological_Process_2021,protein targeting to ER (GO:0045047),21/103,0.0006760429788689312,0.9999932284080418,0,0,2.4314410311824637,17.747705443420113,RPL4;RPL5;SGTB;RPL22;SRP68;RPL8;SRP14;RPL9;SRP9;RPL37A;RPL36;CHMP4B;RPLP2;RPL38;RPS20;MAN1A1;RPL37;RPL15;SEC62;RPL28;RPS21
GO_Biological_Process_2021,cotranslational protein targeting to membrane (GO:0006613),18/94,0.0032747254755474,0.9999932284080418,0,0,2.2458219007233726,12.849517701010276,RPL4;RPL5;RPL22;SRP68;RPL8;SRP14;RPL9;SRP9;RPL37A;RPL36;RPLP2;RPL38;RPS20;RPL37;RPL15;SEC62;RPL28;RPS21
GO_Biological_Process_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),17/90,0.0048475919812229,0.9999932284080418,0,0,2.2074260994953137,11.76397674429266,RPL4;RPL5;RPL22;SRP68;RPL8;SRP14;RPL9;SRP9;RPL37A;RPL36;RPLP2;RPL38;RPS20;RPL37;RPL15;RPL28;RPS21
GO_Biological_Process_2021,homeostasis of number of cells (GO:0048872),5/13,0.0053655949348149,0.9999932284080418,0,0,5.9084074267782425,30.88766521009136,NOTCH1;LRRC19;LPCAT3;UBAP2L;OCIAD2
GO_Biological_Process_2021,regulation of ER-associated ubiquitin-dependent protein catabolic process (GO:1903069),4/9,0.0071425647344127,0.9999932284080418,0,0,7.560062728698379,37.3594361917238,BCAP31;USP14;SVIP;HERPUD1
GO_Biological_Process_2021,positive regulation of release of cytochrome c from mitochondria (GO:0090200),7/25,0.0075090512839827,0.9999932284080418,0,0,3.678155904595695,17.99223716326432,HRK;MOAP1;PINK1;BIK;BNIP3;PDCD5;DNM1L
GO_Biological_Process_2021,"negative regulation of blood coagulation, intrinsic pathway (GO:2000267)",3/5,0.0075792174860435,0.9999932284080418,0,0,14.170062695924765,69.18313926896437,F8;SERPING1;A2M
GO_Biological_Process_2021,"regulation of blood coagulation, intrinsic pathway (GO:2000266)",3/5,0.0075792174860435,0.9999932284080418,0,0,14.170062695924765,69.18313926896437,F8;SERPING1;A2M
GO_Biological_Process_2021,7-methylguanosine mRNA capping (GO:0006370),8/32,0.0090850498816366,0.9999932284080418,0,0,3.1533088877248123,14.82409951788245,NCBP1;RNMT;POLR2B;NCBP2;SUPT5H;CMTR1;POLR2J;POLR2K
GO_Biological_Process_2021,7-methylguanosine RNA capping (GO:0009452),8/32,0.0090850498816366,0.9999932284080418,0,0,3.1533088877248123,14.82409951788245,NCBP1;RNMT;POLR2B;NCBP2;SUPT5H;CMTR1;POLR2J;POLR2K
GO_Biological_Process_2021,regulation of cellular metabolic process (GO:0031323),10/47,0.0122296260114099,0.9999932284080418,0,0,2.557575929364078,11.26329305804538,ARF1;PINK1;RNF34;BTN2A2;MBOAT7;FASN;FLOT1;CYP1B1;VPS35;FOXM1
GO_Biological_Process_2021,negative regulation of establishment of protein localization to mitochondrion (GO:1903748),3/6,0.014081538710956,0.9999932284080418,0,0,9.446185997910137,40.26805797596962,DNAJA1;LMAN1;BAG4
GO_Biological_Process_2021,positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization (GO:1904925),3/6,0.014081538710956,0.9999932284080418,0,0,9.446185997910137,40.26805797596962,ATP5IF1;PINK1;TOMM7
GO_Biological_Process_2021,proteasomal ubiquitin-independent protein catabolic process (GO:0010499),6/22,0.0149442025077812,0.9999932284080418,0,0,3.54532967032967,14.902551642526763,PSMA5;PSMB6;PSMA3;PSMB2;ENC1;PSMA7
GO_Biological_Process_2021,regulation of centrosome cycle (GO:0046605),6/22,0.0149442025077812,0.9999932284080418,0,0,3.54532967032967,14.902551642526763,RAB6C;CHMP2B;CHMP2A;NAT10;CHMP4B;ATF5
