Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Collecting duct acid secretion,3/27,0.0064400459947345,0.870746569891697,0,0,8.759786476868328,44.19504639733396,ATP6V1B2;ATP6V1E1;SLC12A7
KEGG_2021_Human,beta-Alanine metabolism,3/30,0.0086641449740467,0.870746569891697,0,0,7.785290628706999,36.96893552259904,ALDH2;GAD1;UPB1
KEGG_2021_Human,Aminoacyl-tRNA biosynthesis,4/66,0.0144124072111117,0.9495138482858844,0,0,4.5285714285714285,19.1996295511846,NARS1;EPRS1;IARS2;TARS3
KEGG_2021_Human,Gastric acid secretion,4/76,0.0230043225339257,0.9495138482858844,0,0,3.897619047619048,14.702104136832872,KCNE2;ATP1A1;ATP1B1;MYLK
KEGG_2021_Human,Cell cycle,5/124,0.0320694024152641,0.9495138482858844,0,0,2.951266528116623,10.151922723090255,CDKN2D;WEE2;CCNE1;SKP1;MCM2
KEGG_2021_Human,Pantothenate and CoA biosynthesis,2/21,0.0353315352463476,0.9495138482858844,0,0,7.35237028742068,24.578822147976627,ALDH2;UPB1
KEGG_2021_Human,Endocrine and other factor-regulated calcium reabsorption,3/53,0.0394383240347732,0.9495138482858844,0,0,4.1991459074733095,13.575911129764382,CALB1;ATP1A1;ATP1B1
KEGG_2021_Human,Proximal tubule bicarbonate reclamation,2/23,0.0417876531082194,0.9495138482858844,0,0,6.651469098277609,21.119441129557604,ATP1A1;ATP1B1
KEGG_2021_Human,Protein digestion and absorption,4/103,0.0592269740125924,0.9495138482858844,0,0,2.8307359307359308,8.00073032108123,MEP1B;COL9A1;ATP1A1;ATP1B1
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,3/70,0.0775526916467952,0.9495138482858844,0,0,3.13098210017528,8.005287774321127,ATP6V1B2;RAC1;ATP6V1E1
KEGG_2021_Human,"Phenylalanine, tyrosine and tryptophan biosynthesis",1/6,0.0822416840053469,0.9495138482858844,0,0,13.930035335689048,34.798523772510855,GOT1
KEGG_2021_Human,Thyroid hormone synthesis,3/75,0.0909741273595842,0.9495138482858844,0,0,2.912811387900356,6.982533574580621,DUOX1;ATP1A1;ATP1B1
KEGG_2021_Human,DNA replication,2/36,0.0923950876625476,0.9495138482858844,0,0,4.105548602419692,9.77810901239206,POLE3;MCM2
KEGG_2021_Human,"Alanine, aspartate and glutamate metabolism",2/37,0.0967936589408167,0.9495138482858844,0,0,3.988044579533941,9.31277719005559,GOT1;GAD1
KEGG_2021_Human,Aldosterone-regulated sodium reabsorption,2/37,0.0967936589408167,0.9495138482858844,0,0,3.988044579533941,9.31277719005559,ATP1A1;ATP1B1
KEGG_2021_Human,FoxO signaling pathway,4/131,0.1165703673129492,0.9495138482858844,0,0,2.203487064116985,4.735866997546649,CDKN2D;BNIP3;CCNG2;SOD2
KEGG_2021_Human,Tryptophan metabolism,2/42,0.1196116584789895,0.9495138482858844,0,0,3.4886524822695035,7.408170861310887,ALDH2;CYP1B1
KEGG_2021_Human,Oxidative phosphorylation,4/133,0.1213592715600219,0.9495138482858844,0,0,2.1691029900332226,4.574638089427392,PPA1;COX4I1;ATP6V1B2;ATP6V1E1
KEGG_2021_Human,Porphyrin and chlorophyll metabolism,2/43,0.124323405855855,0.9495138482858844,0,0,3.403390416882892,7.095623164361508,EPRS1;UROD
KEGG_2021_Human,Cardiac muscle contraction,3/87,0.1266788347613376,0.9495138482858844,0,0,2.4951703101169294,5.155272015593833,COX4I1;ATP1A1;ATP1B1
KEGG_2021_Human,ECM-receptor interaction,3/88,0.1298542056897051,0.9495138482858844,0,0,2.465689763449864,5.033318421834697,LAMA2;COL9A1;CD44
KEGG_2021_Human,Sulfur metabolism,1/10,0.1332891424790943,0.9495138482858844,0,0,7.737338044758539,15.59255061922831,SUOX
KEGG_2021_Human,Bile secretion,3/90,0.1362883258354981,0.9495138482858844,0,0,2.408761811265186,4.800620364046118,EPHX1;ATP1A1;ATP1B1
KEGG_2021_Human,Carbohydrate digestion and absorption,2/47,0.1435889823371839,0.9495138482858844,0,0,3.100236406619385,6.0169399029967,ATP1A1;ATP1B1
KEGG_2021_Human,Taurine and hypotaurine metabolism,1/11,0.145602575064884,0.9495138482858844,0,0,6.963250883392226,13.417310268308398,GAD1
KEGG_2021_Human,"Valine, leucine and isoleucine degradation",2/48,0.1484994735537328,0.9495138482858844,0,0,3.032685784767191,5.7838590720075285,ALDH2;HSD17B10
KEGG_2021_Human,Arginine and proline metabolism,2/50,0.1584193142173303,0.9495138482858844,0,0,2.9060283687943262,5.354385963176766,ALDH2;GOT1
KEGG_2021_Human,Vibrio cholerae infection,2/50,0.1584193142173303,0.9495138482858844,0,0,2.9060283687943262,5.354385963176766,ATP6V1B2;ATP6V1E1
KEGG_2021_Human,Ovarian steroidogenesis,2/51,0.1634248429438743,0.9495138482858844,0,0,2.846576928643798,5.156295342418685,CYP1B1;ACOT4
KEGG_2021_Human,Phagosome,4/152,0.1707214165814706,0.9495138482858844,0,0,1.888803088803089,3.33887913974628,TUBB1;ATP6V1B2;RAC1;ATP6V1E1
KEGG_2021_Human,Pancreatic secretion,3/102,0.1769760140132383,0.9495138482858844,0,0,2.115496603041087,3.66349235017157,RAC1;ATP1A1;ATP1B1
KEGG_2021_Human,Fanconi anemia pathway,2/54,0.1786019220064042,0.9495138482858844,0,0,2.6819421713038736,4.619902451770368,FANCI;FANCM
KEGG_2021_Human,Human immunodeficiency virus 1 infection,5/212,0.1843782685247606,0.9495138482858844,0,0,1.6890031686665627,2.855708834974694,CD4;WEE2;RAC1;B2M;SKP1
KEGG_2021_Human,Pyrimidine metabolism,2/56,0.1888363382997896,0.9495138482858844,0,0,2.582348305752561,4.304450732025644,TK2;UPB1
KEGG_2021_Human,cAMP signaling pathway,5/216,0.1941097549713655,0.9495138482858844,0,0,1.65664441386808,2.715789425990045,HHIP;PPP1R1B;RAC1;ATP1A1;ATP1B1
KEGG_2021_Human,Mineral absorption,2/60,0.2095257449698983,0.9495138482858844,0,0,2.4037662020053805,3.7568670124928736,ATP1A1;ATP1B1
KEGG_2021_Human,Viral myocarditis,2/60,0.2095257449698983,0.9495138482858844,0,0,2.4037662020053805,3.7568670124928736,LAMA2;RAC1
KEGG_2021_Human,cGMP-PKG signaling pathway,4/167,0.2138160865758925,0.9495138482858844,0,0,1.7136722173531989,2.64357766765812,IRAG1;ATP1A1;ATP1B1;MYLK
KEGG_2021_Human,Steroid hormone biosynthesis,2/61,0.2147351378267996,0.9495138482858844,0,0,2.362904195215771,3.6349734970989456,CYP3A7-CYP3A51P;CYP1B1
KEGG_2021_Human,Nitrogen metabolism,1/17,0.215907113167437,0.9495138482858844,0,0,4.350706713780919,6.6692287565769535,CA12
KEGG_2021_Human,Phenylalanine metabolism,1/17,0.215907113167437,0.9495138482858844,0,0,4.350706713780919,6.6692287565769535,GOT1
KEGG_2021_Human,Selenocompound metabolism,1/17,0.215907113167437,0.9495138482858844,0,0,4.350706713780919,6.6692287565769535,TXNRD2
KEGG_2021_Human,Protein processing in endoplasmic reticulum,4/171,0.2257885913773449,0.9495138482858844,0,0,1.672284003421728,2.488619730738724,LMAN1;WFS1;CAPN1;SKP1
KEGG_2021_Human,Mitophagy,2/68,0.2514596742961155,0.9495138482858844,0,0,2.111540941328175,2.914924504224156,PINK1;BNIP3
KEGG_2021_Human,Axon guidance,4/182,0.2595244966493973,0.9495138482858844,0,0,1.5680577849117174,2.1151597027628903,SEMA3D;RASA1;RAC1;EPHA1
KEGG_2021_Human,Adherens junction,2/71,0.2672681235658309,0.9495138482858844,0,0,2.0194264569842737,2.664639099344737,CTNNA1;RAC1
KEGG_2021_Human,Arginine biosynthesis,1/22,0.2700688712946419,0.9495138482858844,0,0,3.313982836951035,4.3382629310744205,GOT1
KEGG_2021_Human,Histidine metabolism,1/22,0.2700688712946419,0.9495138482858844,0,0,3.313982836951035,4.3382629310744205,ALDH2
KEGG_2021_Human,Shigellosis,5/246,0.2719650631654756,0.9495138482858844,0,0,1.4481922693674802,1.8856646015993668,BNIP3;RAC1;CAPN1;CD44;SKP1
KEGG_2021_Human,p53 signaling pathway,2/73,0.2778071831707687,0.9495138482858844,0,0,1.962341424433124,2.5134218255882965,CCNE1;CCNG2
