Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
MSigDB_Hallmark_2020,Collecting duct acid secretion,3/27,0.0064400459947345,0.870746569891697,0,0,8.759786476868328,44.19504639733396,ATP6V1B2;ATP6V1E1;SLC12A7
MSigDB_Hallmark_2020,beta-Alanine metabolism,3/30,0.0086641449740467,0.870746569891697,0,0,7.785290628706999,36.96893552259904,ALDH2;GAD1;UPB1
MSigDB_Hallmark_2020,Aminoacyl-tRNA biosynthesis,4/66,0.0144124072111117,0.9495138482858844,0,0,4.5285714285714285,19.1996295511846,NARS1;EPRS1;IARS2;TARS3
MSigDB_Hallmark_2020,Gastric acid secretion,4/76,0.0230043225339257,0.9495138482858844,0,0,3.897619047619048,14.702104136832872,KCNE2;ATP1A1;ATP1B1;MYLK
MSigDB_Hallmark_2020,Cell cycle,5/124,0.0320694024152641,0.9495138482858844,0,0,2.951266528116623,10.151922723090255,CDKN2D;WEE2;CCNE1;SKP1;MCM2
MSigDB_Hallmark_2020,Pantothenate and CoA biosynthesis,2/21,0.0353315352463476,0.9495138482858844,0,0,7.35237028742068,24.578822147976627,ALDH2;UPB1
MSigDB_Hallmark_2020,Endocrine and other factor-regulated calcium reabsorption,3/53,0.0394383240347732,0.9495138482858844,0,0,4.1991459074733095,13.575911129764382,CALB1;ATP1A1;ATP1B1
MSigDB_Hallmark_2020,Proximal tubule bicarbonate reclamation,2/23,0.0417876531082194,0.9495138482858844,0,0,6.651469098277609,21.119441129557604,ATP1A1;ATP1B1
MSigDB_Hallmark_2020,Protein digestion and absorption,4/103,0.0592269740125924,0.9495138482858844,0,0,2.8307359307359308,8.00073032108123,MEP1B;COL9A1;ATP1A1;ATP1B1
MSigDB_Hallmark_2020,Epithelial cell signaling in Helicobacter pylori infection,3/70,0.0775526916467952,0.9495138482858844,0,0,3.13098210017528,8.005287774321127,ATP6V1B2;RAC1;ATP6V1E1
MSigDB_Hallmark_2020,"Phenylalanine, tyrosine and tryptophan biosynthesis",1/6,0.0822416840053469,0.9495138482858844,0,0,13.930035335689048,34.798523772510855,GOT1
MSigDB_Hallmark_2020,Thyroid hormone synthesis,3/75,0.0909741273595842,0.9495138482858844,0,0,2.912811387900356,6.982533574580621,DUOX1;ATP1A1;ATP1B1
MSigDB_Hallmark_2020,DNA replication,2/36,0.0923950876625476,0.9495138482858844,0,0,4.105548602419692,9.77810901239206,POLE3;MCM2
MSigDB_Hallmark_2020,"Alanine, aspartate and glutamate metabolism",2/37,0.0967936589408167,0.9495138482858844,0,0,3.988044579533941,9.31277719005559,GOT1;GAD1
MSigDB_Hallmark_2020,Aldosterone-regulated sodium reabsorption,2/37,0.0967936589408167,0.9495138482858844,0,0,3.988044579533941,9.31277719005559,ATP1A1;ATP1B1
MSigDB_Hallmark_2020,FoxO signaling pathway,4/131,0.1165703673129492,0.9495138482858844,0,0,2.203487064116985,4.735866997546649,CDKN2D;BNIP3;CCNG2;SOD2
MSigDB_Hallmark_2020,Tryptophan metabolism,2/42,0.1196116584789895,0.9495138482858844,0,0,3.4886524822695035,7.408170861310887,ALDH2;CYP1B1
MSigDB_Hallmark_2020,Oxidative phosphorylation,4/133,0.1213592715600219,0.9495138482858844,0,0,2.1691029900332226,4.574638089427392,PPA1;COX4I1;ATP6V1B2;ATP6V1E1
MSigDB_Hallmark_2020,Porphyrin and chlorophyll metabolism,2/43,0.124323405855855,0.9495138482858844,0,0,3.403390416882892,7.095623164361508,EPRS1;UROD
MSigDB_Hallmark_2020,Cardiac muscle contraction,3/87,0.1266788347613376,0.9495138482858844,0,0,2.4951703101169294,5.155272015593833,COX4I1;ATP1A1;ATP1B1
