Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Ribosome,14/158,2.920989730291192e-05,0.0059422933448708,0,0,4.033577206757078,42.11459154461284,RPL5;RPL3;RPL31;RPS8;RPL12;RPS4X;RPS14;RPL37A;RPL38;FAU;RPS27A;RPL28;RPS21;RPS13
KEGG_2021_Human,Coronavirus disease,17/232,4.972630414117906e-05,0.0059422933448708,0,0,3.2895749799518845,32.59632119269923,RPL5;NRP1;RPL3;RPL31;RPS8;RPL12;MX2;RPS4X;RPS14;OAS3;RPL37A;RPL38;FAU;RPS27A;RPL28;RPS21;RPS13
KEGG_2021_Human,AMPK signaling pathway,11/120,0.0001526884816893066,0.0121641823745814,0,0,4.167675190318173,36.62182359057067,RAB10;TBC1D1;PRKAB2;LEPR;CD36;ADIPOR2;PPARGC1A;SIRT1;PFKM;PFKP;IGF1R
KEGG_2021_Human,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,4/26,0.0032452090947424,0.1939012434108594,0,0,7.431675242995998,42.58777603376035,PIGU;PGAP1;PIGQ;PIGL
KEGG_2021_Human,Cysteine and methionine metabolism,5/50,0.006857817428032,0.3278036730599332,0,0,4.545751633986928,22.648598599483574,IL4I1;AHCYL2;GCLC;MDH2;APIP
KEGG_2021_Human,FoxO signaling pathway,8/131,0.0139789085319207,0.5568265231881765,0,0,2.6670791866481034,11.38897652851234,GABARAPL1;MAP2K1;PRKAB2;CCNG2;TNFSF10;SIRT1;IGF1R;TGFBR2
KEGG_2021_Human,Adipocytokine signaling pathway,5/69,0.0251727112768482,0.8205524681859857,0,0,3.1931131827731094,11.757025997633386,PRKAB2;LEPR;CD36;ADIPOR2;PPARGC1A
KEGG_2021_Human,Sphingolipid metabolism,4/49,0.0298909392285087,0.8205524681859857,0,0,3.628977405078034,12.73843605308311,ACER2;ARSA;GLB1;DEGS2
KEGG_2021_Human,Pentose phosphate pathway,3/30,0.0347126445086312,0.8205524681859857,0,0,4.530915853091585,15.226828085796054,GLYCTK;PFKM;PFKP
KEGG_2021_Human,Circadian rhythm,3/31,0.0377660131801081,0.8205524681859857,0,0,4.368873281530186,14.313939203018723,PRKAB2;PER3;RORA
