Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PanglaoDB_Augmented_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	54/90	7.792162e-43	1.661527e-39	0	0	2.451481e+01	2.376908e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL10A;SRP14;RPS15;RPS4X;RPL7A;RPS14;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL23A;RPS26;RPS25;RPS27;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	cotranslational protein targeting to membrane (GO:0006613)	55/94	9.149380e-43	1.661527e-39	0	0	2.306452e+01	2.232587e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL10A;SRP14;RPS15;RPS4X;RPL7A;RPS14;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL23A;RPS26;RPS25;RPS27;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	cytoplasmic translation (GO:0002181)	53/93	2.052992e-40	2.485489e-37	0	0	2.163129e+01	1.976756e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL10A;RPS15;RPS4X;RPL7A;RPS14;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;TMA7;RPL23A;RPS26;RPS25;RPS27;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	protein targeting to ER (GO:0045047)	55/103	8.112920e-40	7.366531e-37	0	0	1.873093e+01	1.685970e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL10A;SRP14;RPS15;RPS4X;RPS14;RPL7A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL23A;RPS26;RPS25;RPS27;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	55/113	5.395495e-37	3.919287e-34	0	0	1.549319e+01	1.293838e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL10A;RPS15;RPS4X;RPS14;RPL7A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;NCBP2;RPL23;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL23A;PNRC2;RPS26;RPS25;RPS27;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	peptide biosynthetic process (GO:0043043)	60/162	5.412979e-32	3.276657e-29	0	0	9.630164e+00	6.933133e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;MRPS11;RPLP1;RPL10A;MRPL32;RPS15;RPS4X;RPS14;RPL7A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;MRPS7;MRPL52;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;RPL12;RPL11;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;ABCF1;RPL19;RPL41;RPL23A;HARS2;WARS1;RPS26;RPS25;RPS27;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	translation (GO:0006412)	66/214	1.346201e-29	6.984859e-27	0	0	7.321208e+00	4.866969e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;MRPS11;RPLP1;RPL10A;MRPL32;RPS15;RPS4X;RPS14;RPL7A;NARS1;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;RPL23;RPS6;RPL13A;RPS3A;GTPBP2;MRPS7;MRPL52;LARS1;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL10;KARS1;RPL12;RPL11;MRPL57;RPL14;RPS3;RPL15;RPS2;RPL18;RPS27A;RPL19;ABCF1;RPL41;TMA7;RPL23A;HARS2;WARS1;RPS26;RPS25;RPS27;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	59/171	1.551410e-29	7.043402e-27	0	0	8.612002e+00	5.712840e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL10A;RPS15;RPS4X;RPS14;RPL7A;ZFP36;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;RPS7;RPS8;NCBP2;RPL23;RPS6;RPL13A;RPS3A;RPL37A;RPL24;RPL27;RPL29;RPL28;DDX5;RPL10;RPL12;RPL11;EXOSC10;RPL14;RPS3;POLR2G;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL23A;PNRC2;RPS26;RPS25;RPS27;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	cellular macromolecule biosynthetic process (GO:0034645)	69/314	2.041993e-21	8.240578e-19	0	0	4.611766e+00	2.197062e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;MRPS11;RPLP1;RPL10A;MRPL32;RPS15;ING4;RPS4X;RPS14;ING5;RPL7A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS13;RPS12;TIPIN;RPS7;RPS8;RPL23;RPS6;HUS1;RPL13A;RPS3A;GTPBP2;MRPS7;MRPL52;RPL37A;RPL24;RPL27;RPL29;RPL28;PTMA;RPL10;RPL12;GCNT1;RPL11;RPL14;RPS3;POLR2G;RPL15;RPS2;RPL18;RPS27A;RPL19;ABCF1;RPL41;RPL23A;HARS2;WARS1;RPS26;RPS25;RPS27;POLE3;RPS20;RPS21;RPS24;RPS23
PanglaoDB_Augmented_2021	ribosome biogenesis (GO:0042254)	51/192	6.173943e-20	2.242376e-17	0	0	5.862968e+00	2.593271e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPL10A;WDR46;RPS15;RPS14;RPL7A;NOB1;RPL36;RPL35;RPLP2;RPL38;RPL37;GLUL;RPL39;EIF2A;METTL17;RPS7;RPL23;RPS6;RPL13A;RPL37A;RPL24;RPL27;RPL29;RPL28;DDX27;RPL10;RPL12;RPL11;EXOSC10;RPL14;RPL15;RPS2;RPL18;EXOSC1;RPL19;RPL41;NPM1;UTP3;RPL23A;RPS25;RPS27;RBIS;RPS24
