Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,AMPK signaling pathway,10/120,4.898089953660656e-07,9.208409112882032e-05,0,0,9.08306414397785,131.9701126859685,RAB10;TBC1D1;PRKAB2;LEPR;ADIPOR2;PPARGC1A;SIRT1;PFKM;PFKP;IGF1R
GO_Biological_Process_2021,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,3/26,0.0023835247462611,0.1311960183725447,0,0,12.640664961636828,76.33918656893323,PIGU;PGAP1;PIGQ
GO_Biological_Process_2021,FoxO signaling pathway,6/131,0.0024473044538455,0.1311960183725447,0,0,4.696835820895522,28.240984515137157,MAP2K1;PRKAB2;CCNG2;SIRT1;IGF1R;TGFBR2
GO_Biological_Process_2021,Long-term depression,4/60,0.0034569891865501,0.1311960183725447,0,0,6.94475721323012,39.35842011434789,MAP2K1;PLA2G4C;CACNA1A;IGF1R
GO_Biological_Process_2021,Galactose metabolism,3/31,0.0039673673046215,0.1311960183725447,0,0,10.380777310924367,57.40209174611801,GLB1;PFKM;PFKP
GO_Biological_Process_2021,Longevity regulating pathway,5/102,0.0041871069693365,0.1311960183725447,0,0,5.02602837603348,27.521250977806226,PRKAB2;ADIPOR2;PPARGC1A;SIRT1;IGF1R
GO_Biological_Process_2021,Glucagon signaling pathway,5/107,0.0051277966118483,0.1340223982275772,0,0,4.778441079402058,25.19709837138373,PRKAB2;PPARGC1A;SIRT1;PFKM;PFKP
GO_Biological_Process_2021,Adipocytokine signaling pathway,4/69,0.0057030807756415,0.1340223982275772,0,0,5.980447139067829,30.89946785914634,PRKAB2;LEPR;ADIPOR2;PPARGC1A
GO_Biological_Process_2021,RNA degradation,4/79,0.0091525559388757,0.1911867240565153,0,0,5.180426929392446,24.31548437172726,PABPC1L;PFKM;PFKP;DCP1B
GO_Biological_Process_2021,Sphingolipid metabolism,3/49,0.0141971059449015,0.2669055917641484,0,0,6.312979539641944,26.85994226342127,ACER2;ARSA;GLB1
GO_Biological_Process_2021,Notch signaling pathway,3/59,0.0232437850822469,0.3795277590416734,0,0,5.183035714285714,19.49711610276348,MAML2;MFNG;RFNG
GO_Biological_Process_2021,HIF-1 signaling pathway,4/109,0.0267279300318615,0.3795277590416734,0,0,3.69467511142388,13.382283916958515,MAP2K1;PFKM;PFKP;IGF1R
GO_Biological_Process_2021,Serotonergic synapse,4/113,0.0299764818079046,0.3795277590416734,0,0,3.558367605188232,12.480412667292876,MAP2K1;TRPC1;PLA2G4C;CACNA1A
GO_Biological_Process_2021,Tight junction,5/169,0.0314122832730338,0.3795277590416734,0,0,2.9625996136198984,10.25224268477239,TUBA1C;PRKAB2;RAP1A;MSN;SCRIB
GO_Biological_Process_2021,MAPK signaling pathway,7/294,0.0337775472687896,0.3795277590416734,0,0,2.378780487804878,8.059210713239201,MAP2K1;RAP1A;PLA2G4C;CACNA1A;DUSP6;IGF1R;TGFBR2
GO_Biological_Process_2021,Central carbon metabolism in cancer,3/70,0.0360618686415188,0.3795277590416734,0,0,4.329675153643547,14.385429010490448,MAP2K1;PFKM;PFKP
