Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Pertussis	4/76	2.756188e-03	2.833696e-01	0	0	7.373229e+00	4.345712e+01	CASP7;ITGAM;ITGA5;TICAM1
KEGG_2021_Human	Herpes simplex virus 1 infection	10/498	5.060171e-03	2.833696e-01	0	0	2.774132e+00	1.466504e+01	ZNF133;ZNF682;RNASEL;ZNF251;ZSCAN32;ZNF689;ITGA5;TICAM1;ZNF25;ZNF398
KEGG_2021_Human	Pentose phosphate pathway	2/30	2.198440e-02	5.332859e-01	0	0	9.375118e+00	3.578878e+01	PGM2;IDNK
KEGG_2021_Human	Rap1 signaling pathway	5/210	2.284012e-02	5.332859e-01	0	0	3.236981e+00	1.223332e+01	RALB;ITGAM;MAGI3;ARAP3;ACTB
KEGG_2021_Human	Phagosome	4/152	2.948624e-02	5.332859e-01	0	0	3.573191e+00	1.259132e+01	RAB5B;ITGAM;ITGA5;ACTB
KEGG_2021_Human	Ferroptosis	2/41	3.924781e-02	5.332859e-01	0	0	6.727118e+00	2.178146e+01	GCLC;NCOA4
KEGG_2021_Human	Homologous recombination	2/41	3.924781e-02	5.332859e-01	0	0	6.727118e+00	2.178146e+01	POLD3;TOP3B
KEGG_2021_Human	Hematopoietic cell lineage	3/99	4.043155e-02	5.332859e-01	0	0	4.114792e+00	1.320085e+01	ITGAM;CD37;ITGA5
KEGG_2021_Human	Endocytosis	5/252	4.461463e-02	5.332859e-01	0	0	2.680818e+00	8.336523e+00	RAB5B;EHD4;ARAP3;ARAP1;RAB22A
KEGG_2021_Human	Tuberculosis	4/180	4.967700e-02	5.332859e-01	0	0	3.000458e+00	9.008014e+00	RAB5B;ITGAM;NFYC;RFX5
KEGG_2021_Human	Cysteine and methionine metabolism	2/50	5.609601e-02	5.332859e-01	0	0	5.463300e+00	1.573808e+01	GCLC;DNMT3A
KEGG_2021_Human	Leukocyte transendothelial migration	3/114	5.713777e-02	5.332859e-01	0	0	3.556036e+00	1.017841e+01	ITK;ITGAM;ACTB
KEGG_2021_Human	Legionellosis	2/57	7.062657e-02	6.084751e-01	0	0	4.766285e+00	1.263232e+01	CASP7;ITGAM
KEGG_2021_Human	Purine metabolism	3/129	7.659136e-02	6.127309e-01	0	0	3.130317e+00	8.042634e+00	ADK;PGM2;ADPRM
KEGG_2021_Human	Regulation of actin cytoskeleton	4/218	8.659912e-02	6.160483e-01	0	0	2.462899e+00	6.025398e+00	ITGAM;MYH9;ITGA5;ACTB
KEGG_2021_Human	Yersinia infection	3/137	8.800691e-02	6.160483e-01	0	0	2.942239e+00	7.150641e+00	ITGA5;TICAM1;ACTB
KEGG_2021_Human	Adherens junction	2/71	1.027414e-01	6.289148e-01	0	0	3.796526e+00	8.639147e+00	PTPRM;ACTB
KEGG_2021_Human	Cell adhesion molecules	3/148	1.047884e-01	6.289148e-01	0	0	2.717517e+00	6.130209e+00	NLGN4Y;ITGAM;PTPRM
KEGG_2021_Human	Arrhythmogenic right ventricular cardiomyopathy	2/77	1.175244e-01	6.289148e-01	0	0	3.491744e+00	7.476206e+00	ITGA5;ACTB
KEGG_2021_Human	Bacterial invasion of epithelial cells	2/77	1.175244e-01	6.289148e-01	0	0	3.491744e+00	7.476206e+00	ITGA5;ACTB
KEGG_2021_Human	Antigen processing and presentation	2/78	1.200383e-01	6.289148e-01	0	0	3.445626e+00	7.304536e+00	NFYC;RFX5
KEGG_2021_Human	Salmonella infection	4/249	1.242156e-01	6.289148e-01	0	0	2.147870e+00	4.479892e+00	RAB5B;CASP7;FLNA;ACTB
KEGG_2021_Human	Other glycan degradation	1/18	1.291522e-01	6.289148e-01	0	0	7.674149e+00	1.570717e+01	HEXD
KEGG_2021_Human	Glycosaminoglycan degradation	1/19	1.358201e-01	6.338273e-01	0	0	7.247442e+00	1.446897e+01	IDUA
KEGG_2021_Human	Influenza A	3/172	1.452306e-01	6.506329e-01	0	0	2.328757e+00	4.493181e+00	RNASEL;TICAM1;ACTB
KEGG_2021_Human	Hypertrophic cardiomyopathy	2/90	1.511496e-01	6.511061e-01	0	0	2.973961e+00	5.619256e+00	ITGA5;ACTB
KEGG_2021_Human	Mismatch repair	1/23	1.619886e-01	6.598267e-01	0	0	5.928529e+00	1.079128e+01	POLD3
KEGG_2021_Human	Dilated cardiomyopathy	2/96	1.672503e-01	6.598267e-01	0	0	2.783289e+00	4.977254e+00	ITGA5;ACTB
KEGG_2021_Human	RNA transport	3/186	1.708480e-01	6.598267e-01	0	0	2.149071e+00	3.797368e+00	NUP42;PABPC1L;PAIP1
KEGG_2021_Human	Amoebiasis	2/102	1.836299e-01	6.713587e-01	0	0	2.615497e+00	4.432830e+00	RAB5B;ITGAM
KEGG_2021_Human	T cell receptor signaling pathway	2/104	1.891417e-01	6.713587e-01	0	0	2.563953e+00	4.269645e+00	ITK;GRAP2
KEGG_2021_Human	Pathogenic Escherichia coli infection	3/197	1.918168e-01	6.713587e-01	0	0	2.026082e+00	3.345497e+00	CASP7;MYH9;ACTB
KEGG_2021_Human	Focal adhesion	3/201	1.995991e-01	6.774271e-01	0	0	1.984747e+00	3.198311e+00	FLNA;ITGA5;ACTB
KEGG_2021_Human	Proteoglycans in cancer	3/205	2.074563e-01	6.783582e-01	0	0	1.945050e+00	3.059241e+00	FLNA;ITGA5;ACTB
KEGG_2021_Human	Galactose metabolism	1/31	2.119869e-01	6.783582e-01	0	0	4.345833e+00	6.741390e+00	PGM2
KEGG_2021_Human	Base excision repair	1/33	2.240163e-01	6.907215e-01	0	0	4.073808e+00	6.094565e+00	POLD3
KEGG_2021_Human	Starch and sucrose metabolism	1/36	2.417191e-01	6.907215e-01	0	0	3.724060e+00	5.288088e+00	PGM2
KEGG_2021_Human	DNA replication	1/36	2.417191e-01	6.907215e-01	0	0	3.724060e+00	5.288088e+00	POLD3
KEGG_2021_Human	Thyroid cancer	1/37	2.475304e-01	6.907215e-01	0	0	3.620431e+00	5.054926e+00	NCOA4
KEGG_2021_Human	Primary immunodeficiency	1/38	2.532974e-01	6.907215e-01	0	0	3.522404e+00	4.836933e+00	RFX5
KEGG_2021_Human	Lysosome	2/128	2.565228e-01	6.907215e-01	0	0	2.073058e+00	2.820474e+00	IDUA;AP1B1
KEGG_2021_Human	Various types of N-glycan biosynthesis	1/39	2.590205e-01	6.907215e-01	0	0	3.429536e+00	4.632781e+00	HEXD
KEGG_2021_Human	Vasopressin-regulated water reabsorption	1/44	2.869891e-01	7.475065e-01	0	0	3.029988e+00	3.782367e+00	RAB5B
KEGG_2021_Human	Apoptosis	2/142	2.961726e-01	7.499664e-01	0	0	1.864428e+00	2.268660e+00	CASP7;ACTB
KEGG_2021_Human	Nucleotide excision repair	1/47	3.032641e-01	7.499664e-01	0	0	2.831951e+00	3.378945e+00	POLD3
KEGG_2021_Human	Amino sugar and nucleotide sugar metabolism	1/48	3.086067e-01	7.499664e-01	0	0	2.771557e+00	3.258485e+00	PGM2
KEGG_2021_Human	Vibrio cholerae infection	1/50	3.191701e-01	7.499664e-01	0	0	2.658163e+00	3.035705e+00	ACTB
